"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7060,1980,5,1,18.9,9.4,0,5.6
"2",7061,1980,5,2,27.4,11.2,7.4,3.8
"3",7062,1980,5,3,23.7,13.6,3.7,1.4
"4",7063,1980,5,4,28.7,17,8.7,0
"5",7064,1980,5,5,26.2,12,6.2,3
"6",7065,1980,5,6,18.2,9,0,6
"7",7066,1980,5,7,21.5,8.6,1.5,6.4
"8",7067,1980,5,8,16.4,9,0,6
"9",7068,1980,5,9,21.4,10.8,1.4,4.2
"10",7069,1980,5,10,29.7,12,9.7,3
"11",7070,1980,5,11,31.9,18.2,11.9,0
"12",7071,1980,5,12,21.3,14.7,1.3,0.300000000000001
"13",7072,1980,5,13,24.7,16.2,4.7,0
"14",7073,1980,5,14,28.7,15.4,8.7,0
"15",7074,1980,5,15,17.2,11.8,0,3.2
"16",7075,1980,5,16,21.1,11.2,1.1,3.8
"17",7076,1980,5,17,19.3,9.6,0,5.4
"18",7077,1980,5,18,22.8,10,2.8,5
"19",7078,1980,5,19,24.8,12.4,4.8,2.6
"20",7079,1980,5,20,15.8,13.2,0,1.8
"21",7080,1980,5,21,21.3,13,1.3,2
"22",7081,1980,5,22,27.6,12.4,7.6,2.6
"23",7082,1980,5,23,30.2,17.7,10.2,0
"24",7083,1980,5,24,27.9,16.4,7.9,0
"25",7084,1980,5,25,25.3,15.6,5.3,0
"26",7085,1980,5,26,25.3,13,5.3,2
"27",7086,1980,5,27,25.9,10.5,5.9,4.5
"28",7087,1980,5,28,30.3,13.2,10.3,1.8
"29",7088,1980,5,29,29.4,16,9.4,0
"30",7089,1980,5,30,27.7,14.6,7.7,0.4
"31",7090,1980,5,31,20,14.6,0,0.4
"32",7091,1980,6,1,21.4,14.7,1.4,0.300000000000001
"33",7092,1980,6,2,28.7,15.6,8.7,0
"34",7093,1980,6,3,25.7,14.9,5.7,0.0999999999999996
"35",7094,1980,6,4,29.7,16.3,9.7,0
"36",7095,1980,6,5,32.7,17.6,12.7,0
"37",7096,1980,6,6,33.2,21,13.2,1
"38",7097,1980,6,7,29.7,15.8,9.7,0
"39",7098,1980,6,8,24.7,16.4,4.7,0
"40",7099,1980,6,9,20.8,15.4,0.800000000000001,0
"41",7100,1980,6,10,27.7,16.7,7.7,0
"42",7101,1980,6,11,27.7,20.2,7.7,0.199999999999999
"43",7102,1980,6,12,30.9,22.2,10.9,2.2
"44",7103,1980,6,13,30.5,20.9,10.5,0.899999999999999
"45",7104,1980,6,14,32.9,19.8,12.9,0
"46",7105,1980,6,15,32.7,20.2,12.7,0.199999999999999
"47",7106,1980,6,16,30.3,22.6,10.3,2.6
"48",7107,1980,6,17,28.9,23.3,8.9,3.3
"49",7108,1980,6,18,29.9,17.8,9.9,0
"50",7109,1980,6,19,21.3,16.7,1.3,0
"51",7110,1980,6,20,22.9,15.9,2.9,0
"52",7111,1980,6,21,26.8,16.2,6.8,0
"53",7112,1980,6,22,31.6,19.9,11.6,0
"54",7113,1980,6,23,32.5,21.2,12.5,1.2
"55",7114,1980,6,24,30.5,21.8,10.5,1.8
"56",7115,1980,6,25,25.2,19,5.2,0
"57",7116,1980,6,26,29.4,19.2,9.4,0
"58",7117,1980,6,27,28.7,18.1,8.7,0
"59",7118,1980,6,28,27,20.4,7,0.399999999999999
"60",7119,1980,6,29,25.2,18,5.2,0
"61",7120,1980,6,30,23,18.3,3,0
"62",7425,1981,5,1,28.1,15.2,8.1,0
"63",7426,1981,5,2,24.2,13.1,4.2,1.9
"64",7427,1981,5,3,19.8,11.9,0,3.1
"65",7428,1981,5,4,22.3,8.3,2.3,6.7
"66",7429,1981,5,5,25.9,9.2,5.9,5.8
"67",7430,1981,5,6,25.6,9.7,5.6,5.3
"68",7431,1981,5,7,25.2,12.7,5.2,2.3
"69",7432,1981,5,8,30.1,15.4,10.1,0
"70",7433,1981,5,9,26.8,13.2,6.8,1.8
"71",7434,1981,5,10,16,11.8,0,3.2
"72",7435,1981,5,11,25.2,11.6,5.2,3.4
"73",7436,1981,5,12,24.2,11.1,4.2,3.9
"74",7437,1981,5,13,25,11.2,5,3.8
"75",7438,1981,5,14,28,14,8,1
"76",7439,1981,5,15,16.3,12.8,0,2.2
"77",7440,1981,5,16,13,10.4,2,4.6
"78",7441,1981,5,17,11.8,9.4,3.2,5.6
"79",7442,1981,5,18,13.8,8.8,1.2,6.2
"80",7443,1981,5,19,18,9.2,0,5.8
"81",7444,1981,5,20,24.2,10.2,4.2,4.8
"82",7445,1981,5,21,28.6,14.3,8.6,0.699999999999999
"83",7446,1981,5,22,31.1,13.8,11.1,1.2
"84",7447,1981,5,23,29.5,14.8,9.5,0.199999999999999
"85",7448,1981,5,24,24.8,12.6,4.8,2.4
"86",7449,1981,5,25,26,12.5,6,2.5
"87",7450,1981,5,26,34,19.9,14,0
"88",7451,1981,5,27,27.4,18.2,7.4,0
"89",7452,1981,5,28,28,12.8,8,2.2
"90",7453,1981,5,29,18,11.2,0,3.8
"91",7454,1981,5,30,19.5,11.9,0,3.1
"92",7455,1981,5,31,28.3,11.6,8.3,3.4
"93",7456,1981,6,1,17.7,10.2,0,4.8
"94",7457,1981,6,2,25.6,9,5.6,6
"95",7458,1981,6,3,28.8,14.5,8.8,0.5
"96",7459,1981,6,4,27.1,17.8,7.1,0
"97",7460,1981,6,5,28.3,15,8.3,0
"98",7461,1981,6,6,28.6,16.4,8.6,0
"99",7462,1981,6,7,32.1,14.7,12.1,0.300000000000001
"100",7463,1981,6,8,34.5,16.1,14.5,0
"101",7464,1981,6,9,25.8,15.9,5.8,0
"102",7465,1981,6,10,19.5,15.9,0,0
"103",7466,1981,6,11,21.7,15.8,1.7,0
"104",7467,1981,6,12,17.3,14.5,0,0.5
"105",7468,1981,6,13,22.7,14,2.7,1
"106",7469,1981,6,14,21.6,16,1.6,0
"107",7470,1981,6,15,21.9,16.2,1.9,0
"108",7471,1981,6,16,32.2,15.8,12.2,0
"109",7472,1981,6,17,32.9,22.2,12.9,2.2
"110",7473,1981,6,18,26,18.8,6,0
"111",7474,1981,6,19,18.8,15.8,0,0
"112",7475,1981,6,20,20.7,15.2,0.699999999999999,0
"113",7476,1981,6,21,31.1,17.2,11.1,0
"114",7477,1981,6,22,29.4,16.2,9.4,0
"115",7478,1981,6,23,23.4,16.5,3.4,0
"116",7479,1981,6,24,26.2,19.3,6.2,0
"117",7480,1981,6,25,21.1,17.7,1.1,0
"118",7481,1981,6,26,23.7,18.5,3.7,0
"119",7482,1981,6,27,30.5,22.2,10.5,2.2
"120",7483,1981,6,28,25.2,16.7,5.2,0
"121",7484,1981,6,29,21.1,16.6,1.1,0
"122",7485,1981,6,30,20.3,17.9,0.300000000000001,0
"123",7790,1982,5,1,18.2,14,0,1
"124",7791,1982,5,2,16.8,13,0,2
"125",7792,1982,5,3,21.6,13,1.6,2
"126",7793,1982,5,4,23.1,10.6,3.1,4.4
"127",7794,1982,5,5,28.8,11.5,8.8,3.5
"128",7795,1982,5,6,22.2,12,2.2,3
"129",7796,1982,5,7,27.3,10.4,7.3,4.6
"130",7797,1982,5,8,28.7,13.6,8.7,1.4
"131",7798,1982,5,9,29.2,17,9.2,0
"132",7799,1982,5,10,27.4,17.5,7.4,0
"133",7800,1982,5,11,31.5,17.2,11.5,0
"134",7801,1982,5,12,25.9,14.5,5.9,0.5
"135",7802,1982,5,13,27,12,7,3
"136",7803,1982,5,14,20.5,11.6,0.5,3.4
"137",7804,1982,5,15,27.2,11.8,7.2,3.2
"138",7805,1982,5,16,27.7,14.2,7.7,0.800000000000001
"139",7806,1982,5,17,29.9,14.4,9.9,0.6
"140",7807,1982,5,18,20.7,13.8,0.699999999999999,1.2
