"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3166,1980,9,1,28.4,19.5,3.4,2.5
"2",3167,1980,9,2,27.7,18.7,2.7,3.3
"3",3168,1980,9,3,29.4,22.7,4.4,0
"4",3169,1980,9,4,28.3,20.7,3.3,1.3
"5",3170,1980,9,5,28.2,19.7,3.2,2.3
"6",3171,1980,9,6,24.1,17.9,0,4.1
"7",3172,1980,9,7,25.1,16.2,0.100000000000001,5.8
"8",3173,1980,9,8,25.7,15.3,0.699999999999999,6.7
"9",3174,1980,9,9,24.8,17.3,0,4.7
"10",3175,1980,9,10,21.6,17.7,0.399999999999999,4.3
"11",3176,1980,9,11,19.5,16.2,2.5,5.8
"12",3177,1980,9,12,25.6,13.7,0.600000000000001,8.3
"13",3178,1980,9,13,27.2,13.7,2.2,8.3
"14",3179,1980,9,14,28.5,12.6,3.5,9.4
"15",3180,1980,9,15,27.6,12.5,2.6,9.5
"16",3181,1980,9,16,27.3,16.1,2.3,5.9
"17",3182,1980,9,17,24.1,15.2,0,6.8
"18",3183,1980,9,18,25.3,13,0.300000000000001,9
"19",3184,1980,9,19,23.3,14.2,0,7.8
"20",3185,1980,9,20,24.5,15.9,0,6.1
"21",3186,1980,9,21,22.6,16.3,0,5.7
"22",3187,1980,9,22,21.6,13.5,0.399999999999999,8.5
"23",3188,1980,9,23,21.2,12.2,0.800000000000001,9.8
"24",3189,1980,9,24,20.4,11.5,1.6,10.5
"25",3190,1980,9,25,21.4,10.6,0.600000000000001,11.4
"26",3191,1980,9,26,23.9,9.4,0,12.6
"27",3192,1980,9,27,24,12.5,0,9.5
"28",3193,1980,9,28,24.1,10.9,0,11.1
"29",3194,1980,9,29,25.6,11.3,0.600000000000001,10.7
"30",3195,1980,9,30,22.8,10.7,0,11.3
"31",3196,1980,10,1,23.9,9,0,13
"32",3197,1980,10,2,22.6,10,0,12
"33",3198,1980,10,3,23.9,10.4,0,11.6
"34",3199,1980,10,4,24.4,14,0,8
"35",3200,1980,10,5,23.3,14,0,8
"36",3201,1980,10,6,21.8,19,0.199999999999999,3
"37",3202,1980,10,7,25.4,16.7,0.399999999999999,5.3
"38",3203,1980,10,8,27,14.8,2,7.2
"39",3204,1980,10,9,21.4,15.1,0.600000000000001,6.9
"40",3205,1980,10,10,21.7,13.7,0.300000000000001,8.3
"41",3206,1980,10,11,18.8,17.1,3.2,4.9
"42",3207,1980,10,12,19.8,17.9,2.2,4.1
"43",3208,1980,10,13,18.2,16.8,3.8,5.2
"44",3209,1980,10,14,21.5,12.8,0.5,9.2
"45",3210,1980,10,15,22.3,8.5,0,13.5
"46",3211,1980,10,16,19.4,9.9,2.6,12.1
"47",3212,1980,10,17,21.6,14.2,0.399999999999999,7.8
"48",3213,1980,10,18,18.4,12.6,3.6,9.4
"49",3214,1980,10,19,21.2,12.2,0.800000000000001,9.8
"50",3215,1980,10,20,21.6,9.7,0.399999999999999,12.3
"51",3216,1980,10,21,19.3,8,2.7,14
"52",3217,1980,10,22,16.3,2.9,5.7,19.1
"53",3218,1980,10,23,19.5,4.2,2.5,17.8
"54",3219,1980,10,24,15.3,10.8,6.7,11.2
"55",3220,1980,10,25,18.1,6,3.9,16
"56",3221,1980,10,26,12.5,4.8,9.5,17.2
"57",3222,1980,10,27,14.9,4.8,7.1,17.2
"58",3223,1980,10,28,15.4,2.1,6.6,19.9
"59",3224,1980,10,29,16.9,2.8,5.1,19.2
"60",3225,1980,10,30,17.3,2.2,4.7,19.8
"61",3226,1980,10,31,14.2,3.1,7.8,18.9
"62",3531,1981,9,1,25.5,24.3,0.5,0
"63",3532,1981,9,2,25.3,24.1,0.300000000000001,0
"64",3533,1981,9,3,25.9,21.3,0.899999999999999,0.699999999999999
"65",3534,1981,9,4,24.8,19.8,0,2.2
"66",3535,1981,9,5,25.6,15,0.600000000000001,7
"67",3536,1981,9,6,25.6,13.7,0.600000000000001,8.3
"68",3537,1981,9,7,25.1,13.1,0.100000000000001,8.9
"69",3538,1981,9,8,26.1,16.5,1.1,5.5
"70",3539,1981,9,9,26.4,17.5,1.4,4.5
"71",3540,1981,9,10,24.1,18.7,0,3.3
"72",3541,1981,9,11,24.3,17.6,0,4.4
"73",3542,1981,9,12,24.9,16.2,0,5.8
"74",3543,1981,9,13,24.7,14.5,0,7.5
"75",3544,1981,9,14,23.3,11.9,0,10.1
"76",3545,1981,9,15,23.1,10.9,0,11.1
"77",3546,1981,9,16,25,10.3,0,11.7
"78",3547,1981,9,17,26.3,11.7,1.3,10.3
"79",3548,1981,9,18,22.9,13.1,0,8.9
"80",3549,1981,9,19,24.2,13.6,0,8.4
"81",3550,1981,9,20,25.1,13.9,0.100000000000001,8.1
