"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2800,1980,9,1,29.2,19.3,4.2,2.7
"2",2801,1980,9,2,28.4,18.7,3.4,3.3
"3",2802,1980,9,3,29.7,19.9,4.7,2.1
"4",2803,1980,9,4,28.6,19.4,3.6,2.6
"5",2804,1980,9,5,26.2,17.6,1.2,4.4
"6",2805,1980,9,6,23.6,15.9,0,6.1
"7",2806,1980,9,7,28.3,14.9,3.3,7.1
"8",2807,1980,9,8,27.3,13.8,2.3,8.2
"9",2808,1980,9,9,26.2,14.4,1.2,7.6
"10",2809,1980,9,10,19,15.4,3,6.6
"11",2810,1980,9,11,18.7,14.9,3.3,7.1
"12",2811,1980,9,12,24.9,12.1,0,9.9
"13",2812,1980,9,13,25.4,12.7,0.399999999999999,9.3
"14",2813,1980,9,14,27.9,11.2,2.9,10.8
"15",2814,1980,9,15,29.2,12.1,4.2,9.9
"16",2815,1980,9,16,25.6,13.9,0.600000000000001,8.1
"17",2816,1980,9,17,24.7,11.2,0,10.8
"18",2817,1980,9,18,24.7,9.6,0,12.4
"19",2818,1980,9,19,24.4,12.7,0,9.3
"20",2819,1980,9,20,27.7,12.3,2.7,9.7
"21",2820,1980,9,21,23.2,15,0,7
"22",2821,1980,9,22,19.7,9.6,2.3,12.4
"23",2822,1980,9,23,21.1,5.5,0.899999999999999,16.5
"24",2823,1980,9,24,23.7,8.6,0,13.4
"25",2824,1980,9,25,24.4,8.9,0,13.1
"26",2825,1980,9,26,25.3,8.3,0.300000000000001,13.7
"27",2826,1980,9,27,25.7,11.2,0.699999999999999,10.8
"28",2827,1980,9,28,26,8.6,1,13.4
"29",2828,1980,9,29,23.3,8,0,14
"30",2829,1980,9,30,22.7,7.1,0,14.9
"31",2830,1980,10,1,23.7,5.2,0,16.8
"32",2831,1980,10,2,24.1,5.3,0,16.7
"33",2832,1980,10,3,24.6,5.8,0,16.2
"34",2833,1980,10,4,25.2,7.8,0.199999999999999,14.2
"35",2834,1980,10,5,17.9,12.9,4.1,9.1
"36",2835,1980,10,6,20,14.3,2,7.7
"37",2836,1980,10,7,25.7,11,0.699999999999999,11
"38",2837,1980,10,8,23.5,9.3,0,12.7
"39",2838,1980,10,9,22.4,7.7,0,14.3
"40",2839,1980,10,10,17.4,13.6,4.6,8.4
"41",2840,1980,10,11,19.9,13.5,2.1,8.5
"42",2841,1980,10,12,19.9,14.5,2.1,7.5
"43",2842,1980,10,13,18.1,14.2,3.9,7.8
"44",2843,1980,10,14,21.3,10.1,0.699999999999999,11.9
"45",2844,1980,10,15,21,6.9,1,15.1
"46",2845,1980,10,16,19.2,7.8,2.8,14.2
"47",2846,1980,10,17,23.8,9.7,0,12.3
"48",2847,1980,10,18,15.6,9.9,6.4,12.1
"49",2848,1980,10,19,20.6,9.9,1.4,12.1
"50",2849,1980,10,20,21.3,6.7,0.699999999999999,15.3
"51",2850,1980,10,21,14.2,3.8,7.8,18.2
"52",2851,1980,10,22,15.6,0.4,6.4,21.6
"53",2852,1980,10,23,18.2,-0.7,3.8,22.7
"54",2853,1980,10,24,11.8,5.5,10.2,16.5
"55",2854,1980,10,25,14.6,2.1,7.4,19.9
"56",2855,1980,10,26,7.9,1.7,14.1,20.3
"57",2856,1980,10,27,12.4,4,9.6,18
"58",2857,1980,10,28,13.1,2.5,8.9,19.5
"59",2858,1980,10,29,14.3,0.5,7.7,21.5
"60",2859,1980,10,30,15.3,-0.6,6.7,22.6
"61",2860,1980,10,31,10.7,1.1,11.3,20.9
"62",3165,1981,9,1,26.7,20.4,1.7,1.6
"63",3166,1981,9,2,23.7,20.4,0,1.6
"64",3167,1981,9,3,22.9,19.3,0,2.7
"65",3168,1981,9,4,27.6,16,2.6,6
"66",3169,1981,9,5,28.1,14.7,3.1,7.3
"67",3170,1981,9,6,28,14.3,3,7.7
"68",3171,1981,9,7,27,12.2,2,9.8
"69",3172,1981,9,8,27.1,14.4,2.1,7.6
"70",3173,1981,9,9,25.2,15.3,0.199999999999999,6.7
"71",3174,1981,9,10,24.9,15.4,0,6.6
"72",3175,1981,9,11,26,13.5,1,8.5
"73",3176,1981,9,12,24.9,10.8,0,11.2
"74",3177,1981,9,13,22.7,8.9,0,13.1
"75",3178,1981,9,14,22.7,8.2,0,13.8
"76",3179,1981,9,15,24.8,6.7,0,15.3
"77",3180,1981,9,16,25,6.9,0,15.1
"78",3181,1981,9,17,26.4,8.1,1.4,13.9
"79",3182,1981,9,18,26.3,11.2,1.3,10.8
"80",3183,1981,9,19,27.8,12.8,2.8,9.2
"81",3184,1981,9,20,28.4,12.2,3.4,9.8
"82",3185,1981,9,21,28.5,12.5,3.5,9.5
"83",3186,1981,9,22,30.1,11.4,5.1,10.6
"84",3187,1981,9,23,28.5,12.9,3.5,9.1
"85",3188,1981,9,24,18.5,14.3,3.5,7.7
"86",3189,1981,9,25,19.8,14.9,2.2,7.1
"87",3190,1981,9,26,27.9,13.5,2.9,8.5
"88",3191,1981,9,27,28.6,11,3.6,11
"89",3192,1981,9,28,20.1,11.4,1.9,10.6
"90",3193,1981,9,29,21.3,11.3,0.699999999999999,10.7
"91",3194,1981,9,30,21.9,11.5,0.100000000000001,10.5
"92",3195,1981,10,1,25.3,13.4,0.300000000000001,8.6
"93",3196,1981,10,2,22.5,10.1,0,11.9
"94",3197,1981,10,3,23.2,6,0,16
"95",3198,1981,10,4,20.4,7.5,1.6,14.5
"96",3199,1981,10,5,21.9,12.8,0.100000000000001,9.2
