"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4261,1980,9,1,28.3,19.2,3.3,2.8
"2",4262,1980,9,2,26.7,19.9,1.7,2.1
"3",4263,1980,9,3,28.6,20.3,3.6,1.7
"4",4264,1980,9,4,28.2,18,3.2,4
"5",4265,1980,9,5,26.9,19.4,1.9,2.6
"6",4266,1980,9,6,23.6,17.7,0,4.3
"7",4267,1980,9,7,27.7,17.2,2.7,4.8
"8",4268,1980,9,8,26.4,14.5,1.4,7.5
"9",4269,1980,9,9,26.2,15.8,1.2,6.2
"10",4270,1980,9,10,19.7,15.6,2.3,6.4
"11",4271,1980,9,11,20.4,14.4,1.6,7.6
"12",4272,1980,9,12,25.8,16.3,0.800000000000001,5.7
"13",4273,1980,9,13,26.4,14.7,1.4,7.3
"14",4274,1980,9,14,27.2,12.5,2.2,9.5
"15",4275,1980,9,15,28,14.3,3,7.7
"16",4276,1980,9,16,25.3,15.5,0.300000000000001,6.5
"17",4277,1980,9,17,23.9,13.2,0,8.8
"18",4278,1980,9,18,24.5,10.9,0,11.1
"19",4279,1980,9,19,25,13.3,0,8.7
"20",4280,1980,9,20,26.6,12.9,1.6,9.1
"21",4281,1980,9,21,22.9,16.6,0,5.4
"22",4282,1980,9,22,18.6,10.9,3.4,11.1
"23",4283,1980,9,23,20.6,6.3,1.4,15.7
"24",4284,1980,9,24,23.4,8.9,0,13.1
"25",4285,1980,9,25,24.7,9,0,13
"26",4286,1980,9,26,25,9.8,0,12.2
"27",4287,1980,9,27,25.2,11.9,0.199999999999999,10.1
"28",4288,1980,9,28,25.4,11,0.399999999999999,11
"29",4289,1980,9,29,22.6,10.2,0,11.8
"30",4290,1980,9,30,22.6,9.1,0,12.9
"31",4291,1980,10,1,23.3,7.6,0,14.4
"32",4292,1980,10,2,24.3,7.7,0,14.3
"33",4293,1980,10,3,24.4,7.8,0,14.2
"34",4294,1980,10,4,25.9,10.2,0.899999999999999,11.8
"35",4295,1980,10,5,16.4,13.8,5.6,8.2
"36",4296,1980,10,6,19.7,15.5,2.3,6.5
"37",4297,1980,10,7,24.5,14.8,0,7.2
"38",4298,1980,10,8,22.4,9.8,0,12.2
"39",4299,1980,10,9,22.5,6.8,0,15.2
"40",4300,1980,10,10,17.4,13.4,4.6,8.6
"41",4301,1980,10,11,23.6,13.4,0,8.6
"42",4302,1980,10,12,20.7,15.1,1.3,6.9
"43",4303,1980,10,13,21.3,14.8,0.699999999999999,7.2
"44",4304,1980,10,14,20,8.4,2,13.6
"45",4305,1980,10,15,21.3,6,0.699999999999999,16
"46",4306,1980,10,16,20.2,8.9,1.8,13.1
"47",4307,1980,10,17,22.9,10.6,0,11.4
"48",4308,1980,10,18,16.4,10.8,5.6,11.2
"49",4309,1980,10,19,22.1,9.6,0,12.4
"50",4310,1980,10,20,22.3,8.7,0,13.3
