"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3465,1980,9,1,27.3,20.9,2.3,1.1
"2",3466,1980,9,2,28.9,18,3.9,4
"3",3467,1980,9,3,29.1,19.2,4.1,2.8
"4",3468,1980,9,4,29.3,20.8,4.3,1.2
"5",3469,1980,9,5,26.8,21.7,1.8,0.300000000000001
"6",3470,1980,9,6,25.1,19.5,0.100000000000001,2.5
"7",3471,1980,9,7,24.1,18.5,0,3.5
"8",3472,1980,9,8,25.7,18.9,0.699999999999999,3.1
"9",3473,1980,9,9,23.9,22,0,0
"10",3474,1980,9,10,23,19.6,0,2.4
"11",3475,1980,9,11,22.7,19,0,3
"12",3476,1980,9,12,25.4,14.9,0.399999999999999,7.1
"13",3477,1980,9,13,26.2,15.1,1.2,6.9
"14",3478,1980,9,14,26.6,13.9,1.6,8.1
"15",3479,1980,9,15,26.6,15,1.6,7
"16",3480,1980,9,16,27.7,16.8,2.7,5.2
"17",3481,1980,9,17,23.9,16,0,6
"18",3482,1980,9,18,24.7,17.5,0,4.5
"19",3483,1980,9,19,22.7,20.2,0,1.8
"20",3484,1980,9,20,24.8,18.9,0,3.1
"21",3485,1980,9,21,22.4,16.6,0,5.4
"22",3486,1980,9,22,19.7,15.7,2.3,6.3
"23",3487,1980,9,23,20.4,15.5,1.6,6.5
"24",3488,1980,9,24,20.1,13.7,1.9,8.3
"25",3489,1980,9,25,21.9,11.6,0.100000000000001,10.4
"26",3490,1980,9,26,23.8,10.9,0,11.1
"27",3491,1980,9,27,23.7,18.8,0,3.2
"28",3492,1980,9,28,23.2,17.7,0,4.3
"29",3493,1980,9,29,24.7,16.4,0,5.6
"30",3494,1980,9,30,22.1,13.8,0,8.2
"31",3495,1980,10,1,23.7,12.4,0,9.6
"32",3496,1980,10,2,22.9,13.2,0,8.8
"33",3497,1980,10,3,22.9,18.6,0,3.4
"34",3498,1980,10,4,24.8,19.7,0,2.3
"35",3499,1980,10,5,25.1,21.4,0.100000000000001,0.600000000000001
"36",3500,1980,10,6,23.5,20.4,0,1.6
"37",3501,1980,10,7,24.1,17.3,0,4.7
"38",3502,1980,10,8,25.3,14.8,0.300000000000001,7.2
"39",3503,1980,10,9,23.7,14.2,0,7.8
"40",3504,1980,10,10,24.3,19.7,0,2.3
"41",3505,1980,10,11,24.1,19.8,0,2.2
"42",3506,1980,10,12,22.1,19.7,0,2.3
"43",3507,1980,10,13,20.9,19,1.1,3
"44",3508,1980,10,14,19.6,13,2.4,9
"45",3509,1980,10,15,22.3,12,0,10
"46",3510,1980,10,16,23.5,11,0,11
"47",3511,1980,10,17,21.5,16.2,0.5,5.8
"48",3512,1980,10,18,19.8,15.1,2.2,6.9
"49",3513,1980,10,19,21.6,17.7,0.399999999999999,4.3
"50",3514,1980,10,20,21.5,14.3,0.5,7.7
"51",3515,1980,10,21,17.8,11.3,4.2,10.7
"52",3516,1980,10,22,15.1,8.4,6.9,13.6
"53",3517,1980,10,23,18.3,7.4,3.7,14.6
"54",3518,1980,10,24,17.3,14.6,4.7,7.4
"55",3519,1980,10,25,19.3,7,2.7,15
"56",3520,1980,10,26,14.1,6.8,7.9,15.2
"57",3521,1980,10,27,14.7,7.8,7.3,14.2
"58",3522,1980,10,28,16.6,9.8,5.4,12.2
"59",3523,1980,10,29,18.7,5.1,3.3,16.9
"60",3524,1980,10,30,16.6,7.2,5.4,14.8
"61",3525,1980,10,31,13.7,7.6,8.3,14.4
"62",3830,1981,9,1,28.1,22.7,3.1,0
"63",3831,1981,9,2,27.5,23.6,2.5,0
"64",3832,1981,9,3,27.1,22.3,2.1,0
"65",3833,1981,9,4,25.9,20.3,0.899999999999999,1.7
"66",3834,1981,9,5,26.3,17.6,1.3,4.4
