"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3166,1980,9,1,28,19.4,3,2.6
"2",3167,1980,9,2,25.2,16.9,0.199999999999999,5.1
"3",3168,1980,9,3,27.9,15.8,2.9,6.2
"4",3169,1980,9,4,27.7,19,2.7,3
"5",3170,1980,9,5,26,19,1,3
"6",3171,1980,9,6,24.3,14.2,0,7.8
"7",3172,1980,9,7,28.6,12.7,3.6,9.3
"8",3173,1980,9,8,27.1,12.7,2.1,9.3
"9",3174,1980,9,9,24.6,11.4,0,10.6
"10",3175,1980,9,10,18.1,15,3.9,7
"11",3176,1980,9,11,19.9,14.8,2.1,7.2
"12",3177,1980,9,12,25.3,11.5,0.300000000000001,10.5
"13",3178,1980,9,13,25.4,11,0.399999999999999,11
"14",3179,1980,9,14,28,11,3,11
"15",3180,1980,9,15,28.5,11.4,3.5,10.6
"16",3181,1980,9,16,25.7,16.4,0.699999999999999,5.6
"17",3182,1980,9,17,25.4,11.5,0.399999999999999,10.5
"18",3183,1980,9,18,25.1,8.8,0.100000000000001,13.2
"19",3184,1980,9,19,23.6,10.9,0,11.1
"20",3185,1980,9,20,28.4,11.1,3.4,10.9
"21",3186,1980,9,21,22.6,14,0,8
"22",3187,1980,9,22,21.4,9.4,0.600000000000001,12.6
"23",3188,1980,9,23,20.5,4.1,1.5,17.9
"24",3189,1980,9,24,27.3,6.3,2.3,15.7
"25",3190,1980,9,25,25.5,7.1,0.5,14.9
"26",3191,1980,9,26,26,7.7,1,14.3
"27",3192,1980,9,27,25.9,10.1,0.899999999999999,11.9
"28",3193,1980,9,28,25.9,8.3,0.899999999999999,13.7
"29",3194,1980,9,29,25.3,7.5,0.300000000000001,14.5
"30",3195,1980,9,30,23.6,6.5,0,15.5
"31",3196,1980,10,1,25.3,4.9,0.300000000000001,17.1
"32",3197,1980,10,2,25.5,4.7,0.5,17.3
"33",3198,1980,10,3,26.5,5.6,1.5,16.4
"34",3199,1980,10,4,25.6,7.1,0.600000000000001,14.9
"35",3200,1980,10,5,19.4,11.5,2.6,10.5
"36",3201,1980,10,6,19.4,14.4,2.6,7.6
"37",3202,1980,10,7,25.1,10.8,0.100000000000001,11.2
"38",3203,1980,10,8,25.8,10.6,0.800000000000001,11.4
"39",3204,1980,10,9,21.5,9,0.5,13
"40",3205,1980,10,10,17,12.7,5,9.3
"41",3206,1980,10,11,23.1,12.7,0,9.3
"42",3207,1980,10,12,20.4,13.1,1.6,8.9
"43",3208,1980,10,13,19.3,13.9,2.7,8.1
"44",3209,1980,10,14,21.2,7.5,0.800000000000001,14.5
"45",3210,1980,10,15,21.1,5.6,0.899999999999999,16.4
"46",3211,1980,10,16,17.3,6.9,4.7,15.1
"47",3212,1980,10,17,23.1,5.8,0,16.2
"48",3213,1980,10,18,15.8,8.3,6.2,13.7
"49",3214,1980,10,19,22.5,8.2,0,13.8
"50",3215,1980,10,20,21.8,5.1,0.199999999999999,16.9
"51",3216,1980,10,21,14.4,3.5,7.6,18.5
"52",3217,1980,10,22,15.8,-2.2,6.2,24.2
"53",3218,1980,10,23,18.1,-0.8,3.9,22.8
"54",3219,1980,10,24,16.2,3.1,5.8,18.9
"55",3220,1980,10,25,14.8,1.3,7.2,20.7
"56",3221,1980,10,26,6.4,0.7,15.6,21.3
"57",3222,1980,10,27,10.9,4,11.1,18
"58",3223,1980,10,28,12.6,-2.2,9.4,24.2
"59",3224,1980,10,29,13.2,-2.6,8.8,24.6
"60",3225,1980,10,30,14.8,-2.6,7.2,24.6
"61",3226,1980,10,31,10.2,0.6,11.8,21.4
"62",3531,1981,9,1,23.9,21,0,1
"63",3532,1981,9,2,23.1,20.7,0,1.3
"64",3533,1981,9,3,21.6,19.6,0.399999999999999,2.4
"65",3534,1981,9,4,26.9,16.8,1.9,5.2
"66",3535,1981,9,5,27.4,13.3,2.4,8.7
"67",3536,1981,9,6,27.8,13.2,2.8,8.8
"68",3537,1981,9,7,27.7,12.2,2.7,9.8
"69",3538,1981,9,8,26.8,14.8,1.8,7.2
"70",3539,1981,9,9,25.8,16.5,0.800000000000001,5.5
"71",3540,1981,9,10,24.2,15.9,0,6.1
"72",3541,1981,9,11,25.7,13.3,0.699999999999999,8.7
"73",3542,1981,9,12,24.4,11.3,0,10.7
"74",3543,1981,9,13,22.8,8.1,0,13.9
"75",3544,1981,9,14,22.5,7.4,0,14.6
"76",3545,1981,9,15,24.4,6.5,0,15.5
"77",3546,1981,9,16,24.6,7.8,0,14.2
"78",3547,1981,9,17,26.2,8.5,1.2,13.5
"79",3548,1981,9,18,26.4,11,1.4,11
"80",3549,1981,9,19,27.6,12.1,2.6,9.9
"81",3550,1981,9,20,27.9,11.5,2.9,10.5
"82",3551,1981,9,21,28.4,13.2,3.4,8.8
"83",3552,1981,9,22,29.9,12.4,4.9,9.6
"84",3553,1981,9,23,30.2,13.1,5.2,8.9
"85",3554,1981,9,24,20,14.8,2,7.2
"86",3555,1981,9,25,21.5,15.8,0.5,6.2
"87",3556,1981,9,26,27.4,11.8,2.4,10.2
"88",3557,1981,9,27,27.9,11.2,2.9,10.8
"89",3558,1981,9,28,20.7,11.6,1.3,10.4
"90",3559,1981,9,29,20.6,9.6,1.4,12.4
"91",3560,1981,9,30,20.4,11.1,1.6,10.9
"92",3561,1981,10,1,25.5,12.8,0.5,9.2
"93",3562,1981,10,2,22.1,9.4,0,12.6
"94",3563,1981,10,3,22,5.7,0,16.3
"95",3564,1981,10,4,18.6,5.2,3.4,16.8
"96",3565,1981,10,5,20.9,10.9,1.1,11.1
"97",3566,1981,10,6,22.8,10.4,0,11.6
"98",3567,1981,10,7,21.7,9.5,0.300000000000001,12.5
"99",3568,1981,10,8,19.4,12.6,2.6,9.4
"100",3569,1981,10,9,15.9,10.1,6.1,11.9
"101",3570,1981,10,10,20.5,8.7,1.5,13.3
"102",3571,1981,10,11,20.7,4.7,1.3,17.3
"103",3572,1981,10,12,22.4,3.8,0,18.2
"104",3573,1981,10,13,21,8.5,1,13.5
"105",3574,1981,10,14,17.6,3.8,4.4,18.2
"106",3575,1981,10,15,18.9,0.5,3.1,21.5
"107",3576,1981,10,16,20.4,5.4,1.6,16.6
"108",3577,1981,10,17,23.1,5.8,0,16.2
"109",3578,1981,10,18,18.7,7.8,3.3,14.2
"110",3579,1981,10,19,17.1,4.5,4.9,17.5
"111",3580,1981,10,20,18.8,1.9,3.2,20.1
"112",3581,1981,10,21,18.5,6,3.5,16
"113",3582,1981,10,22,16.8,3.9,5.2,18.1
"114",3583,1981,10,23,6.1,0.9,15.9,21.1
"115",3584,1981,10,24,11.2,3.1,10.8,18.9
"116",3585,1981,10,25,12.2,0.7,9.8,21.3
"117",3586,1981,10,26,15.7,0.9,6.3,21.1
"118",3587,1981,10,27,17.5,-1.3,4.5,23.3
"119",3588,1981,10,28,12.1,1.8,9.9,20.2
"120",3589,1981,10,29,15,1,7,21
"121",3590,1981,10,30,16.9,-1.8,5.1,23.8
"122",3591,1981,10,31,18.2,1.6,3.8,20.4
"123",3896,1982,9,1,29.7,15.7,4.7,6.3
"124",3897,1982,9,2,28.6,13.6,3.6,8.4
"125",3898,1982,9,3,26,13.4,1,8.6
"126",3899,1982,9,4,23.1,10.4,0,11.6
"127",3900,1982,9,5,22.2,9.1,0,12.9
"128",3901,1982,9,6,27.4,12.3,2.4,9.7
"129",3902,1982,9,7,25.9,10.2,0.899999999999999,11.8
"130",3903,1982,9,8,23.7,12.2,0,9.8
"131",3904,1982,9,9,22.4,13.3,0,8.7
"132",3905,1982,9,10,26.9,10.2,1.9,11.8
"133",3906,1982,9,11,26.5,7.6,1.5,14.4
"134",3907,1982,9,12,26.4,8.6,1.4,13.4
"135",3908,1982,9,13,28.1,8.9,3.1,13.1
"136",3909,1982,9,14,26.7,10,1.7,12
"137",3910,1982,9,15,26.8,12.3,1.8,9.7
"138",3911,1982,9,16,28.8,13,3.8,9
"139",3912,1982,9,17,26.6,15.2,1.6,6.8
"140",3913,1982,9,18,25.1,13.4,0.100000000000001,8.6
"141",3914,1982,9,19,21.9,16.5,0.100000000000001,5.5
"142",3915,1982,9,20,26.6,16.8,1.6,5.2
"143",3916,1982,9,21,29.1,10.8,4.1,11.2
"144",3917,1982,9,22,24.6,9.1,0,12.9
"145",3918,1982,9,23,24.6,11,0,11
"146",3919,1982,9,24,25.1,4.4,0.100000000000001,17.6
"147",3920,1982,9,25,24.1,11.9,0,10.1
"148",3921,1982,9,26,25.4,6.1,0.399999999999999,15.9
"149",3922,1982,9,27,20.2,12.4,1.8,9.6
"150",3923,1982,9,28,22.5,7.5,0,14.5
"151",3924,1982,9,29,23.7,8.4,0,13.6
"152",3925,1982,9,30,24.5,9.5,0,12.5
"153",3926,1982,10,1,25.9,9.5,0.899999999999999,12.5
"154",3927,1982,10,2,20.3,14,1.7,8
"155",3928,1982,10,3,25.2,11.7,0.199999999999999,10.3
"156",3929,1982,10,4,24.4,8,0,14
"157",3930,1982,10,5,25,9.4,0,12.6
"158",3931,1982,10,6,26.2,7.1,1.2,14.9
"159",3932,1982,10,7,27.3,5.1,2.3,16.9
"160",3933,1982,10,8,27.3,4.9,2.3,17.1
"161",3934,1982,10,9,24.8,2.9,0,19.1
"162",3935,1982,10,10,24,3.3,0,18.7
"163",3936,1982,10,11,26,5,1,17
"164",3937,1982,10,12,26.5,5.9,1.5,16.1
"165",3938,1982,10,13,26.6,4.5,1.6,17.5
"166",3939,1982,10,14,24.7,3.7,0,18.3
"167",3940,1982,10,15,20,9,2,13
"168",3941,1982,10,16,18.6,7.7,3.4,14.3
"169",3942,1982,10,17,18,5.7,4,16.3
"170",3943,1982,10,18,22.5,7.1,0,14.9
"171",3944,1982,10,19,20.1,6.3,1.9,15.7
"172",3945,1982,10,20,17.8,10.9,4.2,11.1
"173",3946,1982,10,21,20.8,3,1.2,19
"174",3947,1982,10,22,21.4,0.8,0.600000000000001,21.2
"175",3948,1982,10,23,14.7,2.6,7.3,19.4
"176",3949,1982,10,24,6.3,-1.6,15.7,23.6
"177",3950,1982,10,25,12.2,-6.9,9.8,28.9
"178",3951,1982,10,26,17.6,-1.2,4.4,23.2
"179",3952,1982,10,27,19,0.1,3,21.9
"180",3953,1982,10,28,21.5,2.4,0.5,19.6
"181",3954,1982,10,29,23,2.1,0,19.9
"182",3955,1982,10,30,23.2,5.3,0,16.7
"183",3956,1982,10,31,17.3,5.4,4.7,16.6
"184",4261,1983,9,1,31.3,19.8,6.3,2.2
"185",4262,1983,9,2,29.5,21.9,4.5,0.100000000000001
"186",4263,1983,9,3,28,21.2,3,0.800000000000001
"187",4264,1983,9,4,22.6,18.5,0,3.5
"188",4265,1983,9,5,24.8,18.5,0,3.5
"189",4266,1983,9,6,29.2,19.9,4.2,2.1
"190",4267,1983,9,7,28.4,17.5,3.4,4.5
"191",4268,1983,9,8,28.5,15.1,3.5,6.9
"192",4269,1983,9,9,21.5,18.3,0.5,3.7
"193",4270,1983,9,10,24,17.9,0,4.1
"194",4271,1983,9,11,21.4,18.6,0.600000000000001,3.4
"195",4272,1983,9,12,26.9,16.9,1.9,5.1
"196",4273,1983,9,13,27.7,16.4,2.7,5.6
"197",4274,1983,9,14,26.3,15.7,1.3,6.3
"198",4275,1983,9,15,25.9,13.9,0.899999999999999,8.1
"199",4276,1983,9,16,27.4,12.7,2.4,9.3
"200",4277,1983,9,17,26.2,15.1,1.2,6.9
"201",4278,1983,9,18,27.2,11.2,2.2,10.8
"202",4279,1983,9,19,27.3,12.5,2.3,9.5
"203",4280,1983,9,20,28.2,19.1,3.2,2.9
"204",4281,1983,9,21,21,14.8,1,7.2
"205",4282,1983,9,22,26.8,13.1,1.8,8.9
"206",4283,1983,9,23,24.8,13.1,0,8.9
"207",4284,1983,9,24,25.6,16.1,0.600000000000001,5.9
