"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3529,1980,9,1,28.5,18.2,3.5,3.8
"2",3530,1980,9,2,25.5,18.6,0.5,3.4
"3",3531,1980,9,3,27.5,19,2.5,3
"4",3532,1980,9,4,27.1,18,2.1,4
"5",3533,1980,9,5,27.1,17.8,2.1,4.2
"6",3534,1980,9,6,25,17,0,5
"7",3535,1980,9,7,25.3,15.6,0.300000000000001,6.4
"8",3536,1980,9,8,26.9,13.3,1.9,8.7
"9",3537,1980,9,9,25.6,14.2,0.600000000000001,7.8
"10",3538,1980,9,10,18.2,15.6,3.8,6.4
"11",3539,1980,9,11,22.4,16,0,6
"12",3540,1980,9,12,24.6,13,0,9
"13",3541,1980,9,13,26.1,13.4,1.1,8.6
"14",3542,1980,9,14,26.6,14.2,1.6,7.8
"15",3543,1980,9,15,27.9,13,2.9,9
"16",3544,1980,9,16,24.4,13.4,0,8.6
"17",3545,1980,9,17,24.4,10.2,0,11.8
"18",3546,1980,9,18,24,8.5,0,13.5
"19",3547,1980,9,19,25.6,10.8,0.600000000000001,11.2
"20",3548,1980,9,20,26.8,10.6,1.8,11.4
"21",3549,1980,9,21,21.5,14.9,0.5,7.1
"22",3550,1980,9,22,19,7,3,15
"23",3551,1980,9,23,20.2,3.4,1.8,18.6
"24",3552,1980,9,24,23.2,5.8,0,16.2
"25",3553,1980,9,25,24.2,7,0,15
"26",3554,1980,9,26,25.2,9,0.199999999999999,13
"27",3555,1980,9,27,24.6,11,0,11
"28",3556,1980,9,28,25.2,8.4,0.199999999999999,13.6
"29",3557,1980,9,29,22.4,11,0,11
"30",3558,1980,9,30,22.6,8.5,0,13.5
"31",3559,1980,10,1,22.8,5.7,0,16.3
"32",3560,1980,10,2,23.6,5,0,17
"33",3561,1980,10,3,24.4,5.6,0,16.4
"34",3562,1980,10,4,24.4,7,0,15
"35",3563,1980,10,5,16.2,13.4,5.8,8.6
"36",3564,1980,10,6,20.6,11.6,1.4,10.4
"37",3565,1980,10,7,23.8,11.6,0,10.4
"38",3566,1980,10,8,21.8,12.8,0.199999999999999,9.2
"39",3567,1980,10,9,21.8,5.4,0.199999999999999,16.6
"40",3568,1980,10,10,16.6,13,5.4,9
"41",3569,1980,10,11,24.4,12.4,0,9.6
"42",3570,1980,10,12,23.8,15.6,0,6.4
"43",3571,1980,10,13,22.8,14.2,0,7.8
"44",3572,1980,10,14,21.3,8.8,0.699999999999999,13.2
"45",3573,1980,10,15,20.2,3.2,1.8,18.8
"46",3574,1980,10,16,17.9,8,4.1,14
"47",3575,1980,10,17,21.9,5.2,0.100000000000001,16.8
"48",3576,1980,10,18,18,8.2,4,13.8
"49",3577,1980,10,19,21.4,5,0.600000000000001,17
"50",3578,1980,10,20,21.7,5.2,0.300000000000001,16.8
"51",3579,1980,10,21,12.8,1.3,9.2,20.7
"52",3580,1980,10,22,14.4,-3,7.6,25
"53",3581,1980,10,23,17.6,-2.7,4.4,24.7
"54",3582,1980,10,24,14.8,1.3,7.2,20.7
"55",3583,1980,10,25,10.6,0,11.4,22
"56",3584,1980,10,26,5.9,0,16.1,22
