"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3893,1980,9,1,28.1,15.5,3.1,6.5
"2",3894,1980,9,2,28.3,16.9,3.3,5.1
"3",3895,1980,9,3,27.9,16.7,2.9,5.3
"4",3896,1980,9,4,27.2,14.3,2.2,7.7
"5",3897,1980,9,5,24.8,16.3,0,5.7
"6",3898,1980,9,6,22.3,13.2,0,8.8
"7",3899,1980,9,7,26.4,11.8,1.4,10.2
"8",3900,1980,9,8,26.1,9.4,1.1,12.6
"9",3901,1980,9,9,26.6,10.1,1.6,11.9
"10",3902,1980,9,10,18.2,14,3.8,8
"11",3903,1980,9,11,18.9,12,3.1,10
"12",3904,1980,9,12,24.2,9.4,0,12.6
"13",3905,1980,9,13,24.2,9,0,13
"14",3906,1980,9,14,27.2,7.4,2.2,14.6
"15",3907,1980,9,15,27.7,8.7,2.7,13.3
"16",3908,1980,9,16,24.8,10.3,0,11.7
"17",3909,1980,9,17,22.6,8.4,0,13.6
"18",3910,1980,9,18,24.4,7.5,0,14.5
"19",3911,1980,9,19,24.5,9.4,0,12.6
"20",3912,1980,9,20,25.6,11,0.600000000000001,11
"21",3913,1980,9,21,22.6,11.7,0,10.3
"22",3914,1980,9,22,16.7,7.6,5.3,14.4
"23",3915,1980,9,23,19.9,3.8,2.1,18.2
"24",3916,1980,9,24,21.8,6.7,0.199999999999999,15.3
"25",3917,1980,9,25,23.4,6.7,0,15.3
"26",3918,1980,9,26,25,3.4,0,18.6
"27",3919,1980,9,27,25.4,4.8,0.399999999999999,17.2
"28",3920,1980,9,28,25,5.5,0,16.5
"29",3921,1980,9,29,21.5,7.4,0.5,14.6
"30",3922,1980,9,30,22.4,4.8,0,17.2
"31",3923,1980,10,1,23,3.7,0,18.3
"32",3924,1980,10,2,24,3.1,0,18.9
"33",3925,1980,10,3,24.5,3.4,0,18.6
"34",3926,1980,10,4,25.2,3.3,0.199999999999999,18.7
"35",3927,1980,10,5,17.7,9.4,4.3,12.6
"36",3928,1980,10,6,19,12,3,10
"37",3929,1980,10,7,24.4,9.5,0,12.5
"38",3930,1980,10,8,22.4,6.6,0,15.4
"39",3931,1980,10,9,22.5,4.5,0,17.5
"40",3932,1980,10,10,16.7,12.2,5.3,9.8
"41",3933,1980,10,11,21.1,13.2,0.899999999999999,8.8
"42",3934,1980,10,12,20.3,15.1,1.7,6.9
"43",3935,1980,10,13,20.8,13.7,1.2,8.3
"44",3936,1980,10,14,18.4,5.2,3.6,16.8
"45",3937,1980,10,15,21.3,3,0.699999999999999,19
"46",3938,1980,10,16,19.3,4.2,2.7,17.8
"47",3939,1980,10,17,23,7.5,0,14.5
"48",3940,1980,10,18,15.7,7.5,6.3,14.5
"49",3941,1980,10,19,23.4,6.4,0,15.6
"50",3942,1980,10,20,21.6,4.4,0.399999999999999,17.6
"51",3943,1980,10,21,13.6,-0.5,8.4,22.5
"52",3944,1980,10,22,15.3,-4.3,6.7,26.3
"53",3945,1980,10,23,18.2,-3.8,3.8,25.8
"54",3946,1980,10,24,13.7,3.6,8.3,18.4
"55",3947,1980,10,25,14.3,0.5,7.7,21.5
"56",3948,1980,10,26,5.5,-0.3,16.5,22.3
"57",3949,1980,10,27,10.7,0.6,11.3,21.4
"58",3950,1980,10,28,12.8,-3.2,9.2,25.2
"59",3951,1980,10,29,13.7,-2.1,8.3,24.1
"60",3952,1980,10,30,14.2,-3,7.8,25
"61",3953,1980,10,31,9.5,-2.3,12.5,24.3
"62",4258,1981,9,1,27.8,20.2,2.8,1.8
"63",4259,1981,9,2,25.2,21.4,0.199999999999999,0.600000000000001
"64",4260,1981,9,3,25.7,19.6,0.699999999999999,2.4
"65",4261,1981,9,4,25.9,12.8,0.899999999999999,9.2
"66",4262,1981,9,5,26.2,12.2,1.2,9.8
"67",4263,1981,9,6,27.2,11.5,2.2,10.5
"68",4264,1981,9,7,26.8,10.3,1.8,11.7
"69",4265,1981,9,8,26.5,13.5,1.5,8.5
"70",4266,1981,9,9,23.8,13.2,0,8.8
"71",4267,1981,9,10,25.4,14.2,0.399999999999999,7.8
"72",4268,1981,9,11,24.3,13.7,0,8.3
"73",4269,1981,9,12,23,8.7,0,13.3
"74",4270,1981,9,13,22.4,4.2,0,17.8
"75",4271,1981,9,14,21,4.6,1,17.4
"76",4272,1981,9,15,23.1,4.4,0,17.6
"77",4273,1981,9,16,24.5,4.9,0,17.1
"78",4274,1981,9,17,25.6,5.4,0.600000000000001,16.6
"79",4275,1981,9,18,24.3,10.6,0,11.4
"80",4276,1981,9,19,27.4,10.9,2.4,11.1
"81",4277,1981,9,20,28,12.6,3,9.4
"82",4278,1981,9,21,28.8,11.2,3.8,10.8
"83",4279,1981,9,22,29.3,8.4,4.3,13.6
"84",4280,1981,9,23,28.9,10.9,3.9,11.1
"85",4281,1981,9,24,21.5,14.2,0.5,7.8
"86",4282,1981,9,25,22,17.1,0,4.9
"87",4283,1981,9,26,26.8,10.8,1.8,11.2
"88",4284,1981,9,27,26.7,10.2,1.7,11.8
"89",4285,1981,9,28,24.4,14,0,8
"90",4286,1981,9,29,22.8,11.9,0,10.1
"91",4287,1981,9,30,22,10.6,0,11.4
"92",4288,1981,10,1,22.5,12.3,0,9.7
"93",4289,1981,10,2,20.7,10,1.3,12
"94",4290,1981,10,3,23.1,6,0,16
"95",4291,1981,10,4,18.7,4.5,3.3,17.5
"96",4292,1981,10,5,20,13.1,2,8.9
"97",4293,1981,10,6,18.6,11.2,3.4,10.8
"98",4294,1981,10,7,22,9.6,0,12.4
"99",4295,1981,10,8,17.3,12.1,4.7,9.9
"100",4296,1981,10,9,14,4.9,8,17.1
"101",4297,1981,10,10,19.6,1.9,2.4,20.1
"102",4298,1981,10,11,19.5,2.3,2.5,19.7
"103",4299,1981,10,12,22.2,3,0,19
"104",4300,1981,10,13,19.5,6.8,2.5,15.2
"105",4301,1981,10,14,15.9,0.8,6.1,21.2
"106",4302,1981,10,15,18.2,-1.4,3.8,23.4
"107",4303,1981,10,16,19.8,2.3,2.2,19.7
"108",4304,1981,10,17,21.6,3.4,0.399999999999999,18.6
"109",4305,1981,10,18,21,6.8,1,15.2
"110",4306,1981,10,19,20,4.7,2,17.3
"111",4307,1981,10,20,20.8,6.4,1.2,15.6
"112",4308,1981,10,21,23.2,3.7,0,18.3
"113",4309,1981,10,22,14.9,4.2,7.1,17.8
"114",4310,1981,10,23,4.2,0.1,17.8,21.9
"115",4311,1981,10,24,10.8,1.5,11.2,20.5
"116",4312,1981,10,25,13,0.9,9,21.1
"117",4313,1981,10,26,15.3,-1.6,6.7,23.6
"118",4314,1981,10,27,17.7,-1.2,4.3,23.2
"119",4315,1981,10,28,13.7,1,8.3,21
"120",4316,1981,10,29,14.5,1.4,7.5,20.6
"121",4317,1981,10,30,18,-1.6,4,23.6
"122",4318,1981,10,31,17.7,-0.2,4.3,22.2
"123",4623,1982,9,1,30.6,16.4,5.6,5.6
"124",4624,1982,9,2,29.2,17.4,4.2,4.6
"125",4625,1982,9,3,27.2,14.6,2.2,7.4
"126",4626,1982,9,4,23,11.5,0,10.5
"127",4627,1982,9,5,24,10.9,0,11.1
"128",4628,1982,9,6,27.1,14,2.1,8
"129",4629,1982,9,7,26.9,12.1,1.9,9.9
"130",4630,1982,9,8,22.7,12.7,0,9.3
"131",4631,1982,9,9,21.7,11.3,0.300000000000001,10.7
"132",4632,1982,9,10,26.3,11.3,1.3,10.7
"133",4633,1982,9,11,24.7,8.8,0,13.2
"134",4634,1982,9,12,25.7,6.5,0.699999999999999,15.5
"135",4635,1982,9,13,27.9,6.9,2.9,15.1
"136",4636,1982,9,14,26.7,13.3,1.7,8.7
"137",4637,1982,9,15,27.4,11.6,2.4,10.4
"138",4638,1982,9,16,28.3,12.3,3.3,9.7
"139",4639,1982,9,17,28,11.7,3,10.3
"140",4640,1982,9,18,23.3,13.1,0,8.9
"141",4641,1982,9,19,24.4,16.3,0,5.7
"142",4642,1982,9,20,26.3,15.8,1.3,6.2
"143",4643,1982,9,21,24.1,9.4,0,12.6
"144",4644,1982,9,22,24,5.5,0,16.5
"145",4645,1982,9,23,26.3,9,1.3,13
"146",4646,1982,9,24,27,5.5,2,16.5
"147",4647,1982,9,25,24.5,8.8,0,13.2
"148",4648,1982,9,26,26.8,5.2,1.8,16.8
"149",4649,1982,9,27,20.5,10.5,1.5,11.5
"150",4650,1982,9,28,23.7,8,0,14
"151",4651,1982,9,29,20.3,10.2,1.7,11.8
"152",4652,1982,9,30,20.8,12,1.2,10
"153",4653,1982,10,1,25,13.6,0,8.4
"154",4654,1982,10,2,18.8,13.4,3.2,8.6
"155",4655,1982,10,3,25.5,10.8,0.5,11.2
"156",4656,1982,10,4,26.4,8.8,1.4,13.2
"157",4657,1982,10,5,21.6,11,0.399999999999999,11
"158",4658,1982,10,6,25.9,9.1,0.899999999999999,12.9
"159",4659,1982,10,7,25,7.6,0,14.4
"160",4660,1982,10,8,26.2,5.7,1.2,16.3
"161",4661,1982,10,9,25.6,4.4,0.600000000000001,17.6
"162",4662,1982,10,10,25.7,4.1,0.699999999999999,17.9
"163",4663,1982,10,11,24,6.7,0,15.3
"164",4664,1982,10,12,26.7,9,1.7,13
"165",4665,1982,10,13,27.6,4.2,2.6,17.8
"166",4666,1982,10,14,23.7,4.7,0,17.3
"167",4667,1982,10,15,17.2,10.8,4.8,11.2
"168",4668,1982,10,16,22.9,9.7,0,12.3
"169",4669,1982,10,17,21.1,10.4,0.899999999999999,11.6
"170",4670,1982,10,18,23.5,6.8,0,15.2
"171",4671,1982,10,19,18.6,9.3,3.4,12.7
