"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5357,1980,9,1,29.1,20,4.1,2
"2",5358,1980,9,2,21.4,16.2,0.600000000000001,5.8
"3",5359,1980,9,3,27.3,16.9,2.3,5.1
"4",5360,1980,9,4,25.9,16.8,0.899999999999999,5.2
"5",5361,1980,9,5,27.9,16.6,2.9,5.4
"6",5362,1980,9,6,26,14.8,1,7.2
"7",5363,1980,9,7,25.9,15.1,0.899999999999999,6.9
"8",5364,1980,9,8,26.5,14.7,1.5,7.3
"9",5365,1980,9,9,25.2,13.2,0.199999999999999,8.8
"10",5366,1980,9,10,18.4,14.4,3.6,7.6
"11",5367,1980,9,11,20.6,14.7,1.4,7.3
"12",5368,1980,9,12,25.3,10.7,0.300000000000001,11.3
"13",5369,1980,9,13,26.7,10.7,1.7,11.3
"14",5370,1980,9,14,27.4,14.5,2.4,7.5
"15",5371,1980,9,15,28,14,3,8
"16",5372,1980,9,16,24.2,12.6,0,9.4
"17",5373,1980,9,17,25,8.8,0,13.2
"18",5374,1980,9,18,22.9,9.4,0,12.6
"19",5375,1980,9,19,27.1,11.4,2.1,10.6
"20",5376,1980,9,20,27.5,11.4,2.5,10.6
"21",5377,1980,9,21,21.2,14.8,0.800000000000001,7.2
"22",5378,1980,9,22,20,7.3,2,14.7
"23",5379,1980,9,23,21,3.7,1,18.3
"24",5380,1980,9,24,23.5,6.8,0,15.2
"25",5381,1980,9,25,24.9,8.7,0,13.3
"26",5382,1980,9,26,24.8,9.9,0,12.1
"27",5383,1980,9,27,25.2,10.6,0.199999999999999,11.4
"28",5384,1980,9,28,24.8,10.7,0,11.3
"29",5385,1980,9,29,22.8,10,0,12
"30",5386,1980,9,30,23.1,6.9,0,15.1
"31",5387,1980,10,1,23.9,6.7,0,15.3
"32",5388,1980,10,2,24.5,7.1,0,14.9
"33",5389,1980,10,3,25.1,6.7,0.100000000000001,15.3
"34",5390,1980,10,4,25,7.3,0,14.7
"35",5391,1980,10,5,14.5,11.9,7.5,10.1
"36",5392,1980,10,6,20.6,11.3,1.4,10.7
"37",5393,1980,10,7,23.7,11.5,0,10.5
"38",5394,1980,10,8,23.7,9.7,0,12.3
"39",5395,1980,10,9,22.2,6.4,0,15.6
"40",5396,1980,10,10,17.8,11.8,4.2,10.2
"41",5397,1980,10,11,25.2,10.5,0.199999999999999,11.5
"42",5398,1980,10,12,22.7,13.4,0,8.6
"43",5399,1980,10,13,23.5,11.2,0,10.8
"44",5400,1980,10,14,20.9,5.8,1.1,16.2
"45",5401,1980,10,15,21.2,4.7,0.800000000000001,17.3
"46",5402,1980,10,16,19.2,8.3,2.8,13.7
"47",5403,1980,10,17,22.1,6.2,0,15.8
"48",5404,1980,10,18,19.6,8,2.4,14
"49",5405,1980,10,19,22.4,4.6,0,17.4
"50",5406,1980,10,20,21.7,5,0.300000000000001,17
"51",5407,1980,10,21,14.8,1.2,7.2,20.8
"52",5408,1980,10,22,14.9,-2.6,7.1,24.6
"53",5409,1980,10,23,18.8,-1.5,3.2,23.5
"54",5410,1980,10,24,15.6,0.6,6.4,21.4
"55",5411,1980,10,25,11.2,0.4,10.8,21.6
"56",5412,1980,10,26,4.8,0.2,17.2,21.8
"57",5413,1980,10,27,11.4,-0.2,10.6,22.2
"58",5414,1980,10,28,12.7,-4,9.3,26
"59",5415,1980,10,29,14.9,-3.7,7.1,25.7
"60",5416,1980,10,30,12.7,-2.4,9.3,24.4
"61",5417,1980,10,31,11.3,-2.2,10.7,24.2
"62",5722,1981,9,1,18.8,16.7,3.2,5.3
"63",5723,1981,9,2,24.9,18.1,0,3.9
"64",5724,1981,9,3,22.2,19.6,0,2.4
"65",5725,1981,9,4,26.6,15.6,1.6,6.4
"66",5726,1981,9,5,27.8,13.8,2.8,8.2
"67",5727,1981,9,6,28.4,13.6,3.4,8.4
"68",5728,1981,9,7,28.6,13.5,3.6,8.5
"69",5729,1981,9,8,26.7,16.4,1.7,5.6
"70",5730,1981,9,9,24.8,15.7,0,6.3
"71",5731,1981,9,10,26.5,14.7,1.5,7.3
"72",5732,1981,9,11,25.3,15,0.300000000000001,7
"73",5733,1981,9,12,23.3,10.6,0,11.4
"74",5734,1981,9,13,22.4,8,0,14
"75",5735,1981,9,14,23,6.5,0,15.5
"76",5736,1981,9,15,24.3,8.7,0,13.3
"77",5737,1981,9,16,24.3,9.2,0,12.8
"78",5738,1981,9,17,24.7,11.8,0,10.2
"79",5739,1981,9,18,26.4,15,1.4,7
"80",5740,1981,9,19,27.4,15.5,2.4,6.5
"81",5741,1981,9,20,28.3,13.8,3.3,8.2
"82",5742,1981,9,21,28.3,15.3,3.3,6.7
"83",5743,1981,9,22,27.4,16.2,2.4,5.8
"84",5744,1981,9,23,27.3,14.8,2.3,7.2
"85",5745,1981,9,24,19.6,15.8,2.4,6.2
"86",5746,1981,9,25,23.9,13.4,0,8.6
"87",5747,1981,9,26,27.7,10.3,2.7,11.7
"88",5748,1981,9,27,26.3,13.9,1.3,8.1
"89",5749,1981,9,28,19.3,10.4,2.7,11.6
"90",5750,1981,9,29,20.2,9.2,1.8,12.8
"91",5751,1981,9,30,23.2,12.4,0,9.6
"92",5752,1981,10,1,24.8,12.5,0,9.5
"93",5753,1981,10,2,22.8,9,0,13
"94",5754,1981,10,3,23.3,6.2,0,15.8
"95",5755,1981,10,4,14.2,8.3,7.8,13.7
"96",5756,1981,10,5,22.7,11.9,0,10.1
"97",5757,1981,10,6,22.6,11.2,0,10.8
"98",5758,1981,10,7,22.1,9.9,0,12.1
"99",5759,1981,10,8,22,12.1,0,9.9
"100",5760,1981,10,9,16.5,7.5,5.5,14.5
"101",5761,1981,10,10,21.4,4.2,0.600000000000001,17.8
"102",5762,1981,10,11,21,6.7,1,15.3
"103",5763,1981,10,12,21.4,7.4,0.600000000000001,14.6
"104",5764,1981,10,13,20.2,7,1.8,15
"105",5765,1981,10,14,17.8,4,4.2,18
"106",5766,1981,10,15,18.5,2.1,3.5,19.9
"107",5767,1981,10,16,21,5.2,1,16.8
"108",5768,1981,10,17,22.2,8.7,0,13.3
"109",5769,1981,10,18,20.7,9,1.3,13
"110",5770,1981,10,19,17.1,7.8,4.9,14.2
"111",5771,1981,10,20,19.2,5.7,2.8,16.3
"112",5772,1981,10,21,21.2,5.3,0.800000000000001,16.7
"113",5773,1981,10,22,13.9,3,8.1,19
"114",5774,1981,10,23,5.9,-1.3,16.1,23.3
"115",5775,1981,10,24,10.8,2.2,11.2,19.8
"116",5776,1981,10,25,11.9,-1.6,10.1,23.6
"117",5777,1981,10,26,16.2,-0.9,5.8,22.9
"118",5778,1981,10,27,14.7,0.4,7.3,21.6
"119",5779,1981,10,28,11.6,5.4,10.4,16.6
"120",5780,1981,10,29,15.5,3.5,6.5,18.5
"121",5781,1981,10,30,17.8,2.5,4.2,19.5
"122",5782,1981,10,31,15.6,1.8,6.4,20.2
"123",6087,1982,9,1,30.6,17.4,5.6,4.6
"124",6088,1982,9,2,28.2,17.7,3.2,4.3
"125",6089,1982,9,3,26.5,15.2,1.5,6.8
"126",6090,1982,9,4,23.5,12.5,0,9.5
"127",6091,1982,9,5,24.6,13.7,0,8.3
"128",6092,1982,9,6,27.1,15.6,2.1,6.4
"129",6093,1982,9,7,26.6,12.8,1.6,9.2
"130",6094,1982,9,8,26.6,13.9,1.6,8.1
"131",6095,1982,9,9,26.6,12.4,1.6,9.6
"132",6096,1982,9,10,26.7,13.6,1.7,8.4
"133",6097,1982,9,11,25.6,10.4,0.600000000000001,11.6
"134",6098,1982,9,12,27.1,8.6,2.1,13.4
"135",6099,1982,9,13,27.7,11.3,2.7,10.7
"136",6100,1982,9,14,27.1,12.2,2.1,9.8
"137",6101,1982,9,15,28.1,15.5,3.1,6.5
"138",6102,1982,9,16,28.9,14.4,3.9,7.6
"139",6103,1982,9,17,28.6,12.3,3.6,9.7
"140",6104,1982,9,18,26,14.3,1,7.7
"141",6105,1982,9,19,28.8,14,3.8,8
"142",6106,1982,9,20,27.2,14.6,2.2,7.4
"143",6107,1982,9,21,23.9,11.1,0,10.9
"144",6108,1982,9,22,25.6,8,0.600000000000001,14
"145",6109,1982,9,23,25.7,10.8,0.699999999999999,11.2
"146",6110,1982,9,24,26.1,8.8,1.1,13.2
"147",6111,1982,9,25,26,8.9,1,13.1
"148",6112,1982,9,26,25.1,5.4,0.100000000000001,16.6
"149",6113,1982,9,27,20,7.5,2,14.5
"150",6114,1982,9,28,23.1,5,0,17
"151",6115,1982,9,29,23.8,9.5,0,12.5
"152",6116,1982,9,30,21.9,9.6,0.100000000000001,12.4
"153",6117,1982,10,1,26,9.6,1,12.4
"154",6118,1982,10,2,25.5,12.9,0.5,9.1
"155",6119,1982,10,3,25.6,10.5,0.600000000000001,11.5
"156",6120,1982,10,4,25.6,10.5,0.600000000000001,11.5
"157",6121,1982,10,5,24.4,9.8,0,12.2
"158",6122,1982,10,6,26.6,8.7,1.6,13.3
"159",6123,1982,10,7,27.2,8.1,2.2,13.9
"160",6124,1982,10,8,25.4,7.8,0.399999999999999,14.2
"161",6125,1982,10,9,25.7,7.2,0.699999999999999,14.8
"162",6126,1982,10,10,26.7,7.1,1.7,14.9
"163",6127,1982,10,11,26.4,9.1,1.4,12.9
"164",6128,1982,10,12,26.3,10.3,1.3,11.7
"165",6129,1982,10,13,26.5,9.5,1.5,12.5
"166",6130,1982,10,14,24.5,6.2,0,15.8
"167",6131,1982,10,15,24.1,9.5,0,12.5
"168",6132,1982,10,16,18.9,9.2,3.1,12.8
"169",6133,1982,10,17,17.8,8.2,4.2,13.8
"170",6134,1982,10,18,23,11.9,0,10.1
"171",6135,1982,10,19,19.2,11.8,2.8,10.2
"172",6136,1982,10,20,18.5,7.4,3.5,14.6
"173",6137,1982,10,21,21.3,5.9,0.699999999999999,16.1
"174",6138,1982,10,22,21.4,3.1,0.600000000000001,18.9
"175",6139,1982,10,23,14.5,1.5,7.5,20.5
"176",6140,1982,10,24,7.9,-2.7,14.1,24.7
"177",6141,1982,10,25,12.8,-5.4,9.2,27.4
"178",6142,1982,10,26,19.4,0.2,2.6,21.8
"179",6143,1982,10,27,19.2,4.2,2.8,17.8
"180",6144,1982,10,28,18.5,4.8,3.5,17.2
"181",6145,1982,10,29,23.6,3.4,0,18.6
"182",6146,1982,10,30,22.7,4.5,0,17.5
"183",6147,1982,10,31,13.7,9.2,8.3,12.8
"184",6452,1983,9,1,31.4,20.7,6.4,1.3
"185",6453,1983,9,2,25.9,22.2,0.899999999999999,0
"186",6454,1983,9,3,27.6,21.1,2.6,0.899999999999999
"187",6455,1983,9,4,24.9,19.6,0,2.4
"188",6456,1983,9,5,22.2,18.8,0,3.2
"189",6457,1983,9,6,29.3,18.6,4.3,3.4
"190",6458,1983,9,7,27.7,17.2,2.7,4.8
"191",6459,1983,9,8,27.3,16.7,2.3,5.3
"192",6460,1983,9,9,20.4,17.1,1.6,4.9
"193",6461,1983,9,10,22.2,17.6,0,4.4
"194",6462,1983,9,11,21.6,18.1,0.399999999999999,3.9
"195",6463,1983,9,12,26.3,17.8,1.3,4.2
"196",6464,1983,9,13,27.5,17.1,2.5,4.9
"197",6465,1983,9,14,24,18.8,0,3.2
"198",6466,1983,9,15,27.6,16.7,2.6,5.3
"199",6467,1983,9,16,28.1,15.6,3.1,6.4
"200",6468,1983,9,17,28.3,15.3,3.3,6.7
"201",6469,1983,9,18,28.8,14.5,3.8,7.5
"202",6470,1983,9,19,28.7,13.6,3.7,8.4
"203",6471,1983,9,20,28.3,16.7,3.3,5.3
"204",6472,1983,9,21,26,16.9,1,5.1
"205",6473,1983,9,22,28.3,15.2,3.3,6.8
"206",6474,1983,9,23,21,16,1,6
"207",6475,1983,9,24,27.5,17.5,2.5,4.5
"208",6476,1983,9,25,26.6,13.4,1.6,8.6
"209",6477,1983,9,26,23.7,12.2,0,9.8
"210",6478,1983,9,27,24.1,12.9,0,9.1
"211",6479,1983,9,28,20.1,10.5,1.9,11.5
"212",6480,1983,9,29,20.6,8.2,1.4,13.8
"213",6481,1983,9,30,23.2,9.6,0,12.4
"214",6482,1983,10,1,24.4,13.2,0,8.8
"215",6483,1983,10,2,22.5,12.6,0,9.4
"216",6484,1983,10,3,19.7,16.1,2.3,5.9
"217",6485,1983,10,4,22.7,15.7,0,6.3
"218",6486,1983,10,5,20.6,8,1.4,14
"219",6487,1983,10,6,19.6,5.6,2.4,16.4
"220",6488,1983,10,7,18.1,5.7,3.9,16.3
"221",6489,1983,10,8,16,11.8,6,10.2
"222",6490,1983,10,9,21.5,11,0.5,11
"223",6491,1983,10,10,22.4,10.4,0,11.6
"224",6492,1983,10,11,18.2,11.5,3.8,10.5
"225",6493,1983,10,12,20,10.8,2,11.2
"226",6494,1983,10,13,16.6,9.5,5.4,12.5
"227",6495,1983,10,14,20.2,8.4,1.8,13.6
"228",6496,1983,10,15,21.2,9.5,0.800000000000001,12.5
"229",6497,1983,10,16,22.3,9.7,0,12.3
"230",6498,1983,10,17,19.8,10,2.2,12
"231",6499,1983,10,18,18.9,11.9,3.1,10.1
"232",6500,1983,10,19,16.9,11.4,5.1,10.6
"233",6501,1983,10,20,19.4,7.4,2.6,14.6
"234",6502,1983,10,21,20,6.8,2,15.2
"235",6503,1983,10,22,18.8,3.8,3.2,18.2
"236",6504,1983,10,23,13.9,-0.5,8.1,22.5
"237",6505,1983,10,24,13.3,-2,8.7,24
"238",6506,1983,10,25,12.9,-1.8,9.1,23.8
"239",6507,1983,10,26,11.6,5.8,10.4,16.2
"240",6508,1983,10,27,17.5,4,4.5,18
"241",6509,1983,10,28,17.2,1.3,4.8,20.7
"242",6510,1983,10,29,17.5,4.5,4.5,17.5
"243",6511,1983,10,30,17.5,3.7,4.5,18.3
"244",6512,1983,10,31,17.7,5.3,4.3,16.7
"245",6818,1984,9,1,24.4,19.5,0,2.5
"246",6819,1984,9,2,21.1,17.7,0.899999999999999,4.3
"247",6820,1984,9,3,23.1,17.7,0,4.3
"248",6821,1984,9,4,23,17.5,0,4.5
"249",6822,1984,9,5,27.7,15.3,2.7,6.7
"250",6823,1984,9,6,24.6,15.8,0,6.2
"251",6824,1984,9,7,28,16.4,3,5.6
"252",6825,1984,9,8,26.6,17.3,1.6,4.7
"253",6826,1984,9,9,28.2,15.6,3.2,6.4
"254",6827,1984,9,10,24.8,12,0,10
"255",6828,1984,9,11,24.7,10.8,0,11.2
"256",6829,1984,9,12,24.6,10.8,0,11.2
"257",6830,1984,9,13,24.4,14.7,0,7.3
"258",6831,1984,9,14,25.3,13.2,0.300000000000001,8.8
"259",6832,1984,9,15,26.6,12.4,1.6,9.6
"260",6833,1984,9,16,27.2,12.3,2.2,9.7
"261",6834,1984,9,17,23.9,12.8,0,9.2
"262",6835,1984,9,18,26.5,15.2,1.5,6.8
"263",6836,1984,9,19,23.7,13.8,0,8.2
"264",6837,1984,9,20,25.2,15.3,0.199999999999999,6.7
"265",6838,1984,9,21,27.4,14.5,2.4,7.5
"266",6839,1984,9,22,27.2,13.1,2.2,8.9
"267",6840,1984,9,23,25.7,12.3,0.699999999999999,9.7
"268",6841,1984,9,24,20.9,14.8,1.1,7.2
"269",6842,1984,9,25,24.2,10.5,0,11.5
"270",6843,1984,9,26,25,8.7,0,13.3
"271",6844,1984,9,27,20,10.4,2,11.6
"272",6845,1984,9,28,19,10.8,3,11.2
"273",6846,1984,9,29,24.4,16,0,6
"274",6847,1984,9,30,25.2,13.4,0.199999999999999,8.6
"275",6848,1984,10,1,25.4,14.5,0.399999999999999,7.5
"276",6849,1984,10,2,18.9,13,3.1,9
"277",6850,1984,10,3,20.4,8,1.6,14
"278",6851,1984,10,4,17.8,3.5,4.2,18.5
"279",6852,1984,10,5,17.8,1.7,4.2,20.3
"280",6853,1984,10,6,21.1,6,0.899999999999999,16
"281",6854,1984,10,7,21.4,6,0.600000000000001,16
"282",6855,1984,10,8,22.3,7.3,0,14.7
"283",6856,1984,10,9,22.6,7.4,0,14.6
"284",6857,1984,10,10,23.2,6.5,0,15.5
"285",6858,1984,10,11,25.1,9.2,0.100000000000001,12.8
"286",6859,1984,10,12,20.6,10,1.4,12
"287",6860,1984,10,13,20.3,9.3,1.7,12.7
"288",6861,1984,10,14,22.1,6.9,0,15.1
"289",6862,1984,10,15,22.9,7.4,0,14.6
"290",6863,1984,10,16,20,6.4,2,15.6
"291",6864,1984,10,17,22.1,8.8,0,13.2
"292",6865,1984,10,18,22.6,3.4,0,18.6
"293",6866,1984,10,19,21.1,4.2,0.899999999999999,17.8
"294",6867,1984,10,20,12.2,3.3,9.8,18.7
"295",6868,1984,10,21,12,-0.6,10,22.6
"296",6869,1984,10,22,12.9,-0.5,9.1,22.5
"297",6870,1984,10,23,22.2,8.6,0,13.4
"298",6871,1984,10,24,19.6,6.4,2.4,15.6
"299",6872,1984,10,25,19.4,6.8,2.6,15.2
"300",6873,1984,10,26,21.6,6,0.399999999999999,16
"301",6874,1984,10,27,18.2,5.4,3.8,16.6
"302",6875,1984,10,28,12,1.3,10,20.7
"303",6876,1984,10,29,13,-1.5,9,23.5
"304",6877,1984,10,30,12.6,-2.7,9.4,24.7
"305",6878,1984,10,31,10.7,-3.4,11.3,25.4
"306",7183,1985,9,1,29.4,20.4,4.4,1.6
"307",7184,1985,9,2,22.6,20.6,0,1.4
"308",7185,1985,9,3,28.9,21.3,3.9,0.699999999999999
"309",7186,1985,9,4,27,21.8,2,0.199999999999999
"310",7187,1985,9,5,30.9,21.3,5.9,0.699999999999999
"311",7188,1985,9,6,25.9,20.9,0.899999999999999,1.1
"312",7189,1985,9,7,30,18.2,5,3.8
"313",7190,1985,9,8,28.5,17.4,3.5,4.6
"314",7191,1985,9,9,27.7,19.1,2.7,2.9
"315",7192,1985,9,10,20.6,17.9,1.4,4.1
"316",7193,1985,9,11,24.8,18.5,0,3.5
"317",7194,1985,9,12,26.3,16.8,1.3,5.2
"318",7195,1985,9,13,25.5,14.2,0.5,7.8
"319",7196,1985,9,14,22.6,17.4,0,4.6
"320",7197,1985,9,15,18.7,16.5,3.3,5.5
"321",7198,1985,9,16,23.5,15.8,0,6.2
"322",7199,1985,9,17,19.4,17.4,2.6,4.6
"323",7200,1985,9,18,23.8,17.8,0,4.2
"324",7201,1985,9,19,19,16.4,3,5.6
"325",7202,1985,9,20,20.5,16.1,1.5,5.9
"326",7203,1985,9,21,22.1,16.8,0,5.2
"327",7204,1985,9,22,23.5,13,0,9
"328",7205,1985,9,23,20.9,11,1.1,11
"329",7206,1985,9,24,24.6,14.1,0,7.9
"330",7207,1985,9,25,22.7,10.4,0,11.6
"331",7208,1985,9,26,23.3,8.4,0,13.6
"332",7209,1985,9,27,22.9,11.8,0,10.2
"333",7210,1985,9,28,22.3,13.6,0,8.4
"334",7211,1985,9,29,22.2,8.3,0,13.7
"335",7212,1985,9,30,19.9,6,2.1,16
"336",7213,1985,10,1,16.8,4.6,5.2,17.4
"337",7214,1985,10,2,20.7,5.5,1.3,16.5
"338",7215,1985,10,3,21.7,7,0.300000000000001,15
"339",7216,1985,10,4,20.4,11.9,1.6,10.1
"340",7217,1985,10,5,19.3,13.8,2.7,8.2
"341",7218,1985,10,6,17,13.6,5,8.4
"342",7219,1985,10,7,22.3,11.6,0,10.4
"343",7220,1985,10,8,22.5,10.4,0,11.6
"344",7221,1985,10,9,24.4,13.7,0,8.3
"345",7222,1985,10,10,17.6,15.4,4.4,6.6
"346",7223,1985,10,11,25.9,15.2,0.899999999999999,6.8
"347",7224,1985,10,12,19.4,15.7,2.6,6.3
"348",7225,1985,10,13,23.1,9.3,0,12.7
"349",7226,1985,10,14,21.4,5.4,0.600000000000001,16.6
"350",7227,1985,10,15,22.9,8.8,0,13.2
"351",7228,1985,10,16,18.4,12.1,3.6,9.9
"352",7229,1985,10,17,18.9,5.3,3.1,16.7
"353",7230,1985,10,18,15.1,1.3,6.9,20.7
"354",7231,1985,10,19,15.9,1.4,6.1,20.6
"355",7232,1985,10,20,17.2,3.9,4.8,18.1
"356",7233,1985,10,21,18,1.4,4,20.6
"357",7234,1985,10,22,19.6,8.6,2.4,13.4
