"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4627,1980,9,1,28.1,20.6,3.1,1.4
"2",4628,1980,9,2,27.6,20.5,2.6,1.5
"3",4629,1980,9,3,28,22.7,3,0
"4",4630,1980,9,4,28,21.5,3,0.5
"5",4631,1980,9,5,27.9,21.4,2.9,0.600000000000001
"6",4632,1980,9,6,24,19.6,0,2.4
"7",4633,1980,9,7,24.9,18.2,0,3.8
"8",4634,1980,9,8,27.6,18.1,2.6,3.9
"9",4635,1980,9,9,27.6,18,2.6,4
"10",4636,1980,9,10,21.3,16.8,0.699999999999999,5.2
"11",4637,1980,9,11,19.6,16.4,2.4,5.6
"12",4638,1980,9,12,26.6,17.5,1.6,4.5
"13",4639,1980,9,13,27.5,17.2,2.5,4.8
"14",4640,1980,9,14,28.9,16.2,3.9,5.8
"15",4641,1980,9,15,27.4,15.5,2.4,6.5
"16",4642,1980,9,16,27.3,18.7,2.3,3.3
"17",4643,1980,9,17,24.9,15.5,0,6.5
"18",4644,1980,9,18,26.8,15.5,1.8,6.5
"19",4645,1980,9,19,24.3,16.7,0,5.3
"20",4646,1980,9,20,25.5,17.1,0.5,4.9
"21",4647,1980,9,21,22.5,17.5,0,4.5
"22",4648,1980,9,22,22.3,15.3,0,6.7
"23",4649,1980,9,23,22.8,12.7,0,9.3
"24",4650,1980,9,24,21.2,14.3,0.800000000000001,7.7
"25",4651,1980,9,25,22.3,14.1,0,7.9
"26",4652,1980,9,26,25.8,13,0.800000000000001,9
"27",4653,1980,9,27,26.8,15.6,1.8,6.4
"28",4654,1980,9,28,26,13.9,1,8.1
"29",4655,1980,9,29,26.6,14.7,1.6,7.3
"30",4656,1980,9,30,24.4,14.1,0,7.9
"31",4657,1980,10,1,25.2,13,0.199999999999999,9
"32",4658,1980,10,2,25.6,13.7,0.600000000000001,8.3
"33",4659,1980,10,3,26.4,13.3,1.4,8.7
"34",4660,1980,10,4,25.8,14.5,0.800000000000001,7.5
"35",4661,1980,10,5,22.5,16.3,0,5.7
"36",4662,1980,10,6,22.4,18.8,0,3.2
"37",4663,1980,10,7,24.4,17.5,0,4.5
"38",4664,1980,10,8,26,16.8,1,5.2
"39",4665,1980,10,9,22.3,15.2,0,6.8
"40",4666,1980,10,10,21.4,15,0.600000000000001,7
"41",4667,1980,10,11,18.6,16.5,3.4,5.5
"42",4668,1980,10,12,19.8,17.1,2.2,4.9
"43",4669,1980,10,13,18.1,15.9,3.9,6.1
"44",4670,1980,10,14,24.2,14,0,8
"45",4671,1980,10,15,21.8,11.6,0.199999999999999,10.4
"46",4672,1980,10,16,19.5,12.7,2.5,9.3
"47",4673,1980,10,17,21.2,15.4,0.800000000000001,6.6
"48",4674,1980,10,18,19,15.8,3,6.2
"49",4675,1980,10,19,22.4,14.2,0,7.8
"50",4676,1980,10,20,23.4,12.9,0,9.1
"51",4677,1980,10,21,19.6,8.8,2.4,13.2
"52",4678,1980,10,22,17.7,5.3,4.3,16.7
"53",4679,1980,10,23,20.9,8.8,1.1,13.2
"54",4680,1980,10,24,14.9,12.9,7.1,9.1
"55",4681,1980,10,25,18.3,5.7,3.7,16.3
"56",4682,1980,10,26,12.9,5.8,9.1,16.2
"57",4683,1980,10,27,14.5,6.6,7.5,15.4
"58",4684,1980,10,28,15.9,4.6,6.1,17.4
"59",4685,1980,10,29,17.1,6.7,4.9,15.3
"60",4686,1980,10,30,15.9,6.4,6.1,15.6
"61",4687,1980,10,31,13.1,4.9,8.9,17.1
"62",4992,1981,9,1,27.3,25.1,2.3,0.100000000000001
"63",4993,1981,9,2,25.7,23.9,0.699999999999999,0
"64",4994,1981,9,3,25.4,21.4,0.399999999999999,0.600000000000001
"65",4995,1981,9,4,27.6,19.7,2.6,2.3
"66",4996,1981,9,5,28.1,18,3.1,4
"67",4997,1981,9,6,27.9,18,2.9,4
"68",4998,1981,9,7,27.5,17.6,2.5,4.4
"69",4999,1981,9,8,26.6,18.9,1.6,3.1
"70",5000,1981,9,9,26.2,20.8,1.2,1.2
"71",5001,1981,9,10,26.7,20.3,1.7,1.7
"72",5002,1981,9,11,26.4,19.3,1.4,2.7
"73",5003,1981,9,12,25,16.7,0,5.3
"74",5004,1981,9,13,25.1,14.1,0.100000000000001,7.9
"75",5005,1981,9,14,25.1,14.8,0.100000000000001,7.2
"76",5006,1981,9,15,25.2,14.8,0.199999999999999,7.2
"77",5007,1981,9,16,26.8,14.2,1.8,7.8
"78",5008,1981,9,17,27.8,15.8,2.8,6.2
