"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3350,1980,9,1,29.3,18.6,4.3,3.4
"2",3351,1980,9,2,23,17.8,0,4.2
"3",3352,1980,9,3,28.8,17.4,3.8,4.6
"4",3353,1980,9,4,27.2,15.2,2.2,6.8
"5",3354,1980,9,5,28,15.1,3,6.9
"6",3355,1980,9,6,25.5,14.5,0.5,7.5
"7",3356,1980,9,7,23.8,15.3,0,6.7
"8",3357,1980,9,8,27.3,12.9,2.3,9.1
"9",3358,1980,9,9,26.5,12,1.5,10
"10",3359,1980,9,10,16.9,14.5,5.1,7.5
"11",3360,1980,9,11,20.1,14,1.9,8
"12",3361,1980,9,12,25.4,11.9,0.399999999999999,10.1
"13",3362,1980,9,13,26.8,11.8,1.8,10.2
"14",3363,1980,9,14,27.1,13.6,2.1,8.4
"15",3364,1980,9,15,28.1,13.4,3.1,8.6
"16",3365,1980,9,16,24.6,11.8,0,10.2
"17",3366,1980,9,17,24.6,9.6,0,12.4
"18",3367,1980,9,18,24,9.4,0,12.6
"19",3368,1980,9,19,26.4,11.5,1.4,10.5
"20",3369,1980,9,20,27.4,11.5,2.4,10.5
"21",3370,1980,9,21,22.6,14.5,0,7.5
"22",3371,1980,9,22,20.1,5.9,1.9,16.1
"23",3372,1980,9,23,20.8,3.7,1.2,18.3
"24",3373,1980,9,24,23.4,6.1,0,15.9
"25",3374,1980,9,25,24.8,7.6,0,14.4
"26",3375,1980,9,26,25.9,9.2,0.899999999999999,12.8
"27",3376,1980,9,27,25.9,10.1,0.899999999999999,11.9
"28",3377,1980,9,28,25.4,10.5,0.399999999999999,11.5
"29",3378,1980,9,29,23.8,10,0,12
"30",3379,1980,9,30,22.9,6.7,0,15.3
"31",3380,1980,10,1,23.6,5.4,0,16.6
"32",3381,1980,10,2,24.6,5.2,0,16.8
"33",3382,1980,10,3,25.9,6.3,0.899999999999999,15.7
"34",3383,1980,10,4,25.8,6.2,0.800000000000001,15.8
"35",3384,1980,10,5,15.4,11,6.6,11
"36",3385,1980,10,6,20.2,13,1.8,9
"37",3386,1980,10,7,24,12.9,0,9.1
"38",3387,1980,10,8,23.8,8,0,14
"39",3388,1980,10,9,23.2,7.3,0,14.7
"40",3389,1980,10,10,17.9,11.3,4.1,10.7
"41",3390,1980,10,11,26.4,12.7,1.4,9.3
"42",3391,1980,10,12,23.8,13,0,9
"43",3392,1980,10,13,23,11.1,0,10.9
"44",3393,1980,10,14,21.3,6.6,0.699999999999999,15.4
"45",3394,1980,10,15,21.2,4.7,0.800000000000001,17.3
"46",3395,1980,10,16,19.5,6.6,2.5,15.4
"47",3396,1980,10,17,22.6,5.1,0,16.9
"48",3397,1980,10,18,18.8,8.4,3.2,13.6
"49",3398,1980,10,19,22.8,7,0,15
"50",3399,1980,10,20,21.8,3.4,0.199999999999999,18.6
"51",3400,1980,10,21,14.6,-0.7,7.4,22.7
"52",3401,1980,10,22,15.4,-4.6,6.6,26.6
"53",3402,1980,10,23,19.2,-3.8,2.8,25.8
"54",3403,1980,10,24,16.7,-1.7,5.3,23.7
"55",3404,1980,10,25,10.9,-0.2,11.1,22.2
