"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3345,1980,3,1,7,-1.2,13,21.2
"2",3346,1980,3,2,8.2,-6.3,11.8,26.3
"3",3347,1980,3,3,9.9,-4,10.1,24
"4",3348,1980,3,4,11.6,-4,8.4,24
"5",3349,1980,3,5,11,-4.1,9,24.1
"6",3350,1980,3,6,9.9,-4.3,10.1,24.3
"7",3351,1980,3,7,11.6,2.3,8.4,17.7
"8",3352,1980,3,8,15.2,-1.5,4.8,21.5
"9",3353,1980,3,9,12.4,2.8,7.6,17.2
"10",3354,1980,3,10,8.8,-0.8,11.2,20.8
"11",3355,1980,3,11,6.4,-3.6,13.6,23.6
"12",3356,1980,3,12,7.4,-3.5,12.6,23.5
"13",3357,1980,3,13,9.5,-5.4,10.5,25.4
"14",3358,1980,3,14,8.4,-0.1,11.6,20.1
"15",3359,1980,3,15,8.4,-4.5,11.6,24.5
"16",3360,1980,3,16,9.8,1.6,10.2,18.4
"17",3361,1980,3,17,9,0.3,11,19.7
"18",3362,1980,3,18,10.2,-1.2,9.8,21.2
"19",3363,1980,3,19,9.4,-1.8,10.6,21.8
"20",3364,1980,3,20,9.6,-1.9,10.4,21.9
"21",3365,1980,3,21,10.3,-1.6,9.7,21.6
"22",3366,1980,3,22,5.6,1.4,14.4,18.6
"23",3367,1980,3,23,5.4,-0.7,14.6,20.7
"24",3368,1980,3,24,7.5,-1.7,12.5,21.7
"25",3369,1980,3,25,8.2,-1.8,11.8,21.8
"26",3370,1980,3,26,10.4,1,9.6,19
"27",3371,1980,3,27,13.8,-2.8,6.2,22.8
"28",3372,1980,3,28,14.2,-2.3,5.8,22.3
"29",3373,1980,3,29,16,2.8,4,17.2
"30",3374,1980,3,30,17.8,2.1,2.2,17.9
"31",3375,1980,3,31,12.4,1.5,7.6,18.5
"32",3376,1980,4,1,11.5,-0.3,8.5,20.3
"33",3377,1980,4,2,11.6,-2.4,8.4,22.4
"34",3378,1980,4,3,17,-1,3,21
"35",3379,1980,4,4,21.6,6.7,0,13.3
"36",3380,1980,4,5,18.4,9.8,1.6,10.2
"37",3381,1980,4,6,11,4.1,9,15.9
"38",3382,1980,4,7,12.2,0.7,7.8,19.3
"39",3383,1980,4,8,15,6.3,5,13.7
"40",3384,1980,4,9,14.9,4.4,5.1,15.6
"41",3385,1980,4,10,16.2,0.4,3.8,19.6
"42",3386,1980,4,11,16,1.1,4,18.9
"43",3387,1980,4,12,16.5,7.8,3.5,12.2
"44",3388,1980,4,13,14,6.3,6,13.7
"45",3389,1980,4,14,10.8,4,9.2,16
"46",3390,1980,4,15,10.4,2.1,9.6,17.9
