"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",790,1980,3,1,8.1076,-2.0727,11.8924,22.0727
"2",791,1980,3,2,8.9869,-4.9234,11.0131,24.9234
"3",792,1980,3,3,11.7225,-2.0727,8.2775,22.0727
"4",793,1980,3,4,8.9869,0.3848,11.0131,19.6152
"5",794,1980,3,5,10.3547,-0.1067,9.6453,20.1067
"6",795,1980,3,6,13.5788,-3.6455,6.4212,23.6455
"7",796,1980,3,7,14.8489,-0.205,5.1511,20.205
"8",797,1980,3,8,15.8259,-0.205,4.1741,20.205
"9",798,1980,3,9,10.257,5.1032,9.743,14.8968
"10",799,1980,3,10,8.7915,0.778,11.2085,19.222
"11",800,1980,3,11,6.4467,-2.171,13.5533,22.171
"12",801,1980,3,12,8.7915,-4.5302,11.2085,24.5302
"13",802,1980,3,13,11.1363,-2.3676,8.8637,22.3676
"14",803,1980,3,14,5.6651,0.6797,14.3349,19.3203
"15",804,1980,3,15,8.9869,-2.9574,11.0131,22.9574
"16",805,1980,3,16,11.6248,-1.188,8.3752,21.188
"17",806,1980,3,17,15.0443,-0.9914,4.9557,20.9914
"18",807,1980,3,18,13.8719,0.3848,6.1281,19.6152
"19",808,1980,3,19,16.6075,-0.0083999999999999,3.3925,20.0084
"20",809,1980,3,20,14.8489,2.744,5.1511,17.256
"21",810,1980,3,21,9.3777,-0.205,10.6223,20.205
"22",811,1980,3,22,6.7398,0.5814,13.2602,19.4186
"23",812,1980,3,23,4.4927,0.1882,15.5073,19.8118
"24",813,1980,3,24,7.4237,-1.5812,12.5763,21.5812
"25",814,1980,3,25,10.3547,-2.171,9.6453,22.171
"26",815,1980,3,26,9.9639,-1.4829,10.0361,21.4829
"27",816,1980,3,27,14.4581,-3.6455,5.5419,23.6455
"28",817,1980,3,28,16.9983,-0.8931,3.0017,20.8931
"29",818,1980,3,29,12.5041,3.2355,7.4959,16.7645
"30",819,1980,3,30,19.5385,1.0729,0.461500000000001,18.9271
"31",820,1980,3,31,12.3087,3.0389,7.6913,16.9611
"32",821,1980,4,1,12.40946,0.7918,7.59054,19.2082
"33",822,1980,4,2,13.86341,-0.1613,6.13659,20.1613
"34",823,1980,4,3,20.74544,0.7918,0,19.2082
"35",824,1980,4,4,22.78097,8.2048,0,11.7952
"36",825,1980,4,5,19.67921,15.8296,0.320789999999999,4.1704
"37",826,1980,4,6,19.19456,4.4983,0.805440000000001,15.5017
"38",827,1980,4,7,15.80201,1.8508,4.19799,18.1492
"39",828,1980,4,8,16.18973,3.6511,3.81027,16.3489
"40",829,1980,4,9,18.70991,2.3803,1.29009,17.6197
"41",830,1980,4,10,17.44982,0.2623,2.55018,19.7377
"42",831,1980,4,11,20.55158,2.1685,0,17.8315
"43",832,1980,4,12,17.74061,13.1821,2.25939,6.8179
"44",833,1980,4,13,15.22043,4.6042,4.77957,15.3958
"45",834,1980,4,14,9.59849,3.4393,10.40151,16.5607
"46",835,1980,4,15,10.85858,2.8039,9.14142,17.1961
"47",836,1980,4,16,10.18007,3.8629,9.81993,16.1371
"48",837,1980,4,17,12.2156,4.7101,7.7844,15.2899
"49",838,1980,4,18,18.22526,6.1927,1.77474,13.8073
"50",839,1980,4,19,20.55158,9.8992,0,10.1008
"51",840,1980,4,20,15.80201,2.8039,4.19799,17.1961
"52",841,1980,4,21,15.22043,1.5331,4.77957,18.4669
"53",842,1980,4,22,18.32219,0.2623,1.67781,19.7377
"54",843,1980,4,23,14.63885,1.5331,5.36115,18.4669
"55",844,1980,4,24,13.86341,0.58,6.13659,19.42
