"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4443,1980,3,1,6.2,0.6,13.8,19.4
"2",4444,1980,3,2,6,-2,14,22
"3",4445,1980,3,3,8.8,-0.5,11.2,20.5
"4",4446,1980,3,4,8.2,1.8,11.8,18.2
"5",4447,1980,3,5,6.5,1.8,13.5,18.2
"6",4448,1980,3,6,11.5,-1.8,8.5,21.8
"7",4449,1980,3,7,12.4,4.6,7.6,15.4
"8",4450,1980,3,8,13.3,2.8,6.7,17.2
"9",4451,1980,3,9,9.6,4,10.4,16
"10",4452,1980,3,10,5.5,2.1,14.5,17.9
"11",4453,1980,3,11,3.4,-0.7,16.6,20.7
"12",4454,1980,3,12,5.4,-2.2,14.6,22.2
"13",4455,1980,3,13,6.6,-0.9,13.4,20.9
"14",4456,1980,3,14,4.8,0.7,15.2,19.3
"15",4457,1980,3,15,5.4,0.4,14.6,19.6
"16",4458,1980,3,16,8.2,-0.5,11.8,20.5
"17",4459,1980,3,17,11.9,0.8,8.1,19.2
"18",4460,1980,3,18,11.4,2.9,8.6,17.1
"19",4461,1980,3,19,13.7,1,6.3,19
"20",4462,1980,3,20,9.2,3.4,10.8,16.6
"21",4463,1980,3,21,9.3,1.1,10.7,18.9
"22",4464,1980,3,22,6.4,1,13.6,19
"23",4465,1980,3,23,3.9,1.4,16.1,18.6
"24",4466,1980,3,24,5.2,0.5,14.8,19.5
"25",4467,1980,3,25,8.1,-0.8,11.9,20.8
"26",4468,1980,3,26,6.7,2.3,13.3,17.7
"27",4469,1980,3,27,10.6,-1,9.4,21
"28",4470,1980,3,28,14.8,0.4,5.2,19.6
"29",4471,1980,3,29,13.2,6.5,6.8,13.5
"30",4472,1980,3,30,13.6,3.2,6.4,16.8
"31",4473,1980,3,31,9.4,5.3,10.6,14.7
"32",4474,1980,4,1,9.8,4.8,10.2,15.2
"33",4475,1980,4,2,11.7,2.7,8.3,17.3
"34",4476,1980,4,3,19.6,3.7,0.399999999999999,16.3
"35",4477,1980,4,4,23.2,8.3,0,11.7
"36",4478,1980,4,5,18.5,14.7,1.5,5.3
"37",4479,1980,4,6,16.4,5,3.6,15
"38",4480,1980,4,7,12.4,5,7.6,15
"39",4481,1980,4,8,14.6,7.1,5.4,12.9
"40",4482,1980,4,9,15.8,6.1,4.2,13.9
"41",4483,1980,4,10,13.9,3,6.1,17
"42",4484,1980,4,11,20.2,6.8,0,13.2
"43",4485,1980,4,12,14.6,12.2,5.4,7.8
"44",4486,1980,4,13,13.4,5.4,6.6,14.6
"45",4487,1980,4,14,9.6,4.6,10.4,15.4
"46",4488,1980,4,15,9.5,4.2,10.5,15.8
"47",4489,1980,4,16,10.6,4.8,9.4,15.2
"48",4490,1980,4,17,11,5,9,15
"49",4491,1980,4,18,20.8,6.8,0,13.2
"50",4492,1980,4,19,20.7,9.3,0,10.7
"51",4493,1980,4,20,13.5,7.8,6.5,12.2
"52",4494,1980,4,21,12.8,6.9,7.2,13.1
"53",4495,1980,4,22,15.6,4.2,4.4,15.8
