"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3712,1980,3,1,10.2,-1.5,9.8,21.5
"2",3713,1980,3,2,13.1,-5,6.9,25
"3",3714,1980,3,3,13.4,-2.2,6.6,22.2
"4",3715,1980,3,4,9.8,0.2,10.2,19.8
"5",3716,1980,3,5,12.9,1.4,7.1,18.6
"6",3717,1980,3,6,14.9,-1.9,5.1,21.9
"7",3718,1980,3,7,17.8,2.2,2.2,17.8
"8",3719,1980,3,8,15.4,-0.7,4.6,20.7
"9",3720,1980,3,9,8.6,4.8,11.4,15.2
"10",3721,1980,3,10,12.2,1.4,7.8,18.6
"11",3722,1980,3,11,9.8,-1.2,10.2,21.2
"12",3723,1980,3,12,13.4,-5,6.6,25
"13",3724,1980,3,13,15.3,-2.9,4.7,22.9
"14",3725,1980,3,14,7.4,-2.1,12.6,22.1
"15",3726,1980,3,15,10.3,-6,9.7,26
"16",3727,1980,3,16,14.6,-2.3,5.4,22.3
"17",3728,1980,3,17,18.1,-1.1,1.9,21.1
"18",3729,1980,3,18,15.6,-1.4,4.4,21.4
"19",3730,1980,3,19,16.8,0.1,3.2,19.9
"20",3731,1980,3,20,16.5,-0.8,3.5,20.8
"21",3732,1980,3,21,11.2,-0.4,8.8,20.4
"22",3733,1980,3,22,7.5,-0.3,12.5,20.3
"23",3734,1980,3,23,5.2,-1.5,14.8,21.5
"24",3735,1980,3,24,8.4,-4.5,11.6,24.5
"25",3736,1980,3,25,11.6,-3.8,8.4,23.8
"26",3737,1980,3,26,12.1,-2.2,7.9,22.2
"27",3738,1980,3,27,17.1,-5.2,2.9,25.2
"28",3739,1980,3,28,19.1,-2.6,0.899999999999999,22.6
"29",3740,1980,3,29,11.2,2.5,8.8,17.5
"30",3741,1980,3,30,22.2,0.5,0,19.5
"31",3742,1980,3,31,13.4,6,6.6,14
"32",3743,1980,4,1,14.2,-0.4,5.8,20.4
"33",3744,1980,4,2,15.6,-1.8,4.4,21.8
"34",3745,1980,4,3,20.2,-2,0,22
"35",3746,1980,4,4,22,2.6,0,17.4
"36",3747,1980,4,5,17,15.2,3,4.8
"37",3748,1980,4,6,18.2,4.8,1.8,15.2
"38",3749,1980,4,7,18.2,1.6,1.8,18.4
"39",3750,1980,4,8,17.2,4,2.8,16
"40",3751,1980,4,9,21.3,7.2,0,12.8
"41",3752,1980,4,10,20.2,1.2,0,18.8
"42",3753,1980,4,11,19.2,2.9,0.800000000000001,17.1
"43",3754,1980,4,12,15.6,12.2,4.4,7.8
"44",3755,1980,4,13,15.7,5.9,4.3,14.1
"45",3756,1980,4,14,7.8,2,12.2,18
"46",3757,1980,4,15,11.2,3.1,8.8,16.9
"47",3758,1980,4,16,9.8,3.6,10.2,16.4
"48",3759,1980,4,17,14.9,3.6,5.1,16.4
"49",3760,1980,4,18,17.7,3.8,2.3,16.2
"50",3761,1980,4,19,21.2,10.8,0,9.2
"51",3762,1980,4,20,17.4,4.2,2.6,15.8
"52",3763,1980,4,21,17.6,1,2.4,19
"53",3764,1980,4,22,20.3,0.8,0,19.2
"54",3765,1980,4,23,15.8,1.6,4.2,18.4
"55",3766,1980,4,24,14.9,0.7,5.1,19.3
"56",3767,1980,4,25,18.6,1,1.4,19
"57",3768,1980,4,26,24,-0.2,0,20.2
"58",3769,1980,4,27,15.7,8.6,4.3,11.4
"59",3770,1980,4,28,19.4,5.8,0.600000000000001,14.2
"60",3771,1980,4,29,22.6,3.7,0,16.3
"61",3772,1980,4,30,24,9.7,0,10.3
"62",3773,1980,5,1,23.4,5.2,0,14.8
"63",3774,1980,5,2,25,4.2,0,15.8
"64",3775,1980,5,3,22.2,9.8,0,10.2
"65",3776,1980,5,4,24.5,11.5,0,8.5
"66",3777,1980,5,5,24.9,5.6,0,14.4
"67",3778,1980,5,6,20,3,0,17
"68",3779,1980,5,7,21.8,4.8,0,15.2
"69",3780,1980,5,8,13,7.4,7,12.6
"70",3781,1980,5,9,18,4.7,2,15.3
"71",3782,1980,5,10,25.8,3.1,0.800000000000001,16.9
"72",3783,1980,5,11,29,6,4,14
"73",3784,1980,5,12,18.6,13.1,1.4,6.9
"74",3785,1980,5,13,26.2,14.6,1.2,5.4
"75",3786,1980,5,14,25.6,12.5,0.600000000000001,7.5
"76",3787,1980,5,15,25.4,13,0.399999999999999,7
"77",3788,1980,5,16,18.3,7.3,1.7,12.7
"78",3789,1980,5,17,21,2.3,0,17.7
"79",3790,1980,5,18,24.4,4.2,0,15.8
"80",3791,1980,5,19,23,11,0,9
"81",3792,1980,5,20,17.6,11.4,2.4,8.6
"82",3793,1980,5,21,26.4,10.9,1.4,9.1
"83",3794,1980,5,22,29.6,8.2,4.6,11.8
"84",3795,1980,5,23,25.6,11.9,0.600000000000001,8.1
"85",3796,1980,5,24,27.2,9.7,2.2,10.3
"86",3797,1980,5,25,24.3,14.9,0,5.1
"87",3798,1980,5,26,19.2,10,0.800000000000001,10
"88",3799,1980,5,27,22.2,5,0,15
"89",3800,1980,5,28,26.7,7.8,1.7,12.2
"90",3801,1980,5,29,27.8,9.5,2.8,10.5
"91",3802,1980,5,30,30.2,15.5,5.2,4.5
"92",3803,1980,5,31,29.6,15.3,4.6,4.7
"93",4077,1981,3,1,7.2,-3,12.8,23
"94",4078,1981,3,2,10.6,-5,9.4,25
"95",4079,1981,3,3,8.3,-1.4,11.7,21.4
"96",4080,1981,3,4,10.2,-4.8,9.8,24.8
"97",4081,1981,3,5,10.8,-2.2,9.2,22.2
"98",4082,1981,3,6,7,-4.7,13,24.7
"99",4083,1981,3,7,13.2,-6,6.8,26
"100",4084,1981,3,8,14.6,-2,5.4,22
"101",4085,1981,3,9,6.8,-1,13.2,21
"102",4086,1981,3,10,11.2,-4,8.8,24
"103",4087,1981,3,11,16.4,-4.8,3.6,24.8
"104",4088,1981,3,12,17.6,-3,2.4,23
"105",4089,1981,3,13,15.4,7.5,4.6,12.5
"106",4090,1981,3,14,13.4,4.6,6.6,15.4
"107",4091,1981,3,15,7.1,-2.5,12.9,22.5
"108",4092,1981,3,16,12.4,-5,7.6,25
"109",4093,1981,3,17,18,-4.7,2,24.7
"110",4094,1981,3,18,21.4,-2,0,22
"111",4095,1981,3,19,20.8,1.6,0,18.4
"112",4096,1981,3,20,22.8,0.8,0,19.2
"113",4097,1981,3,21,23.8,1.8,0,18.2
"114",4098,1981,3,22,23,2.6,0,17.4
"115",4099,1981,3,23,17.8,1.8,2.2,18.2
"116",4100,1981,3,24,11,7.6,9,12.4
"117",4101,1981,3,25,11.4,6.7,8.6,13.3
"118",4102,1981,3,26,7.8,1.9,12.2,18.1
"119",4103,1981,3,27,13.6,-0.5,6.4,20.5
"120",4104,1981,3,28,18.4,4,1.6,16
"121",4105,1981,3,29,18,1.4,2,18.6
"122",4106,1981,3,30,18.1,3.2,1.9,16.8
"123",4107,1981,3,31,20.2,5,0,15
"124",4108,1981,4,1,11.8,5.2,8.2,14.8
"125",4109,1981,4,2,14.6,0.6,5.4,19.4
"126",4110,1981,4,3,12.6,-4,7.4,24
"127",4111,1981,4,4,18.2,4.2,1.8,15.8
"128",4112,1981,4,5,13,3.2,7,16.8
"129",4113,1981,4,6,20.6,1,0,19
"130",4114,1981,4,7,24.8,2,0,18
"131",4115,1981,4,8,21.8,7.5,0,12.5
"132",4116,1981,4,9,15,10.8,5,9.2
"133",4117,1981,4,10,20.2,9,0,11
"134",4118,1981,4,11,23,6,0,14
"135",4119,1981,4,12,23.4,7.2,0,12.8
"136",4120,1981,4,13,17,4.3,3,15.7
"137",4121,1981,4,14,19.6,1.5,0.399999999999999,18.5
"138",4122,1981,4,15,14.4,8,5.6,12
"139",4123,1981,4,16,14.6,8.3,5.4,11.7
"140",4124,1981,4,17,20.6,4,0,16
"141",4125,1981,4,18,18,6.5,2,13.5
"142",4126,1981,4,19,15.4,9,4.6,11
"143",4127,1981,4,20,17.8,5.4,2.2,14.6
"144",4128,1981,4,21,22.4,2.5,0,17.5
"145",4129,1981,4,22,23.4,4.6,0,15.4
"146",4130,1981,4,23,24.6,5,0,15
"147",4131,1981,4,24,22.2,5.6,0,14.4
"148",4132,1981,4,25,21.2,2.2,0,17.8
"149",4133,1981,4,26,24.8,1.6,0,18.4
"150",4134,1981,4,27,23.2,4.8,0,15.2
"151",4135,1981,4,28,23.6,3,0,17
"152",4136,1981,4,29,22,12,0,8
"153",4137,1981,4,30,23,8,0,12
"154",4138,1981,5,1,28.4,6,3.4,14
"155",4139,1981,5,2,18.2,10.6,1.8,9.4
"156",4140,1981,5,3,17.8,8,2.2,12
"157",4141,1981,5,4,21.7,3,0,17
"158",4142,1981,5,5,24,7,0,13
"159",4143,1981,5,6,24.6,8.2,0,11.8
"160",4144,1981,5,7,25.8,8.6,0.800000000000001,11.4
"161",4145,1981,5,8,27.6,10,2.6,10
"162",4146,1981,5,9,28.8,19,3.8,1
"163",4147,1981,5,10,29.6,18,4.6,2
"164",4148,1981,5,11,22.4,6.5,0,13.5
"165",4149,1981,5,12,20.4,4,0,16
"166",4150,1981,5,13,24.8,4.1,0,15.9
"167",4151,1981,5,14,28.4,4.2,3.4,15.8
"168",4152,1981,5,15,17.7,13.4,2.3,6.6
"169",4153,1981,5,16,15,11.8,5,8.2
"170",4154,1981,5,17,13.2,10.5,6.8,9.5
"171",4155,1981,5,18,19,10,1,10
"172",4156,1981,5,19,18,10.2,2,9.8
"173",4157,1981,5,20,22.4,7.5,0,12.5
"174",4158,1981,5,21,25.4,6.6,0.399999999999999,13.4
