"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2982,1980,3,1,12.6,0.7,7.4,19.3
"2",2983,1980,3,2,12.9,-3.9,7.1,23.9
"3",2984,1980,3,3,14.3,-0.9,5.7,20.9
"4",2985,1980,3,4,8.9,-0.3,11.1,20.3
"5",2986,1980,3,5,13.1,-0.1,6.9,20.1
"6",2987,1980,3,6,14.2,-2.1,5.8,22.1
"7",2988,1980,3,7,15.4,3.1,4.6,16.9
"8",2989,1980,3,8,15.4,0.2,4.6,19.8
"9",2990,1980,3,9,10.3,5.8,9.7,14.2
"10",2991,1980,3,10,13.7,0.8,6.3,19.2
"11",2992,1980,3,11,11,0.4,9,19.6
"12",2993,1980,3,12,12.8,-2.4,7.2,22.4
"13",2994,1980,3,13,14.9,-0.5,5.1,20.5
"14",2995,1980,3,14,11,-1.3,9,21.3
"15",2996,1980,3,15,11.6,-1.4,8.4,21.4
"16",2997,1980,3,16,14.3,-1.8,5.7,21.8
"17",2998,1980,3,17,18.2,-0.1,1.8,20.1
"18",2999,1980,3,18,12.2,0.7,7.8,19.3
"19",3000,1980,3,19,15.9,0.8,4.1,19.2
"20",3001,1980,3,20,18.6,-0.9,1.4,20.9
"21",3002,1980,3,21,11.8,3.3,8.2,16.7
"22",3003,1980,3,22,6.2,2.4,13.8,17.6
"23",3004,1980,3,23,7.5,-0.6,12.5,20.6
"24",3005,1980,3,24,10.4,-3,9.6,23
"25",3006,1980,3,25,12.2,-2.1,7.8,22.1
"26",3007,1980,3,26,14.2,-0.3,5.8,20.3
"27",3008,1980,3,27,16,-2.5,4,22.5
"28",3009,1980,3,28,18,-1.5,2,21.5
"29",3010,1980,3,29,10.2,4.6,9.8,15.4
"30",3011,1980,3,30,21.2,0.6,0,19.4
"31",3012,1980,3,31,14.3,8.1,5.7,11.9
"32",3013,1980,4,1,14.9,4.8,5.1,15.2
"33",3014,1980,4,2,15.3,-0.2,4.7,20.2
"34",3015,1980,4,3,18,-0.8,2,20.8
"35",3016,1980,4,4,22,1,0,19
"36",3017,1980,4,5,20.4,15,0,5
"37",3018,1980,4,6,20.9,8.8,0,11.2
"38",3019,1980,4,7,16.3,6,3.7,14
"39",3020,1980,4,8,20.1,4.5,0,15.5
"40",3021,1980,4,9,19.2,8.6,0.800000000000001,11.4
"41",3022,1980,4,10,16.7,4.9,3.3,15.1
"42",3023,1980,4,11,18.9,2,1.1,18
"43",3024,1980,4,12,14.8,10.9,5.2,9.1
"44",3025,1980,4,13,13.8,9.3,6.2,10.7
"45",3026,1980,4,14,9.3,5.7,10.7,14.3
"46",3027,1980,4,15,12.6,4,7.4,16
"47",3028,1980,4,16,10.2,2.9,9.8,17.1
"48",3029,1980,4,17,14.6,4,5.4,16
"49",3030,1980,4,18,17.3,2.6,2.7,17.4
"50",3031,1980,4,19,20.6,16.8,0,3.2
"51",3032,1980,4,20,20,8.3,0,11.7
"52",3033,1980,4,21,18.7,3.9,1.3,16.1
"53",3034,1980,4,22,18.6,4.2,1.4,15.8
"54",3035,1980,4,23,16,5.3,4,14.7
"55",3036,1980,4,24,15.7,2.3,4.3,17.7
"56",3037,1980,4,25,19.6,3.2,0.399999999999999,16.8
"57",3038,1980,4,26,22,2.1,0,17.9
"58",3039,1980,4,27,14,8.6,6,11.4
"59",3040,1980,4,28,18.6,6.1,1.4,13.9
"60",3041,1980,4,29,21.2,5.9,0,14.1
"61",3042,1980,4,30,24.1,10.6,0,9.4
"62",3043,1980,5,1,22.3,7,0,13
"63",3044,1980,5,2,24.3,4.3,0,15.7
"64",3045,1980,5,3,23.4,9.8,0,10.2
"65",3046,1980,5,4,27.5,13.5,2.5,6.5
"66",3047,1980,5,5,25.2,10.2,0.199999999999999,9.8
"67",3048,1980,5,6,21.3,6.7,0,13.3
"68",3049,1980,5,7,21,5.7,0,14.3
"69",3050,1980,5,8,13.1,6.8,6.9,13.2
"70",3051,1980,5,9,23.6,6.4,0,13.6
"71",3052,1980,5,10,28.5,4.6,3.5,15.4
"72",3053,1980,5,11,30.4,6.9,5.4,13.1
"73",3054,1980,5,12,19.6,13.9,0.399999999999999,6.1
"74",3055,1980,5,13,27.8,15.2,2.8,4.8
"75",3056,1980,5,14,24.2,12.8,0,7.2
"76",3057,1980,5,15,22.8,15.2,0,4.8
"77",3058,1980,5,16,19.9,7,0.100000000000001,13
"78",3059,1980,5,17,22.5,4.3,0,15.7
"79",3060,1980,5,18,24.5,7,0,13
"80",3061,1980,5,19,23.9,8.2,0,11.8
"81",3062,1980,5,20,17.3,13.1,2.7,6.9
"82",3063,1980,5,21,27.9,12.9,2.9,7.1
"83",3064,1980,5,22,30,12.5,5,7.5
"84",3065,1980,5,23,27.2,12.1,2.2,7.9
