"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6999,1980,3,1,14.9,6.6,5.1,13.4
"2",7000,1980,3,2,13.8,4.3,6.2,15.7
"3",7001,1980,3,3,13.4,7.8,6.6,12.2
"4",7002,1980,3,4,11.2,4.7,8.8,15.3
"5",7003,1980,3,5,8.8,7,11.2,13
"6",7004,1980,3,6,13.9,7.4,6.1,12.6
"7",7005,1980,3,7,16.9,8.3,3.1,11.7
"8",7006,1980,3,8,14,8.2,6,11.8
"9",7007,1980,3,9,13.9,8.2,6.1,11.8
"10",7008,1980,3,10,14.2,5.5,5.8,14.5
"11",7009,1980,3,11,14,7.1,6,12.9
"12",7010,1980,3,12,13.3,4.6,6.7,15.4
"13",7011,1980,3,13,11.3,8.5,8.7,11.5
"14",7012,1980,3,14,11.8,4.1,8.2,15.9
"15",7013,1980,3,15,11.7,2.4,8.3,17.6
"16",7014,1980,3,16,13,4.3,7,15.7
"17",7015,1980,3,17,15.4,7.6,4.6,12.4
"18",7016,1980,3,18,13.9,6.8,6.1,13.2
"19",7017,1980,3,19,14.5,7.2,5.5,12.8
"20",7018,1980,3,20,14,6.6,6,13.4
"21",7019,1980,3,21,12.4,9,7.6,11
"22",7020,1980,3,22,13.4,4.4,6.6,15.6
"23",7021,1980,3,23,7.8,3,12.2,17
"24",7022,1980,3,24,11,2.7,9,17.3
"25",7023,1980,3,25,11.7,3,8.3,17
"26",7024,1980,3,26,14.6,3.6,5.4,16.4
"27",7025,1980,3,27,14.5,3.8,5.5,16.2
"28",7026,1980,3,28,14.4,4.8,5.6,15.2
"29",7027,1980,3,29,15.6,9.6,4.4,10.4
"30",7028,1980,3,30,17.3,8.4,2.7,11.6
"31",7029,1980,3,31,15.1,11,4.9,9
"32",7030,1980,4,1,14.6,7,5.4,13
"33",7031,1980,4,2,15,6.4,5,13.6
"34",7032,1980,4,3,17.7,6.7,2.3,13.3
"35",7033,1980,4,4,18.9,12.6,1.1,7.4
"36",7034,1980,4,5,18,16,2,4
"37",7035,1980,4,6,18.2,7.8,1.8,12.2
"38",7036,1980,4,7,15.5,4.7,4.5,15.3
"39",7037,1980,4,8,17.6,9.1,2.4,10.9
