"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4443,1980,3,1,5.7,-0.3,14.3,20.3
"2",4444,1980,3,2,10.5,-4.4,9.5,24.4
"3",4445,1980,3,3,10.9,-2.3,9.1,22.3
"4",4446,1980,3,4,12.3,0.3,7.7,19.7
"5",4447,1980,3,5,10,-1.6,10,21.6
"6",4448,1980,3,6,11.7,-4,8.3,24
"7",4449,1980,3,7,14.2,2.3,5.8,17.7
"8",4450,1980,3,8,16.3,0,3.7,20
"9",4451,1980,3,9,9.9,3.5,10.1,16.5
"10",4452,1980,3,10,6.2,0.3,13.8,19.7
"11",4453,1980,3,11,4.4,-1.8,15.6,21.8
"12",4454,1980,3,12,7,-4,13,24
"13",4455,1980,3,13,10.9,-4,9.1,24
"14",4456,1980,3,14,7,1.3,13,18.7
"15",4457,1980,3,15,8.5,-2.3,11.5,22.3
"16",4458,1980,3,16,11,-1.6,9,21.6
"17",4459,1980,3,17,13.3,-1.4,6.7,21.4
"18",4460,1980,3,18,11.7,0.9,8.3,19.1
"19",4461,1980,3,19,12.6,-1,7.4,21
"20",4462,1980,3,20,10.5,0.5,9.5,19.5
"21",4463,1980,3,21,9.9,-0.3,10.1,20.3
"22",4464,1980,3,22,5.9,1.7,14.1,18.3
"23",4465,1980,3,23,5,0.1,15,19.9
"24",4466,1980,3,24,7.6,-2.7,12.4,22.7
"25",4467,1980,3,25,9.4,-2,10.6,22
"26",4468,1980,3,26,9.1,-0.1,10.9,20.1
"27",4469,1980,3,27,13.3,-2.1,6.7,22.1
"28",4470,1980,3,28,15.4,-1.3,4.6,21.3
"29",4471,1980,3,29,15.5,3,4.5,17
"30",4472,1980,3,30,17.8,0.5,2.2,19.5
"31",4473,1980,3,31,9.7,3.8,10.3,16.2
"32",4474,1980,4,1,12.8,3.4,7.2,16.6
"33",4475,1980,4,2,14.3,-1.4,5.7,21.4
"34",4476,1980,4,3,18,0.9,2,19.1
"35",4477,1980,4,4,22.5,4.9,0,15.1
"36",4478,1980,4,5,17.8,10.8,2.2,9.2
"37",4479,1980,4,6,10.9,4.5,9.1,15.5
"38",4480,1980,4,7,13.4,4.3,6.6,15.7
"39",4481,1980,4,8,15,7.3,5,12.7
"40",4482,1980,4,9,12.7,4.2,7.3,15.8
"41",4483,1980,4,10,15.5,0.4,4.5,19.6
"42",4484,1980,4,11,18.5,5,1.5,15
"43",4485,1980,4,12,14.2,10.2,5.8,9.8
"44",4486,1980,4,13,11.9,5.8,8.1,14.2
"45",4487,1980,4,14,9.6,4.1,10.4,15.9
"46",4488,1980,4,15,9,3.2,11,16.8
"47",4489,1980,4,16,10.9,3.4,9.1,16.6
"48",4490,1980,4,17,12.8,3.3,7.2,16.7
"49",4491,1980,4,18,20,4.5,0,15.5
"50",4492,1980,4,19,15.5,7.8,4.5,12.2
"51",4493,1980,4,20,13,4.6,7,15.4
"52",4494,1980,4,21,15,3.2,5,16.8
"53",4495,1980,4,22,15.6,1.3,4.4,18.7
"54",4496,1980,4,23,13.9,1.7,6.1,18.3
"55",4497,1980,4,24,13.8,2.2,6.2,17.8
"56",4498,1980,4,25,16.6,1,3.4,19
"57",4499,1980,4,26,20.6,2.3,0,17.7
"58",4500,1980,4,27,11.9,7.4,8.1,12.6
"59",4501,1980,4,28,16.2,5.6,3.8,14.4
"60",4502,1980,4,29,18.6,5.2,1.4,14.8
"61",4503,1980,4,30,20,8.2,0,11.8
"62",4504,1980,5,1,19.5,6.1,0.5,13.9
"63",4505,1980,5,2,22.5,8.2,0,11.8
"64",4506,1980,5,3,21.4,11,0,9
"65",4507,1980,5,4,21.1,10,0,10
"66",4508,1980,5,5,18.2,8,1.8,12
"67",4509,1980,5,6,18.5,7.7,1.5,12.3
"68",4510,1980,5,7,19.6,7.5,0.399999999999999,12.5
"69",4511,1980,5,8,20.3,9.2,0,10.8
"70",4512,1980,5,9,19.5,8.8,0.5,11.2
"71",4513,1980,5,10,20.4,9.4,0,10.6
"72",4514,1980,5,11,26.8,10.8,1.8,9.2
"73",4515,1980,5,12,17,12.8,3,7.2
"74",4516,1980,5,13,19.6,12.3,0.399999999999999,7.7
"75",4517,1980,5,14,22.1,10.8,0,9.2
"76",4518,1980,5,15,21.6,10.6,0,9.4
"77",4519,1980,5,16,16.7,9.5,3.3,10.5
"78",4520,1980,5,17,19,6.1,1,13.9
"79",4521,1980,5,18,23.8,7.6,0,12.4
"80",4522,1980,5,19,17.4,11.8,2.6,8.2
"81",4523,1980,5,20,22.7,12.2,0,7.8
"82",4524,1980,5,21,23.6,9.6,0,10.4
"83",4525,1980,5,22,24.6,10.6,0,9.4
"84",4526,1980,5,23,25.6,12.6,0.600000000000001,7.4
"85",4527,1980,5,24,25.5,12.4,0.5,7.6
"86",4528,1980,5,25,19.7,14.7,0.300000000000001,5.3
"87",4529,1980,5,26,15.7,10,4.3,10
"88",4530,1980,5,27,19.4,9.7,0.600000000000001,10.3
"89",4531,1980,5,28,22.4,14.5,0,5.5
"90",4532,1980,5,29,23.9,11.9,0,8.1
"91",4533,1980,5,30,28.2,13.6,3.2,6.4
"92",4534,1980,5,31,30.2,13.7,5.2,6.3
"93",4808,1981,3,1,3.5,-3.8,16.5,23.8
"94",4809,1981,3,2,9.1,-4.9,10.9,24.9
"95",4810,1981,3,3,8.4,-1.8,11.6,21.8
"96",4811,1981,3,4,8.3,-2.9,11.7,22.9
"97",4812,1981,3,5,6.8,-4.6,13.2,24.6
"98",4813,1981,3,6,5,-2.9,15,22.9
"99",4814,1981,3,7,10.2,-1.3,9.8,21.3
"100",4815,1981,3,8,10.3,-3,9.7,23
