"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6999,1980,3,1,8.4,1,11.6,19
"2",7000,1980,3,2,9.4,1.1,10.6,18.9
"3",7001,1980,3,3,11.7,4.2,8.3,15.8
"4",7002,1980,3,4,7,-0.5,13,20.5
"5",7003,1980,3,5,6.4,-0.6,13.6,20.6
"6",7004,1980,3,6,10,1.3,10,18.7
"7",7005,1980,3,7,6.8,3.6,13.2,16.4
"8",7006,1980,3,8,10.2,3.5,9.8,16.5
"9",7007,1980,3,9,6.3,3.1,13.7,16.9
"10",7008,1980,3,10,3.6,-0.8,16.4,20.8
"11",7009,1980,3,11,-0.1,-2.7,20.1,22.7
"12",7010,1980,3,12,3.5,-2.3,16.5,22.3
"13",7011,1980,3,13,7.2,2.1,12.8,17.9
"14",7012,1980,3,14,6.8,0.6,13.2,19.4
"15",7013,1980,3,15,7.8,1.3,12.2,18.7
"16",7014,1980,3,16,11.8,3.9,8.2,16.1
"17",7015,1980,3,17,11.1,2.7,8.9,17.3
"18",7016,1980,3,18,2.7,-0.3,17.3,20.3
"19",7017,1980,3,19,8.9,0.2,11.1,19.8
"20",7018,1980,3,20,12.4,5.6,7.6,14.4
"21",7019,1980,3,21,6.2,2.2,13.8,17.8
"22",7020,1980,3,22,3.1,-0.8,16.9,20.8
"23",7021,1980,3,23,7.1,-0.3,12.9,20.3
"24",7022,1980,3,24,6.3,0.2,13.7,19.8
"25",7023,1980,3,25,9,2.5,11,17.5
"26",7024,1980,3,26,8.3,3.2,11.7,16.8
"27",7025,1980,3,27,12.2,4.2,7.8,15.8
"28",7026,1980,3,28,14,5.9,6,14.1
"29",7027,1980,3,29,11.4,7.4,8.6,12.6
"30",7028,1980,3,30,16.4,6.9,3.6,13.1
"31",7029,1980,3,31,10.8,5.8,9.2,14.2
"32",7030,1980,4,1,10,4.4,10,15.6
"33",7031,1980,4,2,10.8,3.2,9.2,16.8
"34",7032,1980,4,3,11,4.5,9,15.5
"35",7033,1980,4,4,15.8,9,4.2,11
"36",7034,1980,4,5,14.4,10.9,5.6,9.1
"37",7035,1980,4,6,14.6,2.5,5.4,17.5
"38",7036,1980,4,7,9.6,1.8,10.4,18.2
"39",7037,1980,4,8,12.4,6.5,7.6,13.5
"40",7038,1980,4,9,10.8,2.6,9.2,17.4
"41",7039,1980,4,10,10.6,1.8,9.4,18.2
"42",7040,1980,4,11,15.4,5.9,4.6,14.1
"43",7041,1980,4,12,16.2,5.8,3.8,14.2
"44",7042,1980,4,13,8.4,4,11.6,16
"45",7043,1980,4,14,4.6,0.1,15.4,19.9
"46",7044,1980,4,15,8.4,1.8,11.6,18.2
"47",7045,1980,4,16,10.4,3.9,9.6,16.1
"48",7046,1980,4,17,10.5,3.1,9.5,16.9
"49",7047,1980,4,18,11.8,5.3,8.2,14.7
"50",7048,1980,4,19,14.4,11.1,5.6,8.9
"51",7049,1980,4,20,13.2,7,6.8,13
"52",7050,1980,4,21,14.3,7.6,5.7,12.4
"53",7051,1980,4,22,14,8.1,6,11.9
"54",7052,1980,4,23,10,5.8,10,14.2
"55",7053,1980,4,24,11.6,6.1,8.4,13.9
"56",7054,1980,4,25,14.8,6.6,5.2,13.4
"57",7055,1980,4,26,17.2,8.8,2.8,11.2
"58",7056,1980,4,27,11.8,5.9,8.2,14.1
"59",7057,1980,4,28,12.5,5.6,7.5,14.4
"60",7058,1980,4,29,13.5,9.2,6.5,10.8
"61",7059,1980,4,30,16.8,9.6,3.2,10.4
"62",7060,1980,5,1,16.5,8.5,3.5,11.5
"63",7061,1980,5,2,17.8,10.5,2.2,9.5
"64",7062,1980,5,3,20.9,14,0,6
"65",7063,1980,5,4,20.8,13.6,0,6.4
"66",7064,1980,5,5,18.2,12.5,1.8,7.5
"67",7065,1980,5,6,13.8,8.4,6.2,11.6
"68",7066,1980,5,7,15,8.8,5,11.2
"69",7067,1980,5,8,13.6,9.7,6.4,10.3
"70",7068,1980,5,9,16.6,10,3.4,10
"71",7069,1980,5,10,22.4,11.5,0,8.5
"72",7070,1980,5,11,26.5,20.4,1.5,0
"73",7071,1980,5,12,20.9,10.8,0,9.2
"74",7072,1980,5,13,19.9,14.1,0.100000000000001,5.9
"75",7073,1980,5,14,19.7,13,0.300000000000001,7
"76",7074,1980,5,15,15.8,9,4.2,11
"77",7075,1980,5,16,15.6,10,4.4,10
"78",7076,1980,5,17,17.3,10.2,2.7,9.8
"79",7077,1980,5,18,16.1,10.8,3.9,9.2
"80",7078,1980,5,19,19.2,12.4,0.800000000000001,7.6
"81",7079,1980,5,20,15,11.8,5,8.2
"82",7080,1980,5,21,16.5,11.6,3.5,8.4
"83",7081,1980,5,22,18.2,10.4,1.8,9.6
"84",7082,1980,5,23,23.8,15,0,5
"85",7083,1980,5,24,22.6,15.3,0,4.7
"86",7084,1980,5,25,19.9,15.6,0.100000000000001,4.4
