"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3345,1980,3,1,8.9,-0.9,11.1,20.9
"2",3346,1980,3,2,9.7,-5.5,10.3,25.5
"3",3347,1980,3,3,14.2,-3.5,5.8,23.5
"4",3348,1980,3,4,11.5,-1.3,8.5,21.3
"5",3349,1980,3,5,11.5,-0.9,8.5,20.9
"6",3350,1980,3,6,11.5,-4.7,8.5,24.7
"7",3351,1980,3,7,12.8,1.5,7.2,18.5
"8",3352,1980,3,8,15.8,-1.6,4.2,21.6
"9",3353,1980,3,9,9.1,3,10.9,17
"10",3354,1980,3,10,10.3,0.1,9.7,19.9
"11",3355,1980,3,11,8.1,-2.1,11.9,22.1
"12",3356,1980,3,12,9.1,-4.5,10.9,24.5
"13",3357,1980,3,13,11.7,-4.3,8.3,24.3
"14",3358,1980,3,14,7.7,0.9,12.3,19.1
"15",3359,1980,3,15,8.5,-3.1,11.5,23.1
"16",3360,1980,3,16,10.7,-1.7,9.3,21.7
"17",3361,1980,3,17,12.8,-1.9,7.2,21.9
"18",3362,1980,3,18,11.1,-0.1,8.9,20.1
"19",3363,1980,3,19,13.2,-1.7,6.8,21.7
"20",3364,1980,3,20,11.3,0.3,8.7,19.7
"21",3365,1980,3,21,13.2,-2.7,6.8,22.7
"22",3366,1980,3,22,6.3,0.1,13.7,19.9
"23",3367,1980,3,23,3.9,-1.7,16.1,21.7
"24",3368,1980,3,24,7.7,-4.7,12.3,24.7
"25",3369,1980,3,25,9.7,-1.7,10.3,21.7
"26",3370,1980,3,26,9.9,0.5,10.1,19.5
"27",3371,1980,3,27,15.2,-2.8,4.8,22.8
"28",3372,1980,3,28,16.2,-2.7,3.8,22.7
"29",3373,1980,3,29,17,3.8,3,16.2
"30",3374,1980,3,30,19.3,0.3,0.699999999999999,19.7
"31",3375,1980,3,31,10.8,5,9.2,15
"32",3376,1980,4,1,12.3,2.3,7.7,17.7
"33",3377,1980,4,2,13.4,0.9,6.6,19.1
"34",3378,1980,4,3,20.3,-0.5,0,20.5
"35",3379,1980,4,4,22.6,2.3,0,17.7
"36",3380,1980,4,5,17.8,13.4,2.2,6.6
"37",3381,1980,4,6,13.1,5,6.9,15
"38",3382,1980,4,7,15.2,4.2,4.8,15.8
"39",3383,1980,4,8,16.4,6.6,3.6,13.4
"40",3384,1980,4,9,18.1,5,1.9,15
"41",3385,1980,4,10,17.8,1.1,2.2,18.9
"42",3386,1980,4,11,19.3,3.2,0.699999999999999,16.8
"43",3387,1980,4,12,13.8,8,6.2,12
"44",3388,1980,4,13,11.9,6.7,8.1,13.3
"45",3389,1980,4,14,9.5,3,10.5,17
"46",3390,1980,4,15,11.7,2.5,8.3,17.5
"47",3391,1980,4,16,10.9,1.9,9.1,18.1
"48",3392,1980,4,17,12.3,4.2,7.7,15.8
"49",3393,1980,4,18,19.2,2.3,0.800000000000001,17.7
"50",3394,1980,4,19,19.8,3,0.199999999999999,17
"51",3395,1980,4,20,13.3,3,6.7,17
"52",3396,1980,4,21,14.8,2.1,5.2,17.9
"53",3397,1980,4,22,16,0.5,4,19.5
"54",3398,1980,4,23,13.6,4.2,6.4,15.8
"55",3399,1980,4,24,14,0.3,6,19.7
"56",3400,1980,4,25,17.6,0.5,2.4,19.5
"57",3401,1980,4,26,19.8,1.3,0.199999999999999,18.7
"58",3402,1980,4,27,10.4,6.2,9.6,13.8
"59",3403,1980,4,28,16,4.2,4,15.8
"60",3404,1980,4,29,18.2,3,1.8,17
"61",3405,1980,4,30,20.6,8,0,12
"62",3406,1980,5,1,21.2,5.2,0,14.8
"63",3407,1980,5,2,23.8,5,0,15
"64",3408,1980,5,3,21.2,7.8,0,12.2
"65",3409,1980,5,4,21.8,8.6,0,11.4
"66",3410,1980,5,5,20.9,4.4,0,15.6
"67",3411,1980,5,6,19.2,8.4,0.800000000000001,11.6
"68",3412,1980,5,7,22.1,5.6,0,14.4
"69",3413,1980,5,8,21,7.6,0,12.4
"70",3414,1980,5,9,19,8.2,1,11.8
"71",3415,1980,5,10,24,6.8,0,13.2
"72",3416,1980,5,11,27.4,8.6,2.4,11.4
"73",3417,1980,5,12,16.2,12.9,3.8,7.1
"74",3418,1980,5,13,19.2,14.4,0.800000000000001,5.6
"75",3419,1980,5,14,21.6,12.2,0,7.8
"76",3420,1980,5,15,24,14.2,0,5.8
"77",3421,1980,5,16,17.4,9.8,2.6,10.2
"78",3422,1980,5,17,21.3,4,0,16
"79",3423,1980,5,18,23.8,5.6,0,14.4
"80",3424,1980,5,19,18.2,10.8,1.8,9.2
"81",3425,1980,5,20,23,11.6,0,8.4
"82",3426,1980,5,21,26.8,9.8,1.8,10.2
"83",3427,1980,5,22,27.2,10.4,2.2,9.6
"84",3428,1980,5,23,26.4,12.8,1.4,7.2
"85",3429,1980,5,24,26.8,11,1.8,9
"86",3430,1980,5,25,19.2,16.8,0.800000000000001,3.2
"87",3431,1980,5,26,17.6,10,2.4,10
"88",3432,1980,5,27,23.4,7.2,0,12.8
"89",3433,1980,5,28,26.4,12.2,1.4,7.8
"90",3434,1980,5,29,27,10.6,2,9.4
"91",3435,1980,5,30,30.4,14,5.4,6
"92",3436,1980,5,31,30.5,16.2,5.5,3.8
"93",3710,1981,3,1,6,-6,14,26
"94",3711,1981,3,2,9.4,-6,10.6,26
"95",3712,1981,3,3,9.2,-3,10.8,23
"96",3713,1981,3,4,8,-2.8,12,22.8
"97",3714,1981,3,5,7.4,-5.2,12.6,25.2
"98",3715,1981,3,6,4.2,-4.4,15.8,24.4
"99",3716,1981,3,7,10.4,-4.2,9.6,24.2
"100",3717,1981,3,8,9.6,-2.8,10.4,22.8
"101",3718,1981,3,9,2.4,-2.8,17.6,22.8
