"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3102,1980,3,1,8.8,-2.8,11.2,22.8
"2",3103,1980,3,2,9.3,-8.2,10.7,28.2
"3",3104,1980,3,3,10.3,-6.8,9.7,26.8
"4",3105,1980,3,4,7.6,-3.9,12.4,23.9
"5",3106,1980,3,5,11.3,-6,8.7,26
"6",3107,1980,3,6,12.9,-6.6,7.1,26.6
"7",3108,1980,3,7,10.7,-1,9.3,21
"8",3109,1980,3,8,14.9,-4.2,5.1,24.2
"9",3110,1980,3,9,7.3,0.4,12.7,19.6
"10",3111,1980,3,10,10,-2.3,10,22.3
"11",3112,1980,3,11,7.6,-4.8,12.4,24.8
"12",3113,1980,3,12,8.2,-7.2,11.8,27.2
"13",3114,1980,3,13,12.1,-6.4,7.9,26.4
"14",3115,1980,3,14,8.3,-0.1,11.7,20.1
"15",3116,1980,3,15,8,-5.8,12,25.8
"16",3117,1980,3,16,9.4,-4.8,10.6,24.8
"17",3118,1980,3,17,10.7,-0.9,9.3,20.9
"18",3119,1980,3,18,6.8,-2.8,13.2,22.8
"19",3120,1980,3,19,12.2,-2.9,7.8,22.9
"20",3121,1980,3,20,11.6,0.6,8.4,19.4
"21",3122,1980,3,21,8.8,-2.4,11.2,22.4
"22",3123,1980,3,22,4,-0.5,16,20.5
"23",3124,1980,3,23,3.5,-1.3,16.5,21.3
"24",3125,1980,3,24,7.4,-6.5,12.6,26.5
"25",3126,1980,3,25,8.6,-4,11.4,24
"26",3127,1980,3,26,10.1,0.6,9.9,19.4
"27",3128,1980,3,27,15.4,-5.5,4.6,25.5
"28",3129,1980,3,28,17,-3.2,3,23.2
"29",3130,1980,3,29,17.3,1,2.7,19
"30",3131,1980,3,30,18.7,-1.8,1.3,21.8
"31",3132,1980,3,31,8.9,1.8,11.1,18.2
"32",3133,1980,4,1,10.8,-0.8,9.2,20.8
"33",3134,1980,4,2,12,-3.6,8,23.6
"34",3135,1980,4,3,19.2,-2,0.800000000000001,22
"35",3136,1980,4,4,21.2,7.6,0,12.4
"36",3137,1980,4,5,17.5,7.4,2.5,12.6
"37",3138,1980,4,6,7.4,2,12.6,18
"38",3139,1980,4,7,13.5,-0.7,6.5,20.7
"39",3140,1980,4,8,14.9,4.3,5.1,15.7
"40",3141,1980,4,9,12.3,1.3,7.7,18.7
"41",3142,1980,4,10,17.4,-1.7,2.6,21.7
"42",3143,1980,4,11,18.5,2,1.5,18
"43",3144,1980,4,12,11.7,3.6,8.3,16.4
"44",3145,1980,4,13,6.8,1.6,13.2,18.4
"45",3146,1980,4,14,5,0.3,15,19.7
"46",3147,1980,4,15,10.5,-3.3,9.5,23.3
"47",3148,1980,4,16,8.2,0.3,11.8,19.7
"48",3149,1980,4,17,11,1.3,9,18.7
"49",3150,1980,4,18,19,-1,1,21
"50",3151,1980,4,19,19.9,3.5,0.100000000000001,16.5
"51",3152,1980,4,20,12.9,4.2,7.1,15.8
"52",3153,1980,4,21,15.5,2.2,4.5,17.8
"53",3154,1980,4,22,14.8,-0.8,5.2,20.8
"54",3155,1980,4,23,13.1,0.5,6.9,19.5
"55",3156,1980,4,24,14.7,-1.5,5.3,21.5
"56",3157,1980,4,25,17.2,0.5,2.8,19.5
"57",3158,1980,4,26,20.4,0,0,20
"58",3159,1980,4,27,11.2,6.2,8.8,13.8
"59",3160,1980,4,28,13.4,5.6,6.6,14.4
"60",3161,1980,4,29,18.6,2.4,1.4,17.6
"61",3162,1980,4,30,20.4,3.3,0,16.7
"62",3163,1980,5,1,21.3,3.3,0,16.7
"63",3164,1980,5,2,23.7,6.9,0,13.1
"64",3165,1980,5,3,19.9,10,0.100000000000001,10
"65",3166,1980,5,4,21.7,13.8,0,6.2
"66",3167,1980,5,5,18.4,3,1.6,17
"67",3168,1980,5,6,19.7,4.1,0.300000000000001,15.9
"68",3169,1980,5,7,21.9,3.2,0,16.8
"69",3170,1980,5,8,21.3,5.9,0,14.1
"70",3171,1980,5,9,20.7,6.3,0,13.7
"71",3172,1980,5,10,24.9,5.5,0,14.5
"72",3173,1980,5,11,27.3,7.8,2.3,12.2
"73",3174,1980,5,12,14.9,11.3,5.1,8.7
"74",3175,1980,5,13,21.8,11.9,0,8.1
"75",3176,1980,5,14,22.2,10.8,0,9.2
"76",3177,1980,5,15,22.4,11.4,0,8.6
"77",3178,1980,5,16,18.5,8.2,1.5,11.8
"78",3179,1980,5,17,20.3,2.5,0,17.5
"79",3180,1980,5,18,22.8,3.7,0,16.3
"80",3181,1980,5,19,19.4,8.9,0.600000000000001,11.1
"81",3182,1980,5,20,22.9,9.6,0,10.4
"82",3183,1980,5,21,29.2,7.8,4.2,12.2
"83",3184,1980,5,22,29.1,8.4,4.1,11.6
"84",3185,1980,5,23,28.3,11.2,3.3,8.8
"85",3186,1980,5,24,28.6,9.2,3.6,10.8
"86",3187,1980,5,25,18.4,16,1.6,4
"87",3188,1980,5,26,18.4,9.2,1.6,10.8
"88",3189,1980,5,27,22.1,5.4,0,14.6
"89",3190,1980,5,28,26.1,13.9,1.1,6.1
"90",3191,1980,5,29,29.6,8.9,4.6,11.1
"91",3192,1980,5,30,32.3,11.2,7.3,8.8
"92",3193,1980,5,31,26.4,12.3,1.4,7.7
"93",3467,1981,3,1,5.8,-9.3,14.2,29.3
"94",3468,1981,3,2,7.5,-9.4,12.5,29.4
"95",3469,1981,3,3,9.8,-4.1,10.2,24.1
"96",3470,1981,3,4,9.1,-3.6,10.9,23.6
"97",3471,1981,3,5,6.4,-5,13.6,25
"98",3472,1981,3,6,3.9,-7.5,16.1,27.5
"99",3473,1981,3,7,10.5,-0.7,9.5,20.7
"100",3474,1981,3,8,4.8,-4.5,15.2,24.5
"101",3475,1981,3,9,-0.4,-6.9,20.4,26.9
"102",3476,1981,3,10,6.9,-8.3,13.1,28.3
"103",3477,1981,3,11,10.7,-6.9,9.3,26.9
"104",3478,1981,3,12,16.9,-4.8,3.1,24.8
"105",3479,1981,3,13,18.9,-2.7,1.1,22.7
"106",3480,1981,3,14,9.5,3.2,10.5,16.8
"107",3481,1981,3,15,6.4,-0.3,13.6,20.3
"108",3482,1981,3,16,10.5,-5.4,9.5,25.4
"109",3483,1981,3,17,14.2,-1.3,5.8,21.3
"110",3484,1981,3,18,16.7,-2.2,3.3,22.2
"111",3485,1981,3,19,20.8,-1.6,0,21.6
"112",3486,1981,3,20,19.1,-2.1,0.899999999999999,22.1
"113",3487,1981,3,21,20.2,-1.2,0,21.2
"114",3488,1981,3,22,15.4,3.4,4.6,16.6
"115",3489,1981,3,23,12.9,2.3,7.1,17.7
"116",3490,1981,3,24,7.3,0.5,12.7,19.5
"117",3491,1981,3,25,6,1.4,14,18.6
"118",3492,1981,3,26,3.8,-1.2,16.2,21.2
"119",3493,1981,3,27,8,-0.2,12,20.2
"120",3494,1981,3,28,14,-2.1,6,22.1
