"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4018,1980,3,1,13.5,2.7,6.5,17.3
"2",4019,1980,3,2,12.5,-1.7,7.5,21.7
"3",4020,1980,3,3,13.1,0.9,6.9,19.1
"4",4021,1980,3,4,9.3,2.6,10.7,17.4
"5",4022,1980,3,5,12.1,3.1,7.9,16.9
"6",4023,1980,3,6,13.6,-0.4,6.4,20.4
"7",4024,1980,3,7,15,5.9,5,14.1
"8",4025,1980,3,8,13.1,5.4,6.9,14.6
"9",4026,1980,3,9,9.4,6.4,10.6,13.6
"10",4027,1980,3,10,15.1,2.2,4.9,17.8
"11",4028,1980,3,11,12.5,2.7,7.5,17.3
"12",4029,1980,3,12,13.3,0.2,6.7,19.8
"13",4030,1980,3,13,14.8,2.2,5.2,17.8
"14",4031,1980,3,14,11.5,3.7,8.5,16.3
"15",4032,1980,3,15,11.2,-0.2,8.8,20.2
"16",4033,1980,3,16,13.6,1.2,6.4,18.8
"17",4034,1980,3,17,17.4,2.9,2.6,17.1
"18",4035,1980,3,18,12,2.7,8,17.3
"19",4036,1980,3,19,14.4,2.1,5.6,17.9
"20",4037,1980,3,20,16,2,4,18
"21",4038,1980,3,21,11,3.5,9,16.5
"22",4039,1980,3,22,7,2.9,13,17.1
"23",4040,1980,3,23,8.2,0.7,11.8,19.3
"24",4041,1980,3,24,10.2,-1,9.8,21
"25",4042,1980,3,25,11.8,-0.6,8.2,20.6
"26",4043,1980,3,26,14.4,1,5.6,19
"27",4044,1980,3,27,16.2,1.6,3.8,18.4
"28",4045,1980,3,28,18,0.2,2,19.8
"29",4046,1980,3,29,10,5.8,10,14.2
"30",4047,1980,3,30,19.8,2.6,0.199999999999999,17.4
"31",4048,1980,3,31,12.5,8.5,7.5,11.5
"32",4049,1980,4,1,15.6,4.8,4.4,15.2
"33",4050,1980,4,2,14.8,1.3,5.2,18.7
"34",4051,1980,4,3,16.7,1.3,3.3,18.7
"35",4052,1980,4,4,20.9,3.7,0,16.3
"36",4053,1980,4,5,18.5,15,1.5,5
"37",4054,1980,4,6,18.8,6.2,1.2,13.8
"38",4055,1980,4,7,16.5,4.5,3.5,15.5
"39",4056,1980,4,8,18.1,4.6,1.9,15.4
"40",4057,1980,4,9,21.5,10.5,0,9.5
"41",4058,1980,4,10,16.1,7.3,3.9,12.7
"42",4059,1980,4,11,17.1,3.2,2.9,16.8
"43",4060,1980,4,12,14.9,11.3,5.1,8.7
"44",4061,1980,4,13,15.3,10.6,4.7,9.4
"45",4062,1980,4,14,11.7,5.9,8.3,14.1
"46",4063,1980,4,15,11.3,4.5,8.7,15.5
"47",4064,1980,4,16,9.6,3,10.4,17
"48",4065,1980,4,17,14.8,4.2,5.2,15.8
"49",4066,1980,4,18,17.9,4.5,2.1,15.5
"50",4067,1980,4,19,20.7,16.5,0,3.5
"51",4068,1980,4,20,20.2,10.6,0,9.4
"52",4069,1980,4,21,19,6.9,1,13.1
"53",4070,1980,4,22,20.1,7,0,13
"54",4071,1980,4,23,17.5,5.2,2.5,14.8
"55",4072,1980,4,24,17.3,6.4,2.7,13.6
"56",4073,1980,4,25,20.1,5.9,0,14.1
