"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5173,1980,3,1,9.8,-1.9,10.2,21.9
"2",5174,1980,3,2,10.7,-6.2,9.3,26.2
"3",5175,1980,3,3,12.2,-4,7.8,24
"4",5176,1980,3,4,9.8,-1.3,10.2,21.3
"5",5177,1980,3,5,13.2,-2.7,6.8,22.7
"6",5178,1980,3,6,12.9,-4.2,7.1,24.2
"7",5179,1980,3,7,12.2,0.7,7.8,19.3
"8",5180,1980,3,8,14.9,-2.2,5.1,22.2
"9",5181,1980,3,9,9.8,1.3,10.2,18.7
"10",5182,1980,3,10,11.5,-0.8,8.5,20.8
"11",5183,1980,3,11,9.6,-3.9,10.4,23.9
"12",5184,1980,3,12,9.7,-5.2,10.3,25.2
"13",5185,1980,3,13,12.4,-4.4,7.6,24.4
"14",5186,1980,3,14,9.8,1.2,10.2,18.8
"15",5187,1980,3,15,9,-4.6,11,24.6
"16",5188,1980,3,16,11.2,-3.1,8.8,23.1
"17",5189,1980,3,17,11,-0.1,9,20.1
"18",5190,1980,3,18,10,-1.6,10,21.6
"19",5191,1980,3,19,13,0.1,7,19.9
"20",5192,1980,3,20,12.6,0.3,7.4,19.7
"21",5193,1980,3,21,11.8,-2.3,8.2,22.3
"22",5194,1980,3,22,5.7,1.4,14.3,18.6
"23",5195,1980,3,23,5.8,0.3,14.2,19.7
"24",5196,1980,3,24,8.9,-5,11.1,25
"25",5197,1980,3,25,10,-2.6,10,22.6
"26",5198,1980,3,26,11.2,0.6,8.8,19.4
"27",5199,1980,3,27,16.3,-4,3.7,24
"28",5200,1980,3,28,18,-1.7,2,21.7
"29",5201,1980,3,29,18.6,3,1.4,17
"30",5202,1980,3,30,20.4,-0.1,0,20.1
"31",5203,1980,3,31,10.4,2.9,9.6,17.1
"32",5204,1980,4,1,12.4,0.9,7.6,19.1
"33",5205,1980,4,2,13.5,-2.3,6.5,22.3
"34",5206,1980,4,3,20.2,-1.1,0,21.1
"35",5207,1980,4,4,22.2,3.4,0,16.6
"36",5208,1980,4,5,17.6,13.6,2.4,6.4
"37",5209,1980,4,6,14.6,4.6,5.4,15.4
"38",5210,1980,4,7,14,0.9,6,19.1
"39",5211,1980,4,8,15.4,7.1,4.6,12.9
"40",5212,1980,4,9,18,2.9,2,17.1
"41",5213,1980,4,10,18.3,1.9,1.7,18.1
"42",5214,1980,4,11,19.3,2.9,0.699999999999999,17.1
"43",5215,1980,4,12,12.8,6.4,7.2,13.6
"44",5216,1980,4,13,11,4.8,9,15.2
"45",5217,1980,4,14,7.5,2.4,12.5,17.6
"46",5218,1980,4,15,12.4,0.1,7.6,19.9
"47",5219,1980,4,16,10.3,2.5,9.7,17.5
"48",5220,1980,4,17,12.2,3.9,7.8,16.1
"49",5221,1980,4,18,18.8,1.6,1.2,18.4
"50",5222,1980,4,19,19.6,5.1,0.399999999999999,14.9
"51",5223,1980,4,20,13.6,3.1,6.4,16.9
"52",5224,1980,4,21,15.8,1.1,4.2,18.9
"53",5225,1980,4,22,16.4,0.8,3.6,19.2
"54",5226,1980,4,23,14,0.5,6,19.5
"55",5227,1980,4,24,15.6,0.4,4.4,19.6
"56",5228,1980,4,25,18.4,0.6,1.6,19.4
"57",5229,1980,4,26,20.2,1.6,0,18.4
"58",5230,1980,4,27,10.7,7,9.3,13
"59",5231,1980,4,28,14.8,5,5.2,15
"60",5232,1980,4,29,18.7,3.6,1.3,16.4
"61",5233,1980,4,30,21.6,5.7,0,14.3
"62",5234,1980,5,1,22.8,4.9,0,15.1
"63",5235,1980,5,2,24,5.4,0,14.6
"64",5236,1980,5,3,19.3,7.8,0.699999999999999,12.2
"65",5237,1980,5,4,21.8,12.6,0,7.4
"66",5238,1980,5,5,19.4,4.8,0.600000000000001,15.2
"67",5239,1980,5,6,21,5.6,0,14.4
"68",5240,1980,5,7,23.1,5.7,0,14.3
"69",5241,1980,5,8,22,6.1,0,13.9
"70",5242,1980,5,9,21.8,7.8,0,12.2
"71",5243,1980,5,10,25.1,6.2,0.100000000000001,13.8
"72",5244,1980,5,11,28.1,7.7,3.1,12.3
"73",5245,1980,5,12,15,12.2,5,7.8
"74",5246,1980,5,13,20.8,13.9,0,6.1
"75",5247,1980,5,14,21.8,12,0,8
"76",5248,1980,5,15,24,12.2,0,7.8
"77",5249,1980,5,16,19.4,9.8,0.600000000000001,10.2
"78",5250,1980,5,17,21.4,4.3,0,15.7
"79",5251,1980,5,18,23.7,5.7,0,14.3
"80",5252,1980,5,19,18.8,10.2,1.2,9.8
"81",5253,1980,5,20,24.4,11.6,0,8.4
"82",5254,1980,5,21,30.2,9.3,5.2,10.7
"83",5255,1980,5,22,28.7,11.5,3.7,8.5
"84",5256,1980,5,23,28.7,12.9,3.7,7.1
"85",5257,1980,5,24,27.7,10.5,2.7,9.5
"86",5258,1980,5,25,19.1,16.8,0.899999999999999,3.2
"87",5259,1980,5,26,18,8,2,12
"88",5260,1980,5,27,23.3,6.5,0,13.5
"89",5261,1980,5,28,27.2,15,2.2,5
"90",5262,1980,5,29,28.7,10.4,3.7,9.6
"91",5263,1980,5,30,32.7,14.1,7.7,5.9
