"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7121,1980,7,1,18.6,15.4,3.4,6.6
"2",7122,1980,7,2,18,15.5,4,6.5
"3",7123,1980,7,3,21.5,16.2,0.5,5.8
"4",7124,1980,7,4,26.2,16.5,0,5.5
"5",7125,1980,7,5,28.3,22.2,0,0
"6",7126,1980,7,6,30.4,20.8,0.399999999999999,1.2
"7",7127,1980,7,7,31.7,22.4,1.7,0
"8",7128,1980,7,8,26.9,19.8,0,2.2
"9",7129,1980,7,9,26.2,19.4,0,2.6
"10",7130,1980,7,10,27,19.4,0,2.6
"11",7131,1980,7,11,27.2,20,0,2
"12",7132,1980,7,12,29.8,19.8,0,2.2
"13",7133,1980,7,13,25.5,20.2,0,1.8
"14",7134,1980,7,14,20.4,18.3,1.6,3.7
"15",7135,1980,7,15,23.1,18.3,0,3.7
"16",7136,1980,7,16,24.2,17.1,0,4.9
"17",7137,1980,7,17,23.4,16.6,0,5.4
"18",7138,1980,7,18,21.2,16.8,0.800000000000001,5.2
"19",7139,1980,7,19,26.6,18.4,0,3.6
"20",7140,1980,7,20,27.1,20.5,0,1.5
"21",7141,1980,7,21,28.2,22,0,0
"22",7142,1980,7,22,30.4,20.7,0.399999999999999,1.3
"23",7143,1980,7,23,30.3,21,0.300000000000001,1
"24",7144,1980,7,24,33.2,21.5,3.2,0.5
"25",7145,1980,7,25,26.6,20.4,0,1.6
"26",7146,1980,7,26,25,20.8,0,1.2
"27",7147,1980,7,27,23.7,20.2,0,1.8
"28",7148,1980,7,28,22.6,19.8,0,2.2
"29",7149,1980,7,29,21.7,18.7,0.300000000000001,3.3
"30",7150,1980,7,30,22.6,17.8,0,4.2
"31",7151,1980,7,31,23.2,15.8,0,6.2
"32",7486,1981,7,1,21.2,17.9,0.800000000000001,4.1
"33",7487,1981,7,2,19.1,17.6,2.9,4.4
"34",7488,1981,7,3,18,15.4,4,6.6
"35",7489,1981,7,4,17.8,14.9,4.2,7.1
"36",7490,1981,7,5,31,15.6,1,6.4
"37",7491,1981,7,6,32.1,19.7,2.1,2.3
"38",7492,1981,7,7,28.7,19.7,0,2.3
"39",7493,1981,7,8,32.2,23.8,2.2,0
"40",7494,1981,7,9,27.7,24,0,0
"41",7495,1981,7,10,30.8,22.9,0.800000000000001,0
"42",7496,1981,7,11,24.7,19.1,0,2.9
"43",7497,1981,7,12,20.9,18.7,1.1,3.3
"44",7498,1981,7,13,25,18.3,0,3.7
"45",7499,1981,7,14,33.4,18.8,3.4,3.2
"46",7500,1981,7,15,35.4,24.7,5.4,0
"47",7501,1981,7,16,35.2,27.4,5.2,0
"48",7502,1981,7,17,35.7,27.4,5.7,0
"49",7503,1981,7,18,34.7,27.7,4.7,0
"50",7504,1981,7,19,36.4,27.5,6.4,0
"51",7505,1981,7,20,35,28.1,5,0
"52",7506,1981,7,21,36.1,27.4,6.1,0
"53",7507,1981,7,22,28.2,22.6,0,0
"54",7508,1981,7,23,26.7,21.8,0,0.199999999999999
"55",7509,1981,7,24,29.2,22.6,0,0
"56",7510,1981,7,25,28.1,23.2,0,0
"57",7511,1981,7,26,27,23,0,0
"58",7512,1981,7,27,25,21.9,0,0.100000000000001
"59",7513,1981,7,28,30.8,21.7,0.800000000000001,0.300000000000001
"60",7514,1981,7,29,31.8,23.1,1.8,0
"61",7515,1981,7,30,33.1,24.1,3.1,0
"62",7516,1981,7,31,30.4,23,0.399999999999999,0
"63",7851,1982,7,1,25.5,16.7,0,5.3
"64",7852,1982,7,2,24,17.8,0,4.2
"65",7853,1982,7,3,25.7,16,0,6
"66",7854,1982,7,4,25.3,17.7,0,4.3
"67",7855,1982,7,5,27.7,16.2,0,5.8
"68",7856,1982,7,6,27.4,18.7,0,3.3
"69",7857,1982,7,7,27.8,19.7,0,2.3
"70",7858,1982,7,8,31.4,22,1.4,0
"71",7859,1982,7,9,32.4,21.4,2.4,0.600000000000001
"72",7860,1982,7,10,33.8,24.1,3.8,0
"73",7861,1982,7,11,33.4,24.6,3.4,0
"74",7862,1982,7,12,31.1,22.5,1.1,0
"75",7863,1982,7,13,30.7,21.4,0.699999999999999,0.600000000000001
"76",7864,1982,7,14,27.3,19.2,0,2.8
"77",7865,1982,7,15,27.9,19.8,0,2.2
"78",7866,1982,7,16,24.1,20.2,0,1.8
"79",7867,1982,7,17,33.2,18.1,3.2,3.9
"80",7868,1982,7,18,32.7,23,2.7,0
"81",7869,1982,7,19,31.2,23,1.2,0
"82",7870,1982,7,20,31.3,21.8,1.3,0.199999999999999
"83",7871,1982,7,21,30.1,20.4,0.100000000000001,1.6
"84",7872,1982,7,22,31,20.5,1,1.5
"85",7873,1982,7,23,29.9,21.2,0,0.800000000000001
"86",7874,1982,7,24,24,21.4,0,0.600000000000001
"87",7875,1982,7,25,22.6,21.4,0,0.600000000000001
"88",7876,1982,7,26,27.3,20.8,0,1.2
"89",7877,1982,7,27,22,19.2,0,2.8
"90",7878,1982,7,28,21.3,18.6,0.699999999999999,3.4
"91",7879,1982,7,29,21,18.5,1,3.5
"92",7880,1982,7,30,26.3,17.6,0,4.4
"93",7881,1982,7,31,24.8,21.2,0,0.800000000000001
"94",8216,1983,7,1,21.6,17.7,0.399999999999999,4.3
"95",8217,1983,7,2,21.2,16.3,0.800000000000001,5.7
"96",8218,1983,7,3,26.9,17.1,0,4.9
"97",8219,1983,7,4,26.6,18.2,0,3.8
"98",8220,1983,7,5,19.3,16,2.7,6
"99",8221,1983,7,6,18.5,15.3,3.5,6.7
"100",8222,1983,7,7,19,15,3,7
"101",8223,1983,7,8,18.7,14.8,3.3,7.2
"102",8224,1983,7,9,21.9,14.4,0.100000000000001,7.6
"103",8225,1983,7,10,22.4,16.7,0,5.3
"104",8226,1983,7,11,25.2,15.4,0,6.6
"105",8227,1983,7,12,26.6,13.7,0,8.3
"106",8228,1983,7,13,24.8,17.5,0,4.5
"107",8229,1983,7,14,20.2,18.7,1.8,3.3
"108",8230,1983,7,15,25.9,18,0,4
"109",8231,1983,7,16,28.5,23.5,0,0
"110",8232,1983,7,17,31.9,21.6,1.9,0.399999999999999
"111",8233,1983,7,18,33.8,23.8,3.8,0
"112",8234,1983,7,19,30,19.5,0,2.5
"113",8235,1983,7,20,24.7,19.4,0,2.6
"114",8236,1983,7,21,30,22.5,0,0
"115",8237,1983,7,22,28.3,19.2,0,2.8
"116",8238,1983,7,23,30.6,25.4,0.600000000000001,0
"117",8239,1983,7,24,28.9,22.2,0,0
"118",8240,1983,7,25,27.2,21.8,0,0.199999999999999
"119",8241,1983,7,26,32.6,22.6,2.6,0
"120",8242,1983,7,27,35.3,28.7,5.3,0
"121",8243,1983,7,28,36,27.5,6,0
"122",8244,1983,7,29,32.7,26.1,2.7,0
"123",8245,1983,7,30,31.9,24.2,1.9,0
"124",8246,1983,7,31,33.3,22,3.3,0
"125",8582,1984,7,1,29.9,20.6,0,1.4
"126",8583,1984,7,2,35.2,23.1,5.2,0
"127",8584,1984,7,3,31.9,21.4,1.9,0.600000000000001
"128",8585,1984,7,4,21.5,19.8,0.5,2.2
"129",8586,1984,7,5,25.5,19.2,0,2.8
"130",8587,1984,7,6,26.5,19.5,0,2.5
"131",8588,1984,7,7,23.3,19.7,0,2.3
"132",8589,1984,7,8,30.4,19.9,0.399999999999999,2.1
"133",8590,1984,7,9,27.8,20.7,0,1.3
"134",8591,1984,7,10,23.4,20.1,0,1.9
"135",8592,1984,7,11,24.7,19.4,0,2.6
"136",8593,1984,7,12,22.6,19.1,0,2.9
"137",8594,1984,7,13,30.2,19.9,0.199999999999999,2.1
"138",8595,1984,7,14,31.7,23.7,1.7,0
"139",8596,1984,7,15,32.6,23.3,2.6,0
"140",8597,1984,7,16,26.6,20.1,0,1.9
"141",8598,1984,7,17,27.1,19,0,3
"142",8599,1984,7,18,25.6,20,0,2
"143",8600,1984,7,19,26.9,18.4,0,3.6
"144",8601,1984,7,20,27.5,18,0,4
"145",8602,1984,7,21,27.2,21.6,0,0.399999999999999
