"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",912,1980,7,1,26.98907,18.18836,0,3.81164
"2",913,1980,7,2,23.72812,18.38222,0,3.61778
"3",914,1980,7,3,25.40518,18.9638,0,3.0362
"4",915,1980,7,4,24.28714,19.25459,0,2.74541
"5",916,1980,7,5,27.8276,19.25459,0,2.74541
"6",917,1980,7,6,26.43005,18.57608,0,3.42392
"7",918,1980,7,7,28.7593,19.44845,0,2.55155
"8",919,1980,7,8,26.8959,19.06073,0,2.93927
"9",920,1980,7,9,29.41149,19.83617,0,2.16383
"10",921,1980,7,10,27.08224,18.57608,0,3.42392
"11",922,1980,7,11,24.84616,19.64231,0,2.35769
"12",923,1980,7,12,29.13198,18.18836,0,3.81164
"13",924,1980,7,13,28.57296,18.67301,0,3.32699
"14",925,1980,7,14,25.9642,19.9331,0,2.0669
"15",926,1980,7,15,29.03881,20.03003,0,1.96997
"16",927,1980,7,16,30.43636,17.9945,0.436360000000001,4.0055
"17",928,1980,7,17,24.47348,20.41775,0,1.58225
"18",929,1980,7,18,25.87103,20.80547,0,1.19453
"19",930,1980,7,19,25.40518,20.61161,0,1.38839
"20",931,1980,7,20,31.36806,24.19802,1.36806,0
"21",932,1980,7,21,30.6227,25.07039,0.622699999999998,0
"22",933,1980,7,22,30.15685,25.84583,0.156849999999999,0
"23",934,1980,7,23,29.22515,19.83617,0,2.16383
"24",935,1980,7,24,29.78417,18.09143,0,3.90857
"25",936,1980,7,25,24.28714,18.09143,0,3.90857
"26",937,1980,7,26,30.6227,21.96863,0.622699999999998,0.031369999999999
"27",938,1980,7,27,31.46123,20.61161,1.46123,1.38839
"28",939,1980,7,28,29.13198,21.96863,0,0.031369999999999
"29",940,1980,7,29,26.33688,21.09626,0,0.903739999999999
"30",941,1980,7,30,27.8276,20.32082,0,1.67918
"31",942,1980,7,31,28.29345,19.44845,0,2.55155
"32",1277,1981,7,1,27.17541,21.77477,0,0.22523
"33",1278,1981,7,2,26.52322,21.8717,0,0.128299999999999
"34",1279,1981,7,3,26.43005,21.38705,0,0.612950000000001
"35",1280,1981,7,4,30.80904,22.55021,0.80904,0
"36",1281,1981,7,5,28.57296,24.58574,0,0
"37",1282,1981,7,6,26.15054,22.06556,0,0
"38",1283,1981,7,7,29.691,19.54538,0,2.45462
"39",1284,1981,7,8,31.18172,19.54538,1.18172,2.45462
"40",1285,1981,7,9,27.64126,19.83617,0,2.16383
"41",1286,1981,7,10,28.01394,18.76994,0,3.23006
"42",1287,1981,7,11,26.15054,19.9331,0,2.0669
"43",1288,1981,7,12,27.26858,21.48398,0,0.516020000000001
"44",1289,1981,7,13,28.57296,20.9024,0,1.0976
"45",1290,1981,7,14,31.5544,23.22872,1.5544,0
"46",1291,1981,7,15,31.5544,23.03486,1.5544,0
"47",1292,1981,7,16,33.32463,22.45328,3.32463,0
"48",1293,1981,7,17,32.85878,22.55021,2.85878,0
"49",1294,1981,7,18,33.23146,22.35635,3.23146,0
"50",1295,1981,7,19,32.11342,21.96863,2.11342,0.031369999999999
"51",1296,1981,7,20,32.29976,20.70854,2.29976,1.29146
"52",1297,1981,7,21,31.5544,21.38705,1.5544,0.612950000000001
"53",1298,1981,7,22,31.36806,24.19802,1.36806,0
"54",1299,1981,7,23,32.39293,22.841,2.39293,0
"55",1300,1981,7,24,32.57927,24.10109,2.57927,0
"56",1301,1981,7,25,33.88365,22.841,3.88365,0
"57",1302,1981,7,26,34.62901,23.03486,4.62901,0
"58",1303,1981,7,27,32.95195,24.29495,2.95195,0
"59",1304,1981,7,28,33.60414,26.13662,3.60414,0
"60",1305,1981,7,29,32.76561,23.71337,2.76561,0
"61",1306,1981,7,30,33.4178,22.841,3.4178,0
"62",1307,1981,7,31,34.44267,22.06556,4.44267,0
"63",1642,1982,7,1,30.43636,18.47915,0.436360000000001,3.52085
"64",1643,1982,7,2,31.18172,17.0252,1.18172,4.9748
"65",1644,1982,7,3,31.92708,17.70371,1.92708,4.29629
"66",1645,1982,7,4,29.13198,18.18836,0,3.81164
"67",1646,1982,7,5,32.4861,19.64231,2.4861,2.35769
"68",1647,1982,7,6,31.36806,19.9331,1.36806,2.0669
"69",1648,1982,7,7,31.46123,20.03003,1.46123,1.96997
"70",1649,1982,7,8,31.27489,20.61161,1.27489,1.38839
"71",1650,1982,7,9,33.97682,19.35152,3.97682,2.64848
"72",1651,1982,7,10,31.92708,21.19319,1.92708,0.806809999999999
"73",1652,1982,7,11,26.61639,20.32082,0,1.67918
"74",1653,1982,7,12,32.67244,19.25459,2.67244,2.74541
"75",1654,1982,7,13,22.98276,19.44845,0,2.55155
"76",1655,1982,7,14,28.29345,20.22389,0,1.77611
"77",1656,1982,7,15,29.59783,22.16249,0,0
"78",1657,1982,7,16,25.87103,19.44845,0,2.55155
"79",1658,1982,7,17,31.5544,17.89757,1.5544,4.10243
"80",1659,1982,7,18,29.50466,19.06073,0,2.93927
"81",1660,1982,7,19,30.06368,17.70371,0.0636800000000015,4.29629
"82",1661,1982,7,20,31.18172,19.44845,1.18172,2.55155
"83",1662,1982,7,21,32.02025,17.89757,2.02025,4.10243
"84",1663,1982,7,22,30.34319,21.09626,0.34319,0.903739999999999
"85",1664,1982,7,23,24.65982,20.41775,0,1.58225
"86",1665,1982,7,24,28.20028,21.29012,0,0.709879999999998
"87",1666,1982,7,25,26.52322,21.38705,0,0.612950000000001
"88",1667,1982,7,26,31.46123,21.58091,1.46123,0.419090000000001
"89",1668,1982,7,27,31.08855,20.80547,1.08855,1.19453
"90",1669,1982,7,28,30.99538,22.06556,0.995380000000001,0
"91",1670,1982,7,29,27.45492,20.22389,0,1.77611
"92",1671,1982,7,30,32.11342,20.41775,2.11342,1.58225
"93",1672,1982,7,31,32.4861,21.38705,2.4861,0.612950000000001
"94",2007,1983,7,1,30.15685,19.64231,0.156849999999999,2.35769
"95",2008,1983,7,2,26.8959,21.67784,0,0.32216
"96",2009,1983,7,3,29.87734,19.25459,0,2.74541
"97",2010,1983,7,4,28.94564,20.80547,0,1.19453
"98",2011,1983,7,5,29.03881,19.25459,0,2.74541
"99",2012,1983,7,6,25.77786,19.83617,0,2.16383
"100",2013,1983,7,7,26.24371,18.67301,0,3.32699
"101",2014,1983,7,8,25.0325,18.57608,0,3.42392
"102",2015,1983,7,9,26.8959,18.18836,0,3.81164
"103",2016,1983,7,10,28.47979,17.89757,0,4.10243
"104",2017,1983,7,11,29.50466,18.28529,0,3.71471
"105",2018,1983,7,12,27.8276,18.67301,0,3.32699
"106",2019,1983,7,13,29.78417,19.25459,0,2.74541
"107",2020,1983,7,14,24.47348,20.70854,0,1.29146
"108",2021,1983,7,15,30.34319,21.19319,0.34319,0.806809999999999
"109",2022,1983,7,16,25.40518,16.83134,0,5.16866
"110",2023,1983,7,17,26.43005,16.34669,0,5.65331
"111",2024,1983,7,18,28.94564,17.21906,0,4.78094
"112",2025,1983,7,19,25.0325,18.47915,0,3.52085
"113",2026,1983,7,20,25.40518,19.73924,0,2.26076
"114",2027,1983,7,21,26.33688,18.47915,0,3.52085
"115",2028,1983,7,22,28.01394,21.19319,0,0.806809999999999
"116",2029,1983,7,23,25.21884,21.09626,0,0.903739999999999
"117",2030,1983,7,24,28.38662,22.74407,0,0
"118",2031,1983,7,25,31.74074,25.45811,1.74074,0
"119",2032,1983,7,26,33.32463,25.45811,3.32463,0
"120",2033,1983,7,27,32.39293,24.97346,2.39293,0
