"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2738,1980,7,1,20.4,16.8,1.6,5.2
"2",2739,1980,7,2,25.2,17.6,0,4.4
"3",2740,1980,7,3,26.7,18.9,0,3.1
"4",2741,1980,7,4,24.8,19.6,0,2.4
"5",2742,1980,7,5,26.3,19.7,0,2.3
"6",2743,1980,7,6,26.5,19.2,0,2.8
"7",2744,1980,7,7,30.6,19.4,0.600000000000001,2.6
"8",2745,1980,7,8,29,19.1,0,2.9
"9",2746,1980,7,9,31.1,19.8,1.1,2.2
"10",2747,1980,7,10,26.8,20.2,0,1.8
"11",2748,1980,7,11,24.3,18,0,4
"12",2749,1980,7,12,28.9,17.1,0,4.9
"13",2750,1980,7,13,28.4,19.9,0,2.1
"14",2751,1980,7,14,26.9,19.3,0,2.7
"15",2752,1980,7,15,26,20,0,2
"16",2753,1980,7,16,28.6,19.3,0,2.7
"17",2754,1980,7,17,26.1,17.8,0,4.2
"18",2755,1980,7,18,23.5,19.2,0,2.8
"19",2756,1980,7,19,27.7,20.3,0,1.7
"20",2757,1980,7,20,31.5,21.6,1.5,0.399999999999999
"21",2758,1980,7,21,31.6,22,1.6,0
"22",2759,1980,7,22,27.8,20.4,0,1.6
"23",2760,1980,7,23,30.5,20.7,0.5,1.3
"24",2761,1980,7,24,29.1,18.7,0,3.3
"25",2762,1980,7,25,24.9,19.7,0,2.3
"26",2763,1980,7,26,29.7,20.2,0,1.8
"27",2764,1980,7,27,31,22.2,1,0
"28",2765,1980,7,28,25.6,21.6,0,0.399999999999999
"29",2766,1980,7,29,22.4,19.9,0,2.1
"30",2767,1980,7,30,25.7,17.8,0,4.2
"31",2768,1980,7,31,28.2,15.6,0,6.4
"32",3103,1981,7,1,25.5,21.2,0,0.800000000000001
"33",3104,1981,7,2,30,22.1,0,0
"34",3105,1981,7,3,30,22.6,0,0
"35",3106,1981,7,4,25.1,20.6,0,1.4
"36",3107,1981,7,5,28,21.3,0,0.699999999999999
"37",3108,1981,7,6,27.8,21.9,0,0.100000000000001
"38",3109,1981,7,7,31.2,19.1,1.2,2.9
"39",3110,1981,7,8,31.8,19.6,1.8,2.4
"40",3111,1981,7,9,27.2,22.3,0,0
"41",3112,1981,7,10,27.2,18.2,0,3.8
"42",3113,1981,7,11,24.3,20,0,2
"43",3114,1981,7,12,26.2,19.9,0,2.1
"44",3115,1981,7,13,30.2,21.5,0.199999999999999,0.5
"45",3116,1981,7,14,33.2,23.3,3.2,0
"46",3117,1981,7,15,33.1,24,3.1,0
"47",3118,1981,7,16,32.9,23.3,2.9,0
"48",3119,1981,7,17,32.2,23.5,2.2,0
"49",3120,1981,7,18,32.3,21.8,2.3,0.199999999999999
"50",3121,1981,7,19,32.2,22.3,2.2,0
"51",3122,1981,7,20,32.4,22.4,2.4,0
"52",3123,1981,7,21,31.7,22.9,1.7,0
"53",3124,1981,7,22,30.5,21.5,0.5,0.5
"54",3125,1981,7,23,33.2,23.6,3.2,0
"55",3126,1981,7,24,32.4,24,2.4,0
"56",3127,1981,7,25,34.4,24.3,4.4,0
"57",3128,1981,7,26,34.3,24.1,4.3,0
"58",3129,1981,7,27,28.8,23.6,0,0
"59",3130,1981,7,28,31.2,22.6,1.2,0
"60",3131,1981,7,29,33.1,24.1,3.1,0
"61",3132,1981,7,30,34.7,22.5,4.7,0
"62",3133,1981,7,31,32.7,22.8,2.7,0
"63",3468,1982,7,1,30.6,18.1,0.600000000000001,3.9
"64",3469,1982,7,2,31,16.8,1,5.2
"65",3470,1982,7,3,28.7,17.8,0,4.2
"66",3471,1982,7,4,30.8,17.7,0.800000000000001,4.3
"67",3472,1982,7,5,30.8,18.1,0.800000000000001,3.9
"68",3473,1982,7,6,31.4,17.5,1.4,4.5
"69",3474,1982,7,7,33.5,19.5,3.5,2.5
"70",3475,1982,7,8,33.6,18.8,3.6,3.2
"71",3476,1982,7,9,34,17.7,4,4.3
"72",3477,1982,7,10,31.2,21.6,1.2,0.399999999999999
"73",3478,1982,7,11,30.1,22.3,0.100000000000001,0
"74",3479,1982,7,12,30.1,18,0.100000000000001,4
"75",3480,1982,7,13,26.8,20.1,0,1.9
"76",3481,1982,7,14,23.7,19.9,0,2.1
"77",3482,1982,7,15,27.4,18.6,0,3.4
"78",3483,1982,7,16,29.4,21.1,0,0.899999999999999
"79",3484,1982,7,17,30.6,17.3,0.600000000000001,4.7
"80",3485,1982,7,18,28.9,17.1,0,4.9
"81",3486,1982,7,19,31.3,17,1.3,5
"82",3487,1982,7,20,31.4,19.1,1.4,2.9
"83",3488,1982,7,21,33.3,18.8,3.3,3.2
"84",3489,1982,7,22,31.3,19.1,1.3,2.9
"85",3490,1982,7,23,23.8,20.8,0,1.2
"86",3491,1982,7,24,27,22,0,0
"87",3492,1982,7,25,26.6,21.6,0,0.399999999999999
"88",3493,1982,7,26,31.2,22.1,1.2,0
"89",3494,1982,7,27,31.1,21.9,1.1,0.100000000000001
"90",3495,1982,7,28,28.3,19.8,0,2.2
"91",3496,1982,7,29,25.3,20.4,0,1.6
"92",3497,1982,7,30,30.9,19.7,0.899999999999999,2.3
"93",3498,1982,7,31,32.2,22.2,2.2,0
"94",3833,1983,7,1,29.1,19.7,0,2.3
"95",3834,1983,7,2,23.2,21,0,1
"96",3835,1983,7,3,29.5,20.2,0,1.8
"97",3836,1983,7,4,31.6,20.2,1.6,1.8
"98",3837,1983,7,5,31.9,19.6,1.9,2.4
"99",3838,1983,7,6,26.4,19.1,0,2.9
"100",3839,1983,7,7,21.9,17.5,0.100000000000001,4.5
"101",3840,1983,7,8,25.5,17.2,0,4.8
"102",3841,1983,7,9,28.4,18.4,0,3.6
"103",3842,1983,7,10,27.8,18.8,0,3.2
"104",3843,1983,7,11,28.6,18.8,0,3.2
"105",3844,1983,7,12,28.8,15.6,0,6.4
"106",3845,1983,7,13,27.7,18.3,0,3.7
"107",3846,1983,7,14,23,18.4,0,3.6
"108",3847,1983,7,15,29.5,20.1,0,1.9
"109",3848,1983,7,16,25.4,19.8,0,2.2
"110",3849,1983,7,17,27.6,16.8,0,5.2
"111",3850,1983,7,18,29.8,17.4,0,4.6
"112",3851,1983,7,19,26.7,19.1,0,2.9
"113",3852,1983,7,20,26.3,19.1,0,2.9
"114",3853,1983,7,21,26.7,18.6,0,3.4
"115",3854,1983,7,22,26,20.4,0,1.6
"116",3855,1983,7,23,23.6,20.6,0,1.4
"117",3856,1983,7,24,28.1,21.2,0,0.800000000000001
"118",3857,1983,7,25,34,21.6,4,0.399999999999999
"119",3858,1983,7,26,33.4,23.3,3.4,0
"120",3859,1983,7,27,32.2,22.3,2.2,0
"121",3860,1983,7,28,33.7,22.3,3.7,0
"122",3861,1983,7,29,31.8,23.2,1.8,0
"123",3862,1983,7,30,33.6,22.3,3.6,0
"124",3863,1983,7,31,34.4,24.5,4.4,0
"125",4199,1984,7,1,31.1,18,1.1,4
"126",4200,1984,7,2,32.8,22.3,2.8,0
"127",4201,1984,7,3,33.3,24.5,3.3,0
"128",4202,1984,7,4,29,21.2,0,0.800000000000001
"129",4203,1984,7,5,22,20.2,0,1.8
"130",4204,1984,7,6,27.1,20,0,2
"131",4205,1984,7,7,26,22,0,0
"132",4206,1984,7,8,29,21.4,0,0.600000000000001
"133",4207,1984,7,9,30.7,23.8,0.699999999999999,0
"134",4208,1984,7,10,24.5,21.2,0,0.800000000000001
"135",4209,1984,7,11,23.5,20,0,2
"136",4210,1984,7,12,21.9,19.4,0.100000000000001,2.6
"137",4211,1984,7,13,29.8,20,0,2
"138",4212,1984,7,14,33.6,21,3.6,1
"139",4213,1984,7,15,32.7,21.1,2.7,0.899999999999999
"140",4214,1984,7,16,30.8,21.4,0.800000000000001,0.600000000000001
"141",4215,1984,7,17,30.8,19,0.800000000000001,3
"142",4216,1984,7,18,32.7,19.9,2.7,2.1
"143",4217,1984,7,19,30.4,18.1,0.399999999999999,3.9
"144",4218,1984,7,20,30.6,18.4,0.600000000000001,3.6
"145",4219,1984,7,21,30.6,18.2,0.600000000000001,3.8
"146",4220,1984,7,22,26.7,18.8,0,3.2
"147",4221,1984,7,23,29.6,21.1,0,0.899999999999999
"148",4222,1984,7,24,29.8,23,0,0
"149",4223,1984,7,25,32.3,22.6,2.3,0
"150",4224,1984,7,26,32.3,22.4,2.3,0
"151",4225,1984,7,27,33.6,23,3.6,0
"152",4226,1984,7,28,33.5,23.6,3.5,0
"153",4227,1984,7,29,31.4,23.2,1.4,0
"154",4228,1984,7,30,32.4,23.5,2.4,0
"155",4229,1984,7,31,32.4,21.2,2.4,0.800000000000001
"156",4564,1985,7,1,29.9,19.3,0,2.7
"157",4565,1985,7,2,31.7,18.1,1.7,3.9
"158",4566,1985,7,3,23.5,19.2,0,2.8
"159",4567,1985,7,4,24.2,19.4,0,2.6
"160",4568,1985,7,5,27.9,20.7,0,1.3
