"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3104,1980,7,1,20.3,17,1.7,5
"2",3105,1980,7,2,25.8,17,0,5
"3",3106,1980,7,3,26.4,17.5,0,4.5
"4",3107,1980,7,4,25.7,19.8,0,2.2
"5",3108,1980,7,5,25.8,18.7,0,3.3
"6",3109,1980,7,6,26.8,19.6,0,2.4
"7",3110,1980,7,7,30.4,18.9,0.399999999999999,3.1
"8",3111,1980,7,8,28.9,20,0,2
"9",3112,1980,7,9,30.2,20,0.199999999999999,2
"10",3113,1980,7,10,25.6,19,0,3
"11",3114,1980,7,11,25,19,0,3
"12",3115,1980,7,12,28.6,17,0,5
"13",3116,1980,7,13,28.2,20,0,2
"14",3117,1980,7,14,25,18.2,0,3.8
"15",3118,1980,7,15,26.9,20,0,2
"16",3119,1980,7,16,27.8,19.4,0,2.6
"17",3120,1980,7,17,26.4,18,0,4
"18",3121,1980,7,18,22,18,0,4
"19",3122,1980,7,19,27.5,19.5,0,2.5
"20",3123,1980,7,20,32.1,21.5,2.1,0.5
"21",3124,1980,7,21,30.1,23.5,0.100000000000001,0
"22",3125,1980,7,22,24,20.5,0,1.5
"23",3126,1980,7,23,30.4,20.1,0.399999999999999,1.9
"24",3127,1980,7,24,31,19.2,1,2.8
"25",3128,1980,7,25,23,19.8,0,2.2
"26",3129,1980,7,26,30.1,20.6,0.100000000000001,1.4
"27",3130,1980,7,27,30.4,21.1,0.399999999999999,0.899999999999999
"28",3131,1980,7,28,23.5,20.5,0,1.5
"29",3132,1980,7,29,21.1,20.2,0.899999999999999,1.8
"30",3133,1980,7,30,26,19.7,0,2.3
"31",3134,1980,7,31,27.1,17.9,0,4.1
"32",3469,1981,7,1,23.7,21.6,0,0.399999999999999
"33",3470,1981,7,2,28.1,22.3,0,0
"34",3471,1981,7,3,28.4,22.2,0,0
"35",3472,1981,7,4,22.7,20,0,2
"36",3473,1981,7,5,27.1,21.4,0,0.600000000000001
"37",3474,1981,7,6,28.2,21.6,0,0.399999999999999
"38",3475,1981,7,7,31.3,18.8,1.3,3.2
"39",3476,1981,7,8,31.3,19.4,1.3,2.6
"40",3477,1981,7,9,27.7,20.6,0,1.4
"41",3478,1981,7,10,27.1,19.5,0,2.5
"42",3479,1981,7,11,23,19.6,0,2.4
"43",3480,1981,7,12,26.2,19.3,0,2.7
"44",3481,1981,7,13,30.1,22.9,0.100000000000001,0
"45",3482,1981,7,14,32.9,23.6,2.9,0
"46",3483,1981,7,15,32.2,23.5,2.2,0
"47",3484,1981,7,16,34,22.4,4,0
"48",3485,1981,7,17,33.1,23.2,3.1,0
"49",3486,1981,7,18,34.9,22.8,4.9,0
"50",3487,1981,7,19,35.1,23.7,5.1,0
"51",3488,1981,7,20,34.8,23.5,4.8,0
"52",3489,1981,7,21,33.1,23.9,3.1,0
"53",3490,1981,7,22,34.1,23.3,4.1,0
"54",3491,1981,7,23,31.8,24.6,1.8,0
"55",3492,1981,7,24,33.1,24.4,3.1,0
"56",3493,1981,7,25,34.5,25.2,4.5,0
"57",3494,1981,7,26,35.2,24.4,5.2,0
"58",3495,1981,7,27,26.3,22.4,0,0
"59",3496,1981,7,28,31,22.6,1,0
"60",3497,1981,7,29,32.3,24.6,2.3,0
"61",3498,1981,7,30,34.7,22.7,4.7,0
"62",3499,1981,7,31,32.8,22.3,2.8,0
"63",3834,1982,7,1,31.7,17.2,1.7,4.8
"64",3835,1982,7,2,30.3,16.8,0.300000000000001,5.2
"65",3836,1982,7,3,29.3,17.4,0,4.6
"66",3837,1982,7,4,30.3,17.8,0.300000000000001,4.2
"67",3838,1982,7,5,31.8,19.1,1.8,2.9
"68",3839,1982,7,6,32.7,17.9,2.7,4.1
"69",3840,1982,7,7,33.4,19.8,3.4,2.2
"70",3841,1982,7,8,34.6,17.7,4.6,4.3
"71",3842,1982,7,9,35.4,16.8,5.4,5.2
"72",3843,1982,7,10,33.5,20.3,3.5,1.7
"73",3844,1982,7,11,31.4,22,1.4,0
"74",3845,1982,7,12,29.4,18.6,0,3.4
"75",3846,1982,7,13,27.5,21.7,0,0.300000000000001
"76",3847,1982,7,14,26.5,20.3,0,1.7
"77",3848,1982,7,15,30.5,17.1,0.5,4.9
"78",3849,1982,7,16,29.8,20.3,0,1.7
"79",3850,1982,7,17,29.5,16.8,0,5.2
"80",3851,1982,7,18,31,17.3,1,4.7
"81",3852,1982,7,19,31.1,18.5,1.1,3.5
"82",3853,1982,7,20,31.6,19.7,1.6,2.3
"83",3854,1982,7,21,34.2,19.3,4.2,2.7
"84",3855,1982,7,22,33.3,18.7,3.3,3.3
"85",3856,1982,7,23,22.2,19.5,0,2.5
"86",3857,1982,7,24,26.4,20.6,0,1.4
"87",3858,1982,7,25,25.4,20.7,0,1.3
"88",3859,1982,7,26,31.7,21.8,1.7,0.199999999999999
"89",3860,1982,7,27,30.2,21.3,0.199999999999999,0.699999999999999
"90",3861,1982,7,28,27.6,19.7,0,2.3
"91",3862,1982,7,29,25.7,20,0,2
"92",3863,1982,7,30,30.6,19.9,0.600000000000001,2.1
"93",3864,1982,7,31,32,22.5,2,0
"94",4199,1983,7,1,29.7,21.9,0,0.100000000000001
"95",4200,1983,7,2,22.1,20.5,0,1.5
"96",4201,1983,7,3,27.9,19.9,0,2.1
"97",4202,1983,7,4,31.2,19.8,1.2,2.2
"98",4203,1983,7,5,31.3,19.2,1.3,2.8
"99",4204,1983,7,6,27.5,19.2,0,2.8
"100",4205,1983,7,7,21.5,17.5,0.5,4.5
"101",4206,1983,7,8,24.1,17.4,0,4.6
"102",4207,1983,7,9,27.6,18.9,0,3.1
"103",4208,1983,7,10,26,19.2,0,2.8
"104",4209,1983,7,11,27.5,16.8,0,5.2
"105",4210,1983,7,12,28.9,15.5,0,6.5
"106",4211,1983,7,13,28.4,19.6,0,2.4
"107",4212,1983,7,14,21.6,18.7,0.399999999999999,3.3
"108",4213,1983,7,15,30.3,18.9,0.300000000000001,3.1
"109",4214,1983,7,16,25,18.3,0,3.7
"110",4215,1983,7,17,29.9,15.7,0,6.3
"111",4216,1983,7,18,30.7,19.2,0.699999999999999,2.8
"112",4217,1983,7,19,25.4,18.9,0,3.1
"113",4218,1983,7,20,26.5,18.7,0,3.3
"114",4219,1983,7,21,26.1,20.3,0,1.7
"115",4220,1983,7,22,26.2,20.5,0,1.5
"116",4221,1983,7,23,25.7,20.9,0,1.1
"117",4222,1983,7,24,25.3,21.3,0,0.699999999999999
"118",4223,1983,7,25,34.1,22.3,4.1,0
"119",4224,1983,7,26,34,25,4,0
"120",4225,1983,7,27,33.2,24.3,3.2,0
"121",4226,1983,7,28,32.7,22.8,2.7,0
"122",4227,1983,7,29,30.3,23.9,0.300000000000001,0
"123",4228,1983,7,30,33.4,23.6,3.4,0
"124",4229,1983,7,31,34.1,25.3,4.1,0
"125",4565,1984,7,1,32.2,18.3,2.2,3.7
"126",4566,1984,7,2,32.9,23.2,2.9,0
"127",4567,1984,7,3,33.7,24.4,3.7,0
"128",4568,1984,7,4,25.4,20.9,0,1.1
"129",4569,1984,7,5,22.3,19.9,0,2.1
"130",4570,1984,7,6,26.2,19.7,0,2.3
"131",4571,1984,7,7,25.9,22.1,0,0
"132",4572,1984,7,8,26.3,22.5,0,0
"133",4573,1984,7,9,29.8,23.2,0,0
"134",4574,1984,7,10,23.9,21.1,0,0.899999999999999
"135",4575,1984,7,11,23.1,19.7,0,2.3
"136",4576,1984,7,12,21.2,19.7,0.800000000000001,2.3
"137",4577,1984,7,13,29.3,19.7,0,2.3
"138",4578,1984,7,14,32,20.9,2,1.1
"139",4579,1984,7,15,30.7,20.7,0.699999999999999,1.3
"140",4580,1984,7,16,32.2,23.2,2.2,0
"141",4581,1984,7,17,31.7,19.2,1.7,2.8
"142",4582,1984,7,18,31.6,19.9,1.6,2.1
"143",4583,1984,7,19,30,18.1,0,3.9
"144",4584,1984,7,20,30.2,18.4,0.199999999999999,3.6
"145",4585,1984,7,21,28.6,20.5,0,1.5
"146",4586,1984,7,22,26.7,18.9,0,3.1
"147",4587,1984,7,23,29.2,20.5,0,1.5
"148",4588,1984,7,24,29.6,23.2,0,0
"149",4589,1984,7,25,31.9,22.1,1.9,0
"150",4590,1984,7,26,32,21.6,2,0.399999999999999
"151",4591,1984,7,27,33.5,23.2,3.5,0
"152",4592,1984,7,28,32.2,23.7,2.2,0
"153",4593,1984,7,29,30.3,23.2,0.300000000000001,0
"154",4594,1984,7,30,33,24.1,3,0
"155",4595,1984,7,31,32.4,21.1,2.4,0.899999999999999
"156",4930,1985,7,1,29.7,20.4,0,1.6
"157",4931,1985,7,2,31.2,19,1.2,3
"158",4932,1985,7,3,22.6,19,0,3
"159",4933,1985,7,4,23.5,19.1,0,2.9
"160",4934,1985,7,5,28.1,19.9,0,2.1
"161",4935,1985,7,6,26.6,20.1,0,1.9
"162",4936,1985,7,7,20.7,19.6,1.3,2.4
"163",4937,1985,7,8,26.7,19.8,0,2.2
"164",4938,1985,7,9,30.3,21.8,0.300000000000001,0.199999999999999
"165",4939,1985,7,10,28.9,24.5,0,0
"166",4940,1985,7,11,29.2,22.9,0,0
"167",4941,1985,7,12,24,21.6,0,0.399999999999999
"168",4942,1985,7,13,27.5,22.2,0,0
"169",4943,1985,7,14,29.7,21.1,0,0.899999999999999
"170",4944,1985,7,15,32.7,19.9,2.7,2.1
"171",4945,1985,7,16,30.3,20.3,0.300000000000001,1.7
"172",4946,1985,7,17,24.9,21.3,0,0.699999999999999
"173",4947,1985,7,18,31.9,18.9,1.9,3.1
"174",4948,1985,7,19,33.4,19.5,3.4,2.5
"175",4949,1985,7,20,32.8,21.6,2.8,0.399999999999999
"176",4950,1985,7,21,32.8,22,2.8,0
"177",4951,1985,7,22,33.8,23.1,3.8,0
"178",4952,1985,7,23,33.3,23.2,3.3,0
"179",4953,1985,7,24,33,22.1,3,0
"180",4954,1985,7,25,34.2,23.4,4.2,0
"181",4955,1985,7,26,33,23.9,3,0
"182",4956,1985,7,27,33.6,22.5,3.6,0
"183",4957,1985,7,28,34.4,23,4.4,0
"184",4958,1985,7,29,35.6,24.8,5.6,0
"185",4959,1985,7,30,34.1,23.8,4.1,0
"186",4960,1985,7,31,35.6,23.6,5.6,0
"187",5295,1986,7,1,21,17.2,1,4.8
"188",5296,1986,7,2,23.1,15.8,0,6.2
"189",5297,1986,7,3,22.6,16,0,6
"190",5298,1986,7,4,20.9,15.6,1.1,6.4
"191",5299,1986,7,5,20.2,15.6,1.8,6.4
"192",5300,1986,7,6,26.8,15.5,0,6.5
"193",5301,1986,7,7,29,16.7,0,5.3
"194",5302,1986,7,8,26.2,18.4,0,3.6
"195",5303,1986,7,9,21.8,17.2,0.199999999999999,4.8
"196",5304,1986,7,10,26,19.4,0,2.6
"197",5305,1986,7,11,22.4,19.4,0,2.6
"198",5306,1986,7,12,28.7,19.5,0,2.5
"199",5307,1986,7,13,28.3,19.8,0,2.2
"200",5308,1986,7,14,22.6,19.6,0,2.4
"201",5309,1986,7,15,25.4,20.3,0,1.7
"202",5310,1986,7,16,23.4,20.6,0,1.4
"203",5311,1986,7,17,28.6,21.3,0,0.699999999999999
"204",5312,1986,7,18,27.5,19.6,0,2.4
