"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3104,1980,7,1,23.1,17.9,0,4.1
"2",3105,1980,7,2,24.1,20,0,2
"3",3106,1980,7,3,26.8,17.2,0,4.8
"4",3107,1980,7,4,24.7,19.4,0,2.6
"5",3108,1980,7,5,27,20.4,0,1.6
"6",3109,1980,7,6,25.3,20.2,0,1.8
"7",3110,1980,7,7,30.8,20.1,0.800000000000001,1.9
"8",3111,1980,7,8,30.8,20.1,0.800000000000001,1.9
"9",3112,1980,7,9,28.8,20.3,0,1.7
"10",3113,1980,7,10,27.2,18.7,0,3.3
"11",3114,1980,7,11,22,19,0,3
"12",3115,1980,7,12,28.4,17,0,5
"13",3116,1980,7,13,28.5,20.3,0,1.7
"14",3117,1980,7,14,27.8,20.9,0,1.1
"15",3118,1980,7,15,27.1,20.5,0,1.5
"16",3119,1980,7,16,27.4,19.8,0,2.2
"17",3120,1980,7,17,24.7,19.8,0,2.2
"18",3121,1980,7,18,24.8,19.4,0,2.6
"19",3122,1980,7,19,28,21.5,0,0.5
"20",3123,1980,7,20,31.1,24,1.1,0
"21",3124,1980,7,21,31.7,23.3,1.7,0
"22",3125,1980,7,22,30.2,22.1,0.199999999999999,0
"23",3126,1980,7,23,29.8,22.8,0,0
"24",3127,1980,7,24,30.8,21.1,0.800000000000001,0.899999999999999
"25",3128,1980,7,25,26.9,21,0,1
"26",3129,1980,7,26,31.1,21.3,1.1,0.699999999999999
"27",3130,1980,7,27,29.2,23,0,0
"28",3131,1980,7,28,27.4,21.2,0,0.800000000000001
"29",3132,1980,7,29,23.9,20.8,0,1.2
"30",3133,1980,7,30,23.5,20.5,0,1.5
"31",3134,1980,7,31,26.7,18,0,4
"32",3469,1981,7,1,24.1,20.9,0,1.1
"33",3470,1981,7,2,27.6,22,0,0
"34",3471,1981,7,3,27.3,21,0,1
"35",3472,1981,7,4,23.6,19,0,3
"36",3473,1981,7,5,27.7,20.1,0,1.9
"37",3474,1981,7,6,25.1,20.7,0,1.3
"38",3475,1981,7,7,30.5,19.3,0.5,2.7
"39",3476,1981,7,8,31.2,18.7,1.2,3.3
"40",3477,1981,7,9,25.6,21.4,0,0.600000000000001
"41",3478,1981,7,10,25.1,19.2,0,2.8
"42",3479,1981,7,11,23.5,19.6,0,2.4
"43",3480,1981,7,12,28.7,20.8,0,1.2
"44",3481,1981,7,13,30.8,22.5,0.800000000000001,0
"45",3482,1981,7,14,28,22.9,0,0
"46",3483,1981,7,15,31.8,21.3,1.8,0.699999999999999
"47",3484,1981,7,16,30.3,22.9,0.300000000000001,0
"48",3485,1981,7,17,33.8,22.5,3.8,0
"49",3486,1981,7,18,34.7,23.3,4.7,0
"50",3487,1981,7,19,35.6,23.2,5.6,0
"51",3488,1981,7,20,35.2,23.5,5.2,0
"52",3489,1981,7,21,35.1,22.8,5.1,0
"53",3490,1981,7,22,34.1,22.4,4.1,0
"54",3491,1981,7,23,30.1,24,0.100000000000001,0
"55",3492,1981,7,24,30.8,23.1,0.800000000000001,0
"56",3493,1981,7,25,33.7,22.1,3.7,0
"57",3494,1981,7,26,33.5,22.5,3.5,0
"58",3495,1981,7,27,29.3,23.3,0,0
"59",3496,1981,7,28,30.7,22.8,0.699999999999999,0
"60",3497,1981,7,29,32.7,24.2,2.7,0
"61",3498,1981,7,30,34.9,22.3,4.9,0
"62",3499,1981,7,31,31.6,23.1,1.6,0
"63",3834,1982,7,1,29.9,17.3,0,4.7
