"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3069,1980,7,1,21.34183,14.9732,0.658169999999998,7.0268
"2",3070,1980,7,2,25.00744,15.07168,0,6.92832
"3",3071,1980,7,3,27.16921,13.88992,0,8.11008
"4",3072,1980,7,4,25.19542,17.82912,0,4.17088
"5",3073,1980,7,5,25.85335,17.53368,0,4.46632
"6",3074,1980,7,6,26.98123,16.25344,0,5.74656
"7",3075,1980,7,7,30.17689,16.64736,0.17689,5.35264
"8",3076,1980,7,8,28.67305,16.9428,0,5.0572
"9",3077,1980,7,9,29.89492,17.04128,0,4.95872
"10",3078,1980,7,10,26.22931,16.84432,0,5.15568
"11",3079,1980,7,11,25.10143,16.84432,0,5.15568
"12",3080,1980,7,12,28.2031,14.9732,0,7.0268
"13",3081,1980,7,13,28.10911,17.13976,0,4.86024
"14",3082,1980,7,14,23.69158,16.54888,0,5.45112
"15",3083,1980,7,15,26.60527,17.73064,0,4.26936
"16",3084,1980,7,16,28.67305,16.84432,0,5.15568
"17",3085,1980,7,17,26.88724,15.958,0,6.042
"18",3086,1980,7,18,21.52981,16.54888,0.470189999999999,5.45112
"19",3087,1980,7,19,27.54517,17.9276,0,4.0724
"20",3088,1980,7,20,30.55285,20.48808,0.552849999999999,1.51192
"21",3089,1980,7,21,29.70694,21.17744,0,0.822559999999999
"22",3090,1980,7,22,23.12764,19.20784,0,2.79216
"23",3091,1980,7,23,29.23699,18.9124,0,3.0876
"24",3092,1980,7,24,28.2031,15.56408,0,6.43592
"25",3093,1980,7,25,22.65769,17.13976,0,4.86024
"26",3094,1980,7,26,29.89492,18.12456,0,3.87544
"27",3095,1980,7,27,27.54517,18.9124,0,3.0876
"28",3096,1980,7,28,23.78557,19.70024,0,2.29976
"29",3097,1980,7,29,21.81178,18.22304,0.188220000000001,3.77696
"30",3098,1980,7,30,25.57138,17.23824,0,4.76176
"31",3099,1980,7,31,27.82714,12.21576,0,9.78424
"32",3434,1981,7,1,23.22163,20.58656,0,1.41344
"33",3435,1981,7,2,27.35719,20.29112,0,1.70888
"34",3436,1981,7,3,25.66537,19.30632,0,2.69368
"35",3437,1981,7,4,22.84567,18.71544,0,3.28456
"36",3438,1981,7,5,26.13532,19.60176,0,2.39824
"37",3439,1981,7,6,27.45118,20.68504,0,1.31496
"38",3440,1981,7,7,30.27088,17.63216,0.270879999999998,4.36784
"39",3441,1981,7,8,28.95502,17.73064,0,4.26936
"40",3442,1981,7,9,26.69926,19.70024,0,2.29976
"41",3443,1981,7,10,25.19542,18.02608,0,3.97392
"42",3444,1981,7,11,22.65769,17.9276,0,4.0724
"43",3445,1981,7,12,24.72547,17.73064,0,4.26936
"44",3446,1981,7,13,29.80093,20.78352,0,1.21648
"45",3447,1981,7,14,31.86871,22.06376,1.86871,0
"46",3448,1981,7,15,31.0228,21.76832,1.0228,0.231680000000001
"47",3449,1981,7,16,32.33866,21.17744,2.33866,0.822559999999999
"48",3450,1981,7,17,31.58674,21.17744,1.58674,0.822559999999999
"49",3451,1981,7,18,32.33866,20.68504,2.33866,1.31496
"50",3452,1981,7,19,32.33866,20.29112,2.33866,1.70888
"51",3453,1981,7,20,33.93649,20.68504,3.93649,1.31496
"52",3454,1981,7,21,32.9026,21.57136,2.9026,0.428640000000001
"53",3455,1981,7,22,32.9026,21.3744,2.9026,0.625599999999999
"54",3456,1981,7,23,30.74083,23.24552,0.740829999999999,0
"55",3457,1981,7,24,31.58674,22.06376,1.58674,0
"56",3458,1981,7,25,33.09058,23.44248,3.09058,0
"57",3459,1981,7,26,33.46654,22.3592,3.46654,0
"58",3460,1981,7,27,24.63148,20.68504,0,1.31496
"59",3461,1981,7,28,29.42497,20.3896,0,1.6104
"60",3462,1981,7,29,32.24467,22.26072,2.24467,0
"61",3463,1981,7,30,34.21846,20.68504,4.21846,1.31496
"62",3464,1981,7,31,31.58674,19.99568,1.58674,2.00432
"63",3799,1982,7,1,30.83482,13.10208,0.834820000000001,8.89792
"64",3800,1982,7,2,29.89492,13.496,0,8.504
"65",3801,1982,7,3,28.76704,15.66256,0,6.33744
"66",3802,1982,7,4,29.80093,15.07168,0,6.92832
"67",3803,1982,7,5,30.45886,14.4808,0.458860000000001,7.5192
"68",3804,1982,7,6,31.58674,14.28384,1.58674,7.71616
"69",3805,1982,7,7,31.77472,16.05648,1.77472,5.94352
"70",3806,1982,7,8,32.24467,15.4656,2.24467,6.5344
