"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3469,1980,7,1,17.8,15.9,4.2,6.1
"2",3470,1980,7,2,19.3,17.1,2.7,4.9
"3",3471,1980,7,3,20.2,16.9,1.8,5.1
"4",3472,1980,7,4,21,16.1,1,5.9
"5",3473,1980,7,5,24.9,19.4,0,2.6
"6",3474,1980,7,6,24,20,0,2
"7",3475,1980,7,7,26.7,19.3,0,2.7
"8",3476,1980,7,8,24.6,19.2,0,2.8
"9",3477,1980,7,9,22.5,19,0,3
"10",3478,1980,7,10,22.2,18,0,4
"11",3479,1980,7,11,25,18.8,0,3.2
"12",3480,1980,7,12,21.3,18,0.699999999999999,4
"13",3481,1980,7,13,22.8,17.6,0,4.4
"14",3482,1980,7,14,21.6,18,0.399999999999999,4
"15",3483,1980,7,15,23,17.2,0,4.8
"16",3484,1980,7,16,22.1,15.9,0,6.1
"17",3485,1980,7,17,22,15.7,0,6.3
"18",3486,1980,7,18,20,17.1,2,4.9
"19",3487,1980,7,19,24.4,17.4,0,4.6
"20",3488,1980,7,20,27.9,22,0,0
"21",3489,1980,7,21,32.1,21.2,2.1,0.800000000000001
"22",3490,1980,7,22,26.2,20.6,0,1.4
"23",3491,1980,7,23,31.2,19,1.2,3
"24",3492,1980,7,24,28.9,18.9,0,3.1
"25",3493,1980,7,25,25,19.4,0,2.6
"26",3494,1980,7,26,23.2,19.2,0,2.8
"27",3495,1980,7,27,23.4,19.8,0,2.2
"28",3496,1980,7,28,21.5,19.5,0.5,2.5
"29",3497,1980,7,29,21.4,18.5,0.600000000000001,3.5
"30",3498,1980,7,30,23,18.4,0,3.6
"31",3499,1980,7,31,22.9,16.2,0,5.8
"32",3834,1981,7,1,20.4,16.8,1.6,5.2
"33",3835,1981,7,2,20.7,17,1.3,5
"34",3836,1981,7,3,19.4,16.2,2.6,5.8
"35",3837,1981,7,4,17.8,15.6,4.2,6.4
"36",3838,1981,7,5,27.5,16.8,0,5.2
"37",3839,1981,7,6,28.4,18.4,0,3.6
"38",3840,1981,7,7,22.8,17.8,0,4.2
"39",3841,1981,7,8,31.6,17.4,1.6,4.6
"40",3842,1981,7,9,26.7,18.8,0,3.2
"41",3843,1981,7,10,27.7,22.4,0,0
"42",3844,1981,7,11,23.6,17.8,0,4.2
"43",3845,1981,7,12,20,17.6,2,4.4
"44",3846,1981,7,13,21.3,17.6,0.699999999999999,4.4
"45",3847,1981,7,14,26.8,18.8,0,3.2
"46",3848,1981,7,15,31.5,23.2,1.5,0
"47",3849,1981,7,16,33.8,23.9,3.8,0
"48",3850,1981,7,17,31.2,24.4,1.2,0
"49",3851,1981,7,18,31.9,24.4,1.9,0
"50",3852,1981,7,19,31.6,23.9,1.6,0
"51",3853,1981,7,20,32.4,24.7,2.4,0
"52",3854,1981,7,21,31,24.3,1,0
"53",3855,1981,7,22,28.8,22.8,0,0
"54",3856,1981,7,23,26,22.1,0,0
"55",3857,1981,7,24,23.2,21.6,0,0.399999999999999
"56",3858,1981,7,25,26.6,21.8,0,0.199999999999999
"57",3859,1981,7,26,26.2,22.7,0,0
"58",3860,1981,7,27,24.6,21.6,0,0.399999999999999
"59",3861,1981,7,28,25.4,21.6,0,0.399999999999999
"60",3862,1981,7,29,26.7,22.7,0,0
"61",3863,1981,7,30,28.7,23.3,0,0
"62",3864,1981,7,31,29.2,22.4,0,0
"63",4199,1982,7,1,22.2,14.8,0,7.2
"64",4200,1982,7,2,22.8,16.3,0,5.7
"65",4201,1982,7,3,23.2,14.8,0,7.2
"66",4202,1982,7,4,23.8,17.3,0,4.7
"67",4203,1982,7,5,23.7,16.6,0,5.4
"68",4204,1982,7,6,24.7,18.4,0,3.6
"69",4205,1982,7,7,25.2,17.8,0,4.2
"70",4206,1982,7,8,28.5,17.8,0,4.2
"71",4207,1982,7,9,29.4,19.3,0,2.7
"72",4208,1982,7,10,30.1,19.7,0.100000000000001,2.3
"73",4209,1982,7,11,32,17.4,2,4.6
"74",4210,1982,7,12,29.2,20.1,0,1.9
"75",4211,1982,7,13,27.2,19.9,0,2.1
"76",4212,1982,7,14,23.6,19.6,0,2.4
"77",4213,1982,7,15,25,19.6,0,2.4
"78",4214,1982,7,16,23.2,19.2,0,2.8
"79",4215,1982,7,17,26.6,19.3,0,2.7
"80",4216,1982,7,18,26.9,19.9,0,2.1
"81",4217,1982,7,19,29.2,18.6,0,3.4
"82",4218,1982,7,20,26,20,0,2
"83",4219,1982,7,21,26.6,18.8,0,3.2
"84",4220,1982,7,22,24.1,18.2,0,3.8
"85",4221,1982,7,23,22.1,20.3,0,1.7
"86",4222,1982,7,24,21.7,20.4,0.300000000000001,1.6
"87",4223,1982,7,25,22,20.7,0,1.3
"88",4224,1982,7,26,25.9,21.2,0,0.800000000000001
"89",4225,1982,7,27,24.2,20.1,0,1.9
"90",4226,1982,7,28,22.6,19,0,3
"91",4227,1982,7,29,21.2,18.9,0.800000000000001,3.1
"92",4228,1982,7,30,25,19,0,3
"93",4229,1982,7,31,23.6,20.8,0,1.2
"94",4564,1983,7,1,23.9,19.1,0,2.9
"95",4565,1983,7,2,21.4,17.3,0.600000000000001,4.7
"96",4566,1983,7,3,28.6,18,0,4
"97",4567,1983,7,4,31.8,18.2,1.8,3.8
"98",4568,1983,7,5,25,16.3,0,5.7
"99",4569,1983,7,6,18.4,15.7,3.6,6.3
"100",4570,1983,7,7,18,15.3,4,6.7
"101",4571,1983,7,8,17.8,13.1,4.2,8.9
"102",4572,1983,7,9,19.2,14.4,2.8,7.6
"103",4573,1983,7,10,21.3,15.2,0.699999999999999,6.8
"104",4574,1983,7,11,21.8,15.4,0.199999999999999,6.6
"105",4575,1983,7,12,21.4,13.7,0.600000000000001,8.3
"106",4576,1983,7,13,22.3,16.3,0,5.7
