"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3831,1980,7,1,26.2,16.5,0,5.5
"2",3832,1980,7,2,24.4,18,0,4
"3",3833,1980,7,3,21.8,18.6,0.199999999999999,3.4
"4",3834,1980,7,4,23.2,17.9,0,4.1
"5",3835,1980,7,5,25.8,18.4,0,3.6
"6",3836,1980,7,6,25.4,18.1,0,3.9
"7",3837,1980,7,7,29.2,18,0,4
"8",3838,1980,7,8,28.5,18,0,4
"9",3839,1980,7,9,29.4,18.4,0,3.6
"10",3840,1980,7,10,24.8,17.5,0,4.5
"11",3841,1980,7,11,23.2,17.1,0,4.9
"12",3842,1980,7,12,29.8,15.4,0,6.6
"13",3843,1980,7,13,27.5,19.7,0,2.3
"14",3844,1980,7,14,26.5,18.3,0,3.7
"15",3845,1980,7,15,26.5,17.9,0,4.1
"16",3846,1980,7,16,27.8,17,0,5
"17",3847,1980,7,17,23,18.3,0,3.7
"18",3848,1980,7,18,25.6,18.3,0,3.7
"19",3849,1980,7,19,24.8,18.6,0,3.4
"20",3850,1980,7,20,30.3,22.2,0.300000000000001,0
"21",3851,1980,7,21,29.7,22.8,0,0
"22",3852,1980,7,22,29,23,0,0
"23",3853,1980,7,23,28.7,17.7,0,4.3
"24",3854,1980,7,24,28.7,14.4,0,7.6
"25",3855,1980,7,25,20.6,15.9,1.4,6.1
"26",3856,1980,7,26,29.3,19.2,0,2.8
"27",3857,1980,7,27,31.5,21,1.5,1
"28",3858,1980,7,28,26.6,21,0,1
"29",3859,1980,7,29,24.6,20,0,2
"30",3860,1980,7,30,26.2,18.6,0,3.4
"31",3861,1980,7,31,27.5,14.6,0,7.4
"32",4196,1981,7,1,24.4,20.4,0,1.6
"33",4197,1981,7,2,25.8,22.5,0,0
"34",4198,1981,7,3,25.4,21.7,0,0.300000000000001
"35",4199,1981,7,4,27.6,21.8,0,0.199999999999999
"36",4200,1981,7,5,27.2,20.8,0,1.2
"37",4201,1981,7,6,25.3,20,0,2
"38",4202,1981,7,7,29.8,18.3,0,3.7
"39",4203,1981,7,8,30.3,19.4,0.300000000000001,2.6
"40",4204,1981,7,9,26.6,18.8,0,3.2
"41",4205,1981,7,10,26.4,17.6,0,4.4
"42",4206,1981,7,11,21.8,19.1,0.199999999999999,2.9
"43",4207,1981,7,12,25.2,20.4,0,1.6
"44",4208,1981,7,13,27.9,22.2,0,0
"45",4209,1981,7,14,32.5,22,2.5,0
"46",4210,1981,7,15,30.4,21.7,0.399999999999999,0.300000000000001
"47",4211,1981,7,16,30.7,21,0.699999999999999,1
"48",4212,1981,7,17,32.1,21.1,2.1,0.899999999999999
"49",4213,1981,7,18,32.7,21.4,2.7,0.600000000000001
"50",4214,1981,7,19,32.5,20.4,2.5,1.6
"51",4215,1981,7,20,33,18.8,3,3.2
"52",4216,1981,7,21,31.3,19.8,1.3,2.2
"53",4217,1981,7,22,31.3,21.6,1.3,0.399999999999999
"54",4218,1981,7,23,31.5,21.8,1.5,0.199999999999999
"55",4219,1981,7,24,31.4,23,1.4,0
"56",4220,1981,7,25,32.3,20.4,2.3,1.6
"57",4221,1981,7,26,33.5,21.6,3.5,0.399999999999999
"58",4222,1981,7,27,30.5,23.1,0.5,0
"59",4223,1981,7,28,30,22.7,0,0
"60",4224,1981,7,29,31.3,22.9,1.3,0
"61",4225,1981,7,30,33.7,20,3.7,2
"62",4226,1981,7,31,32.5,20,2.5,2
"63",4561,1982,7,1,27.9,15.4,0,6.6
"64",4562,1982,7,2,28.9,16,0,6
"65",4563,1982,7,3,29.7,15.4,0,6.6
"66",4564,1982,7,4,28.9,16.5,0,5.5
"67",4565,1982,7,5,28.9,17.8,0,4.2
