"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2982,1980,3,1,12.9,4.2,9.1,17.8
"2",2983,1980,3,2,12.3,-1.1,9.7,23.1
"3",2984,1980,3,3,12.3,1,9.7,21
"4",2985,1980,3,4,8.8,1.2,13.2,20.8
"5",2986,1980,3,5,9.2,2,12.8,20
"6",2987,1980,3,6,12.6,-1,9.4,23
"7",2988,1980,3,7,14.2,6.2,7.8,15.8
"8",2989,1980,3,8,12.3,2.2,9.7,19.8
"9",2990,1980,3,9,10.9,5.9,11.1,16.1
"10",2991,1980,3,10,13.7,1.4,8.3,20.6
"11",2992,1980,3,11,10.7,1.1,11.3,20.9
"12",2993,1980,3,12,10.7,0.7,11.3,21.3
"13",2994,1980,3,13,12.2,2.1,9.8,19.9
"14",2995,1980,3,14,10.8,2.7,11.2,19.3
"15",2996,1980,3,15,10.5,0.4,11.5,21.6
"16",2997,1980,3,16,12.5,0.9,9.5,21.1
"17",2998,1980,3,17,16.1,2.6,5.9,19.4
"18",2999,1980,3,18,9.4,2,12.6,20
"19",3000,1980,3,19,12.6,1.1,9.4,20.9
"20",3001,1980,3,20,15.2,1.3,6.8,20.7
"21",3002,1980,3,21,9.8,3.2,12.2,18.8
"22",3003,1980,3,22,7.3,3.1,14.7,18.9
"23",3004,1980,3,23,8.7,1.2,13.3,20.8
"24",3005,1980,3,24,10.2,-0.4,11.8,22.4
"25",3006,1980,3,25,11.2,-0.8,10.8,22.8
"26",3007,1980,3,26,14,3.4,8,18.6
"27",3008,1980,3,27,13.1,1.2,8.9,20.8
"28",3009,1980,3,28,16.5,0.3,5.5,21.7
"29",3010,1980,3,29,10.3,6.7,11.7,15.3
"30",3011,1980,3,30,18.3,3,3.7,19
"31",3012,1980,3,31,13.3,7,8.7,15
"32",3013,1980,4,1,14.4,6.3,7.6,15.7
"33",3014,1980,4,2,14.1,2.9,7.9,19.1
"34",3015,1980,4,3,16.6,0.9,5.4,21.1
"35",3016,1980,4,4,20,4.9,2,17.1
"36",3017,1980,4,5,19.2,14.9,2.8,7.1
"37",3018,1980,4,6,19,8.5,3,13.5
"38",3019,1980,4,7,13.7,7.1,8.3,14.9
"39",3020,1980,4,8,18.3,5.2,3.7,16.8
"40",3021,1980,4,9,17.5,8.9,4.5,13.1
"41",3022,1980,4,10,12.5,7.9,9.5,14.1
"42",3023,1980,4,11,18.5,3.9,3.5,18.1
"43",3024,1980,4,12,15.3,12.3,6.7,9.7
"44",3025,1980,4,13,16.1,9.5,5.9,12.5
"45",3026,1980,4,14,9.5,6,12.5,16
"46",3027,1980,4,15,10.5,5.1,11.5,16.9
"47",3028,1980,4,16,10.3,5.1,11.7,16.9
"48",3029,1980,4,17,13.5,4.8,8.5,17.2
"49",3030,1980,4,18,18.1,3.1,3.9,18.9
"50",3031,1980,4,19,20,17.1,2,4.9
"51",3032,1980,4,20,19.3,10.5,2.7,11.5
"52",3033,1980,4,21,16.8,5.4,5.2,16.6
"53",3034,1980,4,22,18,8,4,14
"54",3035,1980,4,23,17.2,8.8,4.8,13.2
"55",3036,1980,4,24,16,6.3,6,15.7
"56",3037,1980,4,25,18,5.6,4,16.4
"57",3038,1980,4,26,20.5,3.7,1.5,18.3
"58",3039,1980,4,27,14,8.8,8,13.2
"59",3040,1980,4,28,17,6.8,5,15.2
"60",3041,1980,4,29,19,6.1,3,15.9
"61",3042,1980,4,30,22.5,9.9,0,12.1
"62",3347,1981,3,1,6,-1.7,16,23.7
"63",3348,1981,3,2,9.3,-3.8,12.7,25.8
"64",3349,1981,3,3,9.5,-1.4,12.5,23.4
"65",3350,1981,3,4,12.5,-0.4,9.5,22.4
"66",3351,1981,3,5,10.9,-2.1,11.1,24.1
"67",3352,1981,3,6,8.6,-1.8,13.4,23.8
"68",3353,1981,3,7,12.8,-2.5,9.2,24.5
"69",3354,1981,3,8,13.5,0,8.5,22
"70",3355,1981,3,9,10.5,0.3,11.5,21.7
"71",3356,1981,3,10,10.8,-4.1,11.2,26.1
"72",3357,1981,3,11,12.7,-2.3,9.3,24.3
"73",3358,1981,3,12,13.1,-2.5,8.9,24.5
"74",3359,1981,3,13,13.2,8.4,8.8,13.6
"75",3360,1981,3,14,12.7,7.1,9.3,14.9
"76",3361,1981,3,15,11.9,2.3,10.1,19.7
"77",3362,1981,3,16,13.3,-1.5,8.7,23.5
"78",3363,1981,3,17,16.6,-0.2,5.4,22.2
"79",3364,1981,3,18,19.9,0.4,2.1,21.6
"80",3365,1981,3,19,19.4,2.2,2.6,19.8
"81",3366,1981,3,20,20.6,2.8,1.4,19.2
"82",3367,1981,3,21,15.5,4.6,6.5,17.4
"83",3368,1981,3,22,20.2,2.1,1.8,19.9
"84",3369,1981,3,23,11.9,6.3,10.1,15.7
"85",3370,1981,3,24,12.3,7.3,9.7,14.7
"86",3371,1981,3,25,14.3,9.5,7.7,12.5
"87",3372,1981,3,26,10.7,2.5,11.3,19.5
"88",3373,1981,3,27,11.7,-1.8,10.3,23.8
"89",3374,1981,3,28,16.1,4.1,5.9,17.9
"90",3375,1981,3,29,14.5,3.1,7.5,18.9
"91",3376,1981,3,30,12.8,7.3,9.2,14.7
"92",3377,1981,3,31,13.9,6.5,8.1,15.5
"93",3378,1981,4,1,9.8,7.1,12.2,14.9
"94",3379,1981,4,2,14.5,3.3,7.5,18.7
"95",3380,1981,4,3,13.8,-0.1,8.2,22.1
"96",3381,1981,4,4,15.7,4.9,6.3,17.1
"97",3382,1981,4,5,14.8,8.3,7.2,13.7
"98",3383,1981,4,6,19.8,4.4,2.2,17.6
"99",3384,1981,4,7,19.2,4.1,2.8,17.9
"100",3385,1981,4,8,17.2,6.6,4.8,15.4
"101",3386,1981,4,9,14,10.2,8,11.8
