"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6999,1980,3,1,10.6,2.4,11.4,19.6
"2",7000,1980,3,2,12.6,-1.8,9.4,23.8
"3",7001,1980,3,3,13.9,0.5,8.1,21.5
"4",7002,1980,3,4,8,2.5,14,19.5
"5",7003,1980,3,5,11.4,0.2,10.6,21.8
"6",7004,1980,3,6,14.7,-1.3,7.3,23.3
"7",7005,1980,3,7,14.9,5.9,7.1,16.1
"8",7006,1980,3,8,14.1,1,7.9,21
"9",7007,1980,3,9,9.5,6.5,12.5,15.5
"10",7008,1980,3,10,12.5,5,9.5,17
"11",7009,1980,3,11,9.7,1.7,12.3,20.3
"12",7010,1980,3,12,12,-1.7,10,23.7
"13",7011,1980,3,13,14.9,0.7,7.1,21.3
"14",7012,1980,3,14,9.7,3.2,12.3,18.8
"15",7013,1980,3,15,10.4,-0.1,11.6,22.1
"16",7014,1980,3,16,14.1,3.4,7.9,18.6
"17",7015,1980,3,17,16.5,1.8,5.5,20.2
"18",7016,1980,3,18,9.6,4.6,12.4,17.4
"19",7017,1980,3,19,16.4,3.2,5.6,18.8
"20",7018,1980,3,20,18.1,3.3,3.9,18.7
"21",7019,1980,3,21,11.7,3.3,10.3,18.7
"22",7020,1980,3,22,8,1.1,14,20.9
"23",7021,1980,3,23,6,0.8,16,21.2
"24",7022,1980,3,24,9.6,-1,12.4,23
"25",7023,1980,3,25,12.3,0.5,9.7,21.5
"26",7024,1980,3,26,13.2,3,8.8,19
"27",7025,1980,3,27,17,1.6,5,20.4
"28",7026,1980,3,28,18.5,1.8,3.5,20.2
"29",7027,1980,3,29,11.3,7.3,10.7,14.7
"30",7028,1980,3,30,21.6,4.3,0.399999999999999,17.7
"31",7029,1980,3,31,14,8.5,8,13.5
"32",7030,1980,4,1,14.3,7.1,7.7,14.9
"33",7031,1980,4,2,15.9,4.8,6.1,17.2
"34",7032,1980,4,3,20.4,1.6,1.6,20.4
"35",7033,1980,4,4,22.7,5.4,0,16.6
"36",7034,1980,4,5,22.5,15.2,0,6.8
"37",7035,1980,4,6,22.8,8,0,14
"38",7036,1980,4,7,17.9,6.2,4.1,15.8
"39",7037,1980,4,8,19.5,7.3,2.5,14.7
"40",7038,1980,4,9,18.9,7.8,3.1,14.2
"41",7039,1980,4,10,16,6.5,6,15.5
"42",7040,1980,4,11,20.4,3.7,1.6,18.3
"43",7041,1980,4,12,15.6,9.2,6.4,12.8
"44",7042,1980,4,13,12.1,7.7,9.9,14.3
"45",7043,1980,4,14,8,5,14,17
"46",7044,1980,4,15,12.2,3.2,9.8,18.8
"47",7045,1980,4,16,10.5,4.8,11.5,17.2
"48",7046,1980,4,17,14.8,4.8,7.2,17.2
"49",7047,1980,4,18,18.5,5.1,3.5,16.9
"50",7048,1980,4,19,21.5,9.9,0.5,12.1
"51",7049,1980,4,20,19.5,8,2.5,14
"52",7050,1980,4,21,18.8,7,3.2,15
"53",7051,1980,4,22,19.7,6.5,2.3,15.5
