"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2982,1980,3,1,6.7,-2,15.3,24
"2",2983,1980,3,2,9.4,-7.2,12.6,29.2
"3",2984,1980,3,3,11.1,-5,10.9,27
"4",2985,1980,3,4,9.2,-2.2,12.8,24.2
"5",2986,1980,3,5,11.3,-2,10.7,24
"6",2987,1980,3,6,12.9,-3.1,9.1,25.1
"7",2988,1980,3,7,14.9,0,7.1,22
"8",2989,1980,3,8,14.4,-3,7.6,25
"9",2990,1980,3,9,8,3.1,14,18.9
"10",2991,1980,3,10,9.5,1.7,12.5,20.3
"11",2992,1980,3,11,7.2,-4.5,14.8,26.5
"12",2993,1980,3,12,9.2,-7.5,12.8,29.5
"13",2994,1980,3,13,12.9,-6.2,9.1,28.2
"14",2995,1980,3,14,6.9,-1.5,15.1,23.5
"15",2996,1980,3,15,8.2,-6.4,13.8,28.4
"16",2997,1980,3,16,11.4,-5.2,10.6,27.2
"17",2998,1980,3,17,13.9,-4.6,8.1,26.6
"18",2999,1980,3,18,10.4,-1.2,11.6,23.2
"19",3000,1980,3,19,14.8,-2.3,7.2,24.3
"20",3001,1980,3,20,15.3,-1.4,6.7,23.4
"21",3002,1980,3,21,13.4,-2.8,8.6,24.8
"22",3003,1980,3,22,5,-0.2,17,22.2
"23",3004,1980,3,23,2.9,-1.5,19.1,23.5
"24",3005,1980,3,24,7.2,-6.5,14.8,28.5
"25",3006,1980,3,25,9.1,-5.6,12.9,27.6
"26",3007,1980,3,26,9.6,-2.5,12.4,24.5
"27",3008,1980,3,27,14.8,-6.5,7.2,28.5
"28",3009,1980,3,28,16.9,-5.2,5.1,27.2
"29",3010,1980,3,29,11.6,0.8,10.4,21.2
"30",3011,1980,3,30,19.8,-3,2.2,25
"31",3012,1980,3,31,13.1,6.3,8.9,15.7
"32",3013,1980,4,1,12.6,0.6,9.4,21.4
"33",3014,1980,4,2,12.7,-2,9.3,24
"34",3015,1980,4,3,20.5,-3.6,1.5,25.6
"35",3016,1980,4,4,22.7,-1.2,0,23.2
"36",3017,1980,4,5,17.2,12.1,4.8,9.9
"37",3018,1980,4,6,17.7,4.1,4.3,17.9
"38",3019,1980,4,7,16.5,2.2,5.5,19.8
"39",3020,1980,4,8,16.8,3.5,5.2,18.5
"40",3021,1980,4,9,18.7,6,3.3,16
"41",3022,1980,4,10,16.9,0.7,5.1,21.3
"42",3023,1980,4,11,20.7,0.2,1.3,21.8
"43",3024,1980,4,12,14.7,10.8,7.3,11.2
"44",3025,1980,4,13,12.3,8.1,9.7,13.9
"45",3026,1980,4,14,8.8,2.1,13.2,19.9
"46",3027,1980,4,15,10.6,1.2,11.4,20.8
"47",3028,1980,4,16,9.7,1.4,12.3,20.6
"48",3029,1980,4,17,12.1,1.7,9.9,20.3
"49",3030,1980,4,18,18,0.1,4,21.9
"50",3031,1980,4,19,21.6,5.2,0.399999999999999,16.8
"51",3032,1980,4,20,14.7,2.5,7.3,19.5
"52",3033,1980,4,21,15.5,-0.8,6.5,22.8
"53",3034,1980,4,22,17.4,-1.4,4.6,23.4
"54",3035,1980,4,23,13.4,0.5,8.6,21.5
"55",3036,1980,4,24,13.6,-2.4,8.4,24.4
"56",3037,1980,4,25,16.9,-1.7,5.1,23.7
"57",3038,1980,4,26,21.2,-1.8,0.800000000000001,23.8
"58",3039,1980,4,27,15.6,5.9,6.4,16.1
"59",3040,1980,4,28,16.9,5.9,5.1,16.1
"60",3041,1980,4,29,20,3.3,2,18.7
"61",3042,1980,4,30,20.3,7.2,1.7,14.8
"62",3347,1981,3,1,4.3,-8.8,17.7,30.8
"63",3348,1981,3,2,9,-7.6,13,29.6
"64",3349,1981,3,3,7.9,-3.5,14.1,25.5
"65",3350,1981,3,4,7.2,-5.2,14.8,27.2
"66",3351,1981,3,5,7.4,-6.8,14.6,28.8
"67",3352,1981,3,6,4.4,-5.1,17.6,27.1
"68",3353,1981,3,7,10.8,-6.4,11.2,28.4
"69",3354,1981,3,8,11.5,-3.4,10.5,25.4
"70",3355,1981,3,9,4.7,-1.2,17.3,23.2
"71",3356,1981,3,10,8.1,-6.4,13.9,28.4
"72",3357,1981,3,11,13.4,-7.4,8.6,29.4
"73",3358,1981,3,12,18.3,-5.5,3.7,27.5
"74",3359,1981,3,13,17,-1.3,5,23.3
"75",3360,1981,3,14,10.9,3,11.1,19
"76",3361,1981,3,15,6.4,-0.6,15.6,22.6
"77",3362,1981,3,16,10.5,-6.2,11.5,28.2
"78",3363,1981,3,17,15.9,-3.7,6.1,25.7
"79",3364,1981,3,18,18.5,-2.1,3.5,24.1
"80",3365,1981,3,19,21.1,-2.2,0.899999999999999,24.2
"81",3366,1981,3,20,20.2,-2.4,1.8,24.4
"82",3367,1981,3,21,22.4,-1.3,0,23.3
"83",3368,1981,3,22,19.6,0.1,2.4,21.9
"84",3369,1981,3,23,16.3,-0.6,5.7,22.6
"85",3370,1981,3,24,8.6,3.5,13.4,18.5
"86",3371,1981,3,25,9.2,3,12.8,19
"87",3372,1981,3,26,4.2,-1.2,17.8,23.2
"88",3373,1981,3,27,10.4,-1.2,11.6,23.2
"89",3374,1981,3,28,15.4,1.8,6.6,20.2
"90",3375,1981,3,29,15.3,0.2,6.7,21.8
"91",3376,1981,3,30,15.1,-2.1,6.9,24.1
"92",3377,1981,3,31,16.3,0.9,5.7,21.1
"93",3378,1981,4,1,12.1,3.8,9.9,18.2
"94",3379,1981,4,2,12.9,0.3,9.1,21.7
"95",3380,1981,4,3,11.5,-4.5,10.5,26.5
"96",3381,1981,4,4,17.8,1.8,4.2,20.2
"97",3382,1981,4,5,10.8,4.5,11.2,17.5
"98",3383,1981,4,6,19.4,1.4,2.6,20.6
"99",3384,1981,4,7,22.8,-0.1,0,22.1
"100",3385,1981,4,8,20.4,3.8,1.6,18.2
"101",3386,1981,4,9,15.3,8.4,6.7,13.6
"102",3387,1981,4,10,17.6,8.4,4.4,13.6
"103",3388,1981,4,11,20.3,6,1.7,16
"104",3389,1981,4,12,21.5,4.2,0.5,17.8
"105",3390,1981,4,13,15.3,2.2,6.7,19.8
"106",3391,1981,4,14,18.5,-1.2,3.5,23.2
"107",3392,1981,4,15,18.9,1.4,3.1,20.6
"108",3393,1981,4,16,12.5,5.5,9.5,16.5
"109",3394,1981,4,17,19,2.4,3,19.6
"110",3395,1981,4,18,20.5,3.6,1.5,18.4
"111",3396,1981,4,19,11.6,6.3,10.4,15.7
"112",3397,1981,4,20,15.8,1.5,6.2,20.5
"113",3398,1981,4,21,21.3,-0.4,0.699999999999999,22.4
"114",3399,1981,4,22,22.7,1.6,0,20.4
"115",3400,1981,4,23,23.5,3.2,0,18.8
"116",3401,1981,4,24,17.1,2.5,4.9,19.5
"117",3402,1981,4,25,19.7,-0.3,2.3,22.3
"118",3403,1981,4,26,25.2,-0.3,1.2,22.3
"119",3404,1981,4,27,23.5,2.5,0,19.5
"120",3405,1981,4,28,26.6,1.9,2.6,20.1
"121",3406,1981,4,29,20.8,11,1.2,11
"122",3407,1981,4,30,19.4,8.1,2.6,13.9
"123",3712,1982,3,1,7.5,-2.6,14.5,24.6
"124",3713,1982,3,2,7.4,-7.8,14.6,29.8
"125",3714,1982,3,3,10.3,-8.4,11.7,30.4
"126",3715,1982,3,4,4.2,-3.5,17.8,25.5
"127",3716,1982,3,5,9.3,-0.7,12.7,22.7
"128",3717,1982,3,6,3.1,-4,18.9,26
"129",3718,1982,3,7,2.6,-9.4,19.4,31.4
"130",3719,1982,3,8,7.1,-8.4,14.9,30.4
"131",3720,1982,3,9,10.8,-2.4,11.2,24.4
"132",3721,1982,3,10,12.9,-4.8,9.1,26.8
"133",3722,1982,3,11,17.3,-3.8,4.7,25.8
"134",3723,1982,3,12,17.5,1.2,4.5,20.8
"135",3724,1982,3,13,17.1,-3.3,4.9,25.3
"136",3725,1982,3,14,16.3,-1.2,5.7,23.2
"137",3726,1982,3,15,11.3,3,10.7,19
"138",3727,1982,3,16,7.4,-0.3,14.6,22.3
"139",3728,1982,3,17,7.6,-0.7,14.4,22.7
"140",3729,1982,3,18,13.1,-2.3,8.9,24.3
"141",3730,1982,3,19,10.7,-0.3,11.3,22.3
"142",3731,1982,3,20,15.3,3.8,6.7,18.2
"143",3732,1982,3,21,16,1.1,6,20.9
"144",3733,1982,3,22,20.8,-2.4,1.2,24.4
"145",3734,1982,3,23,16.6,2.4,5.4,19.6
"146",3735,1982,3,24,10.6,-2.7,11.4,24.7
"147",3736,1982,3,25,9,-6.6,13,28.6
"148",3737,1982,3,26,11.2,-7.6,10.8,29.6
"149",3738,1982,3,27,15,-6.2,7,28.2
"150",3739,1982,3,28,14.3,-2.7,7.7,24.7
"151",3740,1982,3,29,17.4,-3,4.6,25
"152",3741,1982,3,30,8.8,0.9,13.2,21.1
"153",3742,1982,3,31,16.2,4,5.8,18
"154",3743,1982,4,1,21.2,-0.4,0.800000000000001,22.4
"155",3744,1982,4,2,11.4,2,10.6,20
"156",3745,1982,4,3,11.8,6.8,10.2,15.2
"157",3746,1982,4,4,14.6,-0.5,7.4,22.5
"158",3747,1982,4,5,17.8,1.4,4.2,20.6
"159",3748,1982,4,6,19.2,-0.8,2.8,22.8
"160",3749,1982,4,7,19.7,3.8,2.3,18.2
"161",3750,1982,4,8,17.5,0.3,4.5,21.7
"162",3751,1982,4,9,10.9,-0.9,11.1,22.9
"163",3752,1982,4,10,15.8,-4.3,6.2,26.3
"164",3753,1982,4,11,18.2,-2.8,3.8,24.8
"165",3754,1982,4,12,18.5,2.5,3.5,19.5
"166",3755,1982,4,13,19.3,1.8,2.7,20.2
"167",3756,1982,4,14,21,3.5,1,18.5
"168",3757,1982,4,15,15.1,1.4,6.9,20.6
"169",3758,1982,4,16,14.4,-3,7.6,25
"170",3759,1982,4,17,13.6,-1.7,8.4,23.7
"171",3760,1982,4,18,16.4,-3.1,5.6,25.1
"172",3761,1982,4,19,19.6,-2.4,2.4,24.4
"173",3762,1982,4,20,15.1,1.4,6.9,20.6
"174",3763,1982,4,21,21.3,5.7,0.699999999999999,16.3
"175",3764,1982,4,22,23.1,1.3,0,20.7
"176",3765,1982,4,23,23.6,1.8,0,20.2
"177",3766,1982,4,24,26.2,3.9,2.2,18.1
"178",3767,1982,4,25,27.6,4.1,3.6,17.9
"179",3768,1982,4,26,22.2,10.1,0,11.9
"180",3769,1982,4,27,19.2,12.6,2.8,9.4
"181",3770,1982,4,28,16.7,8.6,5.3,13.4
"182",3771,1982,4,29,21.8,11.1,0.199999999999999,10.9
"183",3772,1982,4,30,23,9.7,0,12.3
"184",4077,1983,3,1,6.1,-3.3,15.9,25.3
"185",4078,1983,3,2,7.2,2.6,14.8,19.4
"186",4079,1983,3,3,6.6,-0.6,15.4,22.6
"187",4080,1983,3,4,5.7,-5,16.3,27
"188",4081,1983,3,5,6.4,-7.5,15.6,29.5
"189",4082,1983,3,6,8.3,-3.1,13.7,25.1
"190",4083,1983,3,7,4.8,-4.4,17.2,26.4
"191",4084,1983,3,8,7.4,-6.7,14.6,28.7
"192",4085,1983,3,9,9.4,-3.1,12.6,25.1
"193",4086,1983,3,10,10.8,-0.6,11.2,22.6
"194",4087,1983,3,11,13.8,-3.5,8.2,25.5
"195",4088,1983,3,12,14.6,-2,7.4,24
"196",4089,1983,3,13,5.7,-0.9,16.3,22.9
"197",4090,1983,3,14,7.2,-5.7,14.8,27.7
"198",4091,1983,3,15,10.8,-6,11.2,28
"199",4092,1983,3,16,14.2,-4.3,7.8,26.3
"200",4093,1983,3,17,5.1,-1.1,16.9,23.1
"201",4094,1983,3,18,10.4,-5.7,11.6,27.7
"202",4095,1983,3,19,14.6,-4.5,7.4,26.5
"203",4096,1983,3,20,16.4,-3.1,5.6,25.1
"204",4097,1983,3,21,20.8,5.1,1.2,16.9
"205",4098,1983,3,22,20.8,1.3,1.2,20.7
"206",4099,1983,3,23,11.9,5.6,10.1,16.4
"207",4100,1983,3,24,10.2,2.2,11.8,19.8
"208",4101,1983,3,25,14.6,-2.3,7.4,24.3
"209",4102,1983,3,26,13.2,3.5,8.8,18.5
"210",4103,1983,3,27,15,1.7,7,20.3
"211",4104,1983,3,28,16.6,-1.7,5.4,23.7
"212",4105,1983,3,29,15.8,-1.1,6.2,23.1
"213",4106,1983,3,30,15.8,-0.6,6.2,22.6
"214",4107,1983,3,31,13.8,-1.1,8.2,23.1
"215",4108,1983,4,1,15.4,2.9,6.6,19.1
"216",4109,1983,4,2,12,-1,10,23
"217",4110,1983,4,3,9.2,-5.5,12.8,27.5
