"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",2947,1980,3,1,10.51781,-3.40075,11.48219,25.40075
"2",2948,1980,3,2,10.89777,-7.96307,11.10223,29.96307
"3",2949,1980,3,3,12.5126,-5.35603,9.4874,27.35603
"4",2950,1980,3,4,8.52302,-3.15634,13.47698,25.15634
"5",2951,1980,3,5,10.6128,-3.56369,11.3872,25.56369
"6",2952,1980,3,6,13.17753,-6.08926,8.82247,28.08926
"7",2953,1980,3,7,14.22242,-1.52694,7.77758,23.52694
"8",2954,1980,3,8,14.69737,-3.48222,7.30263,25.48222
"9",2955,1980,3,9,7.7631,0.10246,14.2369,21.89754
"10",2956,1980,3,10,10.32783,-2.50458,11.67217,24.50458
"11",2957,1980,3,11,8.80799,-4.6228,13.19201,26.6228
"12",2958,1980,3,12,9.94787,-5.4375,12.05213,27.4375
"13",2959,1980,3,13,12.79757,-4.54133,9.20243,26.54133
"14",2960,1980,3,14,7.09817,-2.50458,14.90183,24.50458
"15",2961,1980,3,15,8.04807,-6.2522,13.95193,28.2522
"16",2962,1980,3,16,12.22763,-4.6228,9.77237,26.6228
"17",2963,1980,3,17,13.93745,-4.6228,8.06255,26.6228
"18",2964,1980,3,18,6.62322,-2.66752,15.37678,24.66752
"19",2965,1980,3,19,13.55749,-1.11959,8.44251,23.11959
"20",2966,1980,3,20,14.79236,-2.66752,7.20764,24.66752
"21",2967,1980,3,21,13.17753,-4.05251,8.82247,26.05251
"22",2968,1980,3,22,5.8633,-0.87518,16.1367,22.87518
"23",2969,1980,3,23,5.76831,-2.01576,16.23169,24.01576
"24",2970,1980,3,24,7.38314,-5.35603,14.61686,27.35603
"25",2971,1980,3,25,9.94787,-5.68191,12.05213,27.68191
"26",2972,1980,3,26,11.18274,-2.91193,10.81726,24.91193
"27",2973,1980,3,27,15.45729,-6.49661,6.54271,28.49661
"28",2974,1980,3,28,18.49697,-4.05251,3.50303,26.05251
"29",2975,1980,3,29,10.6128,0.99863,11.3872,21.00137
"30",2976,1980,3,30,20.39677,-0.0604800000000001,1.60323,22.06048
