"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6999,1980,3,1,14.9,6.6,7.1,15.4
"2",7000,1980,3,2,13.8,4.3,8.2,17.7
"3",7001,1980,3,3,13.4,7.8,8.6,14.2
"4",7002,1980,3,4,11.2,4.7,10.8,17.3
"5",7003,1980,3,5,8.8,7,13.2,15
"6",7004,1980,3,6,13.9,7.4,8.1,14.6
"7",7005,1980,3,7,16.9,8.3,5.1,13.7
"8",7006,1980,3,8,14,8.2,8,13.8
"9",7007,1980,3,9,13.9,8.2,8.1,13.8
"10",7008,1980,3,10,14.2,5.5,7.8,16.5
"11",7009,1980,3,11,14,7.1,8,14.9
"12",7010,1980,3,12,13.3,4.6,8.7,17.4
"13",7011,1980,3,13,11.3,8.5,10.7,13.5
"14",7012,1980,3,14,11.8,4.1,10.2,17.9
"15",7013,1980,3,15,11.7,2.4,10.3,19.6
"16",7014,1980,3,16,13,4.3,9,17.7
"17",7015,1980,3,17,15.4,7.6,6.6,14.4
"18",7016,1980,3,18,13.9,6.8,8.1,15.2
"19",7017,1980,3,19,14.5,7.2,7.5,14.8
"20",7018,1980,3,20,14,6.6,8,15.4
"21",7019,1980,3,21,12.4,9,9.6,13
"22",7020,1980,3,22,13.4,4.4,8.6,17.6
"23",7021,1980,3,23,7.8,3,14.2,19
"24",7022,1980,3,24,11,2.7,11,19.3
"25",7023,1980,3,25,11.7,3,10.3,19
"26",7024,1980,3,26,14.6,3.6,7.4,18.4
"27",7025,1980,3,27,14.5,3.8,7.5,18.2
"28",7026,1980,3,28,14.4,4.8,7.6,17.2
"29",7027,1980,3,29,15.6,9.6,6.4,12.4
"30",7028,1980,3,30,17.3,8.4,4.7,13.6
"31",7029,1980,3,31,15.1,11,6.9,11
"32",7030,1980,4,1,14.6,7,7.4,15
"33",7031,1980,4,2,15,6.4,7,15.6
"34",7032,1980,4,3,17.7,6.7,4.3,15.3
"35",7033,1980,4,4,18.9,12.6,3.1,9.4
"36",7034,1980,4,5,18,16,4,6
"37",7035,1980,4,6,18.2,7.8,3.8,14.2
"38",7036,1980,4,7,15.5,4.7,6.5,17.3
"39",7037,1980,4,8,17.6,9.1,4.4,12.9
"40",7038,1980,4,9,19.1,10,2.9,12
"41",7039,1980,4,10,15.3,10.2,6.7,11.8
"42",7040,1980,4,11,17.3,10.7,4.7,11.3
"43",7041,1980,4,12,17.3,15,4.7,7
"44",7042,1980,4,13,17.2,12.8,4.8,9.2
"45",7043,1980,4,14,13.4,9,8.6,13
"46",7044,1980,4,15,14.1,6.7,7.9,15.3
"47",7045,1980,4,16,13.9,6,8.1,16
"48",7046,1980,4,17,14.7,5.2,7.3,16.8
"49",7047,1980,4,18,18.2,10.6,3.8,11.4
"50",7048,1980,4,19,19.1,16.3,2.9,5.7
"51",7049,1980,4,20,19.1,11,2.9,11
"52",7050,1980,4,21,18.9,9.3,3.1,12.7
"53",7051,1980,4,22,19.1,11.7,2.9,10.3
"54",7052,1980,4,23,19.8,10.2,2.2,11.8
"55",7053,1980,4,24,15,9.3,7,12.7
"56",7054,1980,4,25,18.4,9.4,3.6,12.6
"57",7055,1980,4,26,18.8,8.4,3.2,13.6
"58",7056,1980,4,27,21.1,10.7,0.899999999999999,11.3
"59",7057,1980,4,28,15.4,9.9,6.6,12.1
"60",7058,1980,4,29,19,9.4,3,12.6
"61",7059,1980,4,30,20.3,14,1.7,8
"62",7364,1981,3,1,6.7,3.5,15.3,18.5
"63",7365,1981,3,2,11.3,3.8,10.7,18.2
"64",7366,1981,3,3,10.3,5.6,11.7,16.4
"65",7367,1981,3,4,13.3,5,8.7,17
"66",7368,1981,3,5,13.9,3.6,8.1,18.4
"67",7369,1981,3,6,11.3,2.2,10.7,19.8
"68",7370,1981,3,7,12.3,2.2,9.7,19.8
"69",7371,1981,3,8,15.4,4.8,6.6,17.2
"70",7372,1981,3,9,10.3,3.2,11.7,18.8
"71",7373,1981,3,10,11.9,0.6,10.1,21.4
"72",7374,1981,3,11,13.6,4,8.4,18
"73",7375,1981,3,12,13.9,7.1,8.1,14.9
"74",7376,1981,3,13,17,11.3,5,10.7
"75",7377,1981,3,14,15,8,7,14
"76",7378,1981,3,15,15.1,5,6.9,17
"77",7379,1981,3,16,14.4,3.5,7.6,18.5
"78",7380,1981,3,17,19.6,5.2,2.4,16.8
"79",7381,1981,3,18,17.2,8.1,4.8,13.9
"80",7382,1981,3,19,17,9.5,5,12.5
"81",7383,1981,3,20,19.4,8.5,2.6,13.5
"82",7384,1981,3,21,19.8,11.4,2.2,10.6
"83",7385,1981,3,22,20,10.7,2,11.3
"84",7386,1981,3,23,17.4,9.4,4.6,12.6
"85",7387,1981,3,24,15.2,11.7,6.8,10.3
"86",7388,1981,3,25,17.2,10.3,4.8,11.7
"87",7389,1981,3,26,10.9,5.6,11.1,16.4
"88",7390,1981,3,27,12.1,2.8,9.9,19.2
"89",7391,1981,3,28,13.4,8.6,8.6,13.4
"90",7392,1981,3,29,15.2,11,6.8,11
"91",7393,1981,3,30,16.2,10.7,5.8,11.3
"92",7394,1981,3,31,14.7,9.6,7.3,12.4
"93",7395,1981,4,1,13,10.6,9,11.4
"94",7396,1981,4,2,14.9,7,7.1,15
"95",7397,1981,4,3,12.8,5.2,9.2,16.8
"96",7398,1981,4,4,12,8.4,10,13.6
"97",7399,1981,4,5,17.6,10.2,4.4,11.8
"98",7400,1981,4,6,17.4,7.2,4.6,14.8
"99",7401,1981,4,7,20.5,10.6,1.5,11.4
"100",7402,1981,4,8,17.8,13.5,4.2,8.5
"101",7403,1981,4,9,15.5,10.2,6.5,11.8
"102",7404,1981,4,10,17.2,9.8,4.8,12.2
"103",7405,1981,4,11,18.6,10.6,3.4,11.4
"104",7406,1981,4,12,15.9,12.2,6.1,9.8
"105",7407,1981,4,13,19.4,9.3,2.6,12.7
"106",7408,1981,4,14,17.2,7.2,4.8,14.8
"107",7409,1981,4,15,14.6,11.6,7.4,10.4
"108",7410,1981,4,16,21.4,11.7,0.600000000000001,10.3
"109",7411,1981,4,17,16.9,8.6,5.1,13.4
"110",7412,1981,4,18,16.6,10.8,5.4,11.2
"111",7413,1981,4,19,19.4,8.7,2.6,13.3
"112",7414,1981,4,20,18.6,8.8,3.4,13.2
"113",7415,1981,4,21,18.7,9.5,3.3,12.5
"114",7416,1981,4,22,21,13.2,1,8.8
"115",7417,1981,4,23,19.8,12.9,2.2,9.1
"116",7418,1981,4,24,19.2,13.9,2.8,8.1
"117",7419,1981,4,25,21.2,10.6,0.800000000000001,11.4
"118",7420,1981,4,26,22.2,10.3,0,11.7
"119",7421,1981,4,27,17,11.6,5,10.4
"120",7422,1981,4,28,19,14.8,3,7.2
"121",7423,1981,4,29,17.6,13,4.4,9
"122",7424,1981,4,30,20.2,11.8,1.8,10.2
"123",7729,1982,3,1,13.9,3,8.1,19
"124",7730,1982,3,2,11.8,0.7,10.2,21.3
"125",7731,1982,3,3,12.8,3,9.2,19
"126",7732,1982,3,4,14.2,8.7,7.8,13.3
"127",7733,1982,3,5,13.2,8.6,8.8,13.4
"128",7734,1982,3,6,12.8,5.5,9.2,16.5
"129",7735,1982,3,7,8,2.1,14,19.9
"130",7736,1982,3,8,12.3,0.8,9.7,21.2
"131",7737,1982,3,9,14.5,4.6,7.5,17.4
"132",7738,1982,3,10,15.2,5.6,6.8,16.4
"133",7739,1982,3,11,15.8,4.9,6.2,17.1
"134",7740,1982,3,12,13,10.7,9,11.3
"135",7741,1982,3,13,18.1,7.6,3.9,14.4
"136",7742,1982,3,14,13.9,11,8.1,11
"137",7743,1982,3,15,17.8,11,4.2,11
"138",7744,1982,3,16,15.9,8,6.1,14
"139",7745,1982,3,17,12.2,7.6,9.8,14.4
"140",7746,1982,3,18,14.4,8.1,7.6,13.9
"141",7747,1982,3,19,12.6,9.9,9.4,12.1
"142",7748,1982,3,20,13.7,10,8.3,12
"143",7749,1982,3,21,16.8,8.6,5.2,13.4
"144",7750,1982,3,22,16.8,6.8,5.2,15.2
"145",7751,1982,3,23,18,14.7,4,7.3
"146",7752,1982,3,24,16.9,9.6,5.1,12.4
"147",7753,1982,3,25,14,6.5,8,15.5
"148",7754,1982,3,26,13.5,5.3,8.5,16.7
"149",7755,1982,3,27,15.4,8,6.6,14
"150",7756,1982,3,28,17.2,6.6,4.8,15.4
"151",7757,1982,3,29,16.2,9.1,5.8,12.9
"152",7758,1982,3,30,16.5,8.8,5.5,13.2
"153",7759,1982,3,31,18.5,7.4,3.5,14.6
"154",7760,1982,4,1,17.5,10.8,4.5,11.2
"155",7761,1982,4,2,17.2,11.2,4.8,10.8
"156",7762,1982,4,3,15.4,9.3,6.6,12.7
"157",7763,1982,4,4,12.7,7.3,9.3,14.7
"158",7764,1982,4,5,15,9.2,7,12.8
"159",7765,1982,4,6,15.8,10,6.2,12
"160",7766,1982,4,7,19.6,10.3,2.4,11.7
"161",7767,1982,4,8,20.8,7.2,1.2,14.8
"162",7768,1982,4,9,12.1,3.2,9.9,18.8
"163",7769,1982,4,10,15.3,4.5,6.7,17.5
"164",7770,1982,4,11,16.6,6.6,5.4,15.4
"165",7771,1982,4,12,18.7,10.4,3.3,11.6
"166",7772,1982,4,13,16,11.5,6,10.5
"167",7773,1982,4,14,18.6,11.8,3.4,10.2
"168",7774,1982,4,15,21.2,11,0.800000000000001,11
"169",7775,1982,4,16,21,11,1,11
"170",7776,1982,4,17,16.7,8.8,5.3,13.2
"171",7777,1982,4,18,16.8,8.9,5.2,13.1
"172",7778,1982,4,19,18.4,7.9,3.6,14.1
"173",7779,1982,4,20,17.2,8.8,4.8,13.2
"174",7780,1982,4,21,18,11.4,4,10.6
"175",7781,1982,4,22,17.9,9.5,4.1,12.5
"176",7782,1982,4,23,19.4,10.3,2.6,11.7
"177",7783,1982,4,24,22.2,15.1,0,6.9
"178",7784,1982,4,25,21.6,14.3,0.399999999999999,7.7
"179",7785,1982,4,26,17.9,14.8,4.1,7.2
"180",7786,1982,4,27,16.1,13.5,5.9,8.5
"181",7787,1982,4,28,17.7,13.8,4.3,8.2
"182",7788,1982,4,29,19.2,13.6,2.8,8.4
"183",7789,1982,4,30,17,12.8,5,9.2
"184",8094,1983,3,1,15.5,9.5,6.5,12.5
"185",8095,1983,3,2,15.6,7.2,6.4,14.8
"186",8096,1983,3,3,13.4,5.2,8.6,16.8
"187",8097,1983,3,4,15,3.3,7,18.7
"188",8098,1983,3,5,10.3,2.6,11.7,19.4
"189",8099,1983,3,6,14.3,3.1,7.7,18.9
