"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6999,1980,3,1,7.7,-0.2,14.3,22.2
"2",7000,1980,3,2,9,-2.1,13,24.1
"3",7001,1980,3,3,10.3,-0.8,11.7,22.8
"4",7002,1980,3,4,12,1,10,21
"5",7003,1980,3,5,11,1,11,21
"6",7004,1980,3,6,11.4,-1.6,10.6,23.6
"7",7005,1980,3,7,11.3,5,10.7,17
"8",7006,1980,3,8,16.2,2.4,5.8,19.6
"9",7007,1980,3,9,11.1,3.6,10.9,18.4
"10",7008,1980,3,10,8.7,-0.3,13.3,22.3
"11",7009,1980,3,11,7.3,-2.6,14.7,24.6
"12",7010,1980,3,12,8,-2.2,14,24.2
"13",7011,1980,3,13,9.9,-1.7,12.1,23.7
"14",7012,1980,3,14,8.3,0.3,13.7,21.7
"15",7013,1980,3,15,7.9,-1.6,14.1,23.6
"16",7014,1980,3,16,10.2,1.8,11.8,20.2
"17",7015,1980,3,17,10.6,2.7,11.4,19.3
"18",7016,1980,3,18,11.3,1.4,10.7,20.6
"19",7017,1980,3,19,10.5,2.5,11.5,19.5
"20",7018,1980,3,20,10.6,2.6,11.4,19.4
"21",7019,1980,3,21,12.9,0.1,9.1,21.9
"22",7020,1980,3,22,7.9,1.3,14.1,20.7
"23",7021,1980,3,23,4.9,-0.6,17.1,22.6
"24",7022,1980,3,24,7.7,-2,14.3,24
"25",7023,1980,3,25,9.4,0.5,12.6,21.5
"26",7024,1980,3,26,9.8,1.9,12.2,20.1
"27",7025,1980,3,27,14.8,0,7.2,22
"28",7026,1980,3,28,15.3,1.6,6.7,20.4
"29",7027,1980,3,29,18.1,6.8,3.9,15.2
"30",7028,1980,3,30,18,4.4,4,17.6
"31",7029,1980,3,31,11.4,5.1,10.6,16.9
"32",7030,1980,4,1,11.7,3.2,10.3,18.8
"33",7031,1980,4,2,12.9,1.4,9.1,20.6
"34",7032,1980,4,3,18.4,4.1,3.6,17.9
"35",7033,1980,4,4,21,8.6,1,13.4
"36",7034,1980,4,5,18.2,12.5,3.8,9.5
"37",7035,1980,4,6,12.5,4.3,9.5,17.7
"38",7036,1980,4,7,13.3,4.7,8.7,17.3
"39",7037,1980,4,8,15.2,8.4,6.8,13.6
"40",7038,1980,4,9,16.1,5.7,5.9,16.3
"41",7039,1980,4,10,17.3,4.9,4.7,17.1
"42",7040,1980,4,11,18,6.6,4,15.4
"43",7041,1980,4,12,14.8,8.2,7.2,13.8
"44",7042,1980,4,13,12.9,7,9.1,15
"45",7043,1980,4,14,10,4.7,12,17.3
"46",7044,1980,4,15,11.3,3.1,10.7,18.9
"47",7045,1980,4,16,9.9,2.9,12.1,19.1
"48",7046,1980,4,17,12.4,4.7,9.6,17.3
"49",7047,1980,4,18,19.2,5.5,2.8,16.5
"50",7048,1980,4,19,19.6,6.2,2.4,15.8
"51",7049,1980,4,20,12.7,5.8,9.3,16.2
"52",7050,1980,4,21,14.2,3.9,7.8,18.1
"53",7051,1980,4,22,15.3,4,6.7,18
"54",7052,1980,4,23,13.5,4.6,8.5,17.4
"55",7053,1980,4,24,14,4.1,8,17.9
"56",7054,1980,4,25,16.9,4.7,5.1,17.3
"57",7055,1980,4,26,20.2,4.9,1.8,17.1
"58",7056,1980,4,27,14.2,8.4,7.8,13.6
"59",7057,1980,4,28,14.8,8.1,7.2,13.9
"60",7058,1980,4,29,19.4,5.9,2.6,16.1
"61",7059,1980,4,30,19.5,9.9,2.5,12.1
"62",7364,1981,3,1,5.9,-4.7,16.1,26.7
"63",7365,1981,3,2,7.8,-3.1,14.2,25.1
"64",7366,1981,3,3,9,-0.7,13,22.7
"65",7367,1981,3,4,7.7,-1.1,14.3,23.1
"66",7368,1981,3,5,6.8,-2.5,15.2,24.5
"67",7369,1981,3,6,3.2,-5.1,18.8,27.1
"68",7370,1981,3,7,10,0.2,12,21.8
"69",7371,1981,3,8,6.6,-1.6,15.4,23.6
"70",7372,1981,3,9,3.4,-1.9,18.6,23.9
"71",7373,1981,3,10,7.2,-3.4,14.8,25.4
"72",7374,1981,3,11,11.2,-0.8,10.8,22.8
"73",7375,1981,3,12,17.2,0.1,4.8,21.9
"74",7376,1981,3,13,21.7,4.3,0.300000000000001,17.7
"75",7377,1981,3,14,12.8,1.9,9.2,20.1
"76",7378,1981,3,15,6.7,0.4,15.3,21.6
"77",7379,1981,3,16,9,-1.4,13,23.4
"78",7380,1981,3,17,14.2,2.6,7.8,19.4
"79",7381,1981,3,18,14.8,3,7.2,19
"80",7382,1981,3,19,19,2.9,3,19.1
"81",7383,1981,3,20,18.6,4.1,3.4,17.9
"82",7384,1981,3,21,19.4,5.1,2.6,16.9
"83",7385,1981,3,22,15.2,6.8,6.8,15.2
"84",7386,1981,3,23,19.4,5.2,2.6,16.8
"85",7387,1981,3,24,10.8,6.4,11.2,15.6
"86",7388,1981,3,25,7,1.8,15,20.2
"87",7389,1981,3,26,3,0.3,19,21.7
"88",7390,1981,3,27,8,-1.2,14,23.2
"89",7391,1981,3,28,13.4,0.8,8.6,21.2
"90",7392,1981,3,29,14,3.8,8,18.2
"91",7393,1981,3,30,15.7,2.8,6.3,19.2
"92",7394,1981,3,31,18.2,6.3,3.8,15.7
"93",7395,1981,4,1,9.1,5.5,12.9,16.5
"94",7396,1981,4,2,12.9,3.6,9.1,18.4
"95",7397,1981,4,3,10.4,1.7,11.6,20.3
"96",7398,1981,4,4,16.8,3.9,5.2,18.1
"97",7399,1981,4,5,10.4,6.8,11.6,15.2
"98",7400,1981,4,6,17.4,4.7,4.6,17.3
"99",7401,1981,4,7,23.2,5.8,0,16.2
"100",7402,1981,4,8,23.9,11.9,0,10.1
"101",7403,1981,4,9,23.4,12.3,0,9.7
"102",7404,1981,4,10,17.9,6.8,4.1,15.2
"103",7405,1981,4,11,15.5,5.8,6.5,16.2
"104",7406,1981,4,12,17.2,7,4.8,15
"105",7407,1981,4,13,16.4,6.5,5.6,15.5
"106",7408,1981,4,14,18.6,4.6,3.4,17.4
"107",7409,1981,4,15,20,6.3,2,15.7
"108",7410,1981,4,16,12.9,7.7,9.1,14.3
"109",7411,1981,4,17,18,5.8,4,16.2
"110",7412,1981,4,18,19,7.8,3,14.2
"111",7413,1981,4,19,11.9,6.9,10.1,15.1
"112",7414,1981,4,20,15.2,5.6,6.8,16.4
"113",7415,1981,4,21,19.1,5.8,2.9,16.2
"114",7416,1981,4,22,21.7,7.4,0.300000000000001,14.6
"115",7417,1981,4,23,22.3,9.8,0,12.2
"116",7418,1981,4,24,15.1,8.2,6.9,13.8
"117",7419,1981,4,25,19.4,7.3,2.6,14.7
"118",7420,1981,4,26,22.4,7.7,0,14.3
"119",7421,1981,4,27,22.3,9.7,0,12.3
"120",7422,1981,4,28,25.3,9.1,1.3,12.9
"121",7423,1981,4,29,17.3,9.8,4.7,12.2
"122",7424,1981,4,30,18.3,8,3.7,14
"123",7729,1982,3,1,9.1,0.9,12.9,21.1
"124",7730,1982,3,2,8.2,-1.9,13.8,23.9
"125",7731,1982,3,3,8.5,-1.7,13.5,23.7
"126",7732,1982,3,4,6,3,16,19
"127",7733,1982,3,5,9.5,-1.2,12.5,23.2
"128",7734,1982,3,6,2.8,-3.8,19.2,25.8
"129",7735,1982,3,7,2.8,-5.3,19.2,27.3
"130",7736,1982,3,8,5.8,-3,16.2,25
"131",7737,1982,3,9,9.9,0.4,12.1,21.6
"132",7738,1982,3,10,10.5,2.8,11.5,19.2
"133",7739,1982,3,11,15.6,6.1,6.4,15.9
"134",7740,1982,3,12,16.6,6.3,5.4,15.7
"135",7741,1982,3,13,17,4.1,5,17.9
"136",7742,1982,3,14,14.6,6,7.4,16
"137",7743,1982,3,15,14.1,6.9,7.9,15.1
"138",7744,1982,3,16,8,2.1,14,19.9
"139",7745,1982,3,17,3.9,1.6,18.1,20.4
"140",7746,1982,3,18,10.8,-1.7,11.2,23.7
"141",7747,1982,3,19,13.6,3.1,8.4,18.9
"142",7748,1982,3,20,15.8,4.8,6.2,17.2
"143",7749,1982,3,21,13.8,5.1,8.2,16.9
"144",7750,1982,3,22,16.5,4.9,5.5,17.1
