"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3317,1980,3,1,10,2,12,20
"2",3318,1980,3,2,11.3,0.6,10.7,21.4
"3",3319,1980,3,3,10.7,2.9,11.3,19.1
"4",3320,1980,3,4,11.2,5.9,10.8,16.1
"5",3321,1980,3,5,8.6,3.9,13.4,18.1
"6",3322,1980,3,6,11.7,3.9,10.3,18.1
"7",3323,1980,3,7,14.3,5.9,7.7,16.1
"8",3324,1980,3,8,12.3,4.7,9.7,17.3
"9",3325,1980,3,9,10.9,5.2,11.1,16.8
"10",3326,1980,3,10,11.5,4,10.5,18
"11",3327,1980,3,11,8.7,1.5,13.3,20.5
"12",3328,1980,3,12,11.5,-0.7,10.5,22.7
"13",3329,1980,3,13,10.7,3.4,11.3,18.6
"14",3330,1980,3,14,9,1.2,13,20.8
"15",3331,1980,3,15,10.3,-0.2,11.7,22.2
"16",3332,1980,3,16,11.2,0.8,10.8,21.2
"17",3333,1980,3,17,15.1,3,6.9,19
"18",3334,1980,3,18,11.6,4.7,10.4,17.3
"19",3335,1980,3,19,12.8,2.9,9.2,19.1
"20",3336,1980,3,20,13.1,2.9,8.9,19.1
"21",3337,1980,3,21,10,4.8,12,17.2
"22",3338,1980,3,22,8.3,1.8,13.7,20.2
"23",3339,1980,3,23,6.5,0.9,15.5,21.1
"24",3340,1980,3,24,8.9,0.4,13.1,21.6
"25",3341,1980,3,25,10.8,-0.8,11.2,22.8
"26",3342,1980,3,26,12.1,1.7,9.9,20.3
"27",3343,1980,3,27,14.1,0.7,7.9,21.3
"28",3344,1980,3,28,12.9,1.8,9.1,20.2
"29",3345,1980,3,29,11.9,6.9,10.1,15.1
"30",3346,1980,3,30,18.2,5.5,3.8,16.5
"31",3347,1980,3,31,10.5,6.5,11.5,15.5
"32",3348,1980,4,1,13.3,5.3,8.7,16.7
"33",3349,1980,4,2,13.3,4.6,8.7,17.4
"34",3350,1980,4,3,15.7,3.3,6.3,18.7
"35",3351,1980,4,4,18.7,7.9,3.3,14.1
"36",3352,1980,4,5,19.8,14.9,2.2,7.1
"37",3353,1980,4,6,19.3,5.4,2.7,16.6
"38",3354,1980,4,7,13.6,3.3,8.4,18.7
"39",3355,1980,4,8,16.1,8.9,5.9,13.1
"40",3356,1980,4,9,19.8,10.9,2.2,11.1
"41",3357,1980,4,10,12.7,8.3,9.3,13.7
"42",3358,1980,4,11,15.5,8.9,6.5,13.1
"43",3359,1980,4,12,15.3,13.2,6.7,8.8
"44",3360,1980,4,13,14.8,6.3,7.2,15.7
"45",3361,1980,4,14,10.2,3.7,11.8,18.3
"46",3362,1980,4,15,11.4,1.5,10.6,20.5
"47",3363,1980,4,16,10.8,4.2,11.2,17.8
"48",3364,1980,4,17,13,3.2,9,18.8
"49",3365,1980,4,18,17.5,5.5,4.5,16.5
"50",3366,1980,4,19,18.4,13.7,3.6,8.3
"51",3367,1980,4,20,18.8,9.2,3.2,12.8
"52",3368,1980,4,21,18.2,5.5,3.8,16.5
"53",3369,1980,4,22,17.5,7.4,4.5,14.6
"54",3370,1980,4,23,16.7,7.2,5.3,14.8
"55",3371,1980,4,24,14.5,4.7,7.5,17.3
"56",3372,1980,4,25,17.9,6.9,4.1,15.1
"57",3373,1980,4,26,16.8,5.7,5.2,16.3
"58",3374,1980,4,27,16.7,8.9,5.3,13.1
"59",3375,1980,4,28,16.9,7.9,5.1,14.1
"60",3376,1980,4,29,16.7,7.4,5.3,14.6
"61",3377,1980,4,30,23,10.3,0,11.7
"62",3682,1981,3,1,4.7,-0.3,17.3,22.3
"63",3683,1981,3,2,8.6,-1,13.4,23
"64",3684,1981,3,3,7.2,0.6,14.8,21.4
"65",3685,1981,3,4,10.8,2.6,11.2,19.4
"66",3686,1981,3,5,10.2,0.6,11.8,21.4
"67",3687,1981,3,6,8.2,-2,13.8,24
"68",3688,1981,3,7,11.6,-0.6,10.4,22.6
"69",3689,1981,3,8,12.5,1.8,9.5,20.2
"70",3690,1981,3,9,8.4,1,13.6,21
"71",3691,1981,3,10,8.6,-0.8,13.4,22.8
"72",3692,1981,3,11,10,0.6,12,21.4
"73",3693,1981,3,12,10.8,2.2,11.2,19.8
"74",3694,1981,3,13,11.8,8.9,10.2,13.1
"75",3695,1981,3,14,11.7,6.1,10.3,15.9
"76",3696,1981,3,15,7.4,2,14.6,20
"77",3697,1981,3,16,12.1,-0.8,9.9,22.8
"78",3698,1981,3,17,15.1,3.7,6.9,18.3
"79",3699,1981,3,18,18.8,1.8,3.2,20.2
"80",3700,1981,3,19,17,5.9,5,16.1
"81",3701,1981,3,20,19,4.8,3,17.2
"82",3702,1981,3,21,17.9,5,4.1,17
"83",3703,1981,3,22,20.3,5.7,1.7,16.3
"84",3704,1981,3,23,11.9,4.3,10.1,17.7
"85",3705,1981,3,24,12.1,8,9.9,14
"86",3706,1981,3,25,12.9,7.4,9.1,14.6
"87",3707,1981,3,26,9.7,2.2,12.3,19.8
"88",3708,1981,3,27,10.7,-1,11.3,23
"89",3709,1981,3,28,12.4,5.2,9.6,16.8
"90",3710,1981,3,29,14.7,7.4,7.3,14.6
"91",3711,1981,3,30,12.3,6.7,9.7,15.3
"92",3712,1981,3,31,13.3,5.7,8.7,16.3
"93",3713,1981,4,1,10.3,7.4,11.7,14.6
"94",3714,1981,4,2,13,3.4,9,18.6
"95",3715,1981,4,3,11.1,0.6,10.9,21.4
"96",3716,1981,4,4,12.8,3.9,9.2,18.1
"97",3717,1981,4,5,14.3,6.6,7.7,15.4
"98",3718,1981,4,6,19.2,4.4,2.8,17.6
"99",3719,1981,4,7,19.1,6.6,2.9,15.4
"100",3720,1981,4,8,16.1,10,5.9,12
"101",3721,1981,4,9,12.2,9.5,9.8,12.5
"102",3722,1981,4,10,18.6,8.4,3.4,13.6
"103",3723,1981,4,11,19.8,6.9,2.2,15.1
"104",3724,1981,4,12,16.8,9.5,5.2,12.5
"105",3725,1981,4,13,16.1,7.4,5.9,14.6
"106",3726,1981,4,14,15.6,4.3,6.4,17.7
"107",3727,1981,4,15,12.4,8.9,9.6,13.1
