"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6999,1980,3,1,8.4,1,13.6,21
"2",7000,1980,3,2,9.4,1.1,12.6,20.9
"3",7001,1980,3,3,11.7,4.2,10.3,17.8
"4",7002,1980,3,4,7,-0.5,15,22.5
"5",7003,1980,3,5,6.4,-0.6,15.6,22.6
"6",7004,1980,3,6,10,1.3,12,20.7
"7",7005,1980,3,7,6.8,3.6,15.2,18.4
"8",7006,1980,3,8,10.2,3.5,11.8,18.5
"9",7007,1980,3,9,6.3,3.1,15.7,18.9
"10",7008,1980,3,10,3.6,-0.8,18.4,22.8
"11",7009,1980,3,11,-0.1,-2.7,22.1,24.7
"12",7010,1980,3,12,3.5,-2.3,18.5,24.3
"13",7011,1980,3,13,7.2,2.1,14.8,19.9
"14",7012,1980,3,14,6.8,0.6,15.2,21.4
"15",7013,1980,3,15,7.8,1.3,14.2,20.7
"16",7014,1980,3,16,11.8,3.9,10.2,18.1
"17",7015,1980,3,17,11.1,2.7,10.9,19.3
"18",7016,1980,3,18,2.7,-0.3,19.3,22.3
"19",7017,1980,3,19,8.9,0.2,13.1,21.8
"20",7018,1980,3,20,12.4,5.6,9.6,16.4
"21",7019,1980,3,21,6.2,2.2,15.8,19.8
"22",7020,1980,3,22,3.1,-0.8,18.9,22.8
"23",7021,1980,3,23,7.1,-0.3,14.9,22.3
"24",7022,1980,3,24,6.3,0.2,15.7,21.8
"25",7023,1980,3,25,9,2.5,13,19.5
"26",7024,1980,3,26,8.3,3.2,13.7,18.8
"27",7025,1980,3,27,12.2,4.2,9.8,17.8
"28",7026,1980,3,28,14,5.9,8,16.1
"29",7027,1980,3,29,11.4,7.4,10.6,14.6
"30",7028,1980,3,30,16.4,6.9,5.6,15.1
"31",7029,1980,3,31,10.8,5.8,11.2,16.2
"32",7030,1980,4,1,10,4.4,12,17.6
"33",7031,1980,4,2,10.8,3.2,11.2,18.8
"34",7032,1980,4,3,11,4.5,11,17.5
"35",7033,1980,4,4,15.8,9,6.2,13
"36",7034,1980,4,5,14.4,10.9,7.6,11.1
"37",7035,1980,4,6,14.6,2.5,7.4,19.5
"38",7036,1980,4,7,9.6,1.8,12.4,20.2
"39",7037,1980,4,8,12.4,6.5,9.6,15.5
"40",7038,1980,4,9,10.8,2.6,11.2,19.4
"41",7039,1980,4,10,10.6,1.8,11.4,20.2
"42",7040,1980,4,11,15.4,5.9,6.6,16.1
"43",7041,1980,4,12,16.2,5.8,5.8,16.2
"44",7042,1980,4,13,8.4,4,13.6,18
"45",7043,1980,4,14,4.6,0.1,17.4,21.9
"46",7044,1980,4,15,8.4,1.8,13.6,20.2
"47",7045,1980,4,16,10.4,3.9,11.6,18.1
"48",7046,1980,4,17,10.5,3.1,11.5,18.9
"49",7047,1980,4,18,11.8,5.3,10.2,16.7
"50",7048,1980,4,19,14.4,11.1,7.6,10.9
"51",7049,1980,4,20,13.2,7,8.8,15
"52",7050,1980,4,21,14.3,7.6,7.7,14.4
"53",7051,1980,4,22,14,8.1,8,13.9
"54",7052,1980,4,23,10,5.8,12,16.2
"55",7053,1980,4,24,11.6,6.1,10.4,15.9
"56",7054,1980,4,25,14.8,6.6,7.2,15.4
"57",7055,1980,4,26,17.2,8.8,4.8,13.2
"58",7056,1980,4,27,11.8,5.9,10.2,16.1
"59",7057,1980,4,28,12.5,5.6,9.5,16.4
"60",7058,1980,4,29,13.5,9.2,8.5,12.8
"61",7059,1980,4,30,16.8,9.6,5.2,12.4
"62",7364,1981,3,1,3.1,-2,18.9,24
"63",7365,1981,3,2,5,-0.4,17,22.4
"64",7366,1981,3,3,7.4,2.2,14.6,19.8
"65",7367,1981,3,4,9.8,3.2,12.2,18.8
"66",7368,1981,3,5,7,-0.2,15,22.2
"67",7369,1981,3,6,3.8,-2,18.2,24
"68",7370,1981,3,7,8.9,0,13.1,22
