"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3104,1980,3,1,7.4,-0.9,14.6,22.9
"2",3105,1980,3,2,8.6,-6.3,13.4,28.3
"3",3106,1980,3,3,10.4,-4.3,11.6,26.3
"4",3107,1980,3,4,12.2,-2.4,9.8,24.4
"5",3108,1980,3,5,11.3,-0.3,10.7,22.3
"6",3109,1980,3,6,12.1,-4.8,9.9,26.8
"7",3110,1980,3,7,11.8,-0.1,10.2,22.1
"8",3111,1980,3,8,17.2,-2.9,4.8,24.9
"9",3112,1980,3,9,8.6,1.9,13.4,20.1
"10",3113,1980,3,10,9.4,-1.3,12.6,23.3
"11",3114,1980,3,11,7.7,-4.7,14.3,26.7
"12",3115,1980,3,12,8.6,-5.1,13.4,27.1
"13",3116,1980,3,13,11.4,-5.2,10.6,27.2
"14",3117,1980,3,14,7,-1,15,23
"15",3118,1980,3,15,8.1,-5.4,13.9,27.4
"16",3119,1980,3,16,10.4,-2.9,11.6,24.9
"17",3120,1980,3,17,11.9,-3.1,10.1,25.1
"18",3121,1980,3,18,11.4,-1.8,10.6,23.8
"19",3122,1980,3,19,13.4,-2.6,8.6,24.6
"20",3123,1980,3,20,10.6,0.3,11.4,21.7
"21",3124,1980,3,21,12.1,-3.2,9.9,25.2
"22",3125,1980,3,22,6.6,0.8,15.4,21.2
"23",3126,1980,3,23,5.2,-0.9,16.8,22.9
"24",3127,1980,3,24,7.3,-5.8,14.7,27.8
"25",3128,1980,3,25,9.3,-3.1,12.7,25.1
"26",3129,1980,3,26,9.9,-1.1,12.1,23.1
"27",3130,1980,3,27,14.3,-5.4,7.7,27.4
"28",3131,1980,3,28,16.1,-3.6,5.9,25.6
"29",3132,1980,3,29,16.7,2.8,5.3,19.2
"30",3133,1980,3,30,18.8,-1.8,3.2,23.8
"31",3134,1980,3,31,10.7,4.6,11.3,17.4
"32",3135,1980,4,1,11.8,1.7,10.2,20.3
"33",3136,1980,4,2,12.9,-2.3,9.1,24.3
"34",3137,1980,4,3,20.5,-1.8,1.5,23.8
"35",3138,1980,4,4,23.1,1,0,21
"36",3139,1980,4,5,17.8,14.8,4.2,7.2
"37",3140,1980,4,6,15.4,5.3,6.6,16.7
"38",3141,1980,4,7,15.6,4.5,6.4,17.5
"39",3142,1980,4,8,16.3,5.2,5.7,16.8
"40",3143,1980,4,9,18.3,4.6,3.7,17.4
"41",3144,1980,4,10,17.8,1,4.2,21
"42",3145,1980,4,11,19.2,1.5,2.8,20.5
"43",3146,1980,4,12,15.4,8,6.6,14
"44",3147,1980,4,13,10.3,7.4,11.7,14.6
"45",3148,1980,4,14,7.8,2,14.2,20
"46",3149,1980,4,15,11.4,-0.6,10.6,22.6
"47",3150,1980,4,16,10.4,2.2,11.6,19.8
"48",3151,1980,4,17,12,3,10,19
"49",3152,1980,4,18,19.9,0.4,2.1,21.6
"50",3153,1980,4,19,21.3,3.7,0.699999999999999,18.3
"51",3154,1980,4,20,13.6,3,8.4,19
"52",3155,1980,4,21,14.9,0.3,7.1,21.7
"53",3156,1980,4,22,16.4,-0.7,5.6,22.7
"54",3157,1980,4,23,13.5,1.2,8.5,20.8
"55",3158,1980,4,24,14.1,-0.6,7.9,22.6
"56",3159,1980,4,25,17,-0.7,5,22.7
"57",3160,1980,4,26,20.7,-0.2,1.3,22.2
"58",3161,1980,4,27,15.1,6.6,6.9,15.4
"59",3162,1980,4,28,15.4,3.8,6.6,18.2
"60",3163,1980,4,29,19.2,2.8,2.8,19.2
"61",3164,1980,4,30,20.7,5.5,1.3,16.5
"62",3469,1981,3,1,5.4,-8.1,16.6,30.1
"63",3470,1981,3,2,7.5,-7.2,14.5,29.2
"64",3471,1981,3,3,8.4,-3.5,13.6,25.5
"65",3472,1981,3,4,6.9,-3.6,15.1,25.6
"66",3473,1981,3,5,6.4,-5.1,15.6,27.1
"67",3474,1981,3,6,3.5,-4.5,18.5,26.5
"68",3475,1981,3,7,9.4,-1.6,12.6,23.6
"69",3476,1981,3,8,9.4,-4.3,12.6,26.3
"70",3477,1981,3,9,2.1,-4.9,19.9,26.9
"71",3478,1981,3,10,7.1,-8.4,14.9,30.4
"72",3479,1981,3,11,10.7,-5.2,11.3,27.2
"73",3480,1981,3,12,16.7,-4,5.3,26
"74",3481,1981,3,13,20.5,-2.6,1.5,24.6
"75",3482,1981,3,14,10.3,2.5,11.7,19.5
"76",3483,1981,3,15,5.7,-2.2,16.3,24.2
"77",3484,1981,3,16,9.9,-4.4,12.1,26.4
"78",3485,1981,3,17,14.3,-1.1,7.7,23.1
"79",3486,1981,3,18,17,-2.2,5,24.2
"80",3487,1981,3,19,20.9,-1.8,1.1,23.8
"81",3488,1981,3,20,18.8,-0.6,3.2,22.6
"82",3489,1981,3,21,21.1,-0.8,0.899999999999999,22.8
"83",3490,1981,3,22,18,3.6,4,18.4
"84",3491,1981,3,23,18.3,0.9,3.7,21.1
"85",3492,1981,3,24,9.9,5.2,12.1,16.8
"86",3493,1981,3,25,8.4,3.2,13.6,18.8
"87",3494,1981,3,26,3.1,-1,18.9,23
"88",3495,1981,3,27,8.4,-1.7,13.6,23.7
"89",3496,1981,3,28,14.5,-0.4,7.5,22.4
"90",3497,1981,3,29,15,-0.1,7,22.1
"91",3498,1981,3,30,16,-1.2,6,23.2
"92",3499,1981,3,31,18.4,1.8,3.6,20.2
"93",3500,1981,4,1,10.1,6.4,11.9,15.6
"94",3501,1981,4,2,13.4,0.7,8.6,21.3
"95",3502,1981,4,3,11.6,-3.4,10.4,25.4
"96",3503,1981,4,4,18.4,2.5,3.6,19.5
"97",3504,1981,4,5,12.9,6,9.1,16
"98",3505,1981,4,6,19.7,6.1,2.3,15.9
"99",3506,1981,4,7,23.6,1.9,0,20.1
"100",3507,1981,4,8,23.9,7.9,0,14.1
"101",3508,1981,4,9,22.6,10,0,12
"102",3509,1981,4,10,19.3,8.7,2.7,13.3
"103",3510,1981,4,11,19.2,7.5,2.8,14.5
"104",3511,1981,4,12,20.1,5.5,1.9,16.5
"105",3512,1981,4,13,16.2,4.7,5.8,17.3
"106",3513,1981,4,14,18.9,-0.1,3.1,22.1
"107",3514,1981,4,15,20.4,2.1,1.6,19.9
"108",3515,1981,4,16,12.3,3.8,9.7,18.2
"109",3516,1981,4,17,17.8,3.6,4.2,18.4
"110",3517,1981,4,18,21.3,3.5,0.699999999999999,18.5
"111",3518,1981,4,19,13.8,5.5,8.2,16.5
"112",3519,1981,4,20,15.2,0.3,6.8,21.7
"113",3520,1981,4,21,20.6,1,1.4,21
"114",3521,1981,4,22,22.4,1.3,0,20.7
"115",3522,1981,4,23,23.4,4.2,0,17.8
"116",3523,1981,4,24,16.6,5.6,5.4,16.4
"117",3524,1981,4,25,19.4,1.7,2.6,20.3
"118",3525,1981,4,26,24.9,1.3,0.899999999999999,20.7
"119",3526,1981,4,27,23.9,3.8,0,18.2
"120",3527,1981,4,28,26.5,3.9,2.5,18.1
"121",3528,1981,4,29,15.4,11,6.6,11
"122",3529,1981,4,30,18.4,8.1,3.6,13.9
"123",3834,1982,3,1,5.8,-0.1,16.2,22.1
"124",3835,1982,3,2,7.2,-5,14.8,27
"125",3836,1982,3,3,8.8,-6.1,13.2,28.1
"126",3837,1982,3,4,4.9,-2.5,17.1,24.5
"127",3838,1982,3,5,10.8,-1,11.2,23
"128",3839,1982,3,6,3.6,-4.5,18.4,26.5
"129",3840,1982,3,7,2.2,-8.6,19.8,30.6
"130",3841,1982,3,8,6.5,-7.2,15.5,29.2
"131",3842,1982,3,9,10.5,-2.2,11.5,24.2
"132",3843,1982,3,10,12.8,-3.2,9.2,25.2
"133",3844,1982,3,11,15.6,2.8,6.4,19.2
"134",3845,1982,3,12,16.5,1.3,5.5,20.7
"135",3846,1982,3,13,17,-2.7,5,24.7
"136",3847,1982,3,14,14.9,-0.3,7.1,22.3
"137",3848,1982,3,15,11.9,3.7,10.1,18.3
"138",3849,1982,3,16,7.6,-0.4,14.4,22.4
"139",3850,1982,3,17,5,-1.1,17,23.1
"140",3851,1982,3,18,12.1,-2,9.9,24
"141",3852,1982,3,19,12.5,-1.2,9.5,23.2
"142",3853,1982,3,20,17.7,0.6,4.3,21.4
"143",3854,1982,3,21,15.3,1.2,6.7,20.8
"144",3855,1982,3,22,19.8,-1.1,2.2,23.1
"145",3856,1982,3,23,16.6,2.8,5.4,19.2
"146",3857,1982,3,24,10.5,-1.4,11.5,23.4
"147",3858,1982,3,25,8.9,-5.8,13.1,27.8
"148",3859,1982,3,26,10.6,-6.2,11.4,28.2
"149",3860,1982,3,27,13.8,-5.5,8.2,27.5
"150",3861,1982,3,28,14.5,-2.4,7.5,24.4
"151",3862,1982,3,29,17.1,-2.8,4.9,24.8
"152",3863,1982,3,30,6.3,2.3,15.7,19.7
"153",3864,1982,3,31,15.7,2.1,6.3,19.9
"154",3865,1982,4,1,19.5,0.2,2.5,21.8
"155",3866,1982,4,2,10.7,2.8,11.3,19.2
"156",3867,1982,4,3,13.9,4.7,8.1,17.3
"157",3868,1982,4,4,15.6,-0.7,6.4,22.7
"158",3869,1982,4,5,18.3,0.1,3.7,21.9
"159",3870,1982,4,6,19.6,-1.2,2.4,23.2
"160",3871,1982,4,7,20.3,1.3,1.7,20.7
"161",3872,1982,4,8,15.3,1,6.7,21
"162",3873,1982,4,9,10.6,0.2,11.4,21.8
"163",3874,1982,4,10,15.7,-3.1,6.3,25.1
"164",3875,1982,4,11,19.9,-2.1,2.1,24.1
"165",3876,1982,4,12,17.7,4,4.3,18
"166",3877,1982,4,13,17.7,3.8,4.3,18.2
"167",3878,1982,4,14,21.7,3.9,0.300000000000001,18.1
"168",3879,1982,4,15,15.5,4.6,6.5,17.4
"169",3880,1982,4,16,13.9,-1.4,8.1,23.4
"170",3881,1982,4,17,13.5,2,8.5,20
"171",3882,1982,4,18,16.6,-1.6,5.4,23.6
"172",3883,1982,4,19,19.7,-1.1,2.3,23.1
"173",3884,1982,4,20,16.3,2.8,5.7,19.2
"174",3885,1982,4,21,22.4,4.1,0,17.9
"175",3886,1982,4,22,22.8,3.4,0,18.6
"176",3887,1982,4,23,22.6,5,0,17
"177",3888,1982,4,24,25.7,5.2,1.7,16.8
"178",3889,1982,4,25,28.1,5.8,4.1,16.2
"179",3890,1982,4,26,27.1,9.2,3.1,12.8
"180",3891,1982,4,27,18.6,9.4,3.4,12.6
"181",3892,1982,4,28,17.1,8.3,4.9,13.7
"182",3893,1982,4,29,21.2,11.7,0.800000000000001,10.3
"183",3894,1982,4,30,23.6,9.6,0,12.4
"184",4199,1983,3,1,7.1,-3.3,14.9,25.3
"185",4200,1983,3,2,5.8,2,16.2,20
"186",4201,1983,3,3,4.6,0.1,17.4,21.9
"187",4202,1983,3,4,5.1,-3,16.9,25
"188",4203,1983,3,5,5.7,-6.3,16.3,28.3
"189",4204,1983,3,6,7.7,-2.2,14.3,24.2
"190",4205,1983,3,7,5.2,-4.8,16.8,26.8
"191",4206,1983,3,8,6.4,-8.4,15.6,30.4
"192",4207,1983,3,9,8.9,-2.2,13.1,24.2
"193",4208,1983,3,10,10.6,1.8,11.4,20.2
"194",4209,1983,3,11,12.7,-1.7,9.3,23.7
"195",4210,1983,3,12,13.1,-2.6,8.9,24.6
"196",4211,1983,3,13,1,-4.6,21,26.6
"197",4212,1983,3,14,5.6,-10,16.4,32
"198",4213,1983,3,15,10,-5.7,12,27.7
"199",4214,1983,3,16,13.4,-4.6,8.6,26.6
"200",4215,1983,3,17,4,-2.4,18,24.4
"201",4216,1983,3,18,9.5,-6,12.5,28
"202",4217,1983,3,19,13.3,-3.9,8.7,25.9
"203",4218,1983,3,20,15.4,-2.2,6.6,24.2
"204",4219,1983,3,21,20.2,1.7,1.8,20.3
"205",4220,1983,3,22,21,0.9,1,21.1
"206",4221,1983,3,23,10.3,4.4,11.7,17.6
"207",4222,1983,3,24,12.6,2.7,9.4,19.3
"208",4223,1983,3,25,15,-2.6,7,24.6
"209",4224,1983,3,26,15.7,-0.2,6.3,22.2
"210",4225,1983,3,27,13.4,3.2,8.6,18.8
"211",4226,1983,3,28,17.9,-2,4.1,24
"212",4227,1983,3,29,17.8,-1.4,4.2,23.4
"213",4228,1983,3,30,18.7,-2.9,3.3,24.9
"214",4229,1983,3,31,16.2,-3.1,5.8,25.1
"215",4230,1983,4,1,16,0.8,6,21.2
"216",4231,1983,4,2,10.6,-0.2,11.4,22.2
"217",4232,1983,4,3,6.9,-3.4,15.1,25.4
"218",4233,1983,4,4,12.3,-2.3,9.7,24.3
"219",4234,1983,4,5,19.1,0.2,2.9,21.8
"220",4235,1983,4,6,23.4,1.1,0,20.9
"221",4236,1983,4,7,22.6,5,0,17
"222",4237,1983,4,8,24.7,3.9,0.699999999999999,18.1
"223",4238,1983,4,9,22.8,6.6,0,15.4
"224",4239,1983,4,10,24.4,11.9,0.399999999999999,10.1
"225",4240,1983,4,11,22.3,8.3,0,13.7
"226",4241,1983,4,12,22.8,9.1,0,12.9
"227",4242,1983,4,13,23.9,6.4,0,15.6
"228",4243,1983,4,14,18.5,13.9,3.5,8.1
"229",4244,1983,4,15,15.2,5,6.8,17
"230",4245,1983,4,16,15.4,-0.4,6.6,22.4
"231",4246,1983,4,17,20.6,-0.2,1.4,22.2
"232",4247,1983,4,18,23.4,1.8,0,20.2
"233",4248,1983,4,19,21.8,9.3,0.199999999999999,12.7
"234",4249,1983,4,20,20.5,5.2,1.5,16.8
"235",4250,1983,4,21,20.4,3.1,1.6,18.9
"236",4251,1983,4,22,16.4,5.8,5.6,16.2
"237",4252,1983,4,23,21.7,0.6,0.300000000000001,21.4
"238",4253,1983,4,24,23.6,4.9,0,17.1
"239",4254,1983,4,25,26,5.9,2,16.1
"240",4255,1983,4,26,27.9,15.3,3.9,6.7
"241",4256,1983,4,27,25,10.7,1,11.3
"242",4257,1983,4,28,19.6,12.8,2.4,9.2
"243",4258,1983,4,29,16.1,2.1,5.9,19.9
"244",4259,1983,4,30,17.2,1.6,4.8,20.4
"245",4565,1984,3,1,2.7,-7.9,19.3,29.9
"246",4566,1984,3,2,1.5,-3.7,20.5,25.7
"247",4567,1984,3,3,-0.5,-10,22.5,32
"248",4568,1984,3,4,0.3,-12.3,21.7,34.3
"249",4569,1984,3,5,2.4,-10.6,19.6,32.6
"250",4570,1984,3,6,3.9,-7.2,18.1,29.2
"251",4571,1984,3,7,4.3,-7.3,17.7,29.3
"252",4572,1984,3,8,7,-6.2,15,28.2
"253",4573,1984,3,9,7.9,-5.6,14.1,27.6
"254",4574,1984,3,10,1.7,-4.2,20.3,26.2
"255",4575,1984,3,11,6.9,-7.1,15.1,29.1
"256",4576,1984,3,12,6.6,-3.2,15.4,25.2
"257",4577,1984,3,13,6.5,-4.2,15.5,26.2
"258",4578,1984,3,14,11.2,-3.1,10.8,25.1
"259",4579,1984,3,15,10.1,-1.9,11.9,23.9
"260",4580,1984,3,16,8.1,0,13.9,22
"261",4581,1984,3,17,6.6,-1.3,15.4,23.3
"262",4582,1984,3,18,9.5,-5.5,12.5,27.5
"263",4583,1984,3,19,10.9,-0.3,11.1,22.3
"264",4584,1984,3,20,7.3,-4.1,14.7,26.1
"265",4585,1984,3,21,5.1,-4.1,16.9,26.1
"266",4586,1984,3,22,7.4,-5.2,14.6,27.2
"267",4587,1984,3,23,10.4,-5.8,11.6,27.8
"268",4588,1984,3,24,7.6,-2.5,14.4,24.5
"269",4589,1984,3,25,7.9,-5.1,14.1,27.1
"270",4590,1984,3,26,8.8,-7.7,13.2,29.7
"271",4591,1984,3,27,8.7,-1.4,13.3,23.4
"272",4592,1984,3,28,11.3,-4.7,10.7,26.7
"273",4593,1984,3,29,17.6,1.5,4.4,20.5
"274",4594,1984,3,30,15.9,1.6,6.1,20.4
"275",4595,1984,3,31,7,4.3,15,17.7
"276",4596,1984,4,1,13.6,0.9,8.4,21.1
"277",4597,1984,4,2,13,-1.5,9,23.5
"278",4598,1984,4,3,19.2,3.3,2.8,18.7
"279",4599,1984,4,4,21,7.2,1,14.8
"280",4600,1984,4,5,11.1,4.3,10.9,17.7
"281",4601,1984,4,6,10.1,-2.5,11.9,24.5
"282",4602,1984,4,7,14.3,-3.8,7.7,25.8
"283",4603,1984,4,8,17.2,-2.8,4.8,24.8
"284",4604,1984,4,9,10.5,0.9,11.5,21.1
"285",4605,1984,4,10,18.6,-1.5,3.4,23.5
"286",4606,1984,4,11,18.3,-0.5,3.7,22.5
"287",4607,1984,4,12,20.5,-0.7,1.5,22.7
