"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",4808,1980,3,1,7.1,-0.4,14.9,22.4
"2",4809,1980,3,2,10.2,-4.6,11.8,26.6
"3",4810,1980,3,3,12.2,-2.7,9.8,24.7
"4",4811,1980,3,4,10.5,-0.2,11.5,22.2
"5",4812,1980,3,5,12.2,0.2,9.8,21.8
"6",4813,1980,3,6,12,-3.8,10,25.8
"7",4814,1980,3,7,15.8,3.3,6.2,18.7
"8",4815,1980,3,8,16.5,-0.8,5.5,22.8
"9",4816,1980,3,9,10,1.4,12,20.6
"10",4817,1980,3,10,9.6,1.8,12.4,20.2
"11",4818,1980,3,11,7.5,-2.1,14.5,24.1
"12",4819,1980,3,12,8.6,-5,13.4,27
"13",4820,1980,3,13,12.7,-4.4,9.3,26.4
"14",4821,1980,3,14,7.3,0.3,14.7,21.7
"15",4822,1980,3,15,8.9,-3.2,13.1,25.2
"16",4823,1980,3,16,12.1,-3.1,9.9,25.1
"17",4824,1980,3,17,14.2,-2.2,7.8,24.2
"18",4825,1980,3,18,12.1,1.8,9.9,20.2
"19",4826,1980,3,19,14.4,-1.6,7.6,23.6
"20",4827,1980,3,20,14.2,1.1,7.8,20.9
"21",4828,1980,3,21,12.8,-1.7,9.2,23.7
"22",4829,1980,3,22,7.6,1.1,14.4,20.9
"23",4830,1980,3,23,5.5,-1.2,16.5,23.2
"24",4831,1980,3,24,8.4,-3.5,13.6,25.5
"25",4832,1980,3,25,10.8,-3,11.2,25
"26",4833,1980,3,26,9.2,0.2,12.8,21.8
"27",4834,1980,3,27,15.8,-3.8,6.2,25.8
"28",4835,1980,3,28,17.2,-1.7,4.8,23.7
"29",4836,1980,3,29,15.4,4.9,6.6,17.1
"30",4837,1980,3,30,19.8,-0.3,2.2,22.3
"31",4838,1980,3,31,11.6,6.8,10.4,15.2
"32",4839,1980,4,1,13.7,4,8.3,18
"33",4840,1980,4,2,14.2,0.1,7.8,21.9
"34",4841,1980,4,3,22.1,-0.4,0,22.4
"35",4842,1980,4,4,24.8,2.8,0.800000000000001,19.2
"36",4843,1980,4,5,17.6,14.7,4.4,7.3
"37",4844,1980,4,6,17.2,5.4,4.8,16.6
"38",4845,1980,4,7,17.2,4.8,4.8,17.2
"39",4846,1980,4,8,17.2,7.1,4.8,14.9
"40",4847,1980,4,9,18.2,5.9,3.8,16.1
"41",4848,1980,4,10,18.9,1.3,3.1,20.7
"42",4849,1980,4,11,20.9,4,1.1,18
"43",4850,1980,4,12,14.9,11.6,7.1,10.4
"44",4851,1980,4,13,12.2,6.1,9.8,15.9
"45",4852,1980,4,14,8,4.8,14,17.2
"46",4853,1980,4,15,11.6,2.8,10.4,19.2
"47",4854,1980,4,16,11.2,3.3,10.8,18.7
"48",4855,1980,4,17,13.2,5.5,8.8,16.5
"49",4856,1980,4,18,20.4,2,1.6,20
"50",4857,1980,4,19,21.9,6.5,0.100000000000001,15.5
"51",4858,1980,4,20,15.5,4.4,6.5,17.6
"52",4859,1980,4,21,16.6,2.4,5.4,19.6
"53",4860,1980,4,22,17.7,1.2,4.3,20.8
"54",4861,1980,4,23,13.8,3,8.2,19
"55",4862,1980,4,24,14.2,1.7,7.8,20.3
"56",4863,1980,4,25,18.1,1.1,3.9,20.9
"57",4864,1980,4,26,21.1,1.4,0.899999999999999,20.6
"58",4865,1980,4,27,14.1,7.6,7.9,14.4
"59",4866,1980,4,28,17.7,7,4.3,15
"60",4867,1980,4,29,18.5,5.2,3.5,16.8
"61",4868,1980,4,30,21.1,9.3,0.899999999999999,12.7
"62",5173,1981,3,1,5.3,-6,16.7,28
"63",5174,1981,3,2,10.3,-5.7,11.7,27.7
"64",5175,1981,3,3,8.5,-2,13.5,24
"65",5176,1981,3,4,8.5,-2.7,13.5,24.7
"66",5177,1981,3,5,9.4,-4.6,12.6,26.6
"67",5178,1981,3,6,5.5,-3.6,16.5,25.6
"68",5179,1981,3,7,12.6,-2.9,9.4,24.9
"69",5180,1981,3,8,13.2,-2.8,8.8,24.8
"70",5181,1981,3,9,4.3,-1.4,17.7,23.4
"71",5182,1981,3,10,8.8,-4.8,13.2,26.8
"72",5183,1981,3,11,13.6,-5.1,8.4,27.1
"73",5184,1981,3,12,18.5,-3.1,3.5,25.1
"74",5185,1981,3,13,19.6,0.7,2.4,21.3
"75",5186,1981,3,14,11.2,3.8,10.8,18.2
"76",5187,1981,3,15,7.4,0.4,14.6,21.6
"77",5188,1981,3,16,10.2,-2.9,11.8,24.9
"78",5189,1981,3,17,17.4,-1.7,4.6,23.7
"79",5190,1981,3,18,19.3,2,2.7,20
"80",5191,1981,3,19,21.4,0,0.600000000000001,22
"81",5192,1981,3,20,19.7,0.2,2.3,21.8
"82",5193,1981,3,21,22.3,1.7,0,20.3
"83",5194,1981,3,22,20.5,3.6,1.5,18.4
