"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",6999,1980,3,1,6.4,-0.1,15.6,22.1
"2",7000,1980,3,2,9.8,-4.5,12.2,26.5
"3",7001,1980,3,3,11.2,-0.6,10.8,22.6
"4",7002,1980,3,4,8,1.2,14,20.8
"5",7003,1980,3,5,12.4,-0.5,9.6,22.5
"6",7004,1980,3,6,14.2,-2.5,7.8,24.5
"7",7005,1980,3,7,14.6,2.7,7.4,19.3
"8",7006,1980,3,8,12.8,-0.5,9.2,22.5
"9",7007,1980,3,9,6.5,4.3,15.5,17.7
"10",7008,1980,3,10,9.3,1.8,12.7,20.2
"11",7009,1980,3,11,7.2,-2.2,14.8,24.2
"12",7010,1980,3,12,10.3,-4,11.7,26
"13",7011,1980,3,13,14.2,-3.4,7.8,25.4
"14",7012,1980,3,14,5.6,0.3,16.4,21.7
"15",7013,1980,3,15,8.3,-1.9,13.7,23.9
"16",7014,1980,3,16,12.2,-1.2,9.8,23.2
"17",7015,1980,3,17,14.2,-0.4,7.8,22.4
"18",7016,1980,3,18,10.2,0.2,11.8,21.8
"19",7017,1980,3,19,16.3,0.6,5.7,21.4
"20",7018,1980,3,20,14.3,4.4,7.7,17.6
"21",7019,1980,3,21,11.5,-0.3,10.5,22.3
"22",7020,1980,3,22,4.9,0.5,17.1,21.5
"23",7021,1980,3,23,2.6,-1.4,19.4,23.4
"24",7022,1980,3,24,7.2,-2.2,14.8,24.2
"25",7023,1980,3,25,9.2,-2.2,12.8,24.2
"26",7024,1980,3,26,10.6,2.2,11.4,19.8
"27",7025,1980,3,27,15.6,-0.2,6.4,22.2
"28",7026,1980,3,28,17,-0.3,5,22.3
"29",7027,1980,3,29,9.5,5.7,12.5,16.3
"30",7028,1980,3,30,20.1,3.5,1.9,18.5
"31",7029,1980,3,31,13.5,6.9,8.5,15.1
"32",7030,1980,4,1,12.2,4.8,9.8,17.2
"33",7031,1980,4,2,12.8,0.9,9.2,21.1
"34",7032,1980,4,3,20.4,-0.9,1.6,22.9
"35",7033,1980,4,4,23.1,1,0,21
"36",7034,1980,4,5,16.9,14.1,5.1,7.9
"37",7035,1980,4,6,17.7,4.7,4.3,17.3
"38",7036,1980,4,7,16.4,2.5,5.6,19.5
"39",7037,1980,4,8,18,4.5,4,17.5
"40",7038,1980,4,9,20.5,6.7,1.5,15.3
"41",7039,1980,4,10,16.2,5.3,5.8,16.7
"42",7040,1980,4,11,21.8,2.3,0.199999999999999,19.7
"43",7041,1980,4,12,14.2,9,7.8,13
"44",7042,1980,4,13,12,7.4,10,14.6
"45",7043,1980,4,14,7.4,0.8,14.6,21.2
"46",7044,1980,4,15,11,1.6,11,20.4
"47",7045,1980,4,16,9.4,1.1,12.6,20.9
"48",7046,1980,4,17,12.8,3.6,9.2,18.4
"49",7047,1980,4,18,18,1.8,4,20.2
"50",7048,1980,4,19,21.6,5.6,0.399999999999999,16.4
"51",7049,1980,4,20,14.8,5.3,7.2,16.7
"52",7050,1980,4,21,15.3,4.1,6.7,17.9
"53",7051,1980,4,22,17.5,2.8,4.5,19.2
"54",7052,1980,4,23,13.8,4.8,8.2,17.2
"55",7053,1980,4,24,12.8,1.8,9.2,20.2
"56",7054,1980,4,25,17,3.7,5,18.3
"57",7055,1980,4,26,22.2,2.8,0,19.2
"58",7056,1980,4,27,14.5,7.4,7.5,14.6
"59",7057,1980,4,28,16.9,6.5,5.1,15.5
"60",7058,1980,4,29,22,4.7,0,17.3
"61",7059,1980,4,30,20.8,10.5,1.2,11.5
"62",7364,1981,3,1,5.2,-6.4,16.8,28.4
"63",7365,1981,3,2,10.1,-6,11.9,28
"64",7366,1981,3,3,6.9,-0.8,15.1,22.8
"65",7367,1981,3,4,7.8,-0.9,14.2,22.9
"66",7368,1981,3,5,8,-2.2,14,24.2
"67",7369,1981,3,6,4.3,-3.3,17.7,25.3
"68",7370,1981,3,7,10.6,-4.2,11.4,26.2
"69",7371,1981,3,8,12,-1.7,10,23.7
"70",7372,1981,3,9,4,-1.3,18,23.3
"71",7373,1981,3,10,7.6,-3.2,14.4,25.2
"72",7374,1981,3,11,14.2,-5,7.8,27
"73",7375,1981,3,12,18.8,-2.2,3.2,24.2
"74",7376,1981,3,13,17.8,5,4.2,17
"75",7377,1981,3,14,10.6,3.4,11.4,18.6
"76",7378,1981,3,15,6.4,-0.7,15.6,22.7
"77",7379,1981,3,16,10.2,-1.9,11.8,23.9
"78",7380,1981,3,17,16.2,3.3,5.8,18.7
"79",7381,1981,3,18,18.8,2.5,3.2,19.5
