"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5173,1980,3,1,9.8,-1.9,12.2,23.9
"2",5174,1980,3,2,10.7,-6.2,11.3,28.2
"3",5175,1980,3,3,12.2,-4,9.8,26
"4",5176,1980,3,4,9.8,-1.3,12.2,23.3
"5",5177,1980,3,5,13.2,-2.7,8.8,24.7
"6",5178,1980,3,6,12.9,-4.2,9.1,26.2
"7",5179,1980,3,7,12.2,0.7,9.8,21.3
"8",5180,1980,3,8,14.9,-2.2,7.1,24.2
"9",5181,1980,3,9,9.8,1.3,12.2,20.7
"10",5182,1980,3,10,11.5,-0.8,10.5,22.8
"11",5183,1980,3,11,9.6,-3.9,12.4,25.9
"12",5184,1980,3,12,9.7,-5.2,12.3,27.2
"13",5185,1980,3,13,12.4,-4.4,9.6,26.4
"14",5186,1980,3,14,9.8,1.2,12.2,20.8
"15",5187,1980,3,15,9,-4.6,13,26.6
"16",5188,1980,3,16,11.2,-3.1,10.8,25.1
"17",5189,1980,3,17,11,-0.1,11,22.1
"18",5190,1980,3,18,10,-1.6,12,23.6
"19",5191,1980,3,19,13,0.1,9,21.9
"20",5192,1980,3,20,12.6,0.3,9.4,21.7
"21",5193,1980,3,21,11.8,-2.3,10.2,24.3
"22",5194,1980,3,22,5.7,1.4,16.3,20.6
"23",5195,1980,3,23,5.8,0.3,16.2,21.7
"24",5196,1980,3,24,8.9,-5,13.1,27
"25",5197,1980,3,25,10,-2.6,12,24.6
"26",5198,1980,3,26,11.2,0.6,10.8,21.4
"27",5199,1980,3,27,16.3,-4,5.7,26
"28",5200,1980,3,28,18,-1.7,4,23.7
"29",5201,1980,3,29,18.6,3,3.4,19
"30",5202,1980,3,30,20.4,-0.1,1.6,22.1
"31",5203,1980,3,31,10.4,2.9,11.6,19.1
"32",5204,1980,4,1,12.4,0.9,9.6,21.1
"33",5205,1980,4,2,13.5,-2.3,8.5,24.3
"34",5206,1980,4,3,20.2,-1.1,1.8,23.1
"35",5207,1980,4,4,22.2,3.4,0,18.6
"36",5208,1980,4,5,17.6,13.6,4.4,8.4
"37",5209,1980,4,6,14.6,4.6,7.4,17.4
"38",5210,1980,4,7,14,0.9,8,21.1
"39",5211,1980,4,8,15.4,7.1,6.6,14.9
"40",5212,1980,4,9,18,2.9,4,19.1
"41",5213,1980,4,10,18.3,1.9,3.7,20.1
"42",5214,1980,4,11,19.3,2.9,2.7,19.1
"43",5215,1980,4,12,12.8,6.4,9.2,15.6
"44",5216,1980,4,13,11,4.8,11,17.2
"45",5217,1980,4,14,7.5,2.4,14.5,19.6
"46",5218,1980,4,15,12.4,0.1,9.6,21.9
"47",5219,1980,4,16,10.3,2.5,11.7,19.5
"48",5220,1980,4,17,12.2,3.9,9.8,18.1
"49",5221,1980,4,18,18.8,1.6,3.2,20.4
"50",5222,1980,4,19,19.6,5.1,2.4,16.9
"51",5223,1980,4,20,13.6,3.1,8.4,18.9
"52",5224,1980,4,21,15.8,1.1,6.2,20.9
"53",5225,1980,4,22,16.4,0.8,5.6,21.2
"54",5226,1980,4,23,14,0.5,8,21.5
"55",5227,1980,4,24,15.6,0.4,6.4,21.6
"56",5228,1980,4,25,18.4,0.6,3.6,21.4
"57",5229,1980,4,26,20.2,1.6,1.8,20.4
"58",5230,1980,4,27,10.7,7,11.3,15
"59",5231,1980,4,28,14.8,5,7.2,17
"60",5232,1980,4,29,18.7,3.6,3.3,18.4
"61",5233,1980,4,30,21.6,5.7,0.399999999999999,16.3
"62",5538,1981,3,1,6.4,-6.8,15.6,28.8
"63",5539,1981,3,2,9.4,-6.4,12.6,28.4
"64",5540,1981,3,3,11,-3,11,25
"65",5541,1981,3,4,9.5,-3,12.5,25
"66",5542,1981,3,5,7.9,-5.2,14.1,27.2
"67",5543,1981,3,6,4.6,-5.7,17.4,27.7
"68",5544,1981,3,7,11.5,-0.2,10.5,22.2
"69",5545,1981,3,8,5.4,-3.3,16.6,25.3
"70",5546,1981,3,9,3,-3,19,25
"71",5547,1981,3,10,8.1,-6.3,13.9,28.3
"72",5548,1981,3,11,12.2,-4.1,9.8,26.1
"73",5549,1981,3,12,17.3,-3.4,4.7,25.4
"74",5550,1981,3,13,21.3,-1.8,0.699999999999999,23.8
"75",5551,1981,3,14,11.5,3,10.5,19
"76",5552,1981,3,15,8.5,-0.3,13.5,22.3
"77",5553,1981,3,16,12.3,-4.7,9.7,26.7
"78",5554,1981,3,17,16.4,-0.4,5.6,22.4
"79",5555,1981,3,18,19.1,-1.2,2.9,23.2
"80",5556,1981,3,19,21.9,-1.2,0.100000000000001,23.2
"81",5557,1981,3,20,20.8,-0.5,1.2,22.5
"82",5558,1981,3,21,21.5,0.8,0.5,21.2
"83",5559,1981,3,22,17.8,5.1,4.2,16.9
"84",5560,1981,3,23,17.3,3.3,4.7,18.7
"85",5561,1981,3,24,8,1.8,14,20.2
"86",5562,1981,3,25,6.4,3.7,15.6,18.3
"87",5563,1981,3,26,4,-0.2,18,22.2
"88",5564,1981,3,27,10.7,-0.4,11.3,22.4
"89",5565,1981,3,28,15.4,-1.3,6.6,23.3
"90",5566,1981,3,29,15.7,0,6.3,22
"91",5567,1981,3,30,16.3,-0.1,5.7,22.1
"92",5568,1981,3,31,19.6,2.1,2.4,19.9
"93",5569,1981,4,1,10.8,6.8,11.2,15.2
"94",5570,1981,4,2,14.9,2.2,7.1,19.8
"95",5571,1981,4,3,12.9,-2,9.1,24
"96",5572,1981,4,4,20.5,1.1,1.5,20.9
"97",5573,1981,4,5,15.6,7.3,6.4,14.7
"98",5574,1981,4,6,22,5.3,0,16.7
"99",5575,1981,4,7,24.6,2.8,0.600000000000001,19.2
