"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3043,1980,5,1,24,6.9,0,11.1
"2",3044,1980,5,2,24.1,4.9,0,13.1
"3",3045,1980,5,3,19.7,12.9,0,5.1
"4",3046,1980,5,4,25.9,11.5,0.899999999999999,6.5
"5",3047,1980,5,5,26.1,9.2,1.1,8.8
"6",3048,1980,5,6,20.8,8.1,0,9.9
"7",3049,1980,5,7,20.8,8.9,0,9.1
"8",3050,1980,5,8,13.6,9.6,4.4,8.4
"9",3051,1980,5,9,19.4,7.6,0,10.4
"10",3052,1980,5,10,25.8,5.5,0.800000000000001,12.5
"11",3053,1980,5,11,29.9,8.9,4.9,9.1
"12",3054,1980,5,12,18.7,14.3,0,3.7
"13",3055,1980,5,13,25.8,13.5,0.800000000000001,4.5
"14",3056,1980,5,14,23,12.4,0,5.6
"15",3057,1980,5,15,23.9,13.4,0,4.6
"16",3058,1980,5,16,19.4,6.8,0,11.2
"17",3059,1980,5,17,22.5,4.1,0,13.9
"18",3060,1980,5,18,23.9,5.7,0,12.3
"19",3061,1980,5,19,22.8,9.9,0,8.1
"20",3062,1980,5,20,17.7,12.9,0.300000000000001,5.1
"21",3063,1980,5,21,28.2,11.8,3.2,6.2
"22",3064,1980,5,22,29.2,10.3,4.2,7.7
"23",3065,1980,5,23,24.7,11,0,7
"24",3066,1980,5,24,25.8,9.7,0.800000000000001,8.3
"25",3067,1980,5,25,22.2,17.2,0,0.800000000000001
"26",3068,1980,5,26,19.6,11.6,0,6.4
"27",3069,1980,5,27,22.5,6.6,0,11.4
"28",3070,1980,5,28,25.6,11.9,0.600000000000001,6.1
"29",3071,1980,5,29,28.6,10.8,3.6,7.2
"30",3072,1980,5,30,30.4,17.9,5.4,0.100000000000001
"31",3073,1980,5,31,27.7,16.5,2.7,1.5
"32",3408,1981,5,1,27.4,6.7,2.4,11.3
"33",3409,1981,5,2,18,11.6,0,6.4
"34",3410,1981,5,3,18.5,10.4,0,7.6
"35",3411,1981,5,4,20.9,5.9,0,12.1
"36",3412,1981,5,5,23.9,7.3,0,10.7
"37",3413,1981,5,6,23.1,7.8,0,10.2
"38",3414,1981,5,7,26.1,8,1.1,10
"39",3415,1981,5,8,24.8,8.1,0,9.9
"40",3416,1981,5,9,24.7,17.1,0,0.899999999999999
"41",3417,1981,5,10,23.2,16.1,0,1.9
"42",3418,1981,5,11,20.3,11.2,0,6.8
"43",3419,1981,5,12,22.7,8.6,0,9.4
"44",3420,1981,5,13,25.3,6.2,0.300000000000001,11.8
"45",3421,1981,5,14,28.4,4.4,3.4,13.6
"46",3422,1981,5,15,17.1,13.4,0.899999999999999,4.6
"47",3423,1981,5,16,16.4,13.2,1.6,4.8
"48",3424,1981,5,17,14.7,11,3.3,7
"49",3425,1981,5,18,19.4,8.4,0,9.6
"50",3426,1981,5,19,20.4,7.3,0,10.7
"51",3427,1981,5,20,23.9,7.5,0,10.5
"52",3428,1981,5,21,27,8,2,10
"53",3429,1981,5,22,28.4,6.7,3.4,11.3
"54",3430,1981,5,23,26.1,11.9,1.1,6.1
"55",3431,1981,5,24,26.3,14.2,1.3,3.8
"56",3432,1981,5,25,31.4,11.6,6.4,6.4
"57",3433,1981,5,26,32.4,13.9,7.4,4.1
"58",3434,1981,5,27,20.8,12.7,0,5.3
"59",3435,1981,5,28,23.9,15.6,0,2.4
"60",3436,1981,5,29,29.7,9.4,4.7,8.6
"61",3437,1981,5,30,22.6,12.5,0,5.5
"62",3438,1981,5,31,25.4,10.1,0.399999999999999,7.9
"63",3773,1982,5,1,14.9,11.9,3.1,6.1
"64",3774,1982,5,2,23.7,11.7,0,6.3
"65",3775,1982,5,3,19.6,11.6,0,6.4
"66",3776,1982,5,4,21.7,10.3,0,7.7
"67",3777,1982,5,5,24.3,12.2,0,5.8
"68",3778,1982,5,6,19.6,11.1,0,6.9
"69",3779,1982,5,7,25.5,6.7,0.5,11.3
"70",3780,1982,5,8,24.5,4.6,0,13.4
"71",3781,1982,5,9,27.2,14.6,2.2,3.4
"72",3782,1982,5,10,27.3,17.1,2.3,0.899999999999999
"73",3783,1982,5,11,25.3,17.3,0.300000000000001,0.699999999999999
"74",3784,1982,5,12,21.2,19.6,0,0
"75",3785,1982,5,13,21.5,12.3,0,5.7
"76",3786,1982,5,14,23.2,8.8,0,9.2
"77",3787,1982,5,15,25.6,6.4,0.600000000000001,11.6
"78",3788,1982,5,16,24.6,8.5,0,9.5
"79",3789,1982,5,17,25.5,5.9,0.5,12.1
"80",3790,1982,5,18,28.5,11.9,3.5,6.1
"81",3791,1982,5,19,22.9,15.2,0,2.8
"82",3792,1982,5,20,21.3,11.1,0,6.9
"83",3793,1982,5,21,25.2,7.5,0.199999999999999,10.5
"84",3794,1982,5,22,23.3,10.4,0,7.6
"85",3795,1982,5,23,28.5,8.9,3.5,9.1
"86",3796,1982,5,24,29.9,11.2,4.9,6.8
"87",3797,1982,5,25,27.5,14.6,2.5,3.4
"88",3798,1982,5,26,27.9,17.4,2.9,0.600000000000001
"89",3799,1982,5,27,28.5,14.7,3.5,3.3
"90",3800,1982,5,28,30.1,13.6,5.1,4.4
"91",3801,1982,5,29,23.7,18.9,0,0
"92",3802,1982,5,30,21.6,18.8,0,0
"93",3803,1982,5,31,21.1,18.1,0,0
"94",4138,1983,5,1,13.9,8.7,4.1,9.3
"95",4139,1983,5,2,24.4,4.9,0,13.1
"96",4140,1983,5,3,23.2,7.4,0,10.6
"97",4141,1983,5,4,22.3,6.8,0,11.2
"98",4142,1983,5,5,19.9,15.1,0,2.9
"99",4143,1983,5,6,16.4,12.1,1.6,5.9
"100",4144,1983,5,7,19.4,8.7,0,9.3
"101",4145,1983,5,8,24.1,6.6,0,11.4
"102",4146,1983,5,9,24.2,4.9,0,13.1
"103",4147,1983,5,10,28.1,8.4,3.1,9.6
"104",4148,1983,5,11,29.3,9.1,4.3,8.9
"105",4149,1983,5,12,27.4,10.3,2.4,7.7
"106",4150,1983,5,13,29.6,13.2,4.6,4.8
"107",4151,1983,5,14,22.9,8.1,0,9.9
"108",4152,1983,5,15,24.4,7.8,0,10.2
"109",4153,1983,5,16,19.4,10.2,0,7.8
"110",4154,1983,5,17,21.8,8.5,0,9.5
"111",4155,1983,5,18,23.9,4.3,0,13.7
"112",4156,1983,5,19,22,10.8,0,7.2
"113",4157,1983,5,20,22.6,15.5,0,2.5
"114",4158,1983,5,21,28.6,16.5,3.6,1.5
"115",4159,1983,5,22,26.3,16.2,1.3,1.8
"116",4160,1983,5,23,18.5,16.1,0,1.9
"117",4161,1983,5,24,25.4,15.1,0.399999999999999,2.9
"118",4162,1983,5,25,25.7,13.1,0.699999999999999,4.9
"119",4163,1983,5,26,25.6,13.1,0.600000000000001,4.9
"120",4164,1983,5,27,19.3,10.2,0,7.8
"121",4165,1983,5,28,28.4,16.4,3.4,1.6
"122",4166,1983,5,29,28.3,15.2,3.3,2.8
"123",4167,1983,5,30,24.6,15.4,0,2.6
"124",4168,1983,5,31,32.8,13.4,7.8,4.6
"125",4504,1984,5,1,18.1,7.2,0,10.8
"126",4505,1984,5,2,21.8,4.9,0,13.1
"127",4506,1984,5,3,22.8,8.3,0,9.7
"128",4507,1984,5,4,20.2,11.2,0,6.8
"129",4508,1984,5,5,19.9,10.2,0,7.8
"130",4509,1984,5,6,26.3,7.4,1.3,10.6
"131",4510,1984,5,7,28.2,6.9,3.2,11.1
"132",4511,1984,5,8,26.1,9.4,1.1,8.6
"133",4512,1984,5,9,27.3,8.4,2.3,9.6
"134",4513,1984,5,10,23.1,8.6,0,9.4
"135",4514,1984,5,11,26.8,9.7,1.8,8.3
"136",4515,1984,5,12,24.1,16.5,0,1.5
"137",4516,1984,5,13,20.8,15.4,0,2.6
"138",4517,1984,5,14,21.1,13.4,0,4.6
"139",4518,1984,5,15,21.9,10.8,0,7.2
"140",4519,1984,5,16,20.4,12.7,0,5.3
"141",4520,1984,5,17,22.2,10.4,0,7.6
"142",4521,1984,5,18,24.1,7.6,0,10.4
"143",4522,1984,5,19,24.9,10.8,0,7.2
"144",4523,1984,5,20,25.6,8.4,0.600000000000001,9.6
"145",4524,1984,5,21,21.7,11.9,0,6.1
"146",4525,1984,5,22,25.3,8.4,0.300000000000001,9.6
"147",4526,1984,5,23,25.8,9.4,0.800000000000001,8.6
"148",4527,1984,5,24,25.3,9.2,0.300000000000001,8.8
"149",4528,1984,5,25,25.1,10.6,0.100000000000001,7.4
"150",4529,1984,5,26,26.6,13.3,1.6,4.7
"151",4530,1984,5,27,27.5,15.4,2.5,2.6
"152",4531,1984,5,28,26.3,13.6,1.3,4.4
"153",4532,1984,5,29,26.7,13.5,1.7,4.5
"154",4533,1984,5,30,26.6,15.1,1.6,2.9
"155",4534,1984,5,31,27.4,14.8,2.4,3.2
"156",4869,1985,5,1,24.3,12.7,0,5.3
"157",4870,1985,5,2,25.5,10.3,0.5,7.7
"158",4871,1985,5,3,24.4,9.8,0,8.2
"159",4872,1985,5,4,18.5,15,0,3
"160",4873,1985,5,5,19.2,16.4,0,1.6
"161",4874,1985,5,6,20.1,13.3,0,4.7
"162",4875,1985,5,7,20.4,9.8,0,8.2
"163",4876,1985,5,8,25,8.2,0,9.8
"164",4877,1985,5,9,25.2,12,0.199999999999999,6
"165",4878,1985,5,10,25.3,10.4,0.300000000000001,7.6
"166",4879,1985,5,11,25.4,9.6,0.399999999999999,8.4
"167",4880,1985,5,12,25,14,0,4
"168",4881,1985,5,13,21.9,15,0,3
"169",4882,1985,5,14,21.4,14.1,0,3.9
"170",4883,1985,5,15,19.8,10.9,0,7.1
"171",4884,1985,5,16,26.5,9.3,1.5,8.7
"172",4885,1985,5,17,28.1,6.7,3.1,11.3
"173",4886,1985,5,18,21.6,11.5,0,6.5
"174",4887,1985,5,19,22.6,15.6,0,2.4
"175",4888,1985,5,20,25.4,14.4,0.399999999999999,3.6
"176",4889,1985,5,21,23.7,11.8,0,6.2
"177",4890,1985,5,22,24.2,10.8,0,7.2
"178",4891,1985,5,23,23.6,9.3,0,8.7
"179",4892,1985,5,24,22.7,10.1,0,7.9
"180",4893,1985,5,25,27.2,11.7,2.2,6.3
"181",4894,1985,5,26,24.4,12.7,0,5.3
"182",4895,1985,5,27,21.1,14.2,0,3.8
"183",4896,1985,5,28,23.6,14.2,0,3.8
"184",4897,1985,5,29,24.8,16,0,2
"185",4898,1985,5,30,22,12.8,0,5.2
"186",4899,1985,5,31,24,11,0,7
"187",5234,1986,5,1,14.9,12.7,3.1,5.3
"188",5235,1986,5,2,19.9,13.2,0,4.8
"189",5236,1986,5,3,21.8,11.6,0,6.4
"190",5237,1986,5,4,25.1,10.4,0.100000000000001,7.6
"191",5238,1986,5,5,25.5,8.2,0.5,9.8
"192",5239,1986,5,6,27.2,11.4,2.2,6.6
"193",5240,1986,5,7,27.6,7.7,2.6,10.3
"194",5241,1986,5,8,26.5,7.8,1.5,10.2
"195",5242,1986,5,9,24.9,12.1,0,5.9
"196",5243,1986,5,10,19.7,10.9,0,7.1
"197",5244,1986,5,11,25.6,10.2,0.600000000000001,7.8
"198",5245,1986,5,12,22.3,9.2,0,8.8
"199",5246,1986,5,13,20.6,14.6,0,3.4
"200",5247,1986,5,14,23.6,12.8,0,5.2
"201",5248,1986,5,15,20.4,11.6,0,6.4
"202",5249,1986,5,16,23.1,10,0,8
"203",5250,1986,5,17,26.2,9.6,1.2,8.4
"204",5251,1986,5,18,27.9,11.4,2.9,6.6
"205",5252,1986,5,19,21.7,17.4,0,0.600000000000001
"206",5253,1986,5,20,24.9,12.3,0,5.7
"207",5254,1986,5,21,23.4,9.4,0,8.6
"208",5255,1986,5,22,25.4,8.2,0.399999999999999,9.8
"209",5256,1986,5,23,27.7,8.4,2.7,9.6
"210",5257,1986,5,24,26.5,10.2,1.5,7.8
"211",5258,1986,5,25,20.8,14.7,0,3.3
"212",5259,1986,5,26,19.9,14.6,0,3.4
"213",5260,1986,5,27,23.9,13.7,0,4.3
"214",5261,1986,5,28,24.4,13.2,0,4.8
"215",5262,1986,5,29,19.1,16.1,0,1.9
"216",5263,1986,5,30,29.4,13,4.4,5
"217",5264,1986,5,31,29.4,14,4.4,4
"218",5599,1987,5,1,24.6,13.6,0,4.4
"219",5600,1987,5,2,16.2,11.8,1.8,6.2
"220",5601,1987,5,3,19.6,8,0,10
"221",5602,1987,5,4,21.2,2.9,0,15.1
"222",5603,1987,5,5,21.6,8.2,0,9.8
"223",5604,1987,5,6,24.6,5.9,0,12.1
"224",5605,1987,5,7,25.4,6.2,0.399999999999999,11.8
"225",5606,1987,5,8,26.6,6.6,1.6,11.4
"226",5607,1987,5,9,25.8,6.5,0.800000000000001,11.5
"227",5608,1987,5,10,23.5,12.2,0,5.8
"228",5609,1987,5,11,20.7,16.6,0,1.4
"229",5610,1987,5,12,27,16.2,2,1.8
"230",5611,1987,5,13,21.2,15,0,3
"231",5612,1987,5,14,23.6,12.3,0,5.7
"232",5613,1987,5,15,25.2,8.6,0.199999999999999,9.4
"233",5614,1987,5,16,21.6,9.1,0,8.9
"234",5615,1987,5,17,21.8,7.6,0,10.4
"235",5616,1987,5,18,23.2,5.1,0,12.9
"236",5617,1987,5,19,26.4,7.1,1.4,10.9
"237",5618,1987,5,20,27.9,14.4,2.9,3.6
"238",5619,1987,5,21,26.1,17.2,1.1,0.800000000000001
"239",5620,1987,5,22,19.3,17.8,0,0.199999999999999
"240",5621,1987,5,23,26.3,16.7,1.3,1.3
"241",5622,1987,5,24,22.9,12.3,0,5.7
"242",5623,1987,5,25,25.5,13.2,0.5,4.8
"243",5624,1987,5,26,23.9,17,0,1
"244",5625,1987,5,27,27,14.9,2,3.1
"245",5626,1987,5,28,26.2,9.2,1.2,8.8
"246",5627,1987,5,29,24.7,11.6,0,6.4
"247",5628,1987,5,30,28.4,10.7,3.4,7.3
"248",5629,1987,5,31,28.2,11.8,3.2,6.2
"249",5965,1988,5,1,28,12.8,3,5.2
"250",5966,1988,5,2,25.3,8.7,0.300000000000001,9.3
"251",5967,1988,5,3,25.4,10.1,0.399999999999999,7.9
"252",5968,1988,5,4,23,10.9,0,7.1
"253",5969,1988,5,5,25.8,8.8,0.800000000000001,9.2
"254",5970,1988,5,6,23.3,6,0,12
"255",5971,1988,5,7,19.6,9.8,0,8.2
"256",5972,1988,5,8,19.6,7.8,0,10.2
"257",5973,1988,5,9,17,9.9,1,8.1
"258",5974,1988,5,10,16.1,11.5,1.9,6.5
"259",5975,1988,5,11,21.8,12.2,0,5.8
"260",5976,1988,5,12,23.2,7.7,0,10.3
"261",5977,1988,5,13,26.5,5.3,1.5,12.7
"262",5978,1988,5,14,18.2,12.1,0,5.9
"263",5979,1988,5,15,24.8,9.1,0,8.9
"264",5980,1988,5,16,26.8,11.2,1.8,6.8
"265",5981,1988,5,17,29.1,11.4,4.1,6.6
"266",5982,1988,5,18,31.6,10.4,6.6,7.6
"267",5983,1988,5,19,26.6,12.2,1.6,5.8
"268",5984,1988,5,20,20.5,15.8,0,2.2
"269",5985,1988,5,21,26.4,16.1,1.4,1.9
"270",5986,1988,5,22,18.6,11.2,0,6.8
"271",5987,1988,5,23,20.9,11.1,0,6.9
"272",5988,1988,5,24,21.1,13,0,5
"273",5989,1988,5,25,24.5,10.3,0,7.7
"274",5990,1988,5,26,25.6,9.3,0.600000000000001,8.7
"275",5991,1988,5,27,27.8,11.2,2.8,6.8
"276",5992,1988,5,28,29.9,12.1,4.9,5.9
"277",5993,1988,5,29,28.2,10,3.2,8
"278",5994,1988,5,30,23.7,13.6,0,4.4
"279",5995,1988,5,31,22.3,12.2,0,5.8
"280",6330,1989,5,1,23.8,9,0,9
"281",6331,1989,5,2,24.2,7.4,0,10.6
"282",6332,1989,5,3,28.6,7.1,3.6,10.9
"283",6333,1989,5,4,26.4,11,1.4,7
"284",6334,1989,5,5,22.5,15.4,0,2.6
"285",6335,1989,5,6,17.8,14.8,0.199999999999999,3.2
"286",6336,1989,5,7,26,10.8,1,7.2
"287",6337,1989,5,8,26.1,10.5,1.1,7.5
"288",6338,1989,5,9,26.6,12.8,1.6,5.2
"289",6339,1989,5,10,20.5,14,0,4
"290",6340,1989,5,11,17.8,15.8,0.199999999999999,2.2
"291",6341,1989,5,12,20.3,15.2,0,2.8
"292",6342,1989,5,13,21.6,11.8,0,6.2
