"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3043,1980,5,1,18.6,4.7,0,13.3
"2",3044,1980,5,2,22.6,7.4,0,10.6
"3",3045,1980,5,3,22.2,11.3,0,6.7
"4",3046,1980,5,4,20.1,9.2,0,8.8
"5",3047,1980,5,5,21,5.9,0,12.1
"6",3048,1980,5,6,17.3,4.3,0.699999999999999,13.7
"7",3049,1980,5,7,19.1,6.4,0,11.6
"8",3050,1980,5,8,17.9,8.8,0.100000000000001,9.2
"9",3051,1980,5,9,16.6,6.7,1.4,11.3
"10",3052,1980,5,10,20.5,7.4,0,10.6
"11",3053,1980,5,11,25.9,9,0.899999999999999,9
"12",3054,1980,5,12,18.7,12.5,0,5.5
"13",3055,1980,5,13,18.2,11.2,0,6.8
"14",3056,1980,5,14,24.4,10.4,0,7.6
"15",3057,1980,5,15,21.5,9.7,0,8.3
"16",3058,1980,5,16,15.1,7.1,2.9,10.9
"17",3059,1980,5,17,17.6,4.6,0.399999999999999,13.4
"18",3060,1980,5,18,22.2,6.3,0,11.7
"19",3061,1980,5,19,22.2,11.5,0,6.5
"20",3062,1980,5,20,22.4,12,0,6
"21",3063,1980,5,21,22.6,8.4,0,9.6
"22",3064,1980,5,22,24.1,9.1,0,8.9
"23",3065,1980,5,23,25.1,11.3,0.100000000000001,6.7
"24",3066,1980,5,24,25.9,11.4,0.899999999999999,6.6
"25",3067,1980,5,25,21.3,14,0,4
"26",3068,1980,5,26,14.4,10,3.6,8
"27",3069,1980,5,27,20.3,8.5,0,9.5
"28",3070,1980,5,28,22.2,14.1,0,3.9
"29",3071,1980,5,29,23.8,11.6,0,6.4
"30",3072,1980,5,30,27.3,14.1,2.3,3.9
"31",3073,1980,5,31,25.2,14.3,0.199999999999999,3.7
"32",3408,1981,5,1,26.5,7.2,1.5,10.8
"33",3409,1981,5,2,18.1,9.9,0,8.1
"34",3410,1981,5,3,14.7,6,3.3,12
"35",3411,1981,5,4,18.5,2.4,0,15.6
"36",3412,1981,5,5,20.6,9.7,0,8.3
"37",3413,1981,5,6,22.4,12.7,0,5.3
"38",3414,1981,5,7,21.7,11.8,0,6.2
"39",3415,1981,5,8,24.4,14.5,0,3.5
"40",3416,1981,5,9,23.1,16.5,0,1.5
"41",3417,1981,5,10,25.1,16.2,0.100000000000001,1.8
"42",3418,1981,5,11,17.6,6.5,0.399999999999999,11.5
"43",3419,1981,5,12,15.2,6.4,2.8,11.6
"44",3420,1981,5,13,19.4,5.7,0,12.3
"45",3421,1981,5,14,23.9,5.8,0,12.2
"46",3422,1981,5,15,19.6,14,0,4
"47",3423,1981,5,16,14.2,11.6,3.8,6.4
"48",3424,1981,5,17,11.6,7.1,6.4,10.9
"49",3425,1981,5,18,16.6,5.7,1.4,12.3
"50",3426,1981,5,19,16.9,8.9,1.1,9.1
"51",3427,1981,5,20,18.3,8.6,0,9.4
"52",3428,1981,5,21,22.3,8,0,10
"53",3429,1981,5,22,22.2,10.2,0,7.8
"54",3430,1981,5,23,21.8,10.9,0,7.1
"55",3431,1981,5,24,23.7,13.1,0,4.9
"56",3432,1981,5,25,24.3,11.3,0,6.7
"57",3433,1981,5,26,28.8,13,3.8,5
"58",3434,1981,5,27,27.3,16.1,2.3,1.9
"59",3435,1981,5,28,21,13,0,5
"60",3436,1981,5,29,23.9,10.1,0,7.9
"61",3437,1981,5,30,23.8,11.3,0,6.7
"62",3438,1981,5,31,19.4,9.4,0,8.6
"63",3773,1982,5,1,16.4,4.1,1.6,13.9
"64",3774,1982,5,2,20.2,4.8,0,13.2
"65",3775,1982,5,3,19.3,9.4,0,8.6
"66",3776,1982,5,4,17.1,7.3,0.899999999999999,10.7
"67",3777,1982,5,5,28.5,7.4,3.5,10.6
"68",3778,1982,5,6,17.7,7.9,0.300000000000001,10.1
"69",3779,1982,5,7,21.5,6.7,0,11.3
"70",3780,1982,5,8,22.6,5.5,0,12.5
"71",3781,1982,5,9,21.5,14.4,0,3.6
"72",3782,1982,5,10,25.5,12.8,0.5,5.2
"73",3783,1982,5,11,25.6,11.9,0.600000000000001,6.1
"74",3784,1982,5,12,29.8,18.4,4.8,0
"75",3785,1982,5,13,24.1,8,0,10
"76",3786,1982,5,14,20,7.3,0,10.7
"77",3787,1982,5,15,20.7,8.6,0,9.4
"78",3788,1982,5,16,20.4,12,0,6
"79",3789,1982,5,17,22.6,10.1,0,7.9
"80",3790,1982,5,18,23.1,14.1,0,3.9
"81",3791,1982,5,19,19.4,10.8,0,7.2
"82",3792,1982,5,20,18,8.7,0,9.3
"83",3793,1982,5,21,23.2,7.2,0,10.8
"84",3794,1982,5,22,26,12.3,1,5.7
"85",3795,1982,5,23,24.7,15.2,0,2.8
"86",3796,1982,5,24,25.6,12.7,0.600000000000001,5.3
"87",3797,1982,5,25,22.2,18.9,0,0
"88",3798,1982,5,26,25.7,17,0.699999999999999,1
"89",3799,1982,5,27,25.4,16.7,0.399999999999999,1.3
"90",3800,1982,5,28,26.6,17.3,1.6,0.699999999999999
"91",3801,1982,5,29,31.5,17.2,6.5,0.800000000000001
"92",3802,1982,5,30,27.3,19.8,2.3,0
"93",3803,1982,5,31,20.2,16.2,0,1.8
"94",4138,1983,5,1,12.4,6.8,5.6,11.2
"95",4139,1983,5,2,19.7,5,0,13
"96",4140,1983,5,3,23.2,6.9,0,11.1
"97",4141,1983,5,4,25.5,9,0.5,9
"98",4142,1983,5,5,24.6,10.3,0,7.7
"99",4143,1983,5,6,19.7,10.2,0,7.8
"100",4144,1983,5,7,16.7,8.9,1.3,9.1
"101",4145,1983,5,8,19.2,8,0,10
"102",4146,1983,5,9,22.6,5.8,0,12.2
"103",4147,1983,5,10,25.7,13.8,0.699999999999999,4.2
"104",4148,1983,5,11,26.7,12.2,1.7,5.8
"105",4149,1983,5,12,24.2,12.2,0,5.8
"106",4150,1983,5,13,24.9,11.9,0,6.1
"107",4151,1983,5,14,24.6,8.9,0,9.1
"108",4152,1983,5,15,21.7,9.9,0,8.1
"109",4153,1983,5,16,24,11,0,7
"110",4154,1983,5,17,18.9,7.4,0,10.6
"111",4155,1983,5,18,22.2,6.7,0,11.3
"112",4156,1983,5,19,21.5,13.7,0,4.3
"113",4157,1983,5,20,23.7,12.2,0,5.8
"114",4158,1983,5,21,24.6,16.2,0,1.8
"115",4159,1983,5,22,24.2,16,0,2
"116",4160,1983,5,23,26.1,17.1,1.1,0.899999999999999
"117",4161,1983,5,24,25.9,15.2,0.899999999999999,2.8
"118",4162,1983,5,25,27,14.4,2,3.6
"119",4163,1983,5,26,22.6,10.9,0,7.1
"120",4164,1983,5,27,20,13,0,5
"121",4165,1983,5,28,23.2,14.6,0,3.4
"122",4166,1983,5,29,23.5,13.6,0,4.4
"123",4167,1983,5,30,25.6,15,0.600000000000001,3
"124",4168,1983,5,31,23.9,14.4,0,3.6
"125",4504,1984,5,1,13.4,6.8,4.6,11.2
"126",4505,1984,5,2,18.6,5.5,0,12.5
"127",4506,1984,5,3,15.7,8.2,2.3,9.8
"128",4507,1984,5,4,17.4,8.7,0.600000000000001,9.3
"129",4508,1984,5,5,19.9,5.8,0,12.2
"130",4509,1984,5,6,20.6,7.2,0,10.8
"131",4510,1984,5,7,21.4,7.4,0,10.6
"132",4511,1984,5,8,22.1,13.5,0,4.5
"133",4512,1984,5,9,20.7,11,0,7
"134",4513,1984,5,10,21.6,10.3,0,7.7
"135",4514,1984,5,11,23.8,15,0,3
"136",4515,1984,5,12,24,18.9,0,0
"137",4516,1984,5,13,20.2,13.2,0,4.8
"138",4517,1984,5,14,20.7,11.1,0,6.9
