"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7060,1980,5,1,23.6,12,0,6
"2",7061,1980,5,2,22.2,11,0,7
"3",7062,1980,5,3,18.8,16.8,0,1.2
"4",7063,1980,5,4,20.3,16.9,0,1.1
"5",7064,1980,5,5,21.6,16,0,2
"6",7065,1980,5,6,20.9,13.2,0,4.8
"7",7066,1980,5,7,19,12.8,0,5.2
"8",7067,1980,5,8,14.6,11.8,3.4,6.2
"9",7068,1980,5,9,20.8,12.3,0,5.7
"10",7069,1980,5,10,24.2,11,0,7
"11",7070,1980,5,11,22.6,12.3,0,5.7
"12",7071,1980,5,12,19.4,14.8,0,3.2
"13",7072,1980,5,13,21.8,14.6,0,3.4
"14",7073,1980,5,14,21.6,13.7,0,4.3
"15",7074,1980,5,15,21.2,15.5,0,2.5
"16",7075,1980,5,16,21,10.4,0,7.6
"17",7076,1980,5,17,19.6,8.6,0,9.4
"18",7077,1980,5,18,21.8,11,0,7
"19",7078,1980,5,19,22.3,13.4,0,4.6
"20",7079,1980,5,20,17.8,13.6,0.199999999999999,4.4
"21",7080,1980,5,21,21.6,15.3,0,2.7
"22",7081,1980,5,22,22.6,14.8,0,3.2
"23",7082,1980,5,23,22.6,14.6,0,3.4
"24",7083,1980,5,24,23.8,15.4,0,2.6
"25",7084,1980,5,25,21.6,19,0,0
"26",7085,1980,5,26,21,12,0,6
"27",7086,1980,5,27,19.8,8.8,0,9.2
"28",7087,1980,5,28,22.2,14.8,0,3.2
"29",7088,1980,5,29,23.4,17.6,0,0.399999999999999
"30",7089,1980,5,30,24,19.5,0,0
"31",7090,1980,5,31,23.8,17,0,1
"32",7425,1981,5,1,21.5,12,0,6
"33",7426,1981,5,2,24.8,14.3,0,3.7
"34",7427,1981,5,3,18,11.2,0,6.8
"35",7428,1981,5,4,17.7,10.7,0.300000000000001,7.3
"36",7429,1981,5,5,20.4,13.5,0,4.5
"37",7430,1981,5,6,18.8,15.1,0,2.9
"38",7431,1981,5,7,19.5,12.6,0,5.4
"39",7432,1981,5,8,22.4,12.4,0,5.6
"40",7433,1981,5,9,22.2,18.1,0,0
"41",7434,1981,5,10,21.7,17.5,0,0.5
"42",7435,1981,5,11,20.3,11,0,7
"43",7436,1981,5,12,21.4,9.8,0,8.2
"44",7437,1981,5,13,20.8,10,0,8
"45",7438,1981,5,14,22.9,11.4,0,6.6
"46",7439,1981,5,15,18.2,14.2,0,3.8
"47",7440,1981,5,16,22.6,13.1,0,4.9
"48",7441,1981,5,17,18.2,11,0,7
"49",7442,1981,5,18,17.8,10,0.199999999999999,8
"50",7443,1981,5,19,19.2,9.8,0,8.2
"51",7444,1981,5,20,20.2,10.3,0,7.7
"52",7445,1981,5,21,23.3,12.8,0,5.2
"53",7446,1981,5,22,20.9,13.3,0,4.7
