"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5965,1980,5,1,20.7,4.6,0,13.4
"2",5966,1980,5,2,23,4.9,0,13.1
"3",5967,1980,5,3,20.5,8.1,0,9.9
"4",5968,1980,5,4,19.5,9.1,0,8.9
"5",5969,1980,5,5,20.1,4.7,0,13.3
"6",5970,1980,5,6,17.3,6.4,0.699999999999999,11.6
"7",5971,1980,5,7,20.5,5.7,0,12.3
"8",5972,1980,5,8,19.1,6.5,0,11.5
"9",5973,1980,5,9,19.9,8.1,0,9.9
"10",5974,1980,5,10,22.3,6.7,0,11.3
"11",5975,1980,5,11,26.1,7.9,1.1,10.1
"12",5976,1980,5,12,16,12,2,6
"13",5977,1980,5,13,18.3,12.2,0,5.8
"14",5978,1980,5,14,19.6,11.8,0,6.2
"15",5979,1980,5,15,21.3,10.8,0,7.2
"16",5980,1980,5,16,16.8,6.5,1.2,11.5
"17",5981,1980,5,17,19,4.2,0,13.8
"18",5982,1980,5,18,22.8,5.6,0,12.4
"19",5983,1980,5,19,19.7,11,0,7
"20",5984,1980,5,20,22.3,9.8,0,8.2
"21",5985,1980,5,21,22.8,8.8,0,9.2
"22",5986,1980,5,22,24.7,10.1,0,7.9
"23",5987,1980,5,23,26,12.4,1,5.6
"24",5988,1980,5,24,26.5,11.4,1.5,6.6
"25",5989,1980,5,25,19.2,15.8,0,2.2
"26",5990,1980,5,26,15.9,10.9,2.1,7.1
"27",5991,1980,5,27,23.1,7.8,0,10.2
"28",5992,1980,5,28,25.1,14,0.100000000000001,4
"29",5993,1980,5,29,24.2,10.4,0,7.6
"30",5994,1980,5,30,27.1,13.7,2.1,4.3
"31",5995,1980,5,31,30,14.9,5,3.1
"32",6330,1981,5,1,25.6,6.9,0.600000000000001,11.1
"33",6331,1981,5,2,16.7,9.8,1.3,8.2
"34",6332,1981,5,3,15.5,5.4,2.5,12.6
"35",6333,1981,5,4,18.7,2.3,0,15.7
"36",6334,1981,5,5,21.6,6,0,12
"37",6335,1981,5,6,23.4,7.2,0,10.8
"38",6336,1981,5,7,23,10.8,0,7.2
"39",6337,1981,5,8,24.2,11.9,0,6.1
"40",6338,1981,5,9,22,15.7,0,2.3
"41",6339,1981,5,10,19.3,15.4,0,2.6
"42",6340,1981,5,11,15.4,9,2.6,9
"43",6341,1981,5,12,15.1,7.5,2.9,10.5
"44",6342,1981,5,13,19.2,6.3,0,11.7
"45",6343,1981,5,14,21.5,6.3,0,11.7
"46",6344,1981,5,15,21,14.1,0,3.9
"47",6345,1981,5,16,16.7,11.3,1.3,6.7
"48",6346,1981,5,17,13.5,8.9,4.5,9.1
"49",6347,1981,5,18,14.2,5,3.8,13
"50",6348,1981,5,19,17.5,10,0.5,8
"51",6349,1981,5,20,18.4,8.7,0,9.3
"52",6350,1981,5,21,23,8,0,10
"53",6351,1981,5,22,24.3,9.5,0,8.5
"54",6352,1981,5,23,25.4,11.6,0.399999999999999,6.4
"55",6353,1981,5,24,25.3,14.2,0.300000000000001,3.8
"56",6354,1981,5,25,25.4,11.5,0.399999999999999,6.5
"57",6355,1981,5,26,28.6,13.2,3.6,4.8
"58",6356,1981,5,27,27.8,14.8,2.8,3.2
"59",6357,1981,5,28,19.2,14,0,4
