"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3312,1980,5,1,22,4.2,0,13.8
"2",3313,1980,5,2,24.3,3.8,0,14.2
"3",3314,1980,5,3,20.4,6.6,0,11.4
"4",3315,1980,5,4,21,7.8,0,10.2
"5",3316,1980,5,5,20.7,3.2,0,14.8
"6",3317,1980,5,6,20.2,7.2,0,10.8
"7",3318,1980,5,7,22.2,4.4,0,13.6
"8",3319,1980,5,8,20.8,5.9,0,12.1
"9",3320,1980,5,9,19.8,6.5,0,11.5
"10",3321,1980,5,10,24.5,4.7,0,13.3
"11",3322,1980,5,11,27.3,6,2.3,12
"12",3323,1980,5,12,15.2,12.4,2.8,5.6
"13",3324,1980,5,13,18.6,12.4,0,5.6
"14",3325,1980,5,14,20.8,10.8,0,7.2
"15",3326,1980,5,15,23.2,9.8,0,8.2
"16",3327,1980,5,16,18.2,6.8,0,11.2
"17",3328,1980,5,17,20.8,2.8,0,15.2
"18",3329,1980,5,18,23.4,4.4,0,13.6
"19",3330,1980,5,19,18.5,9.2,0,8.8
"20",3331,1980,5,20,23.6,10.2,0,7.8
"21",3332,1980,5,21,27.6,8.7,2.6,9.3
"22",3333,1980,5,22,27.8,9.4,2.8,8.6
"23",3334,1980,5,23,26.5,11.5,1.5,6.5
"24",3335,1980,5,24,27.4,9.6,2.4,8.4
"25",3336,1980,5,25,19.5,16.4,0,1.6
"26",3337,1980,5,26,17.5,11.2,0.5,6.8
"27",3338,1980,5,27,24.2,6.2,0,11.8
"28",3339,1980,5,28,27.4,11.3,2.4,6.7
"29",3340,1980,5,29,27.4,9.2,2.4,8.8
"30",3341,1980,5,30,30.4,13,5.4,5
"31",3342,1980,5,31,29.8,14.6,4.8,3.4
"32",3677,1981,5,1,27,7.8,2,10.2
"33",3678,1981,5,2,19,10.1,0,7.9
"34",3679,1981,5,3,16.2,4.7,1.8,13.3
"35",3680,1981,5,4,19.2,0,0,18
"36",3681,1981,5,5,25,3.9,0,14.1
"37",3682,1981,5,6,24.8,4.4,0,13.6
"38",3683,1981,5,7,25.8,9.2,0.800000000000001,8.8
"39",3684,1981,5,8,25,9.4,0,8.6
"40",3685,1981,5,9,21.1,14.8,0,3.2
"41",3686,1981,5,10,18.9,14,0,4
"42",3687,1981,5,11,17,7.2,1,10.8
"43",3688,1981,5,12,17,5.8,1,12.2
"44",3689,1981,5,13,20.4,3.8,0,14.2
"45",3690,1981,5,14,21.8,5,0,13
"46",3691,1981,5,15,23.1,12.1,0,5.9
"47",3692,1981,5,16,15,10,3,8
"48",3693,1981,5,17,12.8,5.8,5.2,12.2
"49",3694,1981,5,18,13.9,2.4,4.1,15.6
"50",3695,1981,5,19,18.8,6.8,0,11.2
"51",3696,1981,5,20,21.8,6.1,0,11.9
"52",3697,1981,5,21,24,7.2,0,10.8
"53",3698,1981,5,22,26.4,6.3,1.4,11.7
"54",3699,1981,5,23,27.9,10.4,2.9,7.6
"55",3700,1981,5,24,25.6,15.7,0.600000000000001,2.3
"56",3701,1981,5,25,26.9,9.6,1.9,8.4
"57",3702,1981,5,26,29.6,11,4.6,7
"58",3703,1981,5,27,29.6,12.4,4.6,5.6
"59",3704,1981,5,28,20.4,15.4,0,2.6
"60",3705,1981,5,29,27,9.4,2,8.6
"61",3706,1981,5,30,24.6,8.5,0,9.5
"62",3707,1981,5,31,22.2,8.5,0,9.5
"63",4042,1982,5,1,22.4,5.2,0,12.8
"64",4043,1982,5,2,27.2,3,2.2,15
"65",4044,1982,5,3,22.6,8.1,0,9.9
"66",4045,1982,5,4,19.8,7,0,11
"67",4046,1982,5,5,23.8,2.5,0,15.5
"68",4047,1982,5,6,21,8.1,0,9.9
"69",4048,1982,5,7,24.2,6.2,0,11.8
"70",4049,1982,5,8,24.2,4.5,0,13.5
"71",4050,1982,5,9,20.4,15.1,0,2.9
"72",4051,1982,5,10,29.3,13.8,4.3,4.2
"73",4052,1982,5,11,26.1,13.2,1.1,4.8
"74",4053,1982,5,12,29,16.2,4,1.8
"75",4054,1982,5,13,20.1,13,0,5
"76",4055,1982,5,14,21.8,9.8,0,8.2
"77",4056,1982,5,15,23.2,7,0,11
"78",4057,1982,5,16,22.7,9.7,0,8.3
"79",4058,1982,5,17,24.8,5.8,0,12.2
"80",4059,1982,5,18,25.5,13.6,0.5,4.4
"81",4060,1982,5,19,17,13,1,5
"82",4061,1982,5,20,19,9.5,0,8.5
"83",4062,1982,5,21,23,9,0,9
"84",4063,1982,5,22,25.8,10.5,0.800000000000001,7.5
"85",4064,1982,5,23,23.8,11.7,0,6.3
"86",4065,1982,5,24,27.6,10.5,2.6,7.5
"87",4066,1982,5,25,22.9,16.5,0,1.5
"88",4067,1982,5,26,21.2,15.2,0,2.8
"89",4068,1982,5,27,26.5,15.4,1.5,2.6
"90",4069,1982,5,28,26.6,16.2,1.6,1.8
"91",4070,1982,5,29,28.4,17,3.4,1
"92",4071,1982,5,30,29,17.5,4,0.5
"93",4072,1982,5,31,21.2,14.6,0,3.4
"94",4407,1983,5,1,16.8,6.1,1.2,11.9
"95",4408,1983,5,2,21.4,3,0,15
"96",4409,1983,5,3,24.4,6.8,0,11.2
"97",4410,1983,5,4,27.4,5.3,2.4,12.7
"98",4411,1983,5,5,28.6,6.8,3.6,11.2
"99",4412,1983,5,6,17.7,8.4,0.300000000000001,9.6
"100",4413,1983,5,7,17.6,7.8,0.399999999999999,10.2
"101",4414,1983,5,8,19.2,8,0,10
"102",4415,1983,5,9,24.2,4.6,0,13.4
"103",4416,1983,5,10,28.2,11.8,3.2,6.2
"104",4417,1983,5,11,28.4,11,3.4,7
"105",4418,1983,5,12,28,12.2,3,5.8
"106",4419,1983,5,13,25.6,13.6,0.600000000000001,4.4
"107",4420,1983,5,14,25.3,9.1,0.300000000000001,8.9
"108",4421,1983,5,15,24.6,12.6,0,5.4
"109",4422,1983,5,16,24,13.8,0,4.2
"110",4423,1983,5,17,20.9,7.8,0,10.2
"111",4424,1983,5,18,22.9,6,0,12
"112",4425,1983,5,19,19.6,11.9,0,6.1
"113",4426,1983,5,20,25.2,13.4,0.199999999999999,4.6
"114",4427,1983,5,21,27.2,16.2,2.2,1.8
"115",4428,1983,5,22,26.8,14.3,1.8,3.7
"116",4429,1983,5,23,22.7,16.7,0,1.3
"117",4430,1983,5,24,29.7,14.4,4.7,3.6
"118",4431,1983,5,25,28.2,10,3.2,8
"119",4432,1983,5,26,25.6,10.8,0.600000000000001,7.2
"120",4433,1983,5,27,17,14,1,4
