"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7060,1980,5,1,20.5,11.1,0,6.9
"2",7061,1980,5,2,21,10.7,0,7.3
"3",7062,1980,5,3,19.5,15.3,0,2.7
"4",7063,1980,5,4,25.1,15.4,0.100000000000001,2.6
"5",7064,1980,5,5,22,13.9,0,4.1
"6",7065,1980,5,6,20.6,10.5,0,7.5
"7",7066,1980,5,7,18.8,11.7,0,6.3
"8",7067,1980,5,8,13.1,10.3,4.9,7.7
"9",7068,1980,5,9,20.8,11.5,0,6.5
"10",7069,1980,5,10,25.4,12.3,0.399999999999999,5.7
"11",7070,1980,5,11,25.3,13.8,0.300000000000001,4.2
"12",7071,1980,5,12,17.5,13.3,0.5,4.7
"13",7072,1980,5,13,22.6,14.8,0,3.2
"14",7073,1980,5,14,19.7,13.5,0,4.5
"15",7074,1980,5,15,19.5,14.2,0,3.8
"16",7075,1980,5,16,18.4,12.3,0,5.7
"17",7076,1980,5,17,20,9.5,0,8.5
"18",7077,1980,5,18,21.5,10.8,0,7.2
"19",7078,1980,5,19,20.9,13,0,5
"20",7079,1980,5,20,16.5,12.4,1.5,5.6
"21",7080,1980,5,21,25,15.1,0,2.9
"22",7081,1980,5,22,23.1,14.4,0,3.6
"23",7082,1980,5,23,21,15.7,0,2.3
"24",7083,1980,5,24,22.7,14.9,0,3.1
"25",7084,1980,5,25,20.5,16.6,0,1.4
"26",7085,1980,5,26,19.9,12.8,0,5.2
"27",7086,1980,5,27,20.3,10.8,0,7.2
"28",7087,1980,5,28,22.1,15.2,0,2.8
"29",7088,1980,5,29,24.3,14.6,0,3.4
"30",7089,1980,5,30,25,17.6,0,0.399999999999999
"31",7090,1980,5,31,25.2,17.3,0.199999999999999,0.699999999999999
"32",7425,1981,5,1,22.6,12.8,0,5.2
"33",7426,1981,5,2,17.4,11.4,0.600000000000001,6.6
"34",7427,1981,5,3,18.6,10.5,0,7.5
"35",7428,1981,5,4,18,9.4,0,8.6
"36",7429,1981,5,5,20.1,12,0,6
"37",7430,1981,5,6,19.9,12.1,0,5.9
"38",7431,1981,5,7,22.2,12.1,0,5.9
"39",7432,1981,5,8,20.2,13.9,0,4.1
"40",7433,1981,5,9,22,15.8,0,2.2
"41",7434,1981,5,10,19.4,16,0,2
"42",7435,1981,5,11,19.8,11.6,0,6.4
"43",7436,1981,5,12,21.5,9.8,0,8.2
"44",7437,1981,5,13,20.5,10.5,0,7.5
"45",7438,1981,5,14,24.8,11.5,0,6.5
"46",7439,1981,5,15,16.7,14.7,1.3,3.3
"47",7440,1981,5,16,16,12.2,2,5.8
"48",7441,1981,5,17,14.4,10.6,3.6,7.4
"49",7442,1981,5,18,17,10.1,1,7.9
"50",7443,1981,5,19,18.5,10.6,0,7.4
"51",7444,1981,5,20,20.4,11.4,0,6.6
"52",7445,1981,5,21,25.4,14.5,0.399999999999999,3.5
"53",7446,1981,5,22,26,14.8,1,3.2
"54",7447,1981,5,23,22.3,15.9,0,2.1
"55",7448,1981,5,24,20.2,14.7,0,3.3
"56",7449,1981,5,25,23.8,16,0,2
"57",7450,1981,5,26,29.3,18.2,4.3,0
"58",7451,1981,5,27,19.8,15.6,0,2.4
"59",7452,1981,5,28,24,14.8,0,3.2
"60",7453,1981,5,29,27.8,17,2.8,1
"61",7454,1981,5,30,20.1,14,0,4
"62",7455,1981,5,31,24.2,14,0,4
"63",7790,1982,5,1,14.2,12.6,3.8,5.4
"64",7791,1982,5,2,20.6,13.1,0,4.9
"65",7792,1982,5,3,19.5,13.5,0,4.5
"66",7793,1982,5,4,20,12.1,0,5.9
"67",7794,1982,5,5,21.6,14,0,4
"68",7795,1982,5,6,18.9,14.7,0,3.3
"69",7796,1982,5,7,21.7,12.6,0,5.4
"70",7797,1982,5,8,21.2,12,0,6
"71",7798,1982,5,9,24.1,15.8,0,2.2
"72",7799,1982,5,10,23,16.1,0,1.9
"73",7800,1982,5,11,23.5,16.4,0,1.6
"74",7801,1982,5,12,20.2,18.3,0,0
"75",7802,1982,5,13,19.6,14.1,0,3.9
"76",7803,1982,5,14,22,12.5,0,5.5
"77",7804,1982,5,15,22.1,12.9,0,5.1
"78",7805,1982,5,16,22,14.5,0,3.5
"79",7806,1982,5,17,21.7,13.4,0,4.6
"80",7807,1982,5,18,22.8,15.3,0,2.7
"81",7808,1982,5,19,20.5,14.6,0,3.4
"82",7809,1982,5,20,20.6,13,0,5
"83",7810,1982,5,21,21.5,12.1,0,5.9
"84",7811,1982,5,22,21.3,14,0,4
"85",7812,1982,5,23,23.2,13.9,0,4.1
"86",7813,1982,5,24,25.4,16.3,0.399999999999999,1.7
"87",7814,1982,5,25,24.6,16.9,0,1.1
"88",7815,1982,5,26,24,18.2,0,0
"89",7816,1982,5,27,24.6,18,0,0
"90",7817,1982,5,28,26,17.4,1,0.600000000000001
"91",7818,1982,5,29,22.2,19.4,0,0
"92",7819,1982,5,30,20.9,17.9,0,0.100000000000001
"93",7820,1982,5,31,19.7,16.9,0,1.1
"94",8155,1983,5,1,14,10.4,4,7.6
"95",8156,1983,5,2,21.7,9.6,0,8.4
"96",8157,1983,5,3,20.6,12.3,0,5.7
"97",8158,1983,5,4,21.5,12.1,0,5.9
"98",8159,1983,5,5,18.5,14.5,0,3.5
"99",8160,1983,5,6,16.3,13.1,1.7,4.9
"100",8161,1983,5,7,18.9,11.4,0,6.6
"101",8162,1983,5,8,23.4,12.9,0,5.1
"102",8163,1983,5,9,20.7,11.2,0,6.8
"103",8164,1983,5,10,23.2,12.8,0,5.2
"104",8165,1983,5,11,25.9,14.4,0.899999999999999,3.6
"105",8166,1983,5,12,25,14.7,0,3.3
"106",8167,1983,5,13,27.4,16.1,2.4,1.9
"107",8168,1983,5,14,21.1,14.6,0,3.4
"108",8169,1983,5,15,23.2,13.3,0,4.7
"109",8170,1983,5,16,16.2,11.5,1.8,6.5
"110",8171,1983,5,17,21.8,12.5,0,5.5
"111",8172,1983,5,18,20.6,11.6,0,6.4
"112",8173,1983,5,19,21.1,14.4,0,3.6
"113",8174,1983,5,20,21.4,15.8,0,2.2
"114",8175,1983,5,21,24,17.8,0,0.199999999999999
"115",8176,1983,5,22,21.6,17.4,0,0.600000000000001
"116",8177,1983,5,23,19,15.8,0,2.2
"117",8178,1983,5,24,22.2,15.8,0,2.2
"118",8179,1983,5,25,22.2,14.2,0,3.8
"119",8180,1983,5,26,21,14.3,0,3.7
"120",8181,1983,5,27,18.3,14.4,0,3.6
"121",8182,1983,5,28,24.6,17.3,0,0.699999999999999
"122",8183,1983,5,29,22.8,16.7,0,1.3
"123",8184,1983,5,30,22.2,16.8,0,1.2
"124",8185,1983,5,31,27,17.4,2,0.600000000000001
"125",8521,1984,5,1,17.3,10,0.699999999999999,8
"126",8522,1984,5,2,19.1,8.7,0,9.3
"127",8523,1984,5,3,19,11.5,0,6.5
"128",8524,1984,5,4,18.8,11.6,0,6.4
"129",8525,1984,5,5,18.2,12,0,6
"130",8526,1984,5,6,22.7,11.9,0,6.1
"131",8527,1984,5,7,26.3,13,1.3,5
"132",8528,1984,5,8,22.5,14.5,0,3.5
"133",8529,1984,5,9,23.1,14.5,0,3.5
"134",8530,1984,5,10,20,12.8,0,5.2
"135",8531,1984,5,11,23.7,13.9,0,4.1
"136",8532,1984,5,12,21.3,17.5,0,0.5
"137",8533,1984,5,13,19.7,14.4,0,3.6
"138",8534,1984,5,14,18.8,14,0,4
"139",8535,1984,5,15,18,13.7,0,4.3
"140",8536,1984,5,16,18.1,13.5,0,4.5
"141",8537,1984,5,17,19.1,12.8,0,5.2
"142",8538,1984,5,18,20.9,12.4,0,5.6
"143",8539,1984,5,19,20.9,13.8,0,4.2
"144",8540,1984,5,20,22.9,13.5,0,4.5
"145",8541,1984,5,21,21.3,14.3,0,3.7
"146",8542,1984,5,22,22.8,13.1,0,4.9
"147",8543,1984,5,23,21.8,13.4,0,4.6
"148",8544,1984,5,24,23.2,13.7,0,4.3
"149",8545,1984,5,25,21.7,15,0,3
"150",8546,1984,5,26,23.1,15.5,0,2.5
"151",8547,1984,5,27,25.7,17.3,0.699999999999999,0.699999999999999
"152",8548,1984,5,28,24.8,17.2,0,0.800000000000001
"153",8549,1984,5,29,24.6,17.1,0,0.899999999999999
"154",8550,1984,5,30,24.9,17.4,0,0.600000000000001
"155",8551,1984,5,31,25.2,16.5,0.199999999999999,1.5
"156",8886,1985,5,1,21.4,15.7,0,2.3
