"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3043,1980,5,1,17.3,7.3,0.699999999999999,10.7
"2",3044,1980,5,2,28.2,6.8,3.2,11.2
"3",3045,1980,5,3,23,9.2,0,8.8
"4",3046,1980,5,4,28.4,15.1,3.4,2.9
"5",3047,1980,5,5,28,7.1,3,10.9
"6",3048,1980,5,6,24.6,7.4,0,10.6
"7",3049,1980,5,7,19.3,5.7,0,12.3
"8",3050,1980,5,8,18,6.7,0,11.3
"9",3051,1980,5,9,20.8,11.2,0,6.8
"10",3052,1980,5,10,28.8,12.4,3.8,5.6
"11",3053,1980,5,11,32.3,15.5,7.3,2.5
"12",3054,1980,5,12,16.1,13.4,1.9,4.6
"13",3055,1980,5,13,26.6,13.1,1.6,4.9
"14",3056,1980,5,14,29.9,13.5,4.9,4.5
"15",3057,1980,5,15,18.7,9,0,9
"16",3058,1980,5,16,21,8.4,0,9.6
"17",3059,1980,5,17,18.9,8.3,0,9.7
"18",3060,1980,5,18,23.2,6.8,0,11.2
"19",3061,1980,5,19,24.8,10,0,8
"20",3062,1980,5,20,16,12.6,2,5.4
"21",3063,1980,5,21,23.7,11.4,0,6.6
"22",3064,1980,5,22,24.8,9,0,9
"23",3065,1980,5,23,30.1,14.5,5.1,3.5
"24",3066,1980,5,24,28.5,14.8,3.5,3.2
"25",3067,1980,5,25,24.3,15.6,0,2.4
"26",3068,1980,5,26,22.3,12.5,0,5.5
"27",3069,1980,5,27,27,10.6,2,7.4
"28",3070,1980,5,28,30.4,9.9,5.4,8.1
"29",3071,1980,5,29,29.4,16.7,4.4,1.3
"30",3072,1980,5,30,24.6,14.9,0,3.1
"31",3073,1980,5,31,21.5,14,0,4
"32",3408,1981,5,1,28.5,15.2,3.5,2.8
"33",3409,1981,5,2,24.4,13,0,5
"34",3410,1981,5,3,20.5,10.5,0,7.5
"35",3411,1981,5,4,22.1,7,0,11
"36",3412,1981,5,5,27.1,6.5,2.1,11.5
"37",3413,1981,5,6,23.1,8.6,0,9.4
"38",3414,1981,5,7,25.1,10.4,0.100000000000001,7.6
"39",3415,1981,5,8,31.5,11.7,6.5,6.3
"40",3416,1981,5,9,23.1,14.4,0,3.6
"41",3417,1981,5,10,16.6,10.7,1.4,7.3
"42",3418,1981,5,11,22.8,10.6,0,7.4
"43",3419,1981,5,12,22.4,10.2,0,7.8
"44",3420,1981,5,13,25.8,10.4,0.800000000000001,7.6
"45",3421,1981,5,14,28.3,14,3.3,4
"46",3422,1981,5,15,17.9,9.6,0.100000000000001,8.4
"47",3423,1981,5,16,12.6,9.7,5.4,8.3
"48",3424,1981,5,17,12.1,8.5,5.9,9.5
"49",3425,1981,5,18,13.5,3.3,4.5,14.7
"50",3426,1981,5,19,16.5,7.5,1.5,10.5
"51",3427,1981,5,20,24.6,7.2,0,10.8
"52",3428,1981,5,21,28.3,14.2,3.3,3.8
"53",3429,1981,5,22,30.2,12.6,5.2,5.4
"54",3430,1981,5,23,30.7,13.2,5.7,4.8
"55",3431,1981,5,24,23.5,10.8,0,7.2
"56",3432,1981,5,25,23.7,12,0,6
"57",3433,1981,5,26,33.4,15.6,8.4,2.4
"58",3434,1981,5,27,29.6,13.8,4.6,4.2
"59",3435,1981,5,28,25.6,11,0.600000000000001,7
"60",3436,1981,5,29,17.7,7.9,0.300000000000001,10.1
"61",3437,1981,5,30,17.5,7.1,0.5,10.9
"62",3438,1981,5,31,25.5,9.1,0.5,8.9
"63",3773,1982,5,1,20.2,12.5,0,5.5
"64",3774,1982,5,2,17.6,11.5,0.399999999999999,6.5
"65",3775,1982,5,3,16.6,11.8,1.4,6.2
"66",3776,1982,5,4,23.1,9,0,9
"67",3777,1982,5,5,28.9,12.6,3.9,5.4
"68",3778,1982,5,6,22.8,9.9,0,8.1
"69",3779,1982,5,7,26.4,9.1,1.4,8.9
"70",3780,1982,5,8,26.3,11.1,1.3,6.9
"71",3781,1982,5,9,29.8,13.7,4.8,4.3
"72",3782,1982,5,10,29.1,14,4.1,4
"73",3783,1982,5,11,31.8,14.2,6.8,3.8
"74",3784,1982,5,12,26,15.1,1,2.9
"75",3785,1982,5,13,16.3,11.6,1.7,6.4
"76",3786,1982,5,14,20.2,7.7,0,10.3
"77",3787,1982,5,15,26.9,7.7,1.9,10.3
"78",3788,1982,5,16,26.3,17,1.3,1
"79",3789,1982,5,17,30.2,15.5,5.2,2.5
"80",3790,1982,5,18,20.9,11.6,0,6.4
"81",3791,1982,5,19,18.9,10,0,8
"82",3792,1982,5,20,16.6,9.8,1.4,8.2
"83",3793,1982,5,21,20.4,5.4,0,12.6
"84",3794,1982,5,22,20.2,10.6,0,7.4
"85",3795,1982,5,23,31,9.3,6,8.7
"86",3796,1982,5,24,32.9,15.3,7.9,2.7
"87",3797,1982,5,25,28.1,15.9,3.1,2.1
"88",3798,1982,5,26,24,15.7,0,2.3
"89",3799,1982,5,27,31.1,15.1,6.1,2.9
"90",3800,1982,5,28,31.9,18.1,6.9,0
"91",3801,1982,5,29,27.7,15.7,2.7,2.3
"92",3802,1982,5,30,18.6,15.4,0,2.6
"93",3803,1982,5,31,15.9,13.5,2.1,4.5
"94",4138,1983,5,1,17.1,11.1,0.899999999999999,6.9
"95",4139,1983,5,2,24.1,11.3,0,6.7
"96",4140,1983,5,3,27.1,13.8,2.1,4.2
"97",4141,1983,5,4,26.9,12.5,1.9,5.5
"98",4142,1983,5,5,15.6,8.9,2.4,9.1
"99",4143,1983,5,6,10.9,7.9,7.1,10.1
"100",4144,1983,5,7,19.6,7.2,0,10.8
"101",4145,1983,5,8,22.4,7.8,0,10.2
"102",4146,1983,5,9,20.1,6.7,0,11.3
"103",4147,1983,5,10,28.1,8.8,3.1,9.2
"104",4148,1983,5,11,27.9,13.5,2.9,4.5
"105",4149,1983,5,12,27.9,13,2.9,5
"106",4150,1983,5,13,30.1,13.4,5.1,4.6
"107",4151,1983,5,14,18.1,7.4,0,10.6
"108",4152,1983,5,15,20.3,5.5,0,12.5
"109",4153,1983,5,16,15.5,8.9,2.5,9.1
"110",4154,1983,5,17,18.8,6,0,12
"111",4155,1983,5,18,23.9,4.4,0,13.6
"112",4156,1983,5,19,23.2,12,0,6
