"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3408,1980,5,1,15.8,8,2.2,10
"2",3409,1980,5,2,26.5,7.8,1.5,10.2
"3",3410,1980,5,3,18.9,10.7,0,7.3
"4",3411,1980,5,4,27.4,11.9,2.4,6.1
"5",3412,1980,5,5,25,12,0,6
"6",3413,1980,5,6,16.3,9.8,1.7,8.2
"7",3414,1980,5,7,14.7,9.4,3.3,8.6
"8",3415,1980,5,8,16,7.5,2,10.5
"9",3416,1980,5,9,17.7,9.5,0.300000000000001,8.5
"10",3417,1980,5,10,28.5,14,3.5,4
"11",3418,1980,5,11,31,17.8,6,0.199999999999999
"12",3419,1980,5,12,22.2,11.9,0,6.1
"13",3420,1980,5,13,21.6,14.2,0,3.8
"14",3421,1980,5,14,27,13.6,2,4.4
"15",3422,1980,5,15,16.6,11.1,1.4,6.9
"16",3423,1980,5,16,17.9,11.1,0.100000000000001,6.9
"17",3424,1980,5,17,16.6,9.6,1.4,8.4
"18",3425,1980,5,18,17.7,9.3,0.300000000000001,8.7
"19",3426,1980,5,19,21.4,12.5,0,5.5
"20",3427,1980,5,20,17,10.5,1,7.5
"21",3428,1980,5,21,18.6,11,0,7
"22",3429,1980,5,22,21.6,9.7,0,8.3
"23",3430,1980,5,23,29.9,16,4.9,2
"24",3431,1980,5,24,23.6,15.3,0,2.7
"25",3432,1980,5,25,21.4,12.8,0,5.2
"26",3433,1980,5,26,21.2,12.2,0,5.8
"27",3434,1980,5,27,25.6,11.8,0.600000000000001,6.2
"28",3435,1980,5,28,29.7,11.1,4.7,6.9
"29",3436,1980,5,29,25.1,11.9,0.100000000000001,6.1
"30",3437,1980,5,30,23.1,12.2,0,5.8
"31",3438,1980,5,31,17.8,14.4,0.199999999999999,3.6
"32",3773,1981,5,1,23.5,12.9,0,5.1
"33",3774,1981,5,2,25.2,13.4,0.199999999999999,4.6
"34",3775,1981,5,3,18.7,10.6,0,7.4
"35",3776,1981,5,4,20.4,6.9,0,11.1
"36",3777,1981,5,5,24.7,11.5,0,6.5
"37",3778,1981,5,6,20.5,10.5,0,7.5
"38",3779,1981,5,7,20,10.5,0,7.5
"39",3780,1981,5,8,29.7,13.4,4.7,4.6
"40",3781,1981,5,9,23.8,11.1,0,6.9
"41",3782,1981,5,10,12.7,9.3,5.3,8.7
"42",3783,1981,5,11,15.1,8.4,2.9,9.6
"43",3784,1981,5,12,19.2,10.7,0,7.3
"44",3785,1981,5,13,22.1,11.4,0,6.6
"45",3786,1981,5,14,24.9,13,0,5
"46",3787,1981,5,15,17,10.8,1,7.2
"47",3788,1981,5,16,11.7,9.2,6.3,8.8
"48",3789,1981,5,17,10.5,7.8,7.5,10.2
"49",3790,1981,5,18,10.5,7,7.5,11
"50",3791,1981,5,19,13.1,7,4.9,11
"51",3792,1981,5,20,19.5,8.7,0,9.3
"52",3793,1981,5,21,24.8,14.2,0,3.8
"53",3794,1981,5,22,29.8,17.9,4.8,0.100000000000001
"54",3795,1981,5,23,27.2,11.7,2.2,6.3
"55",3796,1981,5,24,23.1,9.4,0,8.6
"56",3797,1981,5,25,25,9.3,0,8.7
"57",3798,1981,5,26,29.7,17.8,4.7,0.199999999999999
"58",3799,1981,5,27,25.3,11.3,0.300000000000001,6.7
"59",3800,1981,5,28,14.2,10.1,3.8,7.9
"60",3801,1981,5,29,15.3,10,2.7,8
"61",3802,1981,5,30,13.4,8.2,4.6,9.8
"62",3803,1981,5,31,15.7,8,2.3,10
"63",4138,1982,5,1,17,10.1,1,7.9
"64",4139,1982,5,2,15.3,10.9,2.7,7.1
"65",4140,1982,5,3,14.9,10.6,3.1,7.4
"66",4141,1982,5,4,21.5,10.7,0,7.3
"67",4142,1982,5,5,25.4,13.5,0.399999999999999,4.5
"68",4143,1982,5,6,22.2,10.8,0,7.2
"69",4144,1982,5,7,27,10.4,2,7.6
"70",4145,1982,5,8,23.8,13.4,0,4.6
"71",4146,1982,5,9,25.2,15.8,0.199999999999999,2.2
"72",4147,1982,5,10,21.6,14.3,0,3.7
"73",4148,1982,5,11,25.6,14.2,0.600000000000001,3.8
"74",4149,1982,5,12,24.6,11.9,0,6.1
"75",4150,1982,5,13,13.1,10.1,4.9,7.9
"76",4151,1982,5,14,18.2,9,0,9
"77",4152,1982,5,15,25.6,13,0.600000000000001,5
"78",4153,1982,5,16,23.1,16.7,0,1.3
