"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3406,1980,5,1,21.2,5.2,0,12.8
"2",3407,1980,5,2,23.8,5,0,13
"3",3408,1980,5,3,21.2,7.8,0,10.2
"4",3409,1980,5,4,21.8,8.6,0,9.4
"5",3410,1980,5,5,20.9,4.4,0,13.6
"6",3411,1980,5,6,19.2,8.4,0,9.6
"7",3412,1980,5,7,22.1,5.6,0,12.4
"8",3413,1980,5,8,21,7.6,0,10.4
"9",3414,1980,5,9,19,8.2,0,9.8
"10",3415,1980,5,10,24,6.8,0,11.2
"11",3416,1980,5,11,27.4,8.6,2.4,9.4
"12",3417,1980,5,12,16.2,12.9,1.8,5.1
"13",3418,1980,5,13,19.2,14.4,0,3.6
"14",3419,1980,5,14,21.6,12.2,0,5.8
"15",3420,1980,5,15,24,14.2,0,3.8
"16",3421,1980,5,16,17.4,9.8,0.600000000000001,8.2
"17",3422,1980,5,17,21.3,4,0,14
"18",3423,1980,5,18,23.8,5.6,0,12.4
"19",3424,1980,5,19,18.2,10.8,0,7.2
"20",3425,1980,5,20,23,11.6,0,6.4
"21",3426,1980,5,21,26.8,9.8,1.8,8.2
"22",3427,1980,5,22,27.2,10.4,2.2,7.6
"23",3428,1980,5,23,26.4,12.8,1.4,5.2
"24",3429,1980,5,24,26.8,11,1.8,7
"25",3430,1980,5,25,19.2,16.8,0,1.2
"26",3431,1980,5,26,17.6,10,0.399999999999999,8
"27",3432,1980,5,27,23.4,7.2,0,10.8
"28",3433,1980,5,28,26.4,12.2,1.4,5.8
"29",3434,1980,5,29,27,10.6,2,7.4
"30",3435,1980,5,30,30.4,14,5.4,4
"31",3436,1980,5,31,30.5,16.2,5.5,1.8
"32",3771,1981,5,1,25.6,7.5,0.600000000000001,10.5
"33",3772,1981,5,2,17,9.4,1,8.6
"34",3773,1981,5,3,16.4,5.3,1.6,12.7
"35",3774,1981,5,4,19.4,2.7,0,15.3
"36",3775,1981,5,5,23.2,5.1,0,12.9
"37",3776,1981,5,6,24.8,6.6,0,11.4
"38",3777,1981,5,7,25.6,10.9,0.600000000000001,7.1
"39",3778,1981,5,8,25.2,10.7,0.199999999999999,7.3
"40",3779,1981,5,9,20.4,15.4,0,2.6
"41",3780,1981,5,10,20.8,15.3,0,2.7
"42",3781,1981,5,11,16.2,9.9,1.8,8.1
"43",3782,1981,5,12,16.6,8.3,1.4,9.7
"44",3783,1981,5,13,20.4,5.9,0,12.1
"45",3784,1981,5,14,22,5.9,0,12.1
"46",3785,1981,5,15,21.9,13.3,0,4.7
"47",3786,1981,5,16,13.8,8.8,4.2,9.2
"48",3787,1981,5,17,13.4,6.3,4.6,11.7
"49",3788,1981,5,18,14.8,3.8,3.2,14.2
"50",3789,1981,5,19,16.8,6.4,1.2,11.6
"51",3790,1981,5,20,20.8,7.6,0,10.4
"52",3791,1981,5,21,24,7.5,0,10.5
"53",3792,1981,5,22,25.8,8.3,0.800000000000001,9.7
"54",3793,1981,5,23,27.6,11.3,2.6,6.7
"55",3794,1981,5,24,25.4,16.4,0.399999999999999,1.6
"56",3795,1981,5,25,26.4,11.5,1.4,6.5
"57",3796,1981,5,26,29.8,12.9,4.8,5.1
"58",3797,1981,5,27,29.4,13.5,4.4,4.5
"59",3798,1981,5,28,20,14.2,0,3.8
"60",3799,1981,5,29,27.4,10.5,2.4,7.5
"61",3800,1981,5,30,25.2,10.3,0.199999999999999,7.7
"62",3801,1981,5,31,21.4,9.8,0,8.2
"63",4136,1982,5,1,21.4,5.5,0,12.5
"64",4137,1982,5,2,26.2,4.3,1.2,13.7
"65",4138,1982,5,3,22.8,8.6,0,9.4
"66",4139,1982,5,4,19.3,7.7,0,10.3
"67",4140,1982,5,5,24.2,4.5,0,13.5
"68",4141,1982,5,6,21,7.8,0,10.2
"69",4142,1982,5,7,24.2,6.9,0,11.1
"70",4143,1982,5,8,24.4,5.5,0,12.5
"71",4144,1982,5,9,22,14.9,0,3.1
"72",4145,1982,5,10,28.6,14,3.6,4
"73",4146,1982,5,11,26.8,14.3,1.8,3.7
"74",4147,1982,5,12,28.6,18.2,3.6,0
"75",4148,1982,5,13,21.6,12.1,0,5.9
"76",4149,1982,5,14,21.4,10.5,0,7.5
"77",4150,1982,5,15,23.4,7.3,0,10.7
"78",4151,1982,5,16,22.9,10.3,0,7.7
"79",4152,1982,5,17,24.8,6.3,0,11.7
"80",4153,1982,5,18,25.6,13.1,0.600000000000001,4.9
"81",4154,1982,5,19,17.2,11.4,0.800000000000001,6.6
"82",4155,1982,5,20,18.9,9,0,9
"83",4156,1982,5,21,22.2,8.5,0,9.5
"84",4157,1982,5,22,26.4,9.5,1.4,8.5
"85",4158,1982,5,23,25,12.1,0,5.9
"86",4159,1982,5,24,27.6,10.7,2.6,7.3
"87",4160,1982,5,25,23.2,16.9,0,1.1
"88",4161,1982,5,26,21.9,15.1,0,2.9
"89",4162,1982,5,27,26,15.3,1,2.7
"90",4163,1982,5,28,27.2,16.7,2.2,1.3
"91",4164,1982,5,29,29,17.5,4,0.5
"92",4165,1982,5,30,28.6,19,3.6,0
"93",4166,1982,5,31,20,12.3,0,5.7
"94",4501,1983,5,1,16.2,6.4,1.8,11.6
"95",4502,1983,5,2,21.4,3.8,0,14.2
"96",4503,1983,5,3,25,7.4,0,10.6
"97",4504,1983,5,4,27.4,7.2,2.4,10.8
"98",4505,1983,5,5,29.4,8.6,4.4,9.4
"99",4506,1983,5,6,19.4,9.6,0,8.4
"100",4507,1983,5,7,18.6,9.2,0,8.8
"101",4508,1983,5,8,19.4,9.4,0,8.6
"102",4509,1983,5,9,24,5.8,0,12.2
"103",4510,1983,5,10,28.6,11.4,3.6,6.6
"104",4511,1983,5,11,29.8,13,4.8,5
"105",4512,1983,5,12,28.9,14.2,3.9,3.8
"106",4513,1983,5,13,25.8,14.4,0.800000000000001,3.6
"107",4514,1983,5,14,25.6,10.2,0.600000000000001,7.8
"108",4515,1983,5,15,24.6,13.6,0,4.4
"109",4516,1983,5,16,24.3,13.6,0,4.4
"110",4517,1983,5,17,21.4,9.6,0,8.4
"111",4518,1983,5,18,22.8,7,0,11
"112",4519,1983,5,19,21.2,12,0,6
"113",4520,1983,5,20,25,15,0,3
"114",4521,1983,5,21,26.8,16.8,1.8,1.2
"115",4522,1983,5,22,27.2,15.8,2.2,2.2
"116",4523,1983,5,23,23.1,16.6,0,1.4
