"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3408,1980,5,1,21.6,4.3,0,13.7
"2",3409,1980,5,2,24.6,6,0,12
"3",3410,1980,5,3,22.6,8.3,0,9.7
"4",3411,1980,5,4,20.9,10.1,0,7.9
"5",3412,1980,5,5,22.4,6.3,0,11.7
"6",3413,1980,5,6,18,6,0,12
"7",3414,1980,5,7,21.4,5.6,0,12.4
"8",3415,1980,5,8,20.2,7.3,0,10.7
"9",3416,1980,5,9,20.1,7.4,0,10.6
"10",3417,1980,5,10,24.7,7.2,0,10.8
"11",3418,1980,5,11,27.7,9.6,2.7,8.4
"12",3419,1980,5,12,18.6,12.5,0,5.5
"13",3420,1980,5,13,19.7,13.7,0,4.3
"14",3421,1980,5,14,23.2,12.7,0,5.3
"15",3422,1980,5,15,21.4,10.7,0,7.3
"16",3423,1980,5,16,17.3,7.6,0.699999999999999,10.4
"17",3424,1980,5,17,20.4,3.5,0,14.5
"18",3425,1980,5,18,23.2,5.5,0,12.5
"19",3426,1980,5,19,20.1,10.8,0,7.2
"20",3427,1980,5,20,22.6,11.9,0,6.1
"21",3428,1980,5,21,22.8,8.5,0,9.5
"22",3429,1980,5,22,26,9.8,1,8.2
"23",3430,1980,5,23,26.9,11.4,1.9,6.6
"24",3431,1980,5,24,26.9,11.1,1.9,6.9
"25",3432,1980,5,25,21.1,16.2,0,1.8
"26",3433,1980,5,26,17.5,10.2,0.5,7.8
"27",3434,1980,5,27,23,7.7,0,10.3
"28",3435,1980,5,28,26.2,13.9,1.2,4.1
"29",3436,1980,5,29,25,10.2,0,7.8
"30",3437,1980,5,30,27.9,13.2,2.9,4.8
"31",3438,1980,5,31,29.5,13.7,4.5,4.3
"32",3773,1981,5,1,26.8,6.9,1.8,11.1
"33",3774,1981,5,2,16.7,10.6,1.3,7.4
"34",3775,1981,5,3,17,5.8,1,12.2
"35",3776,1981,5,4,20.7,2,0,16
"36",3777,1981,5,5,22.8,6.9,0,11.1
"37",3778,1981,5,6,25.2,8.2,0.199999999999999,9.8
"38",3779,1981,5,7,25.3,10.3,0.300000000000001,7.7
"39",3780,1981,5,8,27.2,10.3,2.2,7.7
"40",3781,1981,5,9,22,17.6,0,0.399999999999999
"41",3782,1981,5,10,23.1,16.3,0,1.7
"42",3783,1981,5,11,18.6,8.3,0,9.7
"43",3784,1981,5,12,17.5,7.1,0.5,10.9
"44",3785,1981,5,13,22.4,4.4,0,13.6
"45",3786,1981,5,14,24.4,5.2,0,12.8
"46",3787,1981,5,15,21.2,12.9,0,5.1
"47",3788,1981,5,16,15.7,10.9,2.3,7.1
"48",3789,1981,5,17,11.7,8.7,6.3,9.3
"49",3790,1981,5,18,14.6,4.4,3.4,13.6
"50",3791,1981,5,19,16.4,8.5,1.6,9.5
"51",3792,1981,5,20,20.6,9,0,9
"52",3793,1981,5,21,24.7,7.2,0,10.8
"53",3794,1981,5,22,26,9.3,1,8.7
"54",3795,1981,5,23,26.2,11.1,1.2,6.9
"55",3796,1981,5,24,26.7,15.1,1.7,2.9
"56",3797,1981,5,25,28,10.5,3,7.5
"57",3798,1981,5,26,30.6,12.7,5.6,5.3
"58",3799,1981,5,27,29.2,13.8,4.2,4.2
"59",3800,1981,5,28,21.3,14.6,0,3.4
"60",3801,1981,5,29,28,11,3,7
"61",3802,1981,5,30,25.8,11.8,0.800000000000001,6.2
"62",3803,1981,5,31,22,11.8,0,6.2
"63",4138,1982,5,1,21.1,4.3,0,13.7
"64",4139,1982,5,2,24.8,3.1,0,14.9
"65",4140,1982,5,3,21.7,8.9,0,9.1
"66",4141,1982,5,4,20,7.9,0,10.1
"67",4142,1982,5,5,28.6,5.6,3.6,12.4
"68",4143,1982,5,6,21.2,8.2,0,9.8
"69",4144,1982,5,7,25,6.6,0,11.4
"70",4145,1982,5,8,25.6,5.4,0.600000000000001,12.6
"71",4146,1982,5,9,24.2,14,0,4
"72",4147,1982,5,10,27.6,13.4,2.6,4.6
"73",4148,1982,5,11,26.4,13.7,1.4,4.3
"74",4149,1982,5,12,29.6,18,4.6,0
"75",4150,1982,5,13,23.4,10.1,0,7.9
"76",4151,1982,5,14,22.2,8.5,0,9.5
"77",4152,1982,5,15,23,7.5,0,10.5
"78",4153,1982,5,16,23.2,10.9,0,7.1
"79",4154,1982,5,17,26,7,1,11
"80",4155,1982,5,18,26.4,13.6,1.4,4.4
"81",4156,1982,5,19,18.5,10,0,8
"82",4157,1982,5,20,18.3,8.5,0,9.5
"83",4158,1982,5,21,24,7.3,0,10.7
"84",4159,1982,5,22,27.6,11.1,2.6,6.9
"85",4160,1982,5,23,26,11.3,1,6.7
"86",4161,1982,5,24,27.9,9.9,2.9,8.1
"87",4162,1982,5,25,23.9,15.6,0,2.4
"88",4163,1982,5,26,24.4,15.1,0,2.9
"89",4164,1982,5,27,27.1,14.6,2.1,3.4
"90",4165,1982,5,28,28.2,14.9,3.2,3.1
"91",4166,1982,5,29,30.1,18,5.1,0
"92",4167,1982,5,30,24.8,19.2,0,0
"93",4168,1982,5,31,21.2,13.8,0,4.2
"94",4503,1983,5,1,14.4,7.2,3.6,10.8
"95",4504,1983,5,2,21.6,3.2,0,14.8
"96",4505,1983,5,3,24.4,5.8,0,12.2
"97",4506,1983,5,4,25.6,6.6,0.600000000000001,11.4
"98",4507,1983,5,5,28.3,7.2,3.3,10.8
"99",4508,1983,5,6,19.2,10.8,0,7.2
"100",4509,1983,5,7,18.5,8.9,0,9.1
"101",4510,1983,5,8,19.2,8.3,0,9.7
"102",4511,1983,5,9,24.6,4.2,0,13.8
"103",4512,1983,5,10,27.5,10.5,2.5,7.5
"104",4513,1983,5,11,27.7,12.1,2.7,5.9
"105",4514,1983,5,12,26.5,12.8,1.5,5.2
"106",4515,1983,5,13,26,12.7,1,5.3
"107",4516,1983,5,14,24.9,8.6,0,9.4
"108",4517,1983,5,15,22.8,11.5,0,6.5
"109",4518,1983,5,16,23.7,12.8,0,5.2
"110",4519,1983,5,17,20.1,9,0,9
"111",4520,1983,5,18,24.8,6.2,0,11.8
