"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7060,1980,5,1,21.1,7.7,0,10.3
"2",7061,1980,5,2,27,5.7,2,12.3
"3",7062,1980,5,3,22.3,7.2,0,10.8
"4",7063,1980,5,4,23.2,14.2,0,3.8
"5",7064,1980,5,5,23.3,4.8,0,13.2
"6",7065,1980,5,6,18.4,7.2,0,10.8
"7",7066,1980,5,7,22,5.3,0,12.7
"8",7067,1980,5,8,15.8,8.4,2.2,9.6
"9",7068,1980,5,9,14.8,8.5,3.2,9.5
"10",7069,1980,5,10,24.5,8,0,10
"11",7070,1980,5,11,28.8,12.1,3.8,5.9
"12",7071,1980,5,12,18.9,12.3,0,5.7
"13",7072,1980,5,13,24.5,14.6,0,3.4
"14",7073,1980,5,14,26.9,11.5,1.9,6.5
"15",7074,1980,5,15,22.9,11.8,0,6.2
"16",7075,1980,5,16,17.6,9.4,0.399999999999999,8.6
"17",7076,1980,5,17,19.9,2.4,0,15.6
"18",7077,1980,5,18,24.4,6.6,0,11.4
"19",7078,1980,5,19,23.2,11.7,0,6.3
"20",7079,1980,5,20,17.2,11.3,0.800000000000001,6.7
"21",7080,1980,5,21,25.5,12,0.5,6
"22",7081,1980,5,22,29.2,12.3,4.2,5.7
"23",7082,1980,5,23,25.7,12.4,0.699999999999999,5.6
"24",7083,1980,5,24,25.9,11.1,0.899999999999999,6.9
"25",7084,1980,5,25,20.8,15.1,0,2.9
"26",7085,1980,5,26,20.8,10.3,0,7.7
"27",7086,1980,5,27,23.4,7.6,0,10.4
"28",7087,1980,5,28,27.9,11.5,2.9,6.5
"29",7088,1980,5,29,27.1,12.7,2.1,5.3
"30",7089,1980,5,30,30.4,15.8,5.4,2.2
"31",7090,1980,5,31,27.6,14.4,2.6,3.6
"32",7425,1981,5,1,28.8,9.4,3.8,8.6
"33",7426,1981,5,2,18.7,10.6,0,7.4
"34",7427,1981,5,3,16.4,6.9,1.6,11.1
"35",7428,1981,5,4,19.2,2.5,0,15.5
"36",7429,1981,5,5,23.5,5.7,0,12.3
"37",7430,1981,5,6,24.9,4.7,0,13.3
"38",7431,1981,5,7,26.8,11.3,1.8,6.7
"39",7432,1981,5,8,29.4,9.5,4.4,8.5
"40",7433,1981,5,9,30.2,13.8,5.2,4.2
"41",7434,1981,5,10,26.3,14.9,1.3,3.1
"42",7435,1981,5,11,20,8.4,0,9.6
"43",7436,1981,5,12,18.9,6.8,0,11.2
"44",7437,1981,5,13,22.3,7,0,11
"45",7438,1981,5,14,26.3,5.3,1.3,12.7
"46",7439,1981,5,15,20,14.1,0,3.9
"47",7440,1981,5,16,14.6,9,3.4,9
"48",7441,1981,5,17,11.6,8.5,6.4,9.5
"49",7442,1981,5,18,16.8,7.8,1.2,10.2
"50",7443,1981,5,19,15,8.5,3,9.5
"51",7444,1981,5,20,21,9.2,0,8.8
"52",7445,1981,5,21,23.9,10.4,0,7.6
"53",7446,1981,5,22,26.1,10.5,1.1,7.5
"54",7447,1981,5,23,27.6,14.7,2.6,3.3
"55",7448,1981,5,24,25.3,15.3,0.300000000000001,2.7
"56",7449,1981,5,25,27.8,14.1,2.8,3.9
"57",7450,1981,5,26,30,17.1,5,0.899999999999999
"58",7451,1981,5,27,25.1,12.4,0.100000000000001,5.6
"59",7452,1981,5,28,21,15.4,0,2.6
"60",7453,1981,5,29,26.4,13.2,1.4,4.8
"61",7454,1981,5,30,24.5,10.3,0,7.7
"62",7455,1981,5,31,21.4,11.3,0,6.7
"63",7790,1982,5,1,17.5,11,0.5,7
"64",7791,1982,5,2,25.2,10.4,0.199999999999999,7.6
"65",7792,1982,5,3,22.1,10.8,0,7.2
"66",7793,1982,5,4,19.3,5.9,0,12.1
"67",7794,1982,5,5,27,6.4,2,11.6
"68",7795,1982,5,6,19.2,8.6,0,9.4
"69",7796,1982,5,7,23.5,6.3,0,11.7
"70",7797,1982,5,8,26.3,6.1,1.3,11.9
