"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",5234,1980,5,1,22.8,4.9,0,13.1
"2",5235,1980,5,2,24,5.4,0,12.6
"3",5236,1980,5,3,19.3,7.8,0,10.2
"4",5237,1980,5,4,21.8,12.6,0,5.4
"5",5238,1980,5,5,19.4,4.8,0,13.2
"6",5239,1980,5,6,21,5.6,0,12.4
"7",5240,1980,5,7,23.1,5.7,0,12.3
"8",5241,1980,5,8,22,6.1,0,11.9
"9",5242,1980,5,9,21.8,7.8,0,10.2
"10",5243,1980,5,10,25.1,6.2,0.100000000000001,11.8
"11",5244,1980,5,11,28.1,7.7,3.1,10.3
"12",5245,1980,5,12,15,12.2,3,5.8
"13",5246,1980,5,13,20.8,13.9,0,4.1
"14",5247,1980,5,14,21.8,12,0,6
"15",5248,1980,5,15,24,12.2,0,5.8
"16",5249,1980,5,16,19.4,9.8,0,8.2
"17",5250,1980,5,17,21.4,4.3,0,13.7
"18",5251,1980,5,18,23.7,5.7,0,12.3
"19",5252,1980,5,19,18.8,10.2,0,7.8
"20",5253,1980,5,20,24.4,11.6,0,6.4
"21",5254,1980,5,21,30.2,9.3,5.2,8.7
"22",5255,1980,5,22,28.7,11.5,3.7,6.5
"23",5256,1980,5,23,28.7,12.9,3.7,5.1
"24",5257,1980,5,24,27.7,10.5,2.7,7.5
"25",5258,1980,5,25,19.1,16.8,0,1.2
"26",5259,1980,5,26,18,8,0,10
"27",5260,1980,5,27,23.3,6.5,0,11.5
"28",5261,1980,5,28,27.2,15,2.2,3
"29",5262,1980,5,29,28.7,10.4,3.7,7.6
"30",5263,1980,5,30,32.7,14.1,7.7,3.9
"31",5264,1980,5,31,29.1,14.5,4.1,3.5
"32",5599,1981,5,1,27.6,7.7,2.6,10.3
"33",5600,1981,5,2,18.8,11.2,0,6.8
"34",5601,1981,5,3,15.5,6.2,2.5,11.8
"35",5602,1981,5,4,18.6,4.5,0,13.5
"36",5603,1981,5,5,22.6,5.7,0,12.3
"37",5604,1981,5,6,24.4,5.6,0,12.4
"38",5605,1981,5,7,25.6,8.8,0.600000000000001,9.2
"39",5606,1981,5,8,24.3,11,0,7
"40",5607,1981,5,9,22.8,14.2,0,3.8
"41",5608,1981,5,10,15.6,12.5,2.4,5.5
"42",5609,1981,5,11,17.1,10.4,0.899999999999999,7.6
"43",5610,1981,5,12,17.2,8.5,0.800000000000001,9.5
"44",5611,1981,5,13,21,4.6,0,13.4
"45",5612,1981,5,14,21.5,6.5,0,11.5
"46",5613,1981,5,15,22.7,12.7,0,5.3
"47",5614,1981,5,16,17,9.1,1,8.9
"48",5615,1981,5,17,12.7,7.8,5.3,10.2
"49",5616,1981,5,18,13.1,6.5,4.9,11.5
"50",5617,1981,5,19,19.4,8.4,0,9.6
"51",5618,1981,5,20,22.8,7,0,11
"52",5619,1981,5,21,24.3,9.1,0,8.9
"53",5620,1981,5,22,26.5,7.5,1.5,10.5
"54",5621,1981,5,23,30,11.4,5,6.6
"55",5622,1981,5,24,26.9,15.7,1.9,2.3
"56",5623,1981,5,25,27.6,11.8,2.6,6.2
"57",5624,1981,5,26,29.7,12.1,4.7,5.9
"58",5625,1981,5,27,29.5,12.2,4.5,5.8
"59",5626,1981,5,28,20,13.2,0,4.8
"60",5627,1981,5,29,27.6,9.7,2.6,8.3
"61",5628,1981,5,30,24.1,9.5,0,8.5
"62",5629,1981,5,31,18.8,9.2,0,8.8
"63",5964,1982,5,1,23.9,6.9,0,11.1
"64",5965,1982,5,2,27.7,4.3,2.7,13.7
"65",5966,1982,5,3,23.7,8.9,0,9.1
"66",5967,1982,5,4,18.6,8.3,0,9.7
"67",5968,1982,5,5,22.6,3.8,0,14.2
"68",5969,1982,5,6,20.6,9.3,0,8.7
"69",5970,1982,5,7,24.3,5.6,0,12.4
"70",5971,1982,5,8,23.3,6,0,12
"71",5972,1982,5,9,21.8,14.8,0,3.2
"72",5973,1982,5,10,29.4,14,4.4,4
"73",5974,1982,5,11,27.5,13.2,2.5,4.8
"74",5975,1982,5,12,28.5,13,3.5,5
"75",5976,1982,5,13,14.1,10.1,3.9,7.9
"76",5977,1982,5,14,22.2,7.6,0,10.4
"77",5978,1982,5,15,23.9,7.1,0,10.9
"78",5979,1982,5,16,23.2,13.5,0,4.5
"79",5980,1982,5,17,24.9,7.1,0,10.9
"80",5981,1982,5,18,25,15.3,0,2.7
"81",5982,1982,5,19,16.2,12.2,1.8,5.8
"82",5983,1982,5,20,18.9,8.9,0,9.1
"83",5984,1982,5,21,20.1,8.3,0,9.7
"84",5985,1982,5,22,26,11,1,7
"85",5986,1982,5,23,23.3,12.2,0,5.8
"86",5987,1982,5,24,27.4,11.7,2.4,6.3
"87",5988,1982,5,25,23.8,15.8,0,2.2
"88",5989,1982,5,26,21.5,14.6,0,3.4
"89",5990,1982,5,27,25.7,14.6,0.699999999999999,3.4
"90",5991,1982,5,28,26.3,18.5,1.3,0
"91",5992,1982,5,29,29.1,16.6,4.1,1.4
"92",5993,1982,5,30,27.2,17.3,2.2,0.699999999999999
"93",5994,1982,5,31,18.6,13.4,0,4.6
"94",6329,1983,5,1,17.3,7.7,0.699999999999999,10.3
"95",6330,1983,5,2,21.2,4,0,14
"96",6331,1983,5,3,25.1,7.5,0.100000000000001,10.5
"97",6332,1983,5,4,29,5.9,4,12.1
"98",6333,1983,5,5,26.3,7.7,1.3,10.3
"99",6334,1983,5,6,15,7.5,3,10.5
"100",6335,1983,5,7,17.2,6.3,0.800000000000001,11.7
"101",6336,1983,5,8,19.2,9.6,0,8.4
"102",6337,1983,5,9,25.3,5.1,0.300000000000001,12.9
"103",6338,1983,5,10,28.2,11.8,3.2,6.2
"104",6339,1983,5,11,30,11.6,5,6.4
"105",6340,1983,5,12,27.8,12,2.8,6
"106",6341,1983,5,13,25.1,13.4,0.100000000000001,4.6
"107",6342,1983,5,14,26.1,9.8,1.1,8.2
"108",6343,1983,5,15,23.8,13.1,0,4.9
"109",6344,1983,5,16,24.8,13.8,0,4.2
"110",6345,1983,5,17,21,9.2,0,8.8
"111",6346,1983,5,18,22.9,6.8,0,11.2
"112",6347,1983,5,19,18.4,12,0,6
"113",6348,1983,5,20,26.1,14.5,1.1,3.5
"114",6349,1983,5,21,27.5,16.1,2.5,1.9
"115",6350,1983,5,22,26.8,13.8,1.8,4.2
"116",6351,1983,5,23,21.8,16.3,0,1.7
"117",6352,1983,5,24,29.4,13.4,4.4,4.6
"118",6353,1983,5,25,28.9,10.5,3.9,7.5
"119",6354,1983,5,26,25.8,12,0.800000000000001,6
"120",6355,1983,5,27,17.6,14.1,0.399999999999999,3.9
"121",6356,1983,5,28,26.6,14.9,1.6,3.1
"122",6357,1983,5,29,30.7,15.4,5.7,2.6
"123",6358,1983,5,30,31,13.5,6,4.5
"124",6359,1983,5,31,30.7,14.5,5.7,3.5
"125",6695,1984,5,1,15.5,8.2,2.5,9.8
"126",6696,1984,5,2,22.4,6.4,0,11.6
"127",6697,1984,5,3,22.7,7,0,11
"128",6698,1984,5,4,24.3,9.8,0,8.2
"129",6699,1984,5,5,25.8,7.5,0.800000000000001,10.5
"130",6700,1984,5,6,24.8,7.7,0,10.3
"131",6701,1984,5,7,26.3,6.7,1.3,11.3
"132",6702,1984,5,8,26.9,9,1.9,9
"133",6703,1984,5,9,26.4,12.9,1.4,5.1
"134",6704,1984,5,10,27.2,10.9,2.2,7.1
"135",6705,1984,5,11,25.3,15.5,0.300000000000001,2.5
"136",6706,1984,5,12,21,13.8,0,4.2
"137",6707,1984,5,13,18.5,10.6,0,7.4
"138",6708,1984,5,14,25.7,7.3,0.699999999999999,10.7
"139",6709,1984,5,15,23.2,10.4,0,7.6
"140",6710,1984,5,16,26,10.1,1,7.9
"141",6711,1984,5,17,25.8,9.4,0.800000000000001,8.6
"142",6712,1984,5,18,26.4,10.3,1.4,7.7
"143",6713,1984,5,19,27.2,9.9,2.2,8.1
"144",6714,1984,5,20,27.8,10.7,2.8,7.3
"145",6715,1984,5,21,27.4,10.4,2.4,7.6
"146",6716,1984,5,22,26.7,10.7,1.7,7.3
"147",6717,1984,5,23,28.1,10,3.1,8
"148",6718,1984,5,24,28.5,11.6,3.5,6.4
"149",6719,1984,5,25,25.6,13.3,0.600000000000001,4.7
"150",6720,1984,5,26,22.6,16.6,0,1.4
"151",6721,1984,5,27,26.7,14.7,1.7,3.3
"152",6722,1984,5,28,26.4,16,1.4,2
"153",6723,1984,5,29,26.6,17.4,1.6,0.600000000000001
"154",6724,1984,5,30,28.4,16.2,3.4,1.8
"155",6725,1984,5,31,30,14,5,4
"156",7060,1985,5,1,24.4,13.7,0,4.3
