"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3401,1980,5,1,24,8.2,0,9.8
"2",3402,1980,5,2,22.7,6.1,0,11.9
"3",3403,1980,5,3,20,14.1,0,3.9
"4",3404,1980,5,4,23.1,12.3,0,5.7
"5",3405,1980,5,5,24.9,9.3,0,8.7
"6",3406,1980,5,6,19.2,9.8,0,8.2
"7",3407,1980,5,7,19.7,8.3,0,9.7
"8",3408,1980,5,8,13,10,5,8
"9",3409,1980,5,9,18.8,8.6,0,9.4
"10",3410,1980,5,10,23.9,5.6,0,12.4
"11",3411,1980,5,11,28.3,8.1,3.3,9.9
"12",3412,1980,5,12,19.4,13.9,0,4.1
"13",3413,1980,5,13,22.8,13.7,0,4.3
"14",3414,1980,5,14,23.2,12.8,0,5.2
"15",3415,1980,5,15,23.8,12.8,0,5.2
"16",3416,1980,5,16,17.7,8.3,0.300000000000001,9.7
"17",3417,1980,5,17,20.1,5.7,0,12.3
"18",3418,1980,5,18,23.9,6.5,0,11.5
"19",3419,1980,5,19,21.7,12,0,6
"20",3420,1980,5,20,17.1,12.8,0.899999999999999,5.2
"21",3421,1980,5,21,23.3,11.7,0,6.3
"22",3422,1980,5,22,26.8,9,1.8,9
"23",3423,1980,5,23,24.6,12.5,0,5.5
"24",3424,1980,5,24,24.1,12,0,6
"25",3425,1980,5,25,21.2,17.2,0,0.800000000000001
"26",3426,1980,5,26,17.6,12.4,0.399999999999999,5.6
"27",3427,1980,5,27,20.9,7.5,0,10.5
"28",3428,1980,5,28,24.7,13.4,0,4.6
"29",3429,1980,5,29,26.6,12.8,1.6,5.2
"30",3430,1980,5,30,28.8,16,3.8,2
"31",3431,1980,5,31,26.9,15.4,1.9,2.6
"32",3766,1981,5,1,26,7.3,1,10.7
"33",3767,1981,5,2,17.2,11.5,0.800000000000001,6.5
"34",3768,1981,5,3,17,9,1,9
"35",3769,1981,5,4,19.5,6.9,0,11.1
"36",3770,1981,5,5,22.4,9.9,0,8.1
"37",3771,1981,5,6,22.3,12.8,0,5.2
"38",3772,1981,5,7,22.7,12.7,0,5.3
"39",3773,1981,5,8,24.3,11.3,0,6.7
"40",3774,1981,5,9,22.4,18.8,0,0
"41",3775,1981,5,10,22.3,17.8,0,0.199999999999999
"42",3776,1981,5,11,18.8,10.7,0,7.3
"43",3777,1981,5,12,20.7,6,0,12
"44",3778,1981,5,13,24.3,7,0,11
"45",3779,1981,5,14,27.6,5.5,2.6,12.5
"46",3780,1981,5,15,16.3,12.6,1.7,5.4
"47",3781,1981,5,16,16.1,11.5,1.9,6.5
"48",3782,1981,5,17,16.6,11.1,1.4,6.9
"49",3783,1981,5,18,18.8,9.8,0,8.2
"50",3784,1981,5,19,20.6,9.6,0,8.4
"51",3785,1981,5,20,21.7,10.5,0,7.5
"52",3786,1981,5,21,25.3,8.3,0.300000000000001,9.7
"53",3787,1981,5,22,26.3,7.8,1.3,10.2
"54",3788,1981,5,23,25.7,12.2,0.699999999999999,5.8
"55",3789,1981,5,24,26.6,12.2,1.6,5.8
"56",3790,1981,5,25,28.8,13.3,3.8,4.7
"57",3791,1981,5,26,29.4,12.8,4.4,5.2
"58",3792,1981,5,27,21.2,15,0,3
"59",3793,1981,5,28,21.6,14.8,0,3.2
"60",3794,1981,5,29,28.2,9.5,3.2,8.5
"61",3795,1981,5,30,26.3,12.5,1.3,5.5
"62",3796,1981,5,31,22.9,11.2,0,6.8
"63",4131,1982,5,1,15.3,9.3,2.7,8.7
