"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",7121,1980,7,1,18.6,15.4,1.4,4.6
"2",7122,1980,7,2,18,15.5,2,4.5
"3",7123,1980,7,3,21.5,16.2,0,3.8
"4",7124,1980,7,4,26.2,16.5,4.2,3.5
"5",7125,1980,7,5,28.3,22.2,6.3,0.199999999999999
"6",7126,1980,7,6,30.4,20.8,8.4,0
"7",7127,1980,7,7,31.7,22.4,9.7,0.399999999999999
"8",7128,1980,7,8,26.9,19.8,4.9,0.199999999999999
"9",7129,1980,7,9,26.2,19.4,4.2,0.600000000000001
"10",7130,1980,7,10,27,19.4,5,0.600000000000001
"11",7131,1980,7,11,27.2,20,5.2,0
"12",7132,1980,7,12,29.8,19.8,7.8,0.199999999999999
"13",7133,1980,7,13,25.5,20.2,3.5,0
"14",7134,1980,7,14,20.4,18.3,0,1.7
"15",7135,1980,7,15,23.1,18.3,1.1,1.7
"16",7136,1980,7,16,24.2,17.1,2.2,2.9
"17",7137,1980,7,17,23.4,16.6,1.4,3.4
"18",7138,1980,7,18,21.2,16.8,0,3.2
"19",7139,1980,7,19,26.6,18.4,4.6,1.6
"20",7140,1980,7,20,27.1,20.5,5.1,0
"21",7141,1980,7,21,28.2,22,6.2,0
"22",7142,1980,7,22,30.4,20.7,8.4,0
"23",7143,1980,7,23,30.3,21,8.3,0
"24",7144,1980,7,24,33.2,21.5,11.2,0
"25",7145,1980,7,25,26.6,20.4,4.6,0
"26",7146,1980,7,26,25,20.8,3,0
"27",7147,1980,7,27,23.7,20.2,1.7,0
"28",7148,1980,7,28,22.6,19.8,0.600000000000001,0.199999999999999
"29",7149,1980,7,29,21.7,18.7,0,1.3
"30",7150,1980,7,30,22.6,17.8,0.600000000000001,2.2
"31",7151,1980,7,31,23.2,15.8,1.2,4.2
"32",7486,1981,7,1,21.2,17.9,0,2.1
"33",7487,1981,7,2,19.1,17.6,0.899999999999999,2.4
"34",7488,1981,7,3,18,15.4,2,4.6
"35",7489,1981,7,4,17.8,14.9,2.2,5.1
"36",7490,1981,7,5,31,15.6,9,4.4
"37",7491,1981,7,6,32.1,19.7,10.1,0.300000000000001
"38",7492,1981,7,7,28.7,19.7,6.7,0.300000000000001
"39",7493,1981,7,8,32.2,23.8,10.2,1.8
"40",7494,1981,7,9,27.7,24,5.7,2
"41",7495,1981,7,10,30.8,22.9,8.8,0.899999999999999
"42",7496,1981,7,11,24.7,19.1,2.7,0.899999999999999
"43",7497,1981,7,12,20.9,18.7,0,1.3
"44",7498,1981,7,13,25,18.3,3,1.7
"45",7499,1981,7,14,33.4,18.8,11.4,1.2
"46",7500,1981,7,15,35.4,24.7,13.4,2.7
"47",7501,1981,7,16,35.2,27.4,13.2,5.4
"48",7502,1981,7,17,35.7,27.4,13.7,5.4
"49",7503,1981,7,18,34.7,27.7,12.7,5.7
"50",7504,1981,7,19,36.4,27.5,14.4,5.5
"51",7505,1981,7,20,35,28.1,13,6.1
"52",7506,1981,7,21,36.1,27.4,14.1,5.4
"53",7507,1981,7,22,28.2,22.6,6.2,0.600000000000001
"54",7508,1981,7,23,26.7,21.8,4.7,0
"55",7509,1981,7,24,29.2,22.6,7.2,0.600000000000001
"56",7510,1981,7,25,28.1,23.2,6.1,1.2
"57",7511,1981,7,26,27,23,5,1
"58",7512,1981,7,27,25,21.9,3,0
"59",7513,1981,7,28,30.8,21.7,8.8,0
"60",7514,1981,7,29,31.8,23.1,9.8,1.1
"61",7515,1981,7,30,33.1,24.1,11.1,2.1
"62",7516,1981,7,31,30.4,23,8.4,1
"63",7851,1982,7,1,25.5,16.7,3.5,3.3
"64",7852,1982,7,2,24,17.8,2,2.2
"65",7853,1982,7,3,25.7,16,3.7,4
"66",7854,1982,7,4,25.3,17.7,3.3,2.3
"67",7855,1982,7,5,27.7,16.2,5.7,3.8
"68",7856,1982,7,6,27.4,18.7,5.4,1.3
"69",7857,1982,7,7,27.8,19.7,5.8,0.300000000000001
"70",7858,1982,7,8,31.4,22,9.4,0
"71",7859,1982,7,9,32.4,21.4,10.4,0
"72",7860,1982,7,10,33.8,24.1,11.8,2.1
"73",7861,1982,7,11,33.4,24.6,11.4,2.6
"74",7862,1982,7,12,31.1,22.5,9.1,0.5
"75",7863,1982,7,13,30.7,21.4,8.7,0
"76",7864,1982,7,14,27.3,19.2,5.3,0.800000000000001
"77",7865,1982,7,15,27.9,19.8,5.9,0.199999999999999
"78",7866,1982,7,16,24.1,20.2,2.1,0
"79",7867,1982,7,17,33.2,18.1,11.2,1.9
"80",7868,1982,7,18,32.7,23,10.7,1
"81",7869,1982,7,19,31.2,23,9.2,1
"82",7870,1982,7,20,31.3,21.8,9.3,0
"83",7871,1982,7,21,30.1,20.4,8.1,0
"84",7872,1982,7,22,31,20.5,9,0
"85",7873,1982,7,23,29.9,21.2,7.9,0
"86",7874,1982,7,24,24,21.4,2,0
"87",7875,1982,7,25,22.6,21.4,0.600000000000001,0
"88",7876,1982,7,26,27.3,20.8,5.3,0
"89",7877,1982,7,27,22,19.2,0,0.800000000000001
"90",7878,1982,7,28,21.3,18.6,0,1.4
"91",7879,1982,7,29,21,18.5,0,1.5
"92",7880,1982,7,30,26.3,17.6,4.3,2.4
"93",7881,1982,7,31,24.8,21.2,2.8,0
"94",8216,1983,7,1,21.6,17.7,0,2.3
"95",8217,1983,7,2,21.2,16.3,0,3.7
"96",8218,1983,7,3,26.9,17.1,4.9,2.9
"97",8219,1983,7,4,26.6,18.2,4.6,1.8
"98",8220,1983,7,5,19.3,16,0.699999999999999,4
"99",8221,1983,7,6,18.5,15.3,1.5,4.7
"100",8222,1983,7,7,19,15,1,5
"101",8223,1983,7,8,18.7,14.8,1.3,5.2
"102",8224,1983,7,9,21.9,14.4,0,5.6
"103",8225,1983,7,10,22.4,16.7,0.399999999999999,3.3
"104",8226,1983,7,11,25.2,15.4,3.2,4.6
"105",8227,1983,7,12,26.6,13.7,4.6,6.3
"106",8228,1983,7,13,24.8,17.5,2.8,2.5
"107",8229,1983,7,14,20.2,18.7,0,1.3
"108",8230,1983,7,15,25.9,18,3.9,2
"109",8231,1983,7,16,28.5,23.5,6.5,1.5
"110",8232,1983,7,17,31.9,21.6,9.9,0
"111",8233,1983,7,18,33.8,23.8,11.8,1.8
"112",8234,1983,7,19,30,19.5,8,0.5
"113",8235,1983,7,20,24.7,19.4,2.7,0.600000000000001
"114",8236,1983,7,21,30,22.5,8,0.5
"115",8237,1983,7,22,28.3,19.2,6.3,0.800000000000001
"116",8238,1983,7,23,30.6,25.4,8.6,3.4
"117",8239,1983,7,24,28.9,22.2,6.9,0.199999999999999
"118",8240,1983,7,25,27.2,21.8,5.2,0
"119",8241,1983,7,26,32.6,22.6,10.6,0.600000000000001
"120",8242,1983,7,27,35.3,28.7,13.3,6.7
"121",8243,1983,7,28,36,27.5,14,5.5
"122",8244,1983,7,29,32.7,26.1,10.7,4.1
"123",8245,1983,7,30,31.9,24.2,9.9,2.2
"124",8246,1983,7,31,33.3,22,11.3,0
"125",8582,1984,7,1,29.9,20.6,7.9,0
"126",8583,1984,7,2,35.2,23.1,13.2,1.1
"127",8584,1984,7,3,31.9,21.4,9.9,0
"128",8585,1984,7,4,21.5,19.8,0,0.199999999999999
"129",8586,1984,7,5,25.5,19.2,3.5,0.800000000000001
"130",8587,1984,7,6,26.5,19.5,4.5,0.5
"131",8588,1984,7,7,23.3,19.7,1.3,0.300000000000001
"132",8589,1984,7,8,30.4,19.9,8.4,0.100000000000001
"133",8590,1984,7,9,27.8,20.7,5.8,0
"134",8591,1984,7,10,23.4,20.1,1.4,0
"135",8592,1984,7,11,24.7,19.4,2.7,0.600000000000001
"136",8593,1984,7,12,22.6,19.1,0.600000000000001,0.899999999999999
"137",8594,1984,7,13,30.2,19.9,8.2,0.100000000000001
"138",8595,1984,7,14,31.7,23.7,9.7,1.7
"139",8596,1984,7,15,32.6,23.3,10.6,1.3
"140",8597,1984,7,16,26.6,20.1,4.6,0
"141",8598,1984,7,17,27.1,19,5.1,1
"142",8599,1984,7,18,25.6,20,3.6,0
"143",8600,1984,7,19,26.9,18.4,4.9,1.6
"144",8601,1984,7,20,27.5,18,5.5,2
"145",8602,1984,7,21,27.2,21.6,5.2,0
"146",8603,1984,7,22,22.3,20.7,0.300000000000001,0
"147",8604,1984,7,23,26.7,20.7,4.7,0
"148",8605,1984,7,24,26.8,21.2,4.8,0
"149",8606,1984,7,25,27.1,21.9,5.1,0
"150",8607,1984,7,26,28.3,22.2,6.3,0.199999999999999
"151",8608,1984,7,27,33.9,22.2,11.9,0.199999999999999
"152",8609,1984,7,28,29.6,23.9,7.6,1.9
"153",8610,1984,7,29,27.5,23.1,5.5,1.1
"154",8611,1984,7,30,28.9,23.2,6.9,1.2
"155",8612,1984,7,31,29.6,21.4,7.6,0
"156",8947,1985,7,1,26,19.1,4,0.899999999999999
"157",8948,1985,7,2,26.3,18.5,4.3,1.5
"158",8949,1985,7,3,22.2,19.4,0.199999999999999,0.600000000000001
"159",8950,1985,7,4,24.4,18.5,2.4,1.5
"160",8951,1985,7,5,24,19.3,2,0.699999999999999
"161",8952,1985,7,6,30.3,21.3,8.3,0
"162",8953,1985,7,7,30.4,22.3,8.4,0.300000000000001
"163",8954,1985,7,8,33.6,21.7,11.6,0
"164",8955,1985,7,9,31.5,24.2,9.5,2.2
"165",8956,1985,7,10,30.9,22.6,8.9,0.600000000000001
"166",8957,1985,7,11,31.8,25.2,9.8,3.2
"167",8958,1985,7,12,26.9,20.7,4.9,0
"168",8959,1985,7,13,26.5,20.6,4.5,0
"169",8960,1985,7,14,25.7,20.1,3.7,0
"170",8961,1985,7,15,30.1,18.7,8.1,1.3
"171",8962,1985,7,16,28.2,20.8,6.2,0
"172",8963,1985,7,17,27.9,22.2,5.9,0.199999999999999
"173",8964,1985,7,18,31.9,23.8,9.9,1.8
"174",8965,1985,7,19,29.8,24.1,7.8,2.1
"175",8966,1985,7,20,29.2,23.2,7.2,1.2
"176",8967,1985,7,21,32,22.2,10,0.199999999999999
"177",8968,1985,7,22,32.5,25,10.5,3
"178",8969,1985,7,23,34.1,25.6,12.1,3.6
"179",8970,1985,7,24,34.3,26.4,12.3,4.4
"180",8971,1985,7,25,34.2,24.8,12.2,2.8
"181",8972,1985,7,26,32.4,24.4,10.4,2.4
"182",8973,1985,7,27,33.2,23.6,11.2,1.6
"183",8974,1985,7,28,31.4,23.4,9.4,1.4
"184",8975,1985,7,29,33.7,23.5,11.7,1.5
"185",8976,1985,7,30,34.1,25.4,12.1,3.4
"186",8977,1985,7,31,32.2,24.6,10.2,2.6
"187",9312,1986,7,1,18,14.5,2,5.5
"188",9313,1986,7,2,19.5,14.1,0.5,5.9
"189",9314,1986,7,3,19.1,14.9,0.899999999999999,5.1
"190",9315,1986,7,4,19.4,14.2,0.600000000000001,5.8
"191",9316,1986,7,5,17,15.4,3,4.6
"192",9317,1986,7,6,21.2,14.3,0,5.7
"193",9318,1986,7,7,19.7,16.5,0.300000000000001,3.5
"194",9319,1986,7,8,22.3,17.4,0.300000000000001,2.6
"195",9320,1986,7,9,21,17.6,0,2.4
"196",9321,1986,7,10,27.8,16.6,5.8,3.4
"197",9322,1986,7,11,21.1,17.8,0,2.2
"198",9323,1986,7,12,22.9,17.9,0.899999999999999,2.1
"199",9324,1986,7,13,28,17.2,6,2.8
"200",9325,1986,7,14,26.4,20.5,4.4,0
"201",9326,1986,7,15,27.6,18.4,5.6,1.6
"202",9327,1986,7,16,19.9,17.7,0.100000000000001,2.3
"203",9328,1986,7,17,28.1,17.5,6.1,2.5
"204",9329,1986,7,18,29.8,21.5,7.8,0
"205",9330,1986,7,19,22.3,19.1,0.300000000000001,0.899999999999999
"206",9331,1986,7,20,23.3,19.1,1.3,0.899999999999999
"207",9332,1986,7,21,21.3,19.4,0,0.600000000000001
"208",9333,1986,7,22,20.2,17.7,0,2.3
"209",9334,1986,7,23,21.6,17.4,0,2.6
"210",9335,1986,7,24,21.6,17.8,0,2.2
"211",9336,1986,7,25,22.5,18.6,0.5,1.4
"212",9337,1986,7,26,28.2,18.7,6.2,1.3
"213",9338,1986,7,27,34.2,20.8,12.2,0
"214",9339,1986,7,28,35.8,25.9,13.8,3.9
"215",9340,1986,7,29,34.7,23.8,12.7,1.8
"216",9341,1986,7,30,35.6,25.1,13.6,3.1
"217",9342,1986,7,31,34.5,26.6,12.5,4.6
"218",9677,1987,7,1,27.2,19.5,5.2,0.5
"219",9678,1987,7,2,30,19,8,1
"220",9679,1987,7,3,28.1,21.6,6.1,0
"221",9680,1987,7,4,30,21.2,8,0
"222",9681,1987,7,5,31.8,24.4,9.8,2.4
"223",9682,1987,7,6,31.4,19.6,9.4,0.399999999999999
"224",9683,1987,7,7,27.7,21.8,5.7,0
"225",9684,1987,7,8,29.7,19.9,7.7,0.100000000000001
"226",9685,1987,7,9,28.7,20.1,6.7,0
"227",9686,1987,7,10,26.9,17.8,4.9,2.2
"228",9687,1987,7,11,32.4,23.6,10.4,1.6
"229",9688,1987,7,12,31.2,24.8,9.2,2.8
"230",9689,1987,7,13,28.2,23.8,6.2,1.8
"231",9690,1987,7,14,27.7,21.2,5.7,0
"232",9691,1987,7,15,21.4,19.7,0,0.300000000000001
"233",9692,1987,7,16,29.2,20.1,7.2,0
"234",9693,1987,7,17,32.3,24,10.3,2
"235",9694,1987,7,18,32.3,24.2,10.3,2.2
"236",9695,1987,7,19,29.6,22.5,7.6,0.5
"237",9696,1987,7,20,27.6,20.5,5.6,0
"238",9697,1987,7,21,23.9,20.7,1.9,0
"239",9698,1987,7,22,25.2,20.8,3.2,0
"240",9699,1987,7,23,27.5,20.6,5.5,0
"241",9700,1987,7,24,31.4,24.3,9.4,2.3
"242",9701,1987,7,25,30.6,23.6,8.6,1.6
"243",9702,1987,7,26,29.7,25.2,7.7,3.2
"244",9703,1987,7,27,28.3,22.5,6.3,0.5
"245",9704,1987,7,28,31.5,23.8,9.5,1.8
"246",9705,1987,7,29,29,22.2,7,0.199999999999999
"247",9706,1987,7,30,26.3,21.3,4.3,0
"248",9707,1987,7,31,26.4,21.3,4.4,0
"249",10043,1988,7,1,28,17.8,6,2.2
"250",10044,1988,7,2,24.7,20.6,2.7,0
"251",10045,1988,7,3,23.5,18.7,1.5,1.3
"252",10046,1988,7,4,23.9,16.4,1.9,3.6
"253",10047,1988,7,5,25.3,18.8,3.3,1.2
"254",10048,1988,7,6,29.2,19.5,7.2,0.5
"255",10049,1988,7,7,32.3,23.2,10.3,1.2
"256",10050,1988,7,8,29.7,22,7.7,0
"257",10051,1988,7,9,29.2,22.2,7.2,0.199999999999999
"258",10052,1988,7,10,31.2,24.7,9.2,2.7
"259",10053,1988,7,11,28.9,23,6.9,1
"260",10054,1988,7,12,25.7,21.9,3.7,0
"261",10055,1988,7,13,26,21.5,4,0
"262",10056,1988,7,14,25.5,21.9,3.5,0
"263",10057,1988,7,15,22,20.1,0,0
"264",10058,1988,7,16,24.1,19.6,2.1,0.399999999999999
"265",10059,1988,7,17,22.7,19.9,0.699999999999999,0.100000000000001
"266",10060,1988,7,18,24.3,20.3,2.3,0
"267",10061,1988,7,19,23.7,20.4,1.7,0
"268",10062,1988,7,20,22.2,20.2,0.199999999999999,0
"269",10063,1988,7,21,23.4,20,1.4,0
"270",10064,1988,7,22,21.5,19.9,0,0.100000000000001
"271",10065,1988,7,23,22.5,19.9,0.5,0.100000000000001
"272",10066,1988,7,24,22,19.4,0,0.600000000000001
"273",10067,1988,7,25,21.7,18.9,0,1.1
"274",10068,1988,7,26,20.5,18.3,0,1.7
"275",10069,1988,7,27,19.5,18.7,0.5,1.3
"276",10070,1988,7,28,22,18.3,0,1.7
"277",10071,1988,7,29,23.7,16.6,1.7,3.4
"278",10072,1988,7,30,24.5,16.3,2.5,3.7
"279",10073,1988,7,31,31,14.4,9,5.6
"280",10408,1989,7,1,23.2,16.7,1.2,3.3
"281",10409,1989,7,2,18.6,15.5,1.4,4.5
"282",10410,1989,7,3,20.4,15.6,0,4.4
"283",10411,1989,7,4,23.8,14.7,1.8,5.3
"284",10412,1989,7,5,26,15.9,4,4.1
"285",10413,1989,7,6,26.3,14.3,4.3,5.7
"286",10414,1989,7,7,27.8,13.1,5.8,6.9
"287",10415,1989,7,8,23.3,16.1,1.3,3.9
"288",10416,1989,7,9,22.5,17.8,0.5,2.2
"289",10417,1989,7,10,31.7,16,9.7,4
"290",10418,1989,7,11,26.2,17.4,4.2,2.6
"291",10419,1989,7,12,26.9,16.9,4.9,3.1
"292",10420,1989,7,13,25.1,18.1,3.1,1.9
"293",10421,1989,7,14,25.4,19.2,3.4,0.800000000000001
