"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3467,1980,7,1,20.6,17.9,0,2.1
"2",3468,1980,7,2,21,17.8,0,2.2
"3",3469,1980,7,3,27.2,17.5,5.2,2.5
"4",3470,1980,7,4,23,17.5,1,2.5
"5",3471,1980,7,5,25.4,18,3.4,2
"6",3472,1980,7,6,26.7,16.7,4.7,3.3
"7",3473,1980,7,7,26.7,16.7,4.7,3.3
"8",3474,1980,7,8,27.6,17,5.6,3
"9",3475,1980,7,9,30,16.4,8,3.6
"10",3476,1980,7,10,29,18.2,7,1.8
"11",3477,1980,7,11,29.8,20.7,7.8,0
"12",3478,1980,7,12,29.5,17.2,7.5,2.8
"13",3479,1980,7,13,28.2,18.5,6.2,1.5
"14",3480,1980,7,14,22.4,18.5,0.399999999999999,1.5
"15",3481,1980,7,15,28.7,18.6,6.7,1.4
"16",3482,1980,7,16,30.4,17.7,8.4,2.3
"17",3483,1980,7,17,27.8,20.3,5.8,0
"18",3484,1980,7,18,23.8,20.4,1.8,0
"19",3485,1980,7,19,30.3,20.2,8.3,0
"20",3486,1980,7,20,25.8,21.8,3.8,0
"21",3487,1980,7,21,26.6,21.2,4.6,0
"22",3488,1980,7,22,26.1,20.4,4.1,0
"23",3489,1980,7,23,29.6,20.8,7.6,0
"24",3490,1980,7,24,30.2,18.1,8.2,1.9
"25",3491,1980,7,25,24.9,20.4,2.9,0
"26",3492,1980,7,26,29.2,21,7.2,0
"27",3493,1980,7,27,29,21,7,0
"28",3494,1980,7,28,26,21.1,4,0
"29",3495,1980,7,29,26.7,20.3,4.7,0
"30",3496,1980,7,30,29.8,18.3,7.8,1.7
"31",3497,1980,7,31,28.7,17.7,6.7,2.3
"32",3832,1981,7,1,24,21.7,2,0
"33",3833,1981,7,2,24.2,21,2.2,0
"34",3834,1981,7,3,23,17.8,1,2.2
"35",3835,1981,7,4,26.2,18.2,4.2,1.8
"36",3836,1981,7,5,24.2,21.6,2.2,0
"37",3837,1981,7,6,29,21,7,0
"38",3838,1981,7,7,28,19.4,6,0.600000000000001
"39",3839,1981,7,8,25.6,19.4,3.6,0.600000000000001
"40",3840,1981,7,9,26,19.7,4,0.300000000000001
"41",3841,1981,7,10,27.7,19.3,5.7,0.699999999999999
"42",3842,1981,7,11,28,19.4,6,0.600000000000001
