"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3104,1980,7,1,23.6,18,1.6,2
"2",3105,1980,7,2,25.8,19.6,3.8,0.399999999999999
"3",3106,1980,7,3,23.2,19.1,1.2,0.899999999999999
"4",3107,1980,7,4,24,18.3,2,1.7
"5",3108,1980,7,5,23.5,18.3,1.5,1.7
"6",3109,1980,7,6,24.1,20,2.1,0
"7",3110,1980,7,7,28.1,18.3,6.1,1.7
"8",3111,1980,7,8,28.6,20.2,6.6,0
"9",3112,1980,7,9,25.3,21.4,3.3,0
"10",3113,1980,7,10,24.5,20.9,2.5,0
"11",3114,1980,7,11,24.7,20.2,2.7,0
"12",3115,1980,7,12,25.4,19.2,3.4,0.800000000000001
"13",3116,1980,7,13,24.5,20,2.5,0
"14",3117,1980,7,14,27.2,19.8,5.2,0.199999999999999
"15",3118,1980,7,15,28.6,20.6,6.6,0
"16",3119,1980,7,16,27.1,20.8,5.1,0
"17",3120,1980,7,17,21.8,19,0,1
"18",3121,1980,7,18,23.9,19.5,1.9,0.5
"19",3122,1980,7,19,28.9,21.9,6.9,0
"20",3123,1980,7,20,30,23,8,1
"21",3124,1980,7,21,30.7,24.7,8.7,2.7
"22",3125,1980,7,22,30.1,25.4,8.1,3.4
"23",3126,1980,7,23,27.8,23.6,5.8,1.6
"24",3127,1980,7,24,30,18.7,8,1.3
"25",3128,1980,7,25,26.9,20.8,4.9,0
"26",3129,1980,7,26,30.2,21.4,8.2,0
"27",3130,1980,7,27,29.4,20.9,7.4,0
"28",3131,1980,7,28,26.5,20.9,4.5,0
"29",3132,1980,7,29,24,21.6,2,0
"30",3133,1980,7,30,22.2,20.8,0.199999999999999,0
"31",3134,1980,7,31,26.1,18,4.1,2
"32",3469,1981,7,1,25.5,21.4,3.5,0
"33",3470,1981,7,2,25.7,23.3,3.7,1.3
"34",3471,1981,7,3,26.8,22.8,4.8,0.800000000000001
"35",3472,1981,7,4,26.2,20.3,4.2,0
"36",3473,1981,7,5,27,21.7,5,0
"37",3474,1981,7,6,25.2,23.1,3.2,1.1
"38",3475,1981,7,7,30.1,20.6,8.1,0
"39",3476,1981,7,8,30,21,8,0
"40",3477,1981,7,9,26.9,22.7,4.9,0.699999999999999
"41",3478,1981,7,10,25.2,20.7,3.2,0
"42",3479,1981,7,11,25.2,19.2,3.2,0.800000000000001
"43",3480,1981,7,12,29.4,23.4,7.4,1.4
"44",3481,1981,7,13,30.9,24.4,8.9,2.4
"45",3482,1981,7,14,30.7,25,8.7,3
"46",3483,1981,7,15,32.3,23.7,10.3,1.7
"47",3484,1981,7,16,30.7,24.7,8.7,2.7
"48",3485,1981,7,17,32.8,24.7,10.8,2.7
"49",3486,1981,7,18,33.3,24.2,11.3,2.2
