"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3104,1980,7,1,21,17.3,0,2.7
"2",3105,1980,7,2,25.1,16.5,3.1,3.5
"3",3106,1980,7,3,26,17.8,4,2.2
"4",3107,1980,7,4,24.4,18,2.4,2
"5",3108,1980,7,5,25.4,18.6,3.4,1.4
"6",3109,1980,7,6,26.6,17.8,4.6,2.2
"7",3110,1980,7,7,28.7,19.4,6.7,0.600000000000001
"8",3111,1980,7,8,26.6,17.5,4.6,2.5
"9",3112,1980,7,9,29.6,19,7.6,1
"10",3113,1980,7,10,24.9,17.7,2.9,2.3
"11",3114,1980,7,11,24.4,17.5,2.4,2.5
"12",3115,1980,7,12,29.2,15.4,7.2,4.6
"13",3116,1980,7,13,27.3,19.2,5.3,0.800000000000001
"14",3117,1980,7,14,23.5,19,1.5,1
"15",3118,1980,7,15,25.8,18.8,3.8,1.2
"16",3119,1980,7,16,27.8,19.1,5.8,0.899999999999999
"17",3120,1980,7,17,24.7,17.1,2.7,2.9
"18",3121,1980,7,18,24.6,18.2,2.6,1.8
"19",3122,1980,7,19,27.6,19,5.6,1
"20",3123,1980,7,20,30.2,22.1,8.2,0.100000000000001
"21",3124,1980,7,21,29.6,22.3,7.6,0.300000000000001
"22",3125,1980,7,22,24.6,21.4,2.6,0
"23",3126,1980,7,23,28.9,22,6.9,0
"24",3127,1980,7,24,29,16.4,7,3.6
"25",3128,1980,7,25,24,18.4,2,1.6
"26",3129,1980,7,26,29.6,20.2,7.6,0
"27",3130,1980,7,27,30.8,20.4,8.8,0
"28",3131,1980,7,28,25.1,21.2,3.1,0
"29",3132,1980,7,29,22.4,20.2,0.399999999999999,0
"30",3133,1980,7,30,25.8,17.8,3.8,2.2
"31",3134,1980,7,31,26.2,14.3,4.2,5.7
"32",3469,1981,7,1,24.1,20.2,2.1,0
"33",3470,1981,7,2,26.8,21.5,4.8,0
"34",3471,1981,7,3,28.8,21.9,6.8,0
"35",3472,1981,7,4,26.1,21.4,4.1,0
"36",3473,1981,7,5,26.3,20.4,4.3,0
"37",3474,1981,7,6,25.9,21.9,3.9,0
"38",3475,1981,7,7,29,17.7,7,2.3
"39",3476,1981,7,8,30.3,18.2,8.3,1.8
"40",3477,1981,7,9,25.9,19.3,3.9,0.699999999999999
"41",3478,1981,7,10,26.6,16.8,4.6,3.2
"42",3479,1981,7,11,22.6,19.1,0.600000000000001,0.899999999999999
"43",3480,1981,7,12,26.2,20,4.2,0
"44",3481,1981,7,13,28,20.9,6,0
"45",3482,1981,7,14,31.2,23.3,9.2,1.3
"46",3483,1981,7,15,31.5,22.9,9.5,0.899999999999999
"47",3484,1981,7,16,34,21.8,12,0
"48",3485,1981,7,17,32.1,23.2,10.1,1.2
"49",3486,1981,7,18,32.9,21.5,10.9,0
"50",3487,1981,7,19,32.8,22.7,10.8,0.699999999999999
"51",3488,1981,7,20,32.4,21.6,10.4,0
"52",3489,1981,7,21,31.2,22,9.2,0
"53",3490,1981,7,22,29.7,20.5,7.7,0
"54",3491,1981,7,23,30.8,22.7,8.8,0.699999999999999
"55",3492,1981,7,24,33.3,24.2,11.3,2.2
"56",3493,1981,7,25,33.4,24,11.4,2
"57",3494,1981,7,26,34.1,23.3,12.1,1.3
"58",3495,1981,7,27,29.3,23.8,7.3,1.8
"59",3496,1981,7,28,31.2,22.1,9.2,0.100000000000001
"60",3497,1981,7,29,32.1,23.4,10.1,1.4
"61",3498,1981,7,30,34.1,22.5,12.1,0.5
"62",3499,1981,7,31,33,20.9,11,0
"63",3834,1982,7,1,30.6,17.4,8.6,2.6
"64",3835,1982,7,2,31.2,14.7,9.2,5.3
"65",3836,1982,7,3,28.2,14.6,6.2,5.4
"66",3837,1982,7,4,29.9,14.5,7.9,5.5
"67",3838,1982,7,5,30.8,18.2,8.8,1.8
"68",3839,1982,7,6,31.2,15.4,9.2,4.6
