"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3467,1980,7,1,24.8,18.1,2.8,1.9
"2",3468,1980,7,2,23.3,18.4,1.3,1.6
"3",3469,1980,7,3,24.9,19.2,2.9,0.800000000000001
"4",3470,1980,7,4,23.4,18.6,1.4,1.4
"5",3471,1980,7,5,26.6,18.8,4.6,1.2
"6",3472,1980,7,6,25.5,18.4,3.5,1.6
"7",3473,1980,7,7,27.2,18.2,5.2,1.8
"8",3474,1980,7,8,25.6,18.4,3.6,1.6
"9",3475,1980,7,9,28,18.2,6,1.8
"10",3476,1980,7,10,25.8,18.7,3.8,1.3
"11",3477,1980,7,11,25.8,19.6,3.8,0.399999999999999
"12",3478,1980,7,12,28.7,18.3,6.7,1.7
"13",3479,1980,7,13,28,20,6,0
"14",3480,1980,7,14,25.8,20.2,3.8,0
"15",3481,1980,7,15,27.2,19.1,5.2,0.899999999999999
"16",3482,1980,7,16,30.3,18.4,8.3,1.6
"17",3483,1980,7,17,24,20.8,2,0
"18",3484,1980,7,18,26.8,20.9,4.8,0
"19",3485,1980,7,19,26.4,21.1,4.4,0
"20",3486,1980,7,20,31.2,23.9,9.2,1.9
"21",3487,1980,7,21,30.3,24.3,8.3,2.3
"22",3488,1980,7,22,29.4,25.3,7.4,3.3
"23",3489,1980,7,23,28.9,20.3,6.9,0
"24",3490,1980,7,24,29,18.5,7,1.5
"25",3491,1980,7,25,23.8,19.2,1.8,0.800000000000001
"26",3492,1980,7,26,29.4,22,7.4,0
"27",3493,1980,7,27,30.4,21,8.4,0
"28",3494,1980,7,28,28.7,22.2,6.7,0.199999999999999
"29",3495,1980,7,29,26,20.8,4,0
"30",3496,1980,7,30,28.1,20.4,6.1,0
"31",3497,1980,7,31,29,19.2,7,0.800000000000001
"32",3832,1981,7,1,26.4,21.4,4.4,0
"33",3833,1981,7,2,27.2,23.4,5.2,1.4
"34",3834,1981,7,3,25.9,22.3,3.9,0.300000000000001
"35",3835,1981,7,4,29.7,23,7.7,1
"36",3836,1981,7,5,28.5,23.1,6.5,1.1
"37",3837,1981,7,6,25.7,19.7,3.7,0.300000000000001
"38",3838,1981,7,7,27.2,18.1,5.2,1.9
"39",3839,1981,7,8,30.5,18.3,8.5,1.7
"40",3840,1981,7,9,27.5,19.8,5.5,0.199999999999999
"41",3841,1981,7,10,27.5,19.5,5.5,0.5
"42",3842,1981,7,11,24.4,19.4,2.4,0.600000000000001
"43",3843,1981,7,12,27.9,19.4,5.9,0.600000000000001
"44",3844,1981,7,13,29,19.6,7,0.399999999999999
"45",3845,1981,7,14,31.2,21.6,9.2,0
"46",3846,1981,7,15,31.8,23,9.8,1
"47",3847,1981,7,16,32.8,21.7,10.8,0
"48",3848,1981,7,17,32.9,22.1,10.9,0.100000000000001
"49",3849,1981,7,18,33.4,21.7,11.4,0
"50",3850,1981,7,19,32,21.3,10,0
"51",3851,1981,7,20,32.3,19.5,10.3,0.5
"52",3852,1981,7,21,30.5,20.1,8.5,0
"53",3853,1981,7,22,30.7,22.1,8.7,0.100000000000001
"54",3854,1981,7,23,31.8,22,9.8,0
"55",3855,1981,7,24,34,22.4,12,0.399999999999999
"56",3856,1981,7,25,33,22.3,11,0.300000000000001
"57",3857,1981,7,26,34.3,22.5,12.3,0.5
"58",3858,1981,7,27,33,22.9,11,0.899999999999999
"59",3859,1981,7,28,32.7,24.7,10.7,2.7
"60",3860,1981,7,29,31.8,23.7,9.8,1.7
"61",3861,1981,7,30,34.2,21.9,12.2,0
"62",3862,1981,7,31,33.1,21.8,11.1,0
"63",4197,1982,7,1,28.1,18.6,6.1,1.4
"64",4198,1982,7,2,29.6,17.6,7.6,2.4
"65",4199,1982,7,3,30.4,17.8,8.4,2.2
"66",4200,1982,7,4,27.8,18.8,5.8,1.2
"67",4201,1982,7,5,31,20,9,0
"68",4202,1982,7,6,31.6,19.6,9.6,0.399999999999999
"69",4203,1982,7,7,29.4,20.4,7.4,0
"70",4204,1982,7,8,29.3,20.9,7.3,0
"71",4205,1982,7,9,32.5,19.5,10.5,0.5
"72",4206,1982,7,10,32,21,10,0
"73",4207,1982,7,11,26.8,21.7,4.8,0
"74",4208,1982,7,12,30.4,20.4,8.4,0
"75",4209,1982,7,13,23.6,20.6,1.6,0
"76",4210,1982,7,14,27.5,20.2,5.5,0
"77",4211,1982,7,15,28.4,22.3,6.4,0.300000000000001
"78",4212,1982,7,16,26.4,20,4.4,0
"79",4213,1982,7,17,31.6,18.9,9.6,1.1
"80",4214,1982,7,18,29,20.4,7,0
"81",4215,1982,7,19,29,19.2,7,0.800000000000001
"82",4216,1982,7,20,29.4,19.6,7.4,0.399999999999999
"83",4217,1982,7,21,30.1,19.4,8.1,0.600000000000001
"84",4218,1982,7,22,30,21.2,8,0
"85",4219,1982,7,23,24.5,20.9,2.5,0
"86",4220,1982,7,24,29,21.8,7,0
"87",4221,1982,7,25,25.4,22.6,3.4,0.600000000000001
"88",4222,1982,7,26,30.2,22.2,8.2,0.199999999999999
"89",4223,1982,7,27,30.2,23,8.2,1
"90",4224,1982,7,28,30.5,23.4,8.5,1.4
"91",4225,1982,7,29,26.1,20.4,4.1,0
"92",4226,1982,7,30,31.3,21.6,9.3,0
"93",4227,1982,7,31,31.8,22,9.8,0
"94",4562,1983,7,1,29.9,20.6,7.9,0
"95",4563,1983,7,2,25.8,21.2,3.8,0
"96",4564,1983,7,3,28.8,20,6.8,0
"97",4565,1983,7,4,29.2,21.6,7.2,0
"98",4566,1983,7,5,29.4,20,7.4,0
"99",4567,1983,7,6,26.7,19.4,4.7,0.600000000000001
"100",4568,1983,7,7,26,19.6,4,0.399999999999999
"101",4569,1983,7,8,25.2,19.6,3.2,0.399999999999999
"102",4570,1983,7,9,25.9,18.5,3.9,1.5
"103",4571,1983,7,10,27.5,18.6,5.5,1.4
"104",4572,1983,7,11,28.6,19.4,6.6,0.600000000000001
"105",4573,1983,7,12,26.3,19.4,4.3,0.600000000000001
"106",4574,1983,7,13,27.3,20.3,5.3,0
"107",4575,1983,7,14,23.2,20.8,1.2,0
"108",4576,1983,7,15,28.1,21.6,6.1,0
"109",4577,1983,7,16,24,18,2,2
"110",4578,1983,7,17,26.1,16.9,4.1,3.1
"111",4579,1983,7,18,28.2,18,6.2,2
"112",4580,1983,7,19,23.4,19.6,1.4,0.399999999999999
"113",4581,1983,7,20,25.4,19.8,3.4,0.199999999999999
"114",4582,1983,7,21,26.4,18.8,4.4,1.2
"115",4583,1983,7,22,27.4,22.8,5.4,0.800000000000001
"116",4584,1983,7,23,25,21.8,3,0
"117",4585,1983,7,24,27.9,22.9,5.9,0.899999999999999
"118",4586,1983,7,25,31.2,25.7,9.2,3.7
