"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3403,1980,7,1,24.5,19.9,2.5,0.100000000000001
"2",3404,1980,7,2,23,20.3,1,0
"3",3405,1980,7,3,23.8,19,1.8,1
"4",3406,1980,7,4,25.3,18.2,3.3,1.8
"5",3407,1980,7,5,22.7,19.3,0.699999999999999,0.699999999999999
"6",3408,1980,7,6,22.5,20,0.5,0
"7",3409,1980,7,7,25.8,18.1,3.8,1.9
"8",3410,1980,7,8,26,17.9,4,2.1
"9",3411,1980,7,9,22.9,20.4,0.899999999999999,0
"10",3412,1980,7,10,25.3,22.4,3.3,0.399999999999999
"11",3413,1980,7,11,29.3,20.8,7.3,0
"12",3414,1980,7,12,23,20.5,1,0
"13",3415,1980,7,13,25.9,20.6,3.9,0
"14",3416,1980,7,14,28.7,19.9,6.7,0.100000000000001
"15",3417,1980,7,15,25.9,19.3,3.9,0.699999999999999
"16",3418,1980,7,16,24.7,20.5,2.7,0
"17",3419,1980,7,17,25.8,22,3.8,0
"18",3420,1980,7,18,29,21.5,7,0
"19",3421,1980,7,19,29.8,24.5,7.8,2.5
"20",3422,1980,7,20,30,23,8,1
"21",3423,1980,7,21,30.1,24,8.1,2
"22",3424,1980,7,22,30,26.3,8,4.3
"23",3425,1980,7,23,30.8,25.4,8.8,3.4
"24",3426,1980,7,24,30.9,21,8.9,0
"25",3427,1980,7,25,28.2,18.9,6.2,1.1
"26",3428,1980,7,26,30.6,23.3,8.6,1.3
"27",3429,1980,7,27,28.7,21.4,6.7,0
"28",3430,1980,7,28,30.4,25,8.4,3
"29",3431,1980,7,29,31.1,24.5,9.1,2.5
"30",3432,1980,7,30,26.3,22.1,4.3,0.100000000000001
"31",3433,1980,7,31,24.7,22,2.7,0
"32",3768,1981,7,1,24.7,22.2,2.7,0.199999999999999
"33",3769,1981,7,2,26.4,22.2,4.4,0.199999999999999
"34",3770,1981,7,3,30,23,8,1
"35",3771,1981,7,4,29.9,22.7,7.9,0.699999999999999
"36",3772,1981,7,5,30.7,24.5,8.7,2.5
"37",3773,1981,7,6,28.9,23.5,6.9,1.5
"38",3774,1981,7,7,28.6,23.2,6.6,1.2
"39",3775,1981,7,8,31.3,22.8,9.3,0.800000000000001
"40",3776,1981,7,9,27.7,23.7,5.7,1.7
"41",3777,1981,7,10,26,22,4,0
"42",3778,1981,7,11,26.5,22,4.5,0
"43",3779,1981,7,12,28.8,24.8,6.8,2.8
"44",3780,1981,7,13,29.7,24.9,7.7,2.9
