"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3104,1980,7,1,19.6,16.8,0.399999999999999,3.2
"2",3105,1980,7,2,21.3,17.7,0,2.3
"3",3106,1980,7,3,21.6,17,0,3
"4",3107,1980,7,4,27.1,17.1,5.1,2.9
"5",3108,1980,7,5,29.6,20.4,7.6,0
"6",3109,1980,7,6,27.7,20.2,5.7,0
"7",3110,1980,7,7,30.6,19.8,8.6,0.199999999999999
"8",3111,1980,7,8,29.3,19.5,7.3,0.5
"9",3112,1980,7,9,25,20.2,3,0
"10",3113,1980,7,10,25.8,19.1,3.8,0.899999999999999
"11",3114,1980,7,11,23.4,17.6,1.4,2.4
"12",3115,1980,7,12,26.1,16.9,4.1,3.1
"13",3116,1980,7,13,26.1,18.8,4.1,1.2
"14",3117,1980,7,14,27.9,19.2,5.9,0.800000000000001
"15",3118,1980,7,15,22.7,18.7,0.699999999999999,1.3
"16",3119,1980,7,16,25.7,16.3,3.7,3.7
"17",3120,1980,7,17,23.9,16.2,1.9,3.8
"18",3121,1980,7,18,21.7,18.2,0,1.8
"19",3122,1980,7,19,29.6,18.4,7.6,1.6
"20",3123,1980,7,20,33.4,22.1,11.4,0.100000000000001
"21",3124,1980,7,21,34,22.3,12,0.300000000000001
"22",3125,1980,7,22,27.3,21.6,5.3,0
"23",3126,1980,7,23,31.7,19.3,9.7,0.699999999999999
"24",3127,1980,7,24,32.1,17.9,10.1,2.1
"25",3128,1980,7,25,27.6,20.9,5.6,0
"26",3129,1980,7,26,25,20.5,3,0
"27",3130,1980,7,27,26.5,20.2,4.5,0
"28",3131,1980,7,28,23.6,19.1,1.6,0.899999999999999
"29",3132,1980,7,29,22.1,19.8,0.100000000000001,0.199999999999999
"30",3133,1980,7,30,24.7,19.2,2.7,0.800000000000001
"31",3134,1980,7,31,25.3,16.3,3.3,3.7
"32",3469,1981,7,1,21.6,18.2,0,1.8
"33",3470,1981,7,2,32.2,18.7,10.2,1.3
"34",3471,1981,7,3,21.7,17.2,0,2.8
"35",3472,1981,7,4,22.4,16.7,0.399999999999999,3.3
"36",3473,1981,7,5,30.4,17.5,8.4,2.5
"37",3474,1981,7,6,27.6,24.4,5.6,2.4
"38",3475,1981,7,7,28.5,18.9,6.5,1.1
"39",3476,1981,7,8,33.6,19.6,11.6,0.399999999999999
"40",3477,1981,7,9,29.2,24.4,7.2,2.4
"41",3478,1981,7,10,28.7,19.9,6.7,0.100000000000001
"42",3479,1981,7,11,24,18.3,2,1.7
"43",3480,1981,7,12,24.7,18.3,2.7,1.7
"44",3481,1981,7,13,26.7,19.1,4.7,0.899999999999999
"45",3482,1981,7,14,31.6,19.9,9.6,0.100000000000001
"46",3483,1981,7,15,34,24,12,2
"47",3484,1981,7,16,35.7,23.5,13.7,1.5
"48",3485,1981,7,17,36.2,26.2,14.2,4.2
"49",3486,1981,7,18,34.4,25.3,12.4,3.3
"50",3487,1981,7,19,36.5,25.3,14.5,3.3
