"","X","Year","Mon","Day","tmax","tmin","cal_tmax","cal_tmin"
"1",3226,1980,7,1,22.1,16.4,0.100000000000001,3.6
"2",3227,1980,7,2,24.2,16.3,2.2,3.7
"3",3228,1980,7,3,28.1,15.9,6.1,4.1
"4",3229,1980,7,4,23.5,18.9,1.5,1.1
"5",3230,1980,7,5,23.3,18.7,1.3,1.3
"6",3231,1980,7,6,28.3,19,6.3,1
"7",3232,1980,7,7,28.8,20.1,6.8,0
"8",3233,1980,7,8,27.3,18.5,5.3,1.5
"9",3234,1980,7,9,30,19.9,8,0.100000000000001
"10",3235,1980,7,10,28.2,19.4,6.2,0.600000000000001
"11",3236,1980,7,11,28,20,6,0
"12",3237,1980,7,12,29.2,17.7,7.2,2.3
"13",3238,1980,7,13,29.4,18.6,7.4,1.4
"14",3239,1980,7,14,22.1,18.7,0.100000000000001,1.3
"15",3240,1980,7,15,28,18.3,6,1.7
"16",3241,1980,7,16,29.6,16.3,7.6,3.7
"17",3242,1980,7,17,30.3,18,8.3,2
"18",3243,1980,7,18,23.2,19,1.2,1
"19",3244,1980,7,19,30,20.2,8,0
"20",3245,1980,7,20,29.9,22.2,7.9,0.199999999999999
"21",3246,1980,7,21,26.6,21.8,4.6,0
"22",3247,1980,7,22,26.3,21.6,4.3,0
"23",3248,1980,7,23,28.8,20.3,6.8,0
"24",3249,1980,7,24,28.7,18.7,6.7,1.3
"25",3250,1980,7,25,23.8,18.9,1.8,1.1
"26",3251,1980,7,26,28.6,20.4,6.6,0
"27",3252,1980,7,27,28.5,20.5,6.5,0
"28",3253,1980,7,28,24.2,20.8,2.2,0
"29",3254,1980,7,29,24.9,19.3,2.9,0.699999999999999
"30",3255,1980,7,30,28.2,17.9,6.2,2.1
"31",3256,1980,7,31,28.5,13.9,6.5,6.1
"32",3591,1981,7,1,24.5,22.2,2.5,0.199999999999999
"33",3592,1981,7,2,26.3,22.1,4.3,0.100000000000001
"34",3593,1981,7,3,26.2,20.1,4.2,0
"35",3594,1981,7,4,26.1,19.3,4.1,0.699999999999999
"36",3595,1981,7,5,26.9,22.8,4.9,0.800000000000001
"37",3596,1981,7,6,28,21.8,6,0
"38",3597,1981,7,7,26.9,19.6,4.9,0.399999999999999
"39",3598,1981,7,8,28.6,18.6,6.6,1.4
"40",3599,1981,7,9,28,20.9,6,0
"41",3600,1981,7,10,27.8,18.6,5.8,1.4
"42",3601,1981,7,11,26.5,19,4.5,1
"43",3602,1981,7,12,27.6,19.2,5.6,0.800000000000001
"44",3603,1981,7,13,27.3,20.3,5.3,0
"45",3604,1981,7,14,31.3,22.5,9.3,0.5
"46",3605,1981,7,15,31.9,22.6,9.9,0.600000000000001
"47",3606,1981,7,16,33,22.8,11,0.800000000000001
"48",3607,1981,7,17,32.2,23.8,10.2,1.8
"49",3608,1981,7,18,32.5,23,10.5,1
"50",3609,1981,7,19,32.3,21.6,10.3,0
"51",3610,1981,7,20,31.9,20.8,9.9,0
"52",3611,1981,7,21,30.8,23.6,8.8,1.6
"53",3612,1981,7,22,31.3,23.8,9.3,1.8
"54",3613,1981,7,23,31.1,23.7,9.1,1.7
"55",3614,1981,7,24,33.4,24.1,11.4,2.1
"56",3615,1981,7,25,34.1,23.9,12.1,1.9
"57",3616,1981,7,26,34.4,23.6,12.4,1.6
"58",3617,1981,7,27,27,23.5,5,1.5
"59",3618,1981,7,28,32,22.5,10,0.5
"60",3619,1981,7,29,34.3,23.9,12.3,1.9
"61",3620,1981,7,30,34.4,22.7,12.4,0.699999999999999
"62",3621,1981,7,31,34.9,21.8,12.9,0
"63",3956,1982,7,1,30,15.3,8,4.7
"64",3957,1982,7,2,30.6,16.2,8.6,3.8
"65",3958,1982,7,3,30.4,16.2,8.4,3.8
"66",3959,1982,7,4,29.6,18.4,7.6,1.6
"67",3960,1982,7,5,30,17.7,8,2.3
"68",3961,1982,7,6,33,18.1,11,1.9
"69",3962,1982,7,7,32.4,19.4,10.4,0.600000000000001
"70",3963,1982,7,8,32.5,18.7,10.5,1.3
"71",3964,1982,7,9,33.2,18.1,11.2,1.9
"72",3965,1982,7,10,33.3,19.4,11.3,0.600000000000001
"73",3966,1982,7,11,27.9,18.5,5.9,1.5
"74",3967,1982,7,12,28,17.8,6,2.2
"75",3968,1982,7,13,28.2,19.5,6.2,0.5
"76",3969,1982,7,14,32.9,18.3,10.9,1.7
"77",3970,1982,7,15,31.1,15.4,9.1,4.6
"78",3971,1982,7,16,29.6,19.9,7.6,0.100000000000001
"79",3972,1982,7,17,29.9,15.9,7.9,4.1
"80",3973,1982,7,18,30.5,15.5,8.5,4.5
"81",3974,1982,7,19,30,18,8,2
"82",3975,1982,7,20,31.6,18.2,9.6,1.8
"83",3976,1982,7,21,31.5,18.6,9.5,1.4
"84",3977,1982,7,22,32.9,17.8,10.9,2.2
"85",3978,1982,7,23,29.1,18.3,7.1,1.7
"86",3979,1982,7,24,28.6,22.2,6.6,0.199999999999999
"87",3980,1982,7,25,24.3,19.9,2.3,0.100000000000001
"88",3981,1982,7,26,31.2,20.4,9.2,0
"89",3982,1982,7,27,29.5,19.5,7.5,0.5
